,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-147970.779221,0.0,-1640.0,171200.0
Tax Rate For Calcs,0.000406,0.0,0.0002,0.0008
Normalized EBITDA,1774600000.0,920700000.0,2234600000.0,1511500000.0
Total Unusual Items,-364600000.0,1000000.0,-8200000.0,214000000.0
Total Unusual Items Excluding Goodwill,-364600000.0,1000000.0,-8200000.0,214000000.0
Net Income From Continuing Operation Net Minority Interest,-118300000.0,-403600000.0,494900000.0,241000000.0
Reconciled Depreciation,491900000.0,879000000.0,1205500000.0,1342100000.0
Reconciled Cost Of Revenue,22950700000.0,22176400000.0,17891300000.0,24317500000.0
EBIT,918100000.0,42700000.0,1020900000.0,383400000.0
Net Interest Income,-671700000.0,-423100000.0,-504600000.0,-117300000.0
Interest Expense,671700000.0,446400000.0,526100000.0,142300000.0
Interest Income,,31400000.0,35500000.0,35900000.0
Normalized Income,246152029.220779,-404600000.0,503098360.0,27171200.0
Net Income From Continuing And Discontinued Operation,-118300000.0,-403600000.0,494900000.0,241000000.0
Total Expenses,29889300000.0,28205500000.0,24054600000.0,32029200000.0
Rent Expense Supplemental,,122400000.0,105500000.0,
Diluted Average Shares,,12739899.0,12700000.0,12700000.0
Basic Average Shares,,12739899.0,12700000.0,12700000.0
Diluted EPS,,-31.68,38.85,18.92
Basic EPS,,-31.68,38.85,18.92
Diluted NI Availto Com Stockholders,-118200000.0,-403600000.0,494900000.0,241000000.0
Net Income Common Stockholders,-118200000.0,-403600000.0,494900000.0,241000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-118200000.0,-403600000.0,494900000.0,241000000.0
Minority Interests,,0.0,,
Net Income Including Noncontrolling Interests,-118200000.0,-403600000.0,494900000.0,241000000.0
Net Income Extraordinary,100000.0,100000.0,200000.0,
Net Income Continuous Operations,-118300000.0,-403600000.0,494900000.0,241000000.0
Tax Provision,100000.0,0.0,100000.0,200000.0
Pretax Income,246400000.0,-403700000.0,494800000.0,241100000.0
Other Non Operating Income Expenses,66900000.0,31000000.0,4500000.0,192400000.0
Special Income Charges,-364600000.0,0.0,-10300000.0,214900000.0
Other Special Charges,364600000.0,,-100000.0,-221200000.0
Write Off,,0.0,10400000.0,6300000.0
Net Non Operating Interest Income Expense,-671700000.0,-423100000.0,-504600000.0,-117300000.0
Total Other Finance Cost,,8100000.0,14000000.0,10900000.0
Interest Expense Non Operating,671700000.0,446400000.0,526100000.0,142300000.0
Interest Income Non Operating,,31400000.0,35500000.0,35900000.0
Operating Income,851200000.0,-9600000.0,1039300000.0,-81600000.0
Operating Expense,6938600000.0,6029100000.0,6163300000.0,7711700000.0
Other Operating Expenses,4998800000.0,2468500000.0,2452800000.0,3421000000.0
Depreciation And Amortization In Income Statement,491900000.0,879000000.0,1205500000.0,1342100000.0
Amortization,,9700000.0,8300000.0,2300000.0
Depreciation Income Statement,491900000.0,869300000.0,1197200000.0,1339800000.0
Research And Development,,,,0.0
Selling General And Administration,,1304100000.0,1139200000.0,1281700000.0
Selling And Marketing Expense,,1132400000.0,994100000.0,1097100000.0
General And Administrative Expense,,171700000.0,145100000.0,184600000.0
Rent And Landing Fees,,122400000.0,105500000.0,
Gross Profit,7789800000.0,6019500000.0,7202600000.0,7630100000.0
Cost Of Revenue,22950700000.0,22176400000.0,17891300000.0,24317500000.0
Total Revenue,30740500000.0,28195900000.0,25093900000.0,31947600000.0
Operating Revenue,30740500000.0,28195900000.0,25093900000.0,31947600000.0
Ordinary Shares Number,12742814.0,12742814.0,12742814.0,12742814.0
Share Issued,12742814.0,12742814.0,12742814.0,12742814.0
Net Debt,19188000000.0,20201500000.0,9568800000.0,12716600000.0
Total Debt,19864300000.0,20866500000.0,10455600000.0,13020700000.0
Tangible Book Value,-10999200000.0,-11235500000.0,-10840500000.0,-11349600000.0
Invested Capital,8886800000.0,10022600000.0,31800000.0,2087500000.0
Working Capital,-15439900000.0,-14953900000.0,-8797500000.0,-7156100000.0
Net Tangible Assets,-10999200000.0,-11235500000.0,-10840500000.0,-11349600000.0
Capital Lease Obligations,15400000.0,20300000.0,,
Common Stock Equity,-10962100000.0,-10823600000.0,-10423800000.0,-10933200000.0
Total Capitalization,-8512900000.0,-7200700000.0,-296900000.0,1793300000.0
Total Equity Gross Minority Interest,-10962100000.0,-10823600000.0,-10423800000.0,-10933200000.0
Stockholders Equity,-10962100000.0,-10823600000.0,-10423800000.0,-10933200000.0
Other Equity Interest,-11089500000.0,-10951000000.0,,
Retained Earnings,,-18469100000.0,-18102000000.0,-18644000000.0
Additional Paid In Capital,,2537900000.0,2537900000.0,2537900000.0
Capital Stock,127400000.0,127400000.0,127400000.0,127400000.0
Common Stock,127400000.0,127400000.0,127400000.0,127400000.0
Total Liabilities Net Minority Interest,28483500000.0,28272000000.0,29391000000.0,30134000000.0
Total Non Current Liabilities Net Minority Interest,2664700000.0,3828800000.0,10291700000.0,12941500000.0
Other Non Current Liabilities,,,400000.0,27500000.0
Long Term Debt And Capital Lease Obligation,2451000000.0,3631900000.0,10126900000.0,12726500000.0
Long Term Capital Lease Obligation,1800000.0,9000000.0,,
Long Term Debt,2449200000.0,3622900000.0,10126900000.0,12726500000.0
Long Term Provisions,213500000.0,196700000.0,161300000.0,180100000.0
Current Liabilities,25818800000.0,24443200000.0,19099300000.0,17192500000.0
Other Current Liabilities,3572200000.0,20100000.0,8100000.0,2090500000.0
Current Debt And Capital Lease Obligation,17413300000.0,17234600000.0,328700000.0,294200000.0
Current Capital Lease Obligation,13600000.0,11300000.0,,
Current Debt,17399700000.0,17223300000.0,328700000.0,294200000.0
Current Provisions,171600000.0,159300000.0,128500000.0,143300000.0
Payables,3764900000.0,4166900000.0,4586000000.0,4490400000.0
Other Payable,,301800000.0,357200000.0,
Accounts Payable,3764900000.0,3865100000.0,4228800000.0,4490400000.0
Total Assets,17521400000.0,17448400000.0,18967200000.0,19200800000.0
Total Non Current Assets,7142500000.0,7959100000.0,8665400000.0,9164400000.0
Other Non Current Assets,30000000.0,68600000.0,199100000.0,146500000.0
Non Current Prepaid Assets,,,,296000000.0
Investmentin Financial Assets,404300000.0,518600000.0,738400000.0,2100000.0
Held To Maturity Securities,,,,100000.0
Available For Sale Securities,404300000.0,513700000.0,734500000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,4900000.0,3900000.0,2000000.0
Long Term Equity Investment,69800000.0,69700000.0,69600000.0,69400000.0
Investmentsin Joint Venturesat Cost,69800000.0,69700000.0,69600000.0,69400000.0
Goodwill And Other Intangible Assets,37100000.0,411900000.0,416700000.0,416400000.0
Other Intangible Assets,37100000.0,47300000.0,52100000.0,51800000.0
Goodwill,0.0,364600000.0,364600000.0,364600000.0
Net PPE,6601300000.0,6890300000.0,7241600000.0,8111900000.0
Accumulated Depreciation,,-7764300000.0,-6895000000.0,-5699500000.0
Gross PPE,6601300000.0,14654600000.0,14136600000.0,13811400000.0
Construction In Progress,260800000.0,326900000.0,274000000.0,275900000.0
Other Properties,6340500000.0,6563400000.0,6967600000.0,
Machinery Furniture Equipment,,9746100000.0,9307700000.0,9058500000.0
Buildings And Improvements,,3052400000.0,3025700000.0,2947800000.0
Land And Improvements,,1529200000.0,1529200000.0,1529200000.0
Properties,,0.0,0.0,0.0
Current Assets,10378900000.0,9489300000.0,10301800000.0,10036400000.0
Other Current Assets,1775300000.0,1573100000.0,1476600000.0,215200000.0
Prepaid Assets,,,,891000000.0
Inventory,5706300000.0,5463700000.0,5034300000.0,4904900000.0
Other Inventories,,,,563200000.0
Finished Goods,,1237600000.0,911200000.0,1248400000.0
Work In Process,,2081100000.0,1955700000.0,1594900000.0
Raw Materials,,2145000000.0,2167400000.0,2061600000.0
Other Receivables,,4500000.0,3300000.0,366000000.0
Taxes Receivable,69000000.0,46600000.0,27000000.0,29200000.0
Accounts Receivable,2083800000.0,1669700000.0,2773400000.0,3163000000.0
Allowance For Doubtful Accounts Receivable,,-1020500000.0,-1001300000.0,-953600000.0
Gross Accounts Receivable,,2690200000.0,3774700000.0,4116600000.0
Cash Cash Equivalents And Short Term Investments,744500000.0,731700000.0,987200000.0,467100000.0
Other Short Term Investments,83600000.0,87000000.0,100400000.0,163000000.0
Cash And Cash Equivalents,660900000.0,644700000.0,886800000.0,304100000.0
Cash Equivalents,,,,3300000.0
Cash Financial,,644700000.0,886800000.0,300800000.0
Free Cash Flow,895900000.0,1388700000.0,1840000000.0,1533500000.0
Repayment Of Debt,-997300000.0,-1475500000.0,-615300000.0,-1792500000.0
Capital Expenditure,-174900000.0,-403800000.0,-409700000.0,-237300000.0
End Cash Position,660900000.0,644700000.0,886800000.0,304100000.0
Other Cash Adjustment Outside Changein Cash,,-100000.0,,
Beginning Cash Position,644700000.0,886800000.0,304100000.0,473800000.0
Changes In Cash,16200000.0,-242000000.0,582700000.0,-169700000.0
Financing Cash Flow,-1029800000.0,-1893900000.0,-1045000000.0,-1990000000.0
Net Other Financing Charges,,1000000.0,,
Interest Paid Cff,-25500000.0,-408900000.0,-414400000.0,-179200000.0
Net Issuance Payments Of Debt,-997300000.0,-1475500000.0,-615300000.0,-1792500000.0
Net Long Term Debt Issuance,-997300000.0,-1475500000.0,-615300000.0,-1792500000.0
Long Term Debt Payments,-997300000.0,-1475500000.0,-615300000.0,-1792500000.0
Investing Cash Flow,-24800000.0,-140600000.0,-622000000.0,49500000.0
Interest Received Cfi,27700000.0,27700000.0,33900000.0,32900000.0
Net Investment Purchase And Sale,122500000.0,235600000.0,-247300000.0,144900000.0
Sale Of Investment,,235600000.0,30000000.0,144900000.0
Purchase Of Investment,,0.0,-277300000.0,0.0
Net Business Purchase And Sale,-100000.0,-100000.0,-200000.0,-100000.0
Purchase Of Business,-100000.0,-100000.0,-200000.0,-100000.0
Net PPE Purchase And Sale,-174900000.0,-403800000.0,-408400000.0,109100000.0
Sale Of PPE,,0.0,1300000.0,109100000.0
Purchase Of PPE,-174900000.0,-403800000.0,-409700000.0,
Capital Expenditure Reported,,,,-237300000.0
Operating Cash Flow,1070800000.0,1792500000.0,2249700000.0,1770800000.0
Taxes Refund Paid,-22400000.0,-19600000.0,2100000.0,-5300000.0
Change In Working Capital,-280600000.0,918700000.0,37000000.0,437700000.0
Change In Other Current Liabilities,661500000.0,629200000.0,89500000.0,-416000000.0
Change In Other Current Assets,-203300000.0,-95400000.0,-11400000.0,58300000.0
Change In Payable,-106000000.0,-362900000.0,-265500000.0,-269500000.0
Change In Inventory,-242600000.0,-429400000.0,-129400000.0,726300000.0
Change In Receivables,-399000000.0,1107100000.0,372800000.0,304400000.0
Other Non Cash Items,1009300000.0,420100000.0,502900000.0,-234900000.0
Provisionand Write Offof Assets,20900000.0,19200000.0,28500000.0,-9000000.0
Depreciation And Amortization,491900000.0,879000000.0,1205500000.0,1342100000.0
Depreciation,491900000.0,879000000.0,1205500000.0,1342100000.0
Gain Loss On Investment Securities,,,-400000.0,
Net Foreign Currency Exchange Gain Loss,-33300000.0,-21400000.0,-30300000.0,-139600000.0
Gain Loss On Sale Of PPE,,0.0,-1000000.0,132300000.0
Net Income From Continuing Operations,-118200000.0,-403700000.0,494800000.0,241100000.0
