,item,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,sheet,2020-03-31 00:00:00
0,Tax Effect Of Unusual Items,0.0,0.0,0.0,Income Statement,
1,Tax Rate For Calcs,0.4,0.4,0.013245,Income Statement,
2,Normalized EBITDA,-957000.0,-67000.0,-150000.0,Income Statement,
3,Total Unusual Items,0.0,0.0,0.0,Income Statement,
4,Total Unusual Items Excluding Goodwill,0.0,0.0,0.0,Income Statement,
5,Net Income From Continuing Operation Net Minority Interest,-112685000.0,-69000.0,-149000.0,Income Statement,
6,Reconciled Depreciation,49015000.0,,,Income Statement,
7,Reconciled Cost Of Revenue,1703105000.0,,,Income Statement,
8,EBIT,-49972000.0,-67000.0,-150000.0,Income Statement,
9,Net Interest Income,-60551000.0,-1000.0,-1000.0,Income Statement,
10,Interest Expense,60551000.0,,,Income Statement,
11,Normalized Income,-112685000.0,-69000.0,-149000.0,Income Statement,
12,Net Income From Continuing And Discontinued Operation,-112685000.0,-69000.0,-149000.0,Income Statement,
13,Total Expenses,2648617000.0,67000.0,150000.0,Income Statement,
14,Diluted Average Shares,,26935500.0,26935500.0,Income Statement,
15,Basic Average Shares,,26935500.0,26935500.0,Income Statement,
16,Diluted EPS,,-0.002562,-0.005532,Income Statement,
17,Basic EPS,,-0.002562,-0.005532,Income Statement,
18,Diluted NI Availto Com Stockholders,-112685000.0,-69000.0,-149000.0,Income Statement,
19,Net Income Common Stockholders,-112685000.0,-69000.0,-149000.0,Income Statement,
20,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,Income Statement,
21,Net Income,-112685000.0,-69000.0,-149000.0,Income Statement,
22,Minority Interests,0.0,,,Income Statement,
23,Net Income Including Noncontrolling Interests,-112685000.0,-69000.0,-149000.0,Income Statement,
24,Net Income Continuous Operations,-112685000.0,-69000.0,-149000.0,Income Statement,
25,Tax Provision,2162000.0,1000.0,-2000.0,Income Statement,
26,Pretax Income,-110523000.0,-68000.0,-151000.0,Income Statement,
27,Other Non Operating Income Expenses,3609000.0,,,Income Statement,
28,Special Income Charges,0.0,0.0,0.0,Income Statement,
29,Net Non Operating Interest Income Expense,-60551000.0,-1000.0,-1000.0,Income Statement,
30,Total Other Finance Cost,,1000.0,1000.0,Income Statement,
31,Interest Expense Non Operating,60551000.0,,,Income Statement,
32,Operating Income,-53581000.0,-67000.0,-150000.0,Income Statement,
33,Operating Expense,945512000.0,67000.0,150000.0,Income Statement,
34,Other Operating Expenses,636416000.0,17000.0,48000.0,Income Statement,
35,Depreciation And Amortization In Income Statement,49015000.0,,,Income Statement,
36,Depreciation Income Statement,49015000.0,,,Income Statement,
37,Selling General And Administration,,50000.0,102000.0,Income Statement,
38,General And Administrative Expense,,50000.0,102000.0,Income Statement,
39,Gross Profit,891931000.0,,,Income Statement,
40,Cost Of Revenue,1703105000.0,,,Income Statement,
41,Total Revenue,2595036000.0,0.0,0.0,Income Statement,
42,Operating Revenue,2595036000.0,0.0,0.0,Income Statement,
0,Ordinary Shares Number,26935500.0,26935500.0,26935500.0,Balance Sheet,26935500.0
1,Share Issued,26935500.0,26935500.0,26935500.0,Balance Sheet,26935500.0
2,Net Debt,531476000.0,68000.0,1000.0,Balance Sheet,49900.0
3,Total Debt,568028000.0,500000.0,200000.0,Balance Sheet,100000.0
4,Tangible Book Value,804794000.0,-91000.0,-22000.0,Balance Sheet,217463.0
5,Invested Capital,1361649000.0,452000.0,221000.0,Balance Sheet,317463.0
6,Working Capital,507000000.0,-113000.0,-45000.0,Balance Sheet,-97975.0
7,Net Tangible Assets,804794000.0,-91000.0,-22000.0,Balance Sheet,217463.0
8,Capital Lease Obligations,11216000.0,,,Balance Sheet,
9,Common Stock Equity,804837000.0,-48000.0,21000.0,Balance Sheet,217463.0
10,Total Capitalization,881995000.0,-48000.0,21000.0,Balance Sheet,217463.0
11,Total Equity Gross Minority Interest,804837000.0,-48000.0,21000.0,Balance Sheet,217463.0
12,Stockholders Equity,804837000.0,-48000.0,21000.0,Balance Sheet,217463.0
13,Other Equity Interest,670159000.0,,,Balance Sheet,
