,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,26904.022893,96363.585633,-124819.003747
Tax Rate For Calcs,0.254329,0.263765,0.264735,0.244743
Normalized EBITDA,2341003000.0,1799872000.0,1446142000.0,1249938000.0
Total Unusual Items,,102000.0,364000.0,-510000.0
Total Unusual Items Excluding Goodwill,,102000.0,364000.0,-510000.0
Net Income From Continuing Operation Net Minority Interest,1302079000.0,887605000.0,706230000.0,527272000.0
Reconciled Depreciation,485125000.0,497089000.0,407194000.0,423580000.0
Reconciled Cost Of Revenue,10500347000.0,9096197000.0,6221757000.0,6643929000.0
EBIT,1855878000.0,1302885000.0,1039312000.0,825848000.0
Net Interest Income,-109693000.0,-106817000.0,-70791000.0,-123285000.0
Interest Expense,109693000.0,97285000.0,78801000.0,127712000.0
Interest Income,,5454000.0,14689000.0,12696000.0
Normalized Income,1302079000.0,887529904.022893,705962363.585633,527657180.996253
Net Income From Continuing And Discontinued Operation,1302079000.0,887605000.0,706230000.0,527272000.0
Total Expenses,13987606000.0,11163116000.0,7686891000.0,8059076000.0
Diluted Average Shares,21465199.0,21465635.0,21465400.0,21465400.0
Basic Average Shares,21465199.0,21465635.0,21465400.0,21465400.0
Diluted EPS,60.66,41.35,32.9,24.56
Basic EPS,60.66,41.35,32.9,24.56
Diluted NI Availto Com Stockholders,1302079000.0,887605000.0,706230000.0,527272000.0
Net Income Common Stockholders,1302079000.0,887605000.0,706230000.0,527272000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1302079000.0,887605000.0,706230000.0,527272000.0
Net Income Including Noncontrolling Interests,1302079000.0,887605000.0,706230000.0,527272000.0
Net Income Continuous Operations,1302079000.0,887605000.0,706230000.0,527272000.0
Tax Provision,444106000.0,317995000.0,254281000.0,170864000.0
Pretax Income,1746185000.0,1205600000.0,960511000.0,698136000.0
Other Non Operating Income Expenses,14147000.0,5556000.0,14689000.0,
Special Income Charges,,102000.0,364000.0,-510000.0
Other Special Charges,,-102000.0,-419000.0,-196000.0
Write Off,,0.0,55000.0,706000.0
Net Non Operating Interest Income Expense,-109693000.0,-106817000.0,-70791000.0,-123285000.0
Total Other Finance Cost,,14986000.0,6679000.0,8269000.0
Interest Expense Non Operating,109693000.0,97285000.0,78801000.0,127712000.0
Interest Income Non Operating,,5454000.0,14689000.0,12696000.0
Operating Income,1841731000.0,1264750000.0,989273000.0,666372000.0
Operating Expense,3487259000.0,2066919000.0,1465134000.0,1415147000.0
Other Operating Expenses,2338424000.0,141200000.0,113040000.0,181201000.0
Depreciation And Amortization In Income Statement,485125000.0,497089000.0,407192000.0,423580000.0
Depreciation Income Statement,485125000.0,497089000.0,407192000.0,423580000.0
Selling General And Administration,,1070904000.0,625708000.0,610801000.0
Selling And Marketing Expense,,1027930000.0,594208000.0,581374000.0
General And Administrative Expense,,42974000.0,31500000.0,29427000.0
Gross Profit,5328990000.0,3331669000.0,2454407000.0,2081519000.0
Cost Of Revenue,10500347000.0,9096197000.0,6221757000.0,6643929000.0
Total Revenue,15829337000.0,12427866000.0,8676164000.0,8725448000.0
Operating Revenue,15829337000.0,12427866000.0,8676164000.0,8725448000.0
Ordinary Shares Number,21465400.0,21465400.0,21465400.0,21465400.0
Share Issued,21465400.0,21465400.0,21465400.0,21465400.0
Net Debt,1856464000.0,2216455000.0,1966289000.0,1934346000.0
Total Debt,1859798000.0,2219011000.0,1969844000.0,1936873000.0
Tangible Book Value,7145311000.0,5952064000.0,5175678000.0,4468067000.0
Invested Capital,9005109000.0,8171075000.0,7145522000.0,6404940000.0
Working Capital,3939975000.0,3151537000.0,2790647000.0,2273455000.0
Net Tangible Assets,7145311000.0,5952064000.0,5175678000.0,4468067000.0
Common Stock Equity,7145311000.0,5952064000.0,5175678000.0,4468067000.0
Total Capitalization,7445871000.0,6424947000.0,5940047000.0,5522269000.0
Total Equity Gross Minority Interest,7145311000.0,5952064000.0,5175678000.0,4468067000.0
Stockholders Equity,7145311000.0,5952064000.0,5175678000.0,4468067000.0
Other Equity Interest,6930657000.0,5737411000.0,,
Retained Earnings,,4556726000.0,3780726000.0,3073115000.0
Additional Paid In Capital,,1180298000.0,1180298000.0,1180298000.0
Capital Stock,214654000.0,214654000.0,214654000.0,214654000.0
Common Stock,214654000.0,214654000.0,214654000.0,214654000.0
Total Liabilities Net Minority Interest,4559834000.0,4466090000.0,4419779000.0,3740321000.0
Total Non Current Liabilities Net Minority Interest,300560000.0,472883000.0,769149000.0,1059701000.0
Non Current Deferred Taxes Liabilities,,0.0,4780000.0,5499000.0
Long Term Debt And Capital Lease Obligation,300560000.0,472883000.0,764369000.0,1054202000.0
Long Term Debt,300560000.0,472883000.0,764369000.0,1054202000.0
Current Liabilities,4259274000.0,3993207000.0,3650630000.0,2680620000.0
Other Current Liabilities,47053000.0,45972000.0,38886000.0,26128000.0
Current Debt And Capital Lease Obligation,1559238000.0,1746128000.0,1205475000.0,882671000.0
Current Debt,1559238000.0,1746128000.0,1205475000.0,882671000.0
Current Provisions,197919000.0,154950000.0,79165000.0,
Payables,2282278000.0,2201107000.0,2406269000.0,1771821000.0
Other Payable,,154950000.0,79165000.0,97365000.0
Dividends Payable,,240000.0,105000.0,66000.0
Total Tax Payable,27472000.0,29720000.0,49533000.0,14411000.0
Accounts Payable,2254806000.0,2016197000.0,2277466000.0,1659979000.0
Total Assets,11705145000.0,10418154000.0,9595457000.0,8208388000.0
Total Non Current Assets,3505896000.0,3273410000.0,3154180000.0,3254313000.0
Other Non Current Assets,205108000.0,182190000.0,206511000.0,13041000.0
Non Current Prepaid Assets,,360047000.0,206511000.0,186330000.0
Non Current Deferred Taxes Assets,23119000.0,7225000.0,,
Investmentin Financial Assets,103839000.0,0.0,,
Available For Sale Securities,103839000.0,177857000.0,,
Net PPE,3173830000.0,2906138000.0,2947669000.0,3054942000.0
Accumulated Depreciation,,-3653574000.0,-3159523000.0,-2769146000.0
Gross PPE,3173830000.0,6559712000.0,6107192000.0,5824088000.0
Construction In Progress,117817000.0,,,610436000.0
Other Properties,3056013000.0,2906139000.0,2947669000.0,
Machinery Furniture Equipment,,5428722000.0,5089979000.0,4385910000.0
Buildings And Improvements,,968816000.0,889809000.0,719883000.0
Land And Improvements,,162174000.0,127404000.0,107859000.0
Properties,,0.0,0.0,0.0
Current Assets,8199249000.0,7144744000.0,6441277000.0,4954075000.0
Other Current Assets,435215000.0,424080000.0,278492000.0,291502000.0
Restricted Cash,,240000.0,105000.0,67000.0
Prepaid Assets,,49018000.0,61968000.0,38081000.0
Inventory,1882488000.0,1880058000.0,1526453000.0,1450460000.0
Other Inventories,,7383000.0,8412000.0,8358000.0
Finished Goods,,202209000.0,81811000.0,166526000.0
Work In Process,,972435000.0,733417000.0,907718000.0
Raw Materials,,698031000.0,702813000.0,367858000.0
Accounts Receivable,5609374000.0,4742792000.0,4379298000.0,2962806000.0
Cash Cash Equivalents And Short Term Investments,272172000.0,48556000.0,194961000.0,211159000.0
Other Short Term Investments,268838000.0,46000000.0,191406000.0,208632000.0
Cash And Cash Equivalents,3334000.0,2556000.0,3555000.0,2527000.0
Cash Financial,,2556000.0,3555000.0,2527000.0
Free Cash Flow,299829000.0,-41914000.0,13155000.0,154445000.0
Repayment Of Debt,-599307000.0,-622637000.0,-348502000.0,-395589000.0
Issuance Of Debt,452234000.0,225776000.0,0.0,634384000.0
