,item,2022-03-31 00:00:00,2021-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,0.0,0.0,Income Statement
1,Tax Rate For Calcs,0.0,0.0,Income Statement
2,Normalized EBITDA,-16295933.0,-12069105.0,Income Statement
3,Total Unusual Items,0.0,0.0,Income Statement
4,Total Unusual Items Excluding Goodwill,0.0,0.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,-350024000.0,-335546693.0,Income Statement
6,Reconciled Depreciation,159573503.0,162810247.0,Income Statement
7,Reconciled Cost Of Revenue,54727989.0,29073519.0,Income Statement
8,EBIT,-175869436.0,-174879352.0,Income Statement
9,Net Interest Income,-174154564.0,-160667341.0,Income Statement
10,Interest Expense,174154564.0,160667341.0,Income Statement
11,Normalized Income,-350024000.0,-335546693.0,Income Statement
12,Net Income From Continuing And Discontinued Operation,-350024000.0,-335546693.0,Income Statement
13,Total Expenses,613448935.0,455779005.0,Income Statement
14,Diluted Average Shares,17291696.0,17291696.0,Income Statement
15,Basic Average Shares,17291696.0,17291696.0,Income Statement
16,Diluted EPS,-20.242317,-19.405077,Income Statement
17,Basic EPS,-20.242317,-19.405077,Income Statement
18,Diluted NI Availto Com Stockholders,-350024000.0,-335546693.0,Income Statement
19,Net Income Common Stockholders,-350024000.0,-335546693.0,Income Statement
20,Otherunder Preferred Stock Dividend,0.0,0.0,Income Statement
21,Net Income,-350024000.0,-335546693.0,Income Statement
22,Net Income Including Noncontrolling Interests,-350024000.0,-335546693.0,Income Statement
23,Net Income Continuous Operations,-350024000.0,-335546693.0,Income Statement
24,Tax Provision,0.0,0.0,Income Statement
25,Pretax Income,-350024000.0,-335546693.0,Income Statement
26,Other Non Operating Income Expenses,32520335.0,31340642.0,Income Statement
27,Special Income Charges,0.0,0.0,Income Statement
28,Net Non Operating Interest Income Expense,-174154564.0,-160667341.0,Income Statement
29,Interest Expense Non Operating,174154564.0,160667341.0,Income Statement
30,Operating Income,-208389772.0,-206219994.0,Income Statement
