,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,5833717.654647,2842611.547259,1275233.893665
Tax Rate For Calcs,0.4,0.353945,0.352244,0.265066
Normalized EBITDA,1666091000.0,2152765000.0,2887766000.0,1421954000.0
Total Unusual Items,,16482000.0,8070000.0,4811000.0
Total Unusual Items Excluding Goodwill,,16482000.0,8070000.0,4811000.0
Net Income From Continuing Operation Net Minority Interest,442873000.0,943501000.0,1454481000.0,508422000.0
Reconciled Depreciation,491678000.0,466798000.0,442397000.0,421198000.0
Reconciled Cost Of Revenue,7763889000.0,8058579000.0,6230806000.0,4684616000.0
EBIT,1174413000.0,1702449000.0,2453439000.0,1005567000.0
Net Interest Income,-262063000.0,-216630000.0,-192353000.0,-309949000.0
Interest Expense,262063000.0,242046000.0,208023000.0,313774000.0
Interest Income,,35484000.0,27544000.0,14268000.0
Normalized Income,442873000.0,932852717.654647,1449253611.547259,504886233.893665
Net Income From Continuing And Discontinued Operation,442873000.0,943501000.0,1454481000.0,508422000.0
Total Expenses,15110166000.0,14700600000.0,11442300000.0,8390750000.0
Rent Expense Supplemental,,16000000.0,15028000.0,13436000.0
Diluted Average Shares,,45601837.0,45232790.0,45232790.0
Basic Average Shares,,45601837.0,45232790.0,45232790.0
Diluted EPS,,20.69,32.155456,11.24012
Basic EPS,,20.69,32.155456,11.24012
Diluted NI Availto Com Stockholders,442873000.0,943501000.0,1454481000.0,508422000.0
Net Income Common Stockholders,442873000.0,943501000.0,1454481000.0,508422000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,442873000.0,943501000.0,1454481000.0,508422000.0
Net Income Including Noncontrolling Interests,442873000.0,943501000.0,1454481000.0,508422000.0
Net Income Discontinuous Operations,,,,0.0
Net Income Continuous Operations,442873000.0,943501000.0,1454481000.0,508422000.0
Tax Provision,469478000.0,516902000.0,790935000.0,183371000.0
Pretax Income,912350000.0,1460403000.0,2245416000.0,691793000.0
Other Non Operating Income Expenses,187985000.0,33004000.0,20254000.0,10839000.0
Special Income Charges,,16482000.0,8070000.0,4811000.0
Other Special Charges,,-16482000.0,-8070000.0,-4811000.0
Net Non Operating Interest Income Expense,-262063000.0,-216630000.0,-192353000.0,-309949000.0
Total Other Finance Cost,,10068000.0,11874000.0,10443000.0
Interest Expense Non Operating,262063000.0,242046000.0,208023000.0,313774000.0
Interest Income Non Operating,,35484000.0,27544000.0,14268000.0
Operating Income,986428000.0,1633477000.0,2394509000.0,987901000.0
Operating Expense,7346277000.0,6642021000.0,5211494000.0,3706134000.0
Other Operating Expenses,3236474000.0,84520000.0,40987000.0,37955000.0
Depreciation And Amortization In Income Statement,491678000.0,466798000.0,442397000.0,421198000.0
Depreciation Income Statement,491678000.0,466798000.0,442397000.0,421198000.0
Research And Development,,242000.0,13000.0,0.0
Selling General And Administration,3016370000.0,5444639000.0,4117679000.0,2763069000.0
Selling And Marketing Expense,3016370000.0,5258472000.0,3956476000.0,2621750000.0
General And Administrative Expense,,186167000.0,161203000.0,141319000.0
Rent And Landing Fees,,16000000.0,15028000.0,13436000.0
Gross Profit,8332705000.0,8275498000.0,7606003000.0,4694035000.0
Cost Of Revenue,7763889000.0,8058579000.0,6230806000.0,4684616000.0
Total Revenue,16096594000.0,16334077000.0,13836809000.0,9378651000.0
Operating Revenue,16096594000.0,16334077000.0,13836809000.0,9378651000.0
Ordinary Shares Number,45232790.0,45232790.0,45232790.0,45232790.0
Share Issued,45232790.0,45232790.0,45232790.0,45232790.0
Net Debt,2611232000.0,3711179000.0,2415539000.0,3196076000.0
Total Debt,2923274000.0,3730849000.0,3008340000.0,3204201000.0
Tangible Book Value,7698633000.0,7408366000.0,6646995000.0,5284370000.0
Invested Capital,10621907000.0,11139215000.0,9655335000.0,8488571000.0
Working Capital,941731000.0,705924000.0,341651000.0,-213963000.0
Net Tangible Assets,7698633000.0,7408366000.0,6646995000.0,5284370000.0
Common Stock Equity,7698633000.0,7408366000.0,6646995000.0,5284370000.0
Total Capitalization,9773988000.0,10220924000.0,9012756000.0,6938013000.0
Total Equity Gross Minority Interest,7698633000.0,7408366000.0,6646995000.0,5284370000.0
Stockholders Equity,7698633000.0,7408366000.0,6646995000.0,5284370000.0
Other Equity Interest,7246305000.0,6956038000.0,,
Retained Earnings,,1409360000.0,1147989000.0,635667000.0
Additional Paid In Capital,,2122284000.0,2122284000.0,2122284000.0
Capital Stock,452328000.0,452328000.0,452328000.0,452328000.0
Common Stock,452328000.0,452328000.0,452328000.0,452328000.0
Total Liabilities Net Minority Interest,7502176000.0,7297015000.0,6342694000.0,6247290000.0
Total Non Current Liabilities Net Minority Interest,4185927000.0,3812034000.0,3274384000.0,2587654000.0
Other Non Current Liabilities,61023000.0,58523000.0,56524000.0,207302000.0
Non Current Pension And Other Postretirement Benefit Plans,,23010000.0,32833000.0,67635000.0
Non Current Deferred Taxes Liabilities,1150618000.0,917943000.0,819266000.0,726709000.0
Long Term Debt And Capital Lease Obligation,2075355000.0,2812558000.0,2365761000.0,1653643000.0
Long Term Debt,2075355000.0,2812558000.0,2365761000.0,1653643000.0
Long Term Provisions,67060000.0,34877000.0,,
Current Liabilities,3316249000.0,3484981000.0,3068310000.0,3659636000.0
Other Current Liabilities,706592000.0,586907000.0,,
Current Debt And Capital Lease Obligation,847919000.0,918291000.0,642579000.0,1550558000.0
Current Debt,847919000.0,918291000.0,642579000.0,1550558000.0
Pensionand Other Post Retirement Benefit Plans Current,,34877000.0,20457000.0,19882000.0
Current Provisions,24342000.0,23010000.0,,
Payables,914587000.0,1362623000.0,1411265000.0,1115054000.0
Other Payable,,93723000.0,94265000.0,69789000.0
Dividends Payable,,16976000.0,13010000.0,14561000.0
Total Tax Payable,17940000.0,539149000.0,569540000.0,369654000.0
Accounts Payable,896647000.0,712775000.0,734450000.0,661050000.0
Total Assets,15200809000.0,14705381000.0,12989689000.0,11531660000.0
Total Non Current Assets,10942827000.0,10514477000.0,9579749000.0,8085988000.0
Other Non Current Assets,44677000.0,44294000.0,,
Non Current Prepaid Assets,,182537000.0,173811000.0,197171000.0
Investmentin Financial Assets,555897000.0,0.0,,0.0
Available For Sale Securities,555897000.0,211168000.0,,
Net PPE,10342253000.0,9728314000.0,8802291000.0,7852546000.0
Accumulated Depreciation,,-2544824000.0,-2085402000.0,-1470647000.0
Gross PPE,10342253000.0,12273138000.0,10887693000.0,9323193000.0
Construction In Progress,282527000.0,1712698000.0,605376000.0,899671000.0
Other Properties,10059726000.0,232241000.0,232241000.0,232241000.0
Machinery Furniture Equipment,,7798898000.0,7609245000.0,6226999000.0
Buildings And Improvements,,1721106000.0,1658147000.0,1382976000.0
Land And Improvements,,808195000.0,782684000.0,581306000.0
