,item,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,-2128.5745,Income Statement
1,Tax Rate For Calcs,0.000129,Income Statement
2,Normalized EBITDA,-27194000.0,Income Statement
3,Total Unusual Items,-16500000.0,Income Statement
4,Total Unusual Items Excluding Goodwill,-16500000.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,-46504000.0,Income Statement
6,Reconciled Depreciation,55000.0,Income Statement
7,Reconciled Cost Of Revenue,97499000.0,Income Statement
8,EBIT,-43749000.0,Income Statement
9,Net Interest Income,-2804000.0,Income Statement
10,Interest Expense,2761000.0,Income Statement
11,Normalized Income,-30006128.5745,Income Statement
12,Net Income From Continuing And Discontinued Operation,-46504000.0,Income Statement
13,Total Expenses,139108000.0,Income Statement
14,Rent Expense Supplemental,17236000.0,Income Statement
15,Diluted Average Shares,14283139.0,Income Statement
16,Basic Average Shares,14283139.0,Income Statement
17,Diluted EPS,-3.26,Income Statement
18,Basic EPS,-3.26,Income Statement
19,Diluted NI Availto Com Stockholders,-46504000.0,Income Statement
20,Net Income Common Stockholders,-46504000.0,Income Statement
21,Otherunder Preferred Stock Dividend,0.0,Income Statement
22,Net Income,-46504000.0,Income Statement
23,Net Income Including Noncontrolling Interests,-46504000.0,Income Statement
24,Net Income Continuous Operations,-46504000.0,Income Statement
25,Tax Provision,-6000.0,Income Statement
26,Pretax Income,-46510000.0,Income Statement
27,Other Non Operating Income Expenses,805000.0,Income Statement
28,Special Income Charges,0.0,Income Statement
29,Write Off,0.0,Income Statement
30,Impairment Of Capital Assets,0.0,Income Statement
31,Net Non Operating Interest Income Expense,-2804000.0,Income Statement
32,Total Other Finance Cost,43000.0,Income Statement
33,Interest Expense Non Operating,2761000.0,Income Statement
34,Operating Income,-27773000.0,Income Statement
35,Operating Expense,41609000.0,Income Statement
36,Other Operating Expenses,14083000.0,Income Statement
37,Depreciation And Amortization In Income Statement,55000.0,Income Statement
38,Depreciation Income Statement,55000.0,Income Statement
39,Selling General And Administration,10235000.0,Income Statement
40,Selling And Marketing Expense,4626000.0,Income Statement
41,General And Administrative Expense,5609000.0,Income Statement
42,Rent And Landing Fees,17236000.0,Income Statement
43,Gross Profit,13836000.0,Income Statement
44,Cost Of Revenue,97499000.0,Income Statement
45,Total Revenue,111335000.0,Income Statement
46,Operating Revenue,111335000.0,Income Statement
0,Ordinary Shares Number,14283139.0,Balance Sheet
1,Share Issued,14283139.0,Balance Sheet
2,Net Debt,16746000.0,Balance Sheet
3,Total Debt,29700000.0,Balance Sheet
4,Tangible Book Value,-34944000.0,Balance Sheet
5,Invested Capital,-5243000.0,Balance Sheet
6,Working Capital,-38466000.0,Balance Sheet
7,Net Tangible Assets,-34944000.0,Balance Sheet
8,Capital Lease Obligations,0.0,Balance Sheet
9,Common Stock Equity,-34943000.0,Balance Sheet
10,Total Capitalization,-34943000.0,Balance Sheet
11,Total Equity Gross Minority Interest,-34943000.0,Balance Sheet
12,Stockholders Equity,-34943000.0,Balance Sheet
13,Retained Earnings,-178542000.0,Balance Sheet
14,Additional Paid In Capital,20000.0,Balance Sheet
15,Capital Stock,142831000.0,Balance Sheet
16,Common Stock,142831000.0,Balance Sheet
17,Total Liabilities Net Minority Interest,155428000.0,Balance Sheet
18,Total Non Current Liabilities Net Minority Interest,3016000.0,Balance Sheet
19,Long Term Debt And Capital Lease Obligation,0.0,Balance Sheet
