,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-423973485.243703,-688427400.0,-701506149.712534
Tax Rate For Calcs,0.252584,0.3,0.360612
Normalized EBITDA,3492173000.0,3368647000.0,3809180000.0
Total Unusual Items,-1678546000.0,-2294758000.0,-1945323000.0
Total Unusual Items Excluding Goodwill,-1678546000.0,-2294758000.0,-1945323000.0
Net Income From Continuing Operation Net Minority Interest,1299848000.0,256031000.0,1099989000.0
Reconciled Depreciation,60717000.0,59543000.0,63416000.0
Reconciled Cost Of Revenue,5944080000.0,7573994000.0,9374967000.0
EBIT,1752910000.0,1014346000.0,1800441000.0
Net Interest Income,383512000.0,189446000.0,-51436000.0
Interest Expense,13788000.0,80170000.0,80064000.0
Interest Income,398036000.0,270194000.0,28987000.0
Normalized Income,2554420514.756297,1862361600.0,2343805850.287466
Net Income From Continuing And Discontinued Operation,1299848000.0,256031000.0,1099989000.0
Total Expenses,6229756000.0,8058369000.0,9746710000.0
Rent Expense Supplemental,4774000.0,4938000.0,3619000.0
Diluted Average Shares,642283335.0,642283335.0,642283335.0
Basic Average Shares,642283335.0,642283335.0,642283335.0
Diluted EPS,2.02,0.4,1.71
Basic EPS,2.02,0.4,1.71
Diluted NI Availto Com Stockholders,1299848000.0,256031000.0,1099989000.0
Net Income Common Stockholders,1299848000.0,256031000.0,1099989000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,1299848000.0,256031000.0,1099989000.0
Net Income Including Noncontrolling Interests,1299848000.0,256031000.0,1099989000.0
Net Income Continuous Operations,1299848000.0,256031000.0,1099989000.0
Tax Provision,439274000.0,678145000.0,620388000.0
Pretax Income,1739122000.0,934176000.0,1720377000.0
Other Non Operating Income Expenses,5880000.0,2441000.0,52772000.0
Special Income Charges,-1678546000.0,-2294758000.0,-1957103000.0
Other Special Charges,-8000.0,61000.0,48000.0
Write Off,1678554000.0,2294697000.0,1957055000.0
Net Non Operating Interest Income Expense,383512000.0,189446000.0,-51436000.0
Total Other Finance Cost,736000.0,578000.0,359000.0
Interest Expense Non Operating,13788000.0,80170000.0,80064000.0
Interest Income Non Operating,398036000.0,270194000.0,28987000.0
Operating Income,3053702000.0,3063491000.0,3856821000.0
Operating Expense,285676000.0,484375000.0,371743000.0
Other Operating Expenses,83867000.0,231013000.0,116540000.0
Depreciation And Amortization In Income Statement,60717000.0,59543000.0,63416000.0
Amortization,658000.0,278000.0,196000.0
Depreciation Income Statement,60059000.0,59265000.0,63220000.0
Selling General And Administration,107472000.0,164907000.0,159261000.0
Selling And Marketing Expense,2982000.0,1933000.0,7457000.0
General And Administrative Expense,104490000.0,162974000.0,151804000.0
Rent And Landing Fees,4774000.0,4938000.0,3619000.0
Gross Profit,3339378000.0,3547866000.0,4228564000.0
Cost Of Revenue,5944080000.0,7573994000.0,9374967000.0
Total Revenue,9283458000.0,11121860000.0,13603531000.0
Operating Revenue,9283458000.0,11121860000.0,13603531000.0
Ordinary Shares Number,642283335.0,642283335.0,642283335.0
Share Issued,642283335.0,642283335.0,642283335.0
Net Debt,67795043000.0,86847960000.0,90517386000.0
Total Debt,71213818000.0,91741972000.0,92749186000.0
Tangible Book Value,22637304000.0,21193436000.0,21147997000.0
Invested Capital,93813793000.0,112937015000.0,113897392000.0
Working Capital,10516993000.0,5817654000.0,-80234179000.0
Net Tangible Assets,22637304000.0,21193436000.0,21147997000.0
Capital Lease Obligations,38754000.0,,
Common Stock Equity,22638729000.0,21195043000.0,21148206000.0
Total Capitalization,72768538000.0,86704514000.0,23464291000.0
Total Equity Gross Minority Interest,22638729000.0,21195043000.0,21148206000.0
Stockholders Equity,22638729000.0,21195043000.0,21148206000.0
Other Equity Interest,-1790212000.0,-1869776000.0,-1814097000.0
Retained Earnings,1948271000.0,2371711000.0,3622563000.0
Additional Paid In Capital,6128057000.0,6128057000.0,6128057000.0
Capital Stock,6422833000.0,6422833000.0,6422833000.0
Common Stock,6422833000.0,6422833000.0,6422833000.0
Total Liabilities Net Minority Interest,72524571000.0,94125713000.0,95270171000.0
Total Non Current Liabilities Net Minority Interest,50248588000.0,65825320000.0,3285205000.0
Other Non Current Liabilities,95531000.0,26187000.0,
Derivative Product Liabilities,,,0.0
Non Current Pension And Other Postretirement Benefit Plans,,,45453000.0
Long Term Debt And Capital Lease Obligation,50129809000.0,65509471000.0,2316085000.0
Long Term Capital Lease Obligation,0.0,,
Long Term Debt,50129809000.0,65509471000.0,2316085000.0
Long Term Provisions,23248000.0,43944000.0,
Current Liabilities,22275983000.0,28300393000.0,91984966000.0
Other Current Liabilities,902000.0,26187000.0,33139000.0
Current Debt And Capital Lease Obligation,21084009000.0,26232501000.0,90433101000.0
Current Capital Lease Obligation,38754000.0,,
Current Debt,21045255000.0,26232501000.0,90433101000.0
Pensionand Other Post Retirement Benefit Plans Current,,,765000.0
Current Provisions,1432000.0,1519000.0,
Payables,17631000.0,50596000.0,66507000.0
Accounts Payable,17631000.0,50596000.0,66507000.0
Total Assets,95163300000.0,115320756000.0,116418377000.0
Total Non Current Assets,62370324000.0,81202709000.0,104667590000.0
Other Non Current Assets,9142000.0,50000000.0,
Non Current Prepaid Assets,0.0,6249000.0,5749000.0
Non Current Deferred Taxes Assets,315944000.0,771235000.0,1256437000.0
Financial Assets,63603000.0,112765000.0,216177000.0
Investmentin Financial Assets,1310412000.0,3476716000.0,4881291000.0
Held To Maturity Securities,,2182401000.0,2051491000.0
Available For Sale Securities,127336000.0,-14319000.0,1312779000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1183076000.0,1308634000.0,1517021000.0
Long Term Equity Investment,,0.0,0.0
Investments In Other Ventures Under Equity Method,,,0.0
Investmentsin Associatesat Cost,,0.0,0.0
Goodwill And Other Intangible Assets,1425000.0,1607000.0,209000.0
Other Intangible Assets,1425000.0,1607000.0,209000.0
Net PPE,114352000.0,161197000.0,218778000.0
Accumulated Depreciation,-509314000.0,-451708000.0,-393751000.0
Gross PPE,623666000.0,612905000.0,612529000.0
Other Properties,82768000.0,161197000.0,
Machinery Furniture Equipment,419022000.0,408261000.0,407885000.0
Buildings And Improvements,204294000.0,204294000.0,204294000.0
Land And Improvements,350000.0,350000.0,350000.0
Properties,0.0,0.0,0.0
Current Assets,32792976000.0,34118047000.0,11750787000.0
Other Current Assets,,8434000.0,
Hedging Assets Current,37242000.0,112765000.0,
Restricted Cash,,213226000.0,
Prepaid Assets,15995000.0,,
Other Receivables,20967128000.0,25269640000.0,8533733000.0
Taxes Receivable,938573000.0,2281517000.0,
Accounts Receivable,11062000.0,37686000.0,39670000.0
Allowance For Doubtful Accounts Receivable,-3737000.0,-3737000.0,0.0
Gross Accounts Receivable,14799000.0,41423000.0,39670000.0
Cash Cash Equivalents And Short Term Investments,11761549000.0,8589061000.0,3177384000.0
Other Short Term Investments,8381528000.0,3695049000.0,945584000.0
Cash And Cash Equivalents,3380021000.0,4894012000.0,2231800000.0
Cash Equivalents,0.0,3171365000.0,681000000.0
Cash Financial,3380021000.0,1722647000.0,1550800000.0
Free Cash Flow,27198837000.0,13106865000.0,32281230000.0
Repayment Of Debt,-77645550000.0,-19949819000.0,-26801250000.0
Issuance Of Debt,57185262000.0,19134430000.0,10261471000.0
Capital Expenditure,-15180000.0,-3523000.0,-1944000.0
End Cash Position,3380021000.0,4894012000.0,2231800000.0
Beginning Cash Position,4894012000.0,2231800000.0,322349000.0
Changes In Cash,-1513991000.0,2662212000.0,1909451000.0
Financing Cash Flow,-27190369000.0,-8827567000.0,-26516903000.0
Net Other Financing Charges,,,-105619000.0
Interest Paid Cff,-6684657000.0,-7684472000.0,-9357678000.0
Cash Dividends Paid,,-289028000.0,-513827000.0
Common Stock Dividend Paid,0.0,-289028000.0,-513827000.0
Net Issuance Payments Of Debt,-20460288000.0,-815389000.0,-16539779000.0
Net Long Term Debt Issuance,-20460288000.0,-815389000.0,-16539779000.0
Long Term Debt Payments,-77645550000.0,-19949819000.0,-26801250000.0
Long Term Debt Issuance,57185262000.0,19134430000.0,10261471000.0
Investing Cash Flow,-1537639000.0,-1620609000.0,-3856820000.0
Net Investment Purchase And Sale,-1523957000.0,-1617188000.0,-3854937000.0
Sale Of Investment,503305000.0,232114000.0,240678000.0
Purchase Of Investment,-2027262000.0,-1849302000.0,-4095615000.0
Net Intangibles Purchase And Sale,-476000.0,-1676000.0,0.0
Purchase Of Intangibles,-476000.0,-1676000.0,0.0
Net PPE Purchase And Sale,1498000.0,102000.0,61000.0
Sale Of PPE,1498000.0,102000.0,61000.0
Capital Expenditure Reported,-14704000.0,-1847000.0,-1944000.0
Operating Cash Flow,27214017000.0,13110388000.0,32283174000.0
Taxes Refund Paid,1311815000.0,469870000.0,-1233805000.0
Change In Working Capital,16574091000.0,1658749000.0,20284290000.0
Change In Other Current Liabilities,-811189000.0,-98060000.0,260984000.0
Change In Other Current Assets,47376000.0,10819000.0,-18120000.0
Change In Payable,-11308000.0,-15911000.0,34253000.0
Change In Receivables,17364490000.0,1761074000.0,19999560000.0
Other Non Cash Items,5814733000.0,7529825000.0,9503539000.0
Provisionand Write Offof Assets,0.0,103885000.0,
Deferred Tax,439274000.0,678145000.0,620388000.0
Depreciation And Amortization,60717000.0,59543000.0,63416000.0
Depreciation,60717000.0,59543000.0,63416000.0
Gain Loss On Investment Securities,34993000.0,59582000.0,-11780000.0
Gain Loss On Sale Of PPE,-8000.0,61000.0,82000.0
