,2021-03-31,2022-03-31,2023-03-31
Tax Effect Of Unusual Items,,-4661363.107699,0.0
Tax Rate For Calcs,,0.209971,0.175633
Normalized EBITDA,,1923400000.0,2161400000.0
Total Unusual Items,,-22200000.0,0.0
Total Unusual Items Excluding Goodwill,,-22200000.0,0.0
Net Income From Continuing Operation Net Minority Interest,,1018900000.0,1111000000.0
Reconciled Depreciation,,312900000.0,405300000.0
Reconciled Cost Of Revenue,,11890100000.0,18361000000.0
EBIT,,1588300000.0,1756100000.0
Net Interest Income,,-296100000.0,-408400000.0
Interest Expense,,298600000.0,408400000.0
Interest Income,,5200000.0,4800000.0
Normalized Income,,1036438636.892301,1111000000.0
Net Income From Continuing And Discontinued Operation,,1018900000.0,1111000000.0
Total Expenses,,13711000000.0,22567500000.0
Rent Expense Supplemental,,14200000.0,28700000.0
Diluted Average Shares,,66387590.0,66387590.0
Basic Average Shares,,66387590.0,66387590.0
Diluted EPS,,15.414025,16.74
Basic EPS,,15.414025,16.74
Diluted NI Availto Com Stockholders,,1018900000.0,1111000000.0
Net Income Common Stockholders,,1018900000.0,1111000000.0
Otherunder Preferred Stock Dividend,,0.0,0.0
Net Income,,1018900000.0,1111000000.0
Net Income Including Noncontrolling Interests,,1018900000.0,1111000000.0
Net Income Continuous Operations,,1018900000.0,1111000000.0
Tax Provision,,270800000.0,236700000.0
Pretax Income,,1289700000.0,1347700000.0
Other Non Operating Income Expenses,,50500000.0,248300000.0
Special Income Charges,,-22200000.0,0.0
Other Special Charges,,-16700000.0,-300000.0
Write Off,,8900000.0,0.0
Restructuring And Mergern Acquisition,,30000000.0,2000000.0
Net Non Operating Interest Income Expense,,-296100000.0,-408400000.0
Total Other Finance Cost,,2700000.0,27600000.0
Interest Expense Non Operating,,298600000.0,408400000.0
Interest Income Non Operating,,5200000.0,4800000.0
Operating Income,,1557600000.0,1507800000.0
Operating Expense,,1820900000.0,4206500000.0
Other Operating Expenses,,627200000.0,2721000000.0
Depreciation And Amortization In Income Statement,,312900000.0,405300000.0
Depreciation Income Statement,,312900000.0,405300000.0
Selling General And Administration,,267900000.0,944600000.0
Selling And Marketing Expense,,199500000.0,840400000.0
General And Administrative Expense,,68400000.0,104200000.0
Rent And Landing Fees,,14200000.0,28700000.0
Gross Profit,,3378500000.0,5714300000.0
Cost Of Revenue,,11890100000.0,18361000000.0
Total Revenue,,15268600000.0,24075300000.0
Operating Revenue,,15268600000.0,24075300000.0
Ordinary Shares Number,66387590.0,66387590.0,66387590.0
Share Issued,66387590.0,66387590.0,66387590.0
Net Debt,3811700000.0,7998100000.0,6992600000.0
Total Debt,4028400000.0,8286500000.0,8103300000.0
Tangible Book Value,7749500000.0,8774500000.0,9887300000.0
Invested Capital,11699900000.0,17002400000.0,17920400000.0
Working Capital,2828400000.0,2654900000.0,2659100000.0
Net Tangible Assets,7749500000.0,8774500000.0,9887300000.0
Capital Lease Obligations,78000000.0,58600000.0,70200000.0
Common Stock Equity,7749500000.0,8774500000.0,9887300000.0
Total Capitalization,8741400000.0,9822800000.0,11574500000.0
Total Equity Gross Minority Interest,7749500000.0,8774500000.0,9887300000.0
Stockholders Equity,7749500000.0,8774500000.0,9887300000.0
Other Equity Interest,,,9223400000.0
Retained Earnings,-100000.0,1015600000.0,2131000000.0
Capital Stock,663900000.0,663900000.0,663900000.0
Common Stock,663900000.0,663900000.0,663900000.0
Total Liabilities Net Minority Interest,7761900000.0,11230900000.0,10887300000.0
Total Non Current Liabilities Net Minority Interest,1584600000.0,1666300000.0,2297700000.0
Other Non Current Liabilities,54500000.0,57600000.0,600000.0
Non Current Pension And Other Postretirement Benefit Plans,173600000.0,175300000.0,213300000.0
Non Current Deferred Taxes Liabilities,307300000.0,345500000.0,349000000.0
Long Term Debt And Capital Lease Obligation,1049200000.0,1087900000.0,1734800000.0
Long Term Capital Lease Obligation,57300000.0,39600000.0,47600000.0
Long Term Debt,991900000.0,1048300000.0,1687200000.0
Long Term Provisions,,,213300000.0
Current Liabilities,6177300000.0,9564600000.0,8589600000.0
Other Current Liabilities,67400000.0,69200000.0,191000000.0
Current Debt And Capital Lease Obligation,2979200000.0,7198600000.0,6368500000.0
Current Capital Lease Obligation,20700000.0,19000000.0,22600000.0
Current Debt,2958500000.0,7179600000.0,6345900000.0
Pensionand Other Post Retirement Benefit Plans Current,11500000.0,23800000.0,35200000.0
Current Provisions,,,35200000.0
Payables,3105200000.0,1964400000.0,1647600000.0
Other Payable,126500000.0,270400000.0,355000000.0
Total Tax Payable,0.0,7300000.0,8700000.0
Accounts Payable,2978700000.0,1686700000.0,1638900000.0
Total Assets,15511400000.0,20005400000.0,20774600000.0
Total Non Current Assets,6505700000.0,7785900000.0,9525900000.0
Other Non Current Assets,4600000.0,5100000.0,44900000.0
Non Current Prepaid Assets,122600000.0,96700000.0,60900000.0
Investmentin Financial Assets,1900000.0,0.0,22100000.0
Available For Sale Securities,1900000.0,,22100000.0
Goodwill And Other Intangible Assets,0.0,0.0,
Net PPE,6376600000.0,7684100000.0,9454900000.0
Accumulated Depreciation,-4661600000.0,-4556500000.0,-4899100000.0
Gross PPE,11038200000.0,12240600000.0,9454900000.0
Construction In Progress,69900000.0,779000000.0,361700000.0
Other Properties,75900000.0,82200000.0,9093200000.0
Machinery Furniture Equipment,8383300000.0,8850100000.0,11147600000.0
Buildings And Improvements,1000200000.0,1021500000.0,1231200000.0
Land And Improvements,1508900000.0,1507800000.0,1516900000.0
Properties,0.0,0.0,0.0
Current Assets,9005700000.0,12219500000.0,11248700000.0
Other Current Assets,477600000.0,30400000.0,439800000.0
Restricted Cash,8100000.0,20300000.0,34100000.0
Prepaid Assets,82500000.0,270900000.0,290400000.0
Inventory,7173900000.0,10566400000.0,8192800000.0
Inventories Adjustments Allowances,0.0,0.0,
Other Inventories,600000.0,500000.0,500000.0
Finished Goods,6787800000.0,9897700000.0,7681200000.0
Work In Process,55000000.0,55000000.0,256900000.0
Raw Materials,330500000.0,613200000.0,254200000.0
Other Receivables,59300000.0,26600000.0,92400000.0
Accounts Receivable,1065600000.0,1075100000.0,1536700000.0
Allowance For Doubtful Accounts Receivable,0.0,-600000.0,-8600000.0
Gross Accounts Receivable,1065600000.0,1075700000.0,1545300000.0
Cash Cash Equivalents And Short Term Investments,138700000.0,229800000.0,1079400000.0
Other Short Term Investments,,,38900000.0
Cash And Cash Equivalents,138700000.0,229800000.0,1040500000.0
Cash Equivalents,,,970000000.0
Cash Financial,138700000.0,229800000.0,70500000.0
Free Cash Flow,,-4083700000.0,1447900000.0
Repayment Of Debt,,-475700000.0,-634400000.0
Issuance Of Debt,,842500000.0,1400000000.0
Issuance Of Capital Stock,,0.0,0.0
Capital Expenditure,,-1619000000.0,-2099100000.0
End Cash Position,,229800000.0,1040500000.0
Other Cash Adjustment Outside Changein Cash,,138700000.0,
Beginning Cash Position,,,229700000.0
Changes In Cash,,91100000.0,810800000.0
Financing Cash Flow,,3938700000.0,-781200000.0
Interest Paid Cff,,-327700000.0,-467700000.0
Net Common Stock Issuance,,0.0,0.0
Common Stock Issuance,,0.0,0.0
Net Issuance Payments Of Debt,,4291800000.0,-278900000.0
Net Short Term Debt Issuance,,3925000000.0,-1044500000.0
Net Long Term Debt Issuance,,366800000.0,765600000.0
Long Term Debt Payments,,-475700000.0,-634400000.0
Long Term Debt Issuance,,842500000.0,1400000000.0
Investing Cash Flow,,-1382900000.0,-1955000000.0
Interest Received Cfi,,21300000.0,2900000.0
Net Investment Purchase And Sale,,-10400000.0,-16300000.0
Sale Of Investment,,1800000.0,0.0
Purchase Of Investment,,-12200000.0,-16300000.0
Net Business Purchase And Sale,,,0.0
Purchase Of Business,,,0.0
Net PPE Purchase And Sale,,-1429100000.0,-1967600000.0
Sale Of PPE,,189900000.0,131500000.0
Purchase Of PPE,,-1619000000.0,-2099100000.0
Operating Cash Flow,,-2464700000.0,3547000000.0
Taxes Refund Paid,,-225600000.0,-226300000.0
Change In Working Capital,,-4133700000.0,1797400000.0
Change In Other Current Liabilities,,299300000.0,-12200000.0
Change In Other Current Assets,,253100000.0,-125000000.0
Change In Payable,,-1289800000.0,22400000.0
Change In Inventory,,-3392500000.0,2373500000.0
Change In Receivables,,-19000000.0,-471900000.0
Other Non Cash Items,,297900000.0,271100000.0
Provisionand Write Offof Assets,,600000.0,8000000.0
Depreciation And Amortization,,312900000.0,405300000.0
Depreciation,,312900000.0,405300000.0
Net Foreign Currency Exchange Gain Loss,,3500000.0,12000000.0
Gain Loss On Sale Of PPE,,-16700000.0,-300000.0
Net Income From Continuing Operations,,1289700000.0,1347400000.0
