,item,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,568031.100296,-2793695.598313,-1099575.355333,Income Statement
1,Tax Rate For Calcs,0.284442,0.293172,0.248251,Income Statement
2,Normalized EBITDA,142894000.0,128390389.0,98944691.0,Income Statement
3,Total Unusual Items,1997000.0,-9529189.0,-4429283.0,Income Statement
4,Total Unusual Items Excluding Goodwill,1997000.0,-9529189.0,-4429283.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,65573000.0,54552235.0,47776828.0,Income Statement
6,Reconciled Depreciation,30467000.0,23479656.0,16448685.0,Income Statement
7,Reconciled Cost Of Revenue,1132665000.0,915208432.0,705965520.0,Income Statement
8,EBIT,114424000.0,95381544.0,78066723.0,Income Statement
9,Net Interest Income,-29982000.0,-22760840.0,-14636461.0,Income Statement
10,Interest Expense,22785000.0,18202557.0,14512467.0,Income Statement
11,Interest Income,707000.0,635769.0,2317005.0,Income Statement
12,Normalized Income,64144031.100296,61287728.401687,51106535.644667,Income Statement
13,Net Income From Continuing And Discontinued Operation,65573000.0,54552235.0,47776828.0,Income Statement
14,Total Expenses,1568032000.0,1210733694.0,979863081.0,Income Statement
15,Rent Expense Supplemental,7499000.0,5817322.0,6760087.0,Income Statement
16,Diluted Average Shares,15002000.0,15002000.0,15002000.0,Income Statement
17,Basic Average Shares,15002000.0,15002000.0,15002000.0,Income Statement
18,Diluted EPS,4.37,3.64,3.18,Income Statement
19,Basic EPS,4.37,3.64,3.18,Income Statement
20,Diluted NI Availto Com Stockholders,65573000.0,54552235.0,47776828.0,Income Statement
21,Net Income Common Stockholders,65573000.0,54552235.0,47776828.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,Income Statement
23,Net Income,65573000.0,54552235.0,47776828.0,Income Statement
24,Net Income Including Noncontrolling Interests,65573000.0,54552235.0,47776828.0,Income Statement
25,Net Income Discontinuous Operations,0.0,0.0,,Income Statement
26,Net Income Continuous Operations,65573000.0,54552235.0,47776828.0,Income Statement
27,Tax Provision,26066000.0,22626752.0,15777428.0,Income Statement
28,Pretax Income,91639000.0,77178987.0,63554256.0,Income Statement
29,Other Non Operating Income Expenses,2852000.0,3254071.0,237755.0,Income Statement
30,Special Income Charges,1997000.0,-9529189.0,-4429283.0,Income Statement
31,Other Special Charges,-3000.0,-350489.0,-4292736.0,Income Statement
32,Write Off,-1994000.0,9879678.0,8722019.0,Income Statement
33,Net Non Operating Interest Income Expense,-29982000.0,-22760840.0,-14636461.0,Income Statement
34,Total Other Finance Cost,7904000.0,5194052.0,2440999.0,Income Statement
35,Interest Expense Non Operating,22785000.0,18202557.0,14512467.0,Income Statement
36,Interest Income Non Operating,707000.0,635769.0,2317005.0,Income Statement
37,Operating Income,120937000.0,122041111.0,83989800.0,Income Statement
38,Operating Expense,435367000.0,295525262.0,273897561.0,Income Statement
39,Other Operating Expenses,117584000.0,81919788.0,55503643.0,Income Statement
40,Depreciation And Amortization In Income Statement,30467000.0,23479656.0,16448685.0,Income Statement
41,Depreciation Income Statement,30467000.0,23479656.0,16448685.0,Income Statement
42,Selling General And Administration,132711000.0,69677247.0,76674135.0,Income Statement
43,Selling And Marketing Expense,120869000.0,59546102.0,67347513.0,Income Statement
44,General And Administrative Expense,11842000.0,10131145.0,9326622.0,Income Statement
45,Rent And Landing Fees,7499000.0,5817322.0,6760087.0,Income Statement
46,Gross Profit,556304000.0,417566373.0,357887361.0,Income Statement
47,Cost Of Revenue,1132665000.0,915208432.0,705965520.0,Income Statement
48,Total Revenue,1688969000.0,1332774805.0,1063852881.0,Income Statement
49,Operating Revenue,1688969000.0,1332774805.0,1063852881.0,Income Statement
0,Ordinary Shares Number,15020000.0,15002000.0,15020000.0,Balance Sheet
1,Share Issued,15020000.0,15002000.0,15020000.0,Balance Sheet
2,Net Debt,198325000.0,334364041.0,332545547.0,Balance Sheet
3,Total Debt,243850000.0,382136899.0,343087694.0,Balance Sheet
4,Tangible Book Value,562363000.0,496472798.0,441601770.0,Balance Sheet
5,Invested Capital,806271000.0,878986053.0,785384613.0,Balance Sheet
6,Working Capital,441714000.0,331842273.0,336246464.0,Balance Sheet
7,Net Tangible Assets,562363000.0,496472798.0,441601770.0,Balance Sheet
8,Common Stock Equity,562421000.0,496849154.0,442296919.0,Balance Sheet
9,Total Capitalization,781906000.0,689476345.0,587450138.0,Balance Sheet
10,Total Equity Gross Minority Interest,562421000.0,496849154.0,442296919.0,Balance Sheet
11,Stockholders Equity,562421000.0,496849154.0,442296919.0,Balance Sheet
12,Retained Earnings,285494000.0,219922082.0,165369847.0,Balance Sheet
13,Additional Paid In Capital,126907000.0,126907072.0,126907072.0,Balance Sheet
14,Capital Stock,150020000.0,150020000.0,150020000.0,Balance Sheet
15,Common Stock,150020000.0,150020000.0,150020000.0,Balance Sheet
16,Total Liabilities Net Minority Interest,1031065000.0,806494942.0,632385620.0,Balance Sheet
17,Total Non Current Liabilities Net Minority Interest,259702000.0,219264834.0,156611954.0,Balance Sheet
18,Other Non Current Liabilities,6238760.0,1745062.0,3745062.0,Balance Sheet
19,Non Current Pension And Other Postretirement Benefit Plans,5609000.0,,,Balance Sheet
20,Non Current Deferred Revenue,6239000.0,1745062.0,,Balance Sheet
21,Non Current Deferred Taxes Liabilities,28369000.0,20575875.0,4002918.0,Balance Sheet
22,Long Term Debt And Capital Lease Obligation,219485000.0,192627191.0,145153219.0,Balance Sheet
23,Long Term Debt,219485000.0,192627191.0,145153219.0,Balance Sheet
24,Long Term Provisions,5609080.0,4316706.0,3710755.0,Balance Sheet
25,Current Liabilities,771363000.0,587230108.0,475773666.0,Balance Sheet
26,Other Current Liabilities,261842000.0,92018186.0,,Balance Sheet
27,Current Debt And Capital Lease Obligation,24365000.0,189509708.0,197934475.0,Balance Sheet
28,Current Debt,24365000.0,189509708.0,197934475.0,Balance Sheet
29,Pensionand Other Post Retirement Benefit Plans Current,329000.0,,,Balance Sheet
30,Current Provisions,11217000.0,12639045.0,16396870.0,Balance Sheet
31,Payables,473610000.0,385081355.0,261442321.0,Balance Sheet
32,Other Payable,81247000.0,58608604.0,40577600.0,Balance Sheet
33,Accounts Payable,392363000.0,326472751.0,220864721.0,Balance Sheet
34,Total Assets,1593486000.0,1303344096.0,1074682539.0,Balance Sheet
35,Total Non Current Assets,380409000.0,384271715.0,262662409.0,Balance Sheet
36,Other Non Current Assets,-1000.0,,,Balance Sheet
37,Non Current Prepaid Assets,5485000.0,4550888.0,,Balance Sheet
38,Non Current Deferred Taxes Assets,0.0,0.0,0.0,Balance Sheet
39,Investmentin Financial Assets,1329000.0,3707630.0,1329305.0,Balance Sheet
