,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,62821334.729129,45094308.854705,10418636.602416
Tax Rate For Calcs,0.221827,0.265261,0.21934
Normalized EBITDA,4815700000.0,5055100000.0,3838400000.0
Total Unusual Items,283200000.0,170000000.0,47500000.0
Total Unusual Items Excluding Goodwill,283200000.0,170000000.0,47500000.0
Net Income From Continuing Operation Net Minority Interest,2973400000.0,2703400000.0,1931900000.0
Reconciled Depreciation,947100000.0,955500000.0,572300000.0
Reconciled Cost Of Revenue,21332400000.0,18287100000.0,14069800000.0
EBIT,4151800000.0,4269600000.0,3313600000.0
Net Interest Income,-328300000.0,-524200000.0,-862500000.0
Interest Expense,330800000.0,590200000.0,838900000.0
Interest Income,19900000.0,94400000.0,21300000.0
Normalized Income,2753021334.729129,2578494308.854705,1894818636.602416
Net Income From Continuing And Discontinued Operation,2957300000.0,2703400000.0,1931900000.0
Total Expenses,25393400000.0,20928900000.0,17160900000.0
Rent Expense Supplemental,11800000.0,19300000.0,17400000.0
Diluted Average Shares,80939303.0,80939303.0,80939303.0
Basic Average Shares,80939303.0,80939303.0,80939303.0
Diluted EPS,36.54,33.4,23.87
Basic EPS,36.54,33.4,23.87
Diluted NI Availto Com Stockholders,2957300000.0,2703400000.0,1931900000.0
Net Income Common Stockholders,2957300000.0,2703400000.0,1931900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,2957300000.0,2703400000.0,1931900000.0
Net Income Including Noncontrolling Interests,2957300000.0,2703400000.0,1931900000.0
Net Income Discontinuous Operations,-16100000.0,,
Net Income Continuous Operations,2973400000.0,2703400000.0,1931900000.0
Tax Provision,847600000.0,976000000.0,542800000.0
Pretax Income,3821000000.0,3679400000.0,2474700000.0
Other Non Operating Income Expenses,83300000.0,104600000.0,70600000.0
Special Income Charges,187200000.0,-2500000.0,-13600000.0
Other Special Charges,,,-600000.0
Write Off,600000.0,1300000.0,1100000.0
Impairment Of Capital Assets,-187800000.0,1200000.0,13100000.0
Net Non Operating Interest Income Expense,-328300000.0,-524200000.0,-862500000.0
Total Other Finance Cost,17400000.0,28400000.0,44900000.0
Interest Expense Non Operating,330800000.0,590200000.0,838900000.0
Interest Income Non Operating,19900000.0,94400000.0,21300000.0
Operating Income,3761600000.0,4032200000.0,3185900000.0
Operating Expense,4061000000.0,2641800000.0,3091100000.0
Other Operating Expenses,2039700000.0,1984400000.0,2121200000.0
Depreciation And Amortization In Income Statement,947100000.0,955500000.0,572300000.0
Amortization,900000.0,1400000.0,3800000.0
Depreciation Income Statement,946200000.0,954100000.0,568500000.0
Selling General And Administration,405200000.0,309500000.0,194800000.0
Selling And Marketing Expense,171000000.0,124100000.0,56000000.0
General And Administrative Expense,234200000.0,185400000.0,138800000.0
Rent And Landing Fees,11800000.0,19300000.0,17400000.0
Gross Profit,7822600000.0,6674000000.0,6277000000.0
Cost Of Revenue,21332400000.0,18287100000.0,14069800000.0
Total Revenue,29155000000.0,24961100000.0,20346800000.0
Operating Revenue,29155000000.0,24961100000.0,20346800000.0
Ordinary Shares Number,80939303.0,80939303.0,80939303.0
Share Issued,80939303.0,80939303.0,80939303.0
Net Debt,7239000000.0,8866000000.0,12107300000.0
Total Debt,8185100000.0,9578900000.0,12772000000.0
Tangible Book Value,23589500000.0,21424700000.0,15184000000.0
Invested Capital,31775900000.0,31005800000.0,27959500000.0
Working Capital,9898600000.0,8605300000.0,5825300000.0
Net Tangible Assets,23589500000.0,21424700000.0,15184000000.0
Common Stock Equity,23590800000.0,21426900000.0,15187500000.0
Total Capitalization,26962900000.0,23693200000.0,19431400000.0
Total Equity Gross Minority Interest,23590800000.0,21426900000.0,15187500000.0
Stockholders Equity,23590800000.0,21426900000.0,15187500000.0
Other Equity Interest,23428900000.0,,
Retained Earnings,19609100000.0,17137300000.0,14433900000.0
Capital Stock,161900000.0,161900000.0,161900000.0
Common Stock,161900000.0,161900000.0,161900000.0
Total Liabilities Net Minority Interest,14631900000.0,15900200000.0,19193500000.0
Total Non Current Liabilities Net Minority Interest,5448100000.0,4150600000.0,5715300000.0
Other Non Current Liabilities,46700000.0,85200000.0,123400000.0
Non Current Pension And Other Postretirement Benefit Plans,387300000.0,331000000.0,294300000.0
Non Current Deferred Revenue,46700000.0,85200000.0,123400000.0
Non Current Deferred Taxes Liabilities,1610100000.0,1435700000.0,1017000000.0
Long Term Debt And Capital Lease Obligation,3372100000.0,2266300000.0,4243900000.0
Long Term Debt,3372100000.0,2266300000.0,4243900000.0
Long Term Provisions,387300000.0,331000000.0,294300000.0
Current Liabilities,9183800000.0,11749600000.0,13478200000.0
Other Current Liabilities,194300000.0,398900000.0,112300000.0
Current Debt And Capital Lease Obligation,4813000000.0,7312600000.0,8528100000.0
Current Debt,4813000000.0,7312600000.0,8528100000.0
Pensionand Other Post Retirement Benefit Plans Current,60400000.0,58800000.0,55500000.0
Current Provisions,60400000.0,58800000.0,55500000.0
Payables,3562800000.0,3685100000.0,4162200000.0
Other Payable,438900000.0,245300000.0,136200000.0
Dividends Payable,8900000.0,7600000.0,6400000.0
Total Tax Payable,503300000.0,374800000.0,
Accounts Payable,2611700000.0,3057400000.0,4019600000.0
Total Assets,38222700000.0,37327100000.0,34381000000.0
Total Non Current Assets,19140300000.0,16972200000.0,15077500000.0
Other Non Current Assets,-204500.0,-4500.0,-4500.0
Non Current Prepaid Assets,186500000.0,205100000.0,19200000.0
Investmentin Financial Assets,2933604500.0,3107804500.0,1003204500.0
Held To Maturity Securities,79502000.0,84702000.0,59202000.0
Available For Sale Securities,2854102500.0,3023102500.0,944002500.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,0.0,,
Goodwill And Other Intangible Assets,1300000.0,2200000.0,3500000.0
Other Intangible Assets,1300000.0,2200000.0,3500000.0
Net PPE,15898100000.0,13349400000.0,13586100000.0
Accumulated Depreciation,-10260300000.0,-9741300000.0,-8797600000.0
Gross PPE,26158400000.0,23090700000.0,22383700000.0
Construction In Progress,588100000.0,271300000.0,61800000.0
