,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-119142466.103637,48171200.0,-125047800.0
Tax Rate For Calcs,0.233179,0.23202,0.176,0.162
Normalized EBITDA,26078800000.0,25200900000.0,22928300000.0,20664000000.0
Total Unusual Items,0.0,336500000.0,273700000.0,-771900000.0
Total Unusual Items Excluding Goodwill,0.0,-513500000.0,273700000.0,-771900000.0
Net Income From Continuing Operation Net Minority Interest,17071500000.0,17392200000.0,16933000000.0,14449600000.0
Reconciled Depreciation,3109600000.0,2528900000.0,2401300000.0,2204500000.0
Reconciled Cost Of Revenue,62686700000.0,56766400000.0,48068000000.0,43929700000.0
EBIT,22969200000.0,23008500000.0,20800700000.0,17687600000.0
Net Interest Income,-782400000.0,2847400000.0,2299700000.0,1930500000.0
Interest Expense,782400000.0,321700000.0,240500000.0,411200000.0
Interest Income,3611300000.0,3233400000.0,2607800000.0,2411900000.0
Normalized Income,17071500000.0,18636557533.896362,16707471200.0,15096452200.0
Net Income From Continuing And Discontinued Operation,17071500000.0,17392200000.0,16933000000.0,14449600000.0
Total Expenses,96767300000.0,88049200000.0,77285300000.0,70468800000.0
Rent Expense Supplemental,608600000.0,517800000.0,428300000.0,476000000.0
Diluted Average Shares,,1772651850.0,1772241678.0,1772487928.0
Basic Average Shares,,1767791555.0,1767346957.0,1766935235.0
Diluted EPS,,9.81,9.55,8.15
Basic EPS,,9.84,9.58,8.18
Diluted NI Availto Com Stockholders,17071500000.0,17392200000.0,16933000000.0,14449600000.0
Net Income Common Stockholders,17071500000.0,17392200000.0,16933000000.0,14449600000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,17071500000.0,17392200000.0,16933000000.0,14449600000.0
Minority Interests,58200000.0,-30800000.0,-16500000.0,-29600000.0
Net Income Including Noncontrolling Interests,17013300000.0,17423000000.0,16949500000.0,14479200000.0
Net Income Continuous Operations,17013300000.0,17423000000.0,16949500000.0,14479200000.0
Tax Provision,5173500000.0,5263800000.0,3610700000.0,2797200000.0
Pretax Income,22186800000.0,22686800000.0,20560200000.0,17276400000.0
Other Non Operating Income Expenses,4453900000.0,295200000.0,333600000.0,327800000.0
Special Income Charges,0.0,-688100000.0,-3700000.0,-1039900000.0
Other Special Charges,-144000000.0,6200000.0,3700000.0,39900000.0
Write Off,-131600000.0,-168100000.0,0.0,1000000000.0
Net Non Operating Interest Income Expense,-782400000.0,2847400000.0,2299700000.0,1930500000.0
Total Other Finance Cost,91000000.0,64300000.0,67600000.0,70200000.0
Interest Expense Non Operating,782400000.0,321700000.0,240500000.0,411200000.0
Interest Income Non Operating,3611300000.0,3233400000.0,2607800000.0,2411900000.0
Operating Income,18531600000.0,20031100000.0,17642300000.0,15759900000.0
Operating Expense,34080600000.0,31282800000.0,29217300000.0,26539100000.0
Other Operating Expenses,13198300000.0,5487600000.0,4591700000.0,5082300000.0
Depreciation And Amortization In Income Statement,3109600000.0,2528900000.0,2401300000.0,2204500000.0
Amortization,333200000.0,96500000.0,86100000.0,91200000.0
Depreciation Income Statement,3109600000.0,2432400000.0,2315200000.0,2113300000.0
Selling General And Administration,6402700000.0,12741100000.0,11985400000.0,10091900000.0
Selling And Marketing Expense,6402700000.0,11490500000.0,10788200000.0,9124900000.0
General And Administrative Expense,1371600000.0,1250600000.0,1197200000.0,967000000.0
Rent And Landing Fees,608600000.0,517800000.0,428300000.0,476000000.0
Gross Profit,52612200000.0,51313900000.0,46859600000.0,42299000000.0
Cost Of Revenue,62686700000.0,56766400000.0,48068000000.0,43929700000.0
Total Revenue,115298900000.0,108080300000.0,94927600000.0,86228700000.0
Operating Revenue,115298900000.0,108080300000.0,94927600000.0,86228700000.0
Ordinary Shares Number,1772034671.0,1767856483.0,1767425349.0,1767063892.0
Share Issued,1772034671.0,1767856483.0,1767425349.0,1767063892.0
Net Debt,8522000000.0,6117500000.0,1092300000.0,1653000000.0
Total Debt,11737900000.0,10301000000.0,5090600000.0,5219900000.0
Tangible Book Value,76792800000.0,80904200000.0,72828100000.0,62256000000.0
Invested Capital,99722800000.0,92489500000.0,80139800000.0,69349900000.0
Working Capital,6395300000.0,9940000000.0,18417500000.0,24163800000.0
Net Tangible Assets,76792800000.0,80904200000.0,72828100000.0,62256000000.0
Capital Lease Obligations,1747700000.0,1624500000.0,1586100000.0,1927500000.0
Common Stock Equity,89732600000.0,83813000000.0,76635300000.0,66057500000.0
Total Capitalization,92721000000.0,86316600000.0,76648400000.0,66057500000.0
Total Equity Gross Minority Interest,94414300000.0,84218500000.0,77002200000.0,66422100000.0
Minority Interest,4681700000.0,405500000.0,366900000.0,364600000.0
Stockholders Equity,89732600000.0,83813000000.0,76635300000.0,66057500000.0
Other Equity Interest,87960800000.0,1482100000.0,1237800000.0,932700000.0
Retained Earnings,81253300000.0,73610600000.0,65864400000.0,54810300000.0
Additional Paid In Capital,5209500000.0,3805900000.0,3650000000.0,3522100000.0
Capital Stock,1771800000.0,1767900000.0,1767400000.0,1767100000.0
Common Stock,1771800000.0,1767900000.0,1767400000.0,1767100000.0
Total Liabilities Net Minority Interest,42129400000.0,38626800000.0,31469100000.0,27118000000.0
Total Non Current Liabilities Net Minority Interest,6035100000.0,5401400000.0,2127200000.0,2479200000.0
Non Current Pension And Other Postretirement Benefit Plans,643700000.0,636800000.0,633100000.0,
Non Current Deferred Revenue,1500000.0,4500000.0,1200000.0,5100000.0
Non Current Deferred Taxes Liabilities,909900000.0,822700000.0,139100000.0,174300000.0
Long Term Debt And Capital Lease Obligation,4432000000.0,3899400000.0,1341300000.0,1628900000.0
