,2022-06-30,2021-06-30,2020-06-30
Tax Effect Of Unusual Items,3532110.091743,-2046700.507614,-6038004.750594
Tax Rate For Calcs,0.252294,0.255838,0.194774
Normalized EBITDA,1869000000.0,1375000000.0,815000000.0
Total Unusual Items,14000000.0,-8000000.0,-31000000.0
Total Unusual Items Excluding Goodwill,14000000.0,-8000000.0,-31000000.0
Net Income From Continuing Operation Net Minority Interest,1141000000.0,733000000.0,339000000.0
Reconciled Depreciation,357000000.0,379000000.0,344000000.0
Reconciled Cost Of Revenue,5271000000.0,4798000000.0,4057000000.0
EBIT,1526000000.0,988000000.0,440000000.0
Net Interest Income,16000000.0,0.0,19000000.0
Interest Expense,0.0,3000000.0,19000000.0
Interest Income,16000000.0,3000000.0,38000000.0
Normalized Income,1130532110.091743,738953299.492386,363961995.249406
Net Income From Continuing And Discontinued Operation,1141000000.0,733000000.0,339000000.0
Total Expenses,8416000000.0,7570000000.0,6636000000.0
Rent Expense Supplemental,7000000.0,7000000.0,12000000.0
Diluted Average Shares,21978240.0,21978240.0,21978240.0
Basic Average Shares,21978240.0,21978240.0,21978240.0
Diluted EPS,51.94,33.35,15.42
Basic EPS,51.94,33.35,15.42
Diluted NI Availto Com Stockholders,1141000000.0,733000000.0,339000000.0
Net Income Common Stockholders,1141000000.0,733000000.0,339000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,1141000000.0,733000000.0,339000000.0
Minority Interests,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,1141000000.0,733000000.0,339000000.0
Net Income Continuous Operations,1141000000.0,733000000.0,339000000.0
Tax Provision,385000000.0,252000000.0,82000000.0
Pretax Income,1526000000.0,985000000.0,421000000.0
Other Non Operating Income Expenses,40000000.0,37000000.0,65000000.0
Special Income Charges,0.0,-8000000.0,-31000000.0
Other Special Charges,,-2000000.0,2000000.0
Restructuring And Mergern Acquisition,0.0,10000000.0,29000000.0
Net Non Operating Interest Income Expense,16000000.0,0.0,19000000.0
Interest Expense Non Operating,0.0,3000000.0,19000000.0
Interest Income Non Operating,16000000.0,3000000.0,38000000.0
Operating Income,1458000000.0,943000000.0,356000000.0
Operating Expense,3145000000.0,2772000000.0,2579000000.0
Other Operating Expenses,938000000.0,776000000.0,743000000.0
Depreciation And Amortization In Income Statement,357000000.0,379000000.0,344000000.0
Amortization,1000000.0,2000000.0,1000000.0
Depreciation Income Statement,356000000.0,377000000.0,343000000.0
Selling General And Administration,418000000.0,361000000.0,324000000.0
Selling And Marketing Expense,272000000.0,225000000.0,183000000.0
General And Administrative Expense,146000000.0,136000000.0,141000000.0
Rent And Landing Fees,7000000.0,7000000.0,12000000.0
Gross Profit,4603000000.0,3715000000.0,2935000000.0
Cost Of Revenue,5271000000.0,4798000000.0,4057000000.0
Total Revenue,9874000000.0,8513000000.0,6992000000.0
Operating Revenue,9874000000.0,8513000000.0,6992000000.0
Ordinary Shares Number,21978240.0,21978240.0,21978240.0
Share Issued,21978240.0,21978240.0,21978240.0
Total Debt,,0.0,130000000.0
Tangible Book Value,6460000000.0,5852000000.0,5550000000.0
Invested Capital,6463000000.0,5857000000.0,5687000000.0
Working Capital,3027000000.0,2663000000.0,2173000000.0
Net Tangible Assets,6460000000.0,5852000000.0,5550000000.0
Common Stock Equity,6463000000.0,5857000000.0,5557000000.0
Total Capitalization,6463000000.0,5857000000.0,5557000000.0
Total Equity Gross Minority Interest,6463000000.0,5857000000.0,5557000000.0
Minority Interest,0.0,0.0,0.0
Stockholders Equity,6463000000.0,5857000000.0,5557000000.0
Other Equity Interest,12000000.0,7000000.0,2000000.0
Retained Earnings,4742000000.0,4141000000.0,3846000000.0
Additional Paid In Capital,1000000.0,1000000.0,1000000.0
Capital Stock,220000000.0,220000000.0,220000000.0
Common Stock,220000000.0,220000000.0,220000000.0
Total Liabilities Net Minority Interest,1835000000.0,1916000000.0,1461000000.0
Total Non Current Liabilities Net Minority Interest,76000000.0,37000000.0,61000000.0
Other Non Current Liabilities,,1000000.0,
Non Current Deferred Revenue,0.0,0.0,1000000.0
Non Current Deferred Taxes Liabilities,0.0,2000000.0,5000000.0
Long Term Provisions,76000000.0,34000000.0,55000000.0
Current Liabilities,1759000000.0,1879000000.0,1400000000.0
Other Current Liabilities,20000000.0,27000000.0,39000000.0
Current Debt And Capital Lease Obligation,,0.0,130000000.0
Current Debt,,0.0,130000000.0
Current Provisions,209000000.0,193000000.0,210000000.0
Payables,1271000000.0,1404000000.0,773000000.0
Other Payable,244000000.0,378000000.0,169000000.0
Dividends Payable,2000000.0,1000000.0,1000000.0
Total Tax Payable,,,0.0
Accounts Payable,1025000000.0,1025000000.0,603000000.0
Total Assets,8298000000.0,7773000000.0,7018000000.0
Total Non Current Assets,3512000000.0,3231000000.0,3445000000.0
Other Non Current Assets,1000000.0,32000000.0,
Non Current Prepaid Assets,41000000.0,47000000.0,47000000.0
Non Current Deferred Taxes Assets,22000000.0,0.0,3000000.0
Investmentin Financial Assets,23000000.0,3000000.0,3000000.0
Available For Sale Securities,23000000.0,3000000.0,3000000.0
Investment Properties,0.0,0.0,0.0
Goodwill And Other Intangible Assets,3000000.0,5000000.0,7000000.0
Other Intangible Assets,3000000.0,5000000.0,7000000.0
Net PPE,3047000000.0,2765000000.0,2885000000.0
Accumulated Depreciation,-1613000000.0,-1305000000.0,-945000000.0
Gross PPE,4660000000.0,4070000000.0,3830000000.0
Construction In Progress,905000000.0,520000000.0,423000000.0
Other Properties,80000000.0,75000000.0,75000000.0
Machinery Furniture Equipment,3348000000.0,3155000000.0,3082000000.0
Buildings And Improvements,326000000.0,319000000.0,249000000.0
Land And Improvements,1000000.0,1000000.0,1000000.0
Properties,0.0,0.0,0.0
Current Assets,4786000000.0,4542000000.0,3573000000.0
Other Current Assets,-1000000.0,33000000.0,
Restricted Cash,2000000.0,1000000.0,1000000.0
Prepaid Assets,76000000.0,38000000.0,121000000.0
Inventory,2666000000.0,2051000000.0,2062000000.0
Finished Goods,1092000000.0,914000000.0,1060000000.0
Work In Process,932000000.0,654000000.0,616000000.0
Raw Materials,642000000.0,483000000.0,386000000.0
Other Receivables,33000000.0,33000000.0,14000000.0
Accounts Receivable,1368000000.0,1131000000.0,929000000.0
Allowance For Doubtful Accounts Receivable,-8000000.0,-6000000.0,-14000000.0
Gross Accounts Receivable,1376000000.0,1137000000.0,943000000.0
Cash Cash Equivalents And Short Term Investments,642000000.0,1288000000.0,446000000.0
Other Short Term Investments,8000000.0,36000000.0,
Cash And Cash Equivalents,634000000.0,1288000000.0,446000000.0
Cash Equivalents,3000000.0,148000000.0,174000000.0
Cash Financial,631000000.0,1140000000.0,272000000.0
Free Cash Flow,-159000000.0,1397000000.0,-243000000.0
Repayment Of Debt,0.0,-130000000.0,
Issuance Of Debt,,0.0,30000000.0
Capital Expenditure,-650000000.0,-263000000.0,-579000000.0
End Cash Position,634000000.0,1288000000.0,446000000.0
Beginning Cash Position,1288000000.0,446000000.0,637000000.0
Changes In Cash,-654000000.0,842000000.0,-191000000.0
Financing Cash Flow,-526000000.0,-573000000.0,10000000.0
Net Other Financing Charges,1000000.0,,
Interest Paid Cff,0.0,-3000000.0,-19000000.0
Cash Dividends Paid,-527000000.0,-440000000.0,-1000000.0
Common Stock Dividend Paid,,,-1000000.0
Net Issuance Payments Of Debt,0.0,-130000000.0,30000000.0
Net Short Term Debt Issuance,,,0.0
Short Term Debt Issuance,,,0.0
Net Long Term Debt Issuance,0.0,-130000000.0,30000000.0
Long Term Debt Payments,0.0,-130000000.0,
Long Term Debt Issuance,,0.0,30000000.0
Investing Cash Flow,-619000000.0,-245000000.0,-537000000.0
Interest Received Cfi,16000000.0,2000000.0,38000000.0
Dividends Received Cfi,,12000000.0,4000000.0
Net Investment Purchase And Sale,14000000.0,,0.0
Sale Of Investment,14000000.0,,0.0
Net PPE Purchase And Sale,-649000000.0,-259000000.0,-579000000.0
Sale Of PPE,1000000.0,4000000.0,0.0
Purchase Of PPE,-650000000.0,-263000000.0,-579000000.0
Operating Cash Flow,491000000.0,1660000000.0,336000000.0
Taxes Refund Paid,-392000000.0,-198000000.0,-171000000.0
Change In Working Capital,-1007000000.0,457000000.0,-280000000.0
Change In Other Current Liabilities,,572000000.0,-1076000000.0
Change In Other Current Assets,-9000000.0,14000000.0,1000000.0
Change In Payable,-142000000.0,572000000.0,
Change In Inventory,-615000000.0,11000000.0,29000000.0
Change In Receivables,-241000000.0,-140000000.0,766000000.0
Other Non Cash Items,-16000000.0,-14000000.0,-19000000.0
Stock Based Compensation,29000000.0,24000000.0,13000000.0
Provisionand Write Offof Assets,10000000.0,32000000.0,21000000.0
Deferred Tax,,0.0,-40000000.0
Depreciation And Amortization,357000000.0,379000000.0,344000000.0
Amortization Cash Flow,1000000.0,,
Depreciation,356000000.0,379000000.0,344000000.0
Gain Loss On Investment Securities,-14000000.0,-12000000.0,-4000000.0
Net Foreign Currency Exchange Gain Loss,-2000000.0,-1000000.0,-2000000.0
Gain Loss On Sale Of PPE,0.0,-2000000.0,2000000.0
Net Income From Continuing Operations,1526000000.0,995000000.0,472000000.0
