,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,3410000.0,-58480000.0,-633280000.0
Total Unusual Items,0.0,0.0,-270000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-270000.0
Net Income From Continuing Operation Net Minority Interest,-6730000.0,-70140000.0,-648070000.0
Reconciled Depreciation,10140000.0,11660000.0,14520000.0
Reconciled Cost Of Revenue,0.0,67170000.0,894670000.0
EBIT,-6730000.0,-70140000.0,-648070000.0
Net Interest Income,120000.0,60000.0,270000.0
Interest Expense,0.0,0.0,0.0
Interest Income,120000.0,60000.0,270000.0
Normalized Income,-6730000.0,-70140000.0,-647800000.0
Net Income From Continuing And Discontinued Operation,-6730000.0,-70140000.0,-648070000.0
Total Expenses,18060000.0,91370000.0,1006720000.0
Rent Expense Supplemental,0.0,360000.0,790000.0
Diluted Average Shares,,69575152.0,69575152.0
Basic Average Shares,,69575152.0,69575152.0
Diluted EPS,,-1.01,-9.27
Basic EPS,,-1.01,-9.27
Diluted NI Availto Com Stockholders,-6730000.0,-70140000.0,-648070000.0
Net Income Common Stockholders,-6730000.0,-70140000.0,-648070000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-6730000.0,-70140000.0,-648070000.0
Net Income Including Noncontrolling Interests,-6730000.0,-70140000.0,-648070000.0
Net Income Discontinuous Operations,,0.0,0.0
Net Income Continuous Operations,-6730000.0,-70140000.0,-648070000.0
Tax Provision,0.0,0.0,0.0
Pretax Income,-6730000.0,-70140000.0,-648070000.0
Other Non Operating Income Expenses,7790000.0,10790000.0,9930000.0
Special Income Charges,0.0,0.0,-270000.0
Other Special Charges,,,270000.0
Net Non Operating Interest Income Expense,120000.0,60000.0,270000.0
Interest Expense Non Operating,0.0,0.0,0.0
Interest Income Non Operating,120000.0,60000.0,270000.0
Operating Income,-14640000.0,-81900000.0,-657700000.0
Operating Expense,18060000.0,24200000.0,112050000.0
Other Operating Expenses,,1210000.0,51890000.0
Depreciation And Amortization In Income Statement,10140000.0,11660000.0,14520000.0
Amortization,150000.0,150000.0,150000.0
Depreciation Income Statement,9990000.0,11510000.0,14370000.0
Selling General And Administration,5810000.0,3520000.0,16700000.0
Selling And Marketing Expense,60000.0,240000.0,3050000.0
General And Administrative Expense,5750000.0,3280000.0,13650000.0
Rent And Landing Fees,0.0,360000.0,790000.0
Gross Profit,3420000.0,-57700000.0,-545650000.0
Cost Of Revenue,0.0,67170000.0,894670000.0
Total Revenue,3420000.0,9470000.0,349020000.0
Operating Revenue,3420000.0,9470000.0,349020000.0
Ordinary Shares Number,91295775.0,91295775.0,91295775.0
Share Issued,91295775.0,91295775.0,91295775.0
Net Debt,370820000.0,372140000.0,155390000.0
Total Debt,376620000.0,377370000.0,165230000.0
Tangible Book Value,-374490000.0,-367910000.0,-303990000.0
Invested Capital,2520000.0,10000000.0,-138070000.0
Working Capital,-648940000.0,-653140000.0,-385270000.0
Net Tangible Assets,-374490000.0,-367910000.0,-303990000.0
Common Stock Equity,-374100000.0,-367370000.0,-303300000.0
Total Capitalization,-374100000.0,-367370000.0,-303300000.0
Total Equity Gross Minority Interest,-374100000.0,-367370000.0,-303300000.0
Stockholders Equity,-374100000.0,-367370000.0,-303300000.0
Retained Earnings,-2588090000.0,-2581360000.0,-2517290000.0
Additional Paid In Capital,1166750000.0,1166750000.0,1166750000.0
Capital Stock,912950000.0,912950000.0,912950000.0
Common Stock,912950000.0,912950000.0,912950000.0
