,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-1324544.828434,-1332380.4,-1241455.484176
Tax Rate For Calcs,0.176227,0.381933,0.3,0.149818
Normalized EBITDA,109294000.0,78996000.0,99594804.0,88838806.0
Total Unusual Items,-2851000.0,-3468000.0,-4441268.0,-8286447.0
Total Unusual Items Excluding Goodwill,-2851000.0,-3468000.0,-4441268.0,-8286447.0
Net Income From Continuing Operation Net Minority Interest,42720000.0,9980000.0,27172965.0,4663385.0
Reconciled Depreciation,47080000.0,52315000.0,62363081.0,61646331.0
EBIT,62214000.0,23213000.0,32790455.0,18906028.0
Net Interest Income,-10196000.0,-6124000.0,-14885272.0,-14192803.0
Interest Expense,10196000.0,6951000.0,10865653.0,13471419.0
Interest Income,3525000.0,4552000.0,2025544.0,1318797.0
Normalized Income,42720000.0,12123455.171566,30281852.6,11708376.515824
Net Income From Continuing And Discontinued Operation,42720000.0,9980000.0,27172965.0,4663385.0
Total Expenses,686820000.0,587993000.0,519440972.0,485545011.0
Rent Expense Supplemental,1383000.0,1368000.0,2208998.0,4846211.0
Diluted Average Shares,19330317.0,19257000.0,18879000.0,18879162.0
Basic Average Shares,19243243.0,19147000.0,18879000.0,18879162.0
Diluted EPS,2.21,0.52,2.19,0.25
Basic EPS,2.22,0.52,2.19,0.25
Diluted NI Availto Com Stockholders,42720000.0,9980000.0,27172965.0,4663385.0
Net Income Common Stockholders,42720000.0,9980000.0,27172965.0,4663385.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,42720000.0,9980000.0,27172965.0,4663385.0
Minority Interests,-131000.0,-71000.0,-35099.0,42976.0
Net Income Including Noncontrolling Interests,42851000.0,10051000.0,27208065.0,4620409.0
Net Income Discontinuous Operations,,,0.0,0.0
Net Income Continuous Operations,42851000.0,10051000.0,27208065.0,4620409.0
Tax Provision,9167000.0,6211000.0,-5283262.0,814200.0
Pretax Income,52018000.0,16262000.0,21924802.0,5434609.0
Other Non Operating Income Expenses,13322000.0,158000.0,265677.0,350611.0
Special Income Charges,-2851000.0,-5237000.0,-4406168.0,-8163047.0
Other Special Charges,1868000.0,2310000.0,29758.0,222452.0
Write Off,983000.0,2927000.0,4376410.0,7940595.0
Net Non Operating Interest Income Expense,-10196000.0,-6124000.0,-14885272.0,-14192803.0
Total Other Finance Cost,3281000.0,3725000.0,6045163.0,2040181.0
Interest Expense Non Operating,10196000.0,6951000.0,10865653.0,13471419.0
Interest Income Non Operating,3525000.0,4552000.0,2025544.0,1318797.0
Operating Income,48892000.0,24730000.0,43637671.0,24431506.0
Operating Expense,686820000.0,587993000.0,519440972.0,485545011.0
Other Operating Expenses,231774000.0,115756000.0,100238216.0,105202605.0
Depreciation And Amortization In Income Statement,47080000.0,52315000.0,62363081.0,61646331.0
Amortization,38959000.0,46959000.0,,
Depreciation Income Statement,47080000.0,5356000.0,62363081.0,61646331.0
Research And Development,8515000.0,3782000.0,3980431.0,4815750.0
Selling General And Administration,78439000.0,65676000.0,37584822.0,24578428.0
Selling And Marketing Expense,19916000.0,16213000.0,6890688.0,3082407.0
General And Administrative Expense,58523000.0,49463000.0,30694134.0,21496021.0
Rent And Landing Fees,1383000.0,1368000.0,2208998.0,4846211.0
Total Revenue,735712000.0,612723000.0,563078643.0,509976517.0
Operating Revenue,735712000.0,612723000.0,563078643.0,509976517.0
Ordinary Shares Number,19361162.0,19218162.0,18923162.0,18879162.0
Share Issued,19361162.0,19218162.0,18923162.0,18879162.0
Net Debt,,17910000.0,19466857.0,102876766.0
Total Debt,57093000.0,66222000.0,62306547.0,110299438.0
Tangible Book Value,260915000.0,194917000.0,153872054.0,73083850.0
Invested Capital,369972000.0,337476000.0,334878332.0,356594323.0
Working Capital,-11730040000.0,138623000.0,95841457.0,38946427.0
Net Tangible Assets,260915000.0,194917000.0,153872054.0,73083850.0
Capital Lease Obligations,2535000.0,1365000.0,2096136.0,
Common Stock Equity,315414000.0,272619000.0,274667921.0,246294885.0
Total Capitalization,315414000.0,272619000.0,274667921.0,275202345.0
Total Equity Gross Minority Interest,316327000.0,272897000.0,274872547.0,246466175.0
Minority Interest,913000.0,278000.0,204626.0,171290.0
