,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,13413064.92381,803752.09997,-9867016.848977
Tax Rate For Calcs,0.309914,0.245046,0.192828
Normalized EBITDA,1381970000.0,1153270000.0,1487340000.0
Total Unusual Items,43280000.0,3280000.0,-51170000.0
Total Unusual Items Excluding Goodwill,43280000.0,3280000.0,-51170000.0
Net Income From Continuing Operation Net Minority Interest,722380000.0,630090000.0,883780000.0
Reconciled Depreciation,249380000.0,227520000.0,190800000.0
Reconciled Cost Of Revenue,9024340000.0,6049600000.0,5601930000.0
EBIT,1175870000.0,929030000.0,1245370000.0
Net Interest Income,-90880000.0,-76990000.0,-142420000.0
Interest Expense,68110000.0,59970000.0,111770000.0
Interest Income,16720000.0,19740000.0,11470000.0
Normalized Income,692513064.92381,627613752.09997,925082983.151023
Net Income From Continuing And Discontinued Operation,722380000.0,630090000.0,883780000.0
Total Expenses,11550680000.0,7922060000.0,7110220000.0
Rent Expense Supplemental,7640000.0,5300000.0,3510000.0
Diluted Average Shares,176229137.0,176229137.0,176229137.0
Basic Average Shares,176229137.0,176229137.0,176229137.0
Diluted EPS,4.099095,3.575402,5.014948
Basic EPS,4.099095,3.575402,5.014948
Diluted NI Availto Com Stockholders,722380000.0,630090000.0,883780000.0
Net Income Common Stockholders,722380000.0,630090000.0,883780000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,722380000.0,630090000.0,883780000.0
Minority Interests,-42230000.0,-25340000.0,-31250000.0
Net Income Including Noncontrolling Interests,764610000.0,655430000.0,915030000.0
Net Income Continuous Operations,764610000.0,655430000.0,915030000.0
Tax Provision,343310000.0,212960000.0,218590000.0
Pretax Income,1107760000.0,869060000.0,1133600000.0
Other Non Operating Income Expenses,2610000.0,8730000.0,21330000.0
Special Income Charges,14350000.0,-22060000.0,-45310000.0
Other Special Charges,-22790000.0,12550000.0,-10680000.0
Write Off,8440000.0,9510000.0,55990000.0
Net Non Operating Interest Income Expense,-90880000.0,-76990000.0,-142420000.0
Total Other Finance Cost,39490000.0,36760000.0,42120000.0
Interest Expense Non Operating,68110000.0,59970000.0,111770000.0
Interest Income Non Operating,16720000.0,19740000.0,11470000.0
Operating Income,1049460000.0,846230000.0,1221940000.0
Operating Expense,2526340000.0,1872460000.0,1508290000.0
Other Operating Expenses,614670000.0,410470000.0,388630000.0
Depreciation And Amortization In Income Statement,249380000.0,227520000.0,190800000.0
Amortization,15710000.0,18850000.0,18430000.0
Depreciation Income Statement,233670000.0,208670000.0,172370000.0
Selling General And Administration,283450000.0,220180000.0,171970000.0
Selling And Marketing Expense,91730000.0,79470000.0,86210000.0
General And Administrative Expense,191720000.0,140710000.0,85760000.0
Rent And Landing Fees,7640000.0,5300000.0,3510000.0
Gross Profit,3575800000.0,2718690000.0,2730230000.0
Cost Of Revenue,9024340000.0,6049600000.0,5601930000.0
Total Revenue,12600140000.0,8768290000.0,8332160000.0
Operating Revenue,12600140000.0,8768290000.0,8332160000.0
Ordinary Shares Number,176229137.0,176229137.0,176229137.0
Share Issued,176229137.0,176229137.0,176229137.0
Net Debt,1608290000.0,291910000.0,414310000.0
Total Debt,2182910000.0,1029390000.0,1204480000.0
Tangible Book Value,4506210000.0,4158050000.0,3328950000.0
Invested Capital,7662960000.0,6287500000.0,5629320000.0
Working Capital,1783530000.0,2334130000.0,1537340000.0
Net Tangible Assets,4506210000.0,4158050000.0,3328950000.0
Capital Lease Obligations,240510000.0,104440000.0,117030000.0
Common Stock Equity,5720560000.0,5362550000.0,4541870000.0
Total Capitalization,5759480000.0,5618400000.0,4814510000.0
Total Equity Gross Minority Interest,5828970000.0,5428940000.0,4582920000.0
Minority Interest,108410000.0,66390000.0,41050000.0
Stockholders Equity,5720560000.0,5362550000.0,4541870000.0
Other Equity Interest,35070000.0,10400000.0,
Retained Earnings,1462170000.0,1829180000.0,2168940000.0
Additional Paid In Capital,2524910000.0,2646430000.0,1577600000.0
Capital Stock,1376170000.0,7480000.0,7020000.0
Common Stock,1376170000.0,7480000.0,7020000.0
Total Liabilities Net Minority Interest,5713140000.0,3638600000.0,3676110000.0
Total Non Current Liabilities Net Minority Interest,484170000.0,541030000.0,558280000.0
Preferred Securities Outside Stock Equity,,,46620000.0
Non Current Pension And Other Postretirement Benefit Plans,69600000.0,59520000.0,47940000.0
Tradeand Other Payables Non Current,14630000.0,9480000.0,
Non Current Deferred Revenue,18430000.0,20430000.0,0.0
Non Current Deferred Taxes Liabilities,123700000.0,99890000.0,87030000.0
Long Term Debt And Capital Lease Obligation,257810000.0,344910000.0,376690000.0
Long Term Capital Lease Obligation,218890000.0,89060000.0,104050000.0
Long Term Debt,38920000.0,255850000.0,272640000.0
Current Liabilities,5228970000.0,3097570000.0,3117830000.0
Other Current Liabilities,,10000.0,
Current Debt And Capital Lease Obligation,1925100000.0,684480000.0,827790000.0
Current Capital Lease Obligation,21620000.0,15380000.0,12980000.0
Current Debt,1903480000.0,669100000.0,814810000.0
Pensionand Other Post Retirement Benefit Plans Current,,0.0,0.0
Current Provisions,40820000.0,34300000.0,31390000.0
Payables,2648630000.0,1966790000.0,1863400000.0
Other Payable,175200000.0,18700000.0,56370000.0
Total Tax Payable,68920000.0,45640000.0,75780000.0
Accounts Payable,2404510000.0,1902450000.0,1731250000.0
Total Assets,11542110000.0,9067540000.0,8259030000.0
Total Non Current Assets,4529610000.0,3635840000.0,3603860000.0
Other Non Current Assets,,4660000.0,4550000.0
Non Current Prepaid Assets,48520000.0,35820000.0,32520000.0
Non Current Deferred Taxes Assets,1080000.0,420000.0,7830000.0
Investmentin Financial Assets,46210000.0,31370000.0,24630000.0
Held To Maturity Securities,,4950000.0,4950000.0
Available For Sale Securities,22520000.0,2350000.0,1610000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,23690000.0,24070000.0,18070000.0
Long Term Equity Investment,2190000.0,2030000.0,2700000.0
Investmentsin Associatesat Cost,2190000.0,2030000.0,2700000.0
Investment Properties,4130000.0,4130000.0,4130000.0
Goodwill And Other Intangible Assets,1214350000.0,1204500000.0,1212920000.0
Other Intangible Assets,32500000.0,22650000.0,31070000.0
Goodwill,1181850000.0,1181850000.0,1181850000.0
Net PPE,3180110000.0,2212040000.0,2265190000.0
Accumulated Depreciation,-566340000.0,-361500000.0,-161240000.0
Gross PPE,3746450000.0,2573540000.0,2426430000.0
Construction In Progress,601870000.0,113270000.0,135430000.0
Other Properties,465030000.0,298750000.0,272190000.0
Machinery Furniture Equipment,1695850000.0,1517210000.0,1376700000.0
Buildings And Improvements,347500000.0,339610000.0,322840000.0
Land And Improvements,636200000.0,304700000.0,319270000.0
Properties,0.0,0.0,0.0
Current Assets,7012500000.0,5431700000.0,4655170000.0
Hedging Assets Current,390000.0,1550000.0,9730000.0
Restricted Cash,34970000.0,23470000.0,45560000.0
Prepaid Assets,291030000.0,203800000.0,178040000.0
Inventory,2913000000.0,1788750000.0,1419210000.0
Finished Goods,200040000.0,80100000.0,133790000.0
Work In Process,643590000.0,337780000.0,331110000.0
Raw Materials,2069370000.0,1370870000.0,954310000.0
Other Receivables,59000000.0,52650000.0,34700000.0
Taxes Receivable,294670000.0,208710000.0,154090000.0
Accounts Receivable,2722340000.0,2084340000.0,1804340000.0
Allowance For Doubtful Accounts Receivable,-58530000.0,-45210000.0,-49390000.0
Gross Accounts Receivable,2780870000.0,2129550000.0,1853730000.0
Cash Cash Equivalents And Short Term Investments,697100000.0,1068430000.0,1009500000.0
Other Short Term Investments,362990000.0,435390000.0,336360000.0
Cash And Cash Equivalents,334110000.0,633040000.0,673140000.0
Cash Equivalents,192020000.0,322950000.0,131570000.0
Cash Financial,142090000.0,310090000.0,541570000.0
Free Cash Flow,-1031130000.0,177320000.0,1073580000.0
Repurchase Of Capital Stock,,-1850000.0,0.0
Repayment Of Debt,-288340000.0,-1113270000.0,-868520000.0
Issuance Of Debt,1309140000.0,958140000.0,436810000.0
Issuance Of Capital Stock,2715250000.0,1080530000.0,45000000.0
Capital Expenditure,-904810000.0,-193820000.0,-484360000.0
End Cash Position,334110000.0,633040000.0,673140000.0
Other Cash Adjustment Outside Changein Cash,,,10000.0
Beginning Cash Position,633040000.0,673140000.0,165540000.0
Effect Of Exchange Rate Changes,-2170000.0,-3640000.0,33590000.0
Changes In Cash,-296760000.0,-36460000.0,474000000.0
Financing Cash Flow,3821190000.0,715620000.0,-593280000.0
Net Other Financing Charges,182160000.0,-114180000.0,-45020000.0
Interest Paid Cff,-70420000.0,-70160000.0,-119330000.0
Cash Dividends Paid,,,-20420000.0
Net Preferred Stock Issuance,,749280000.0,45000000.0
Preferred Stock Issuance,,749280000.0,45000000.0
Net Common Stock Issuance,2715250000.0,329400000.0,0.0
