,item,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,50474076.893707,5340529.67498,593994.115724,Income Statement
1,Tax Rate For Calcs,0.211348,0.199348,0.194116,Income Statement
2,Normalized EBITDA,949490000.0,610300000.0,608040000.0,Income Statement
3,Total Unusual Items,238820000.0,26790000.0,3060000.0,Income Statement
4,Total Unusual Items Excluding Goodwill,238820000.0,26790000.0,3060000.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,681640000.0,230820000.0,123260000.0,Income Statement
6,Reconciled Depreciation,171930000.0,157470000.0,155080000.0,Income Statement
7,Reconciled Cost Of Revenue,5541330000.0,4559990000.0,4112520000.0,Income Statement
8,EBIT,1016380000.0,479620000.0,456020000.0,Income Statement
9,Net Interest Income,-181690000.0,-225800000.0,-351160000.0,Income Statement
10,Interest Expense,152070000.0,191330000.0,303070000.0,Income Statement
11,Interest Income,5010000.0,7340000.0,6950000.0,Income Statement
12,Normalized Income,493294076.893707,209370529.67498,120793994.115724,Income Statement
13,Net Income From Continuing And Discontinued Operation,681640000.0,230820000.0,123260000.0,Income Statement
14,Total Expenses,7589330000.0,6362960000.0,5921090000.0,Income Statement
15,Rent Expense Supplemental,20190000.0,20160000.0,20960000.0,Income Statement
16,Diluted Average Shares,65292577.0,65292577.0,65292577.0,Income Statement
17,Basic Average Shares,65292577.0,65292577.0,65292577.0,Income Statement
18,Diluted EPS,10.439778,3.535164,1.88781,Income Statement
19,Basic EPS,10.439778,3.535164,1.88781,Income Statement
20,Diluted NI Availto Com Stockholders,681640000.0,230820000.0,123260000.0,Income Statement
21,Net Income Common Stockholders,681640000.0,230820000.0,123260000.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,Income Statement
23,Net Income,681640000.0,230820000.0,123260000.0,Income Statement
24,Net Income Including Noncontrolling Interests,681640000.0,230820000.0,123260000.0,Income Statement
25,Net Income Continuous Operations,681640000.0,230820000.0,123260000.0,Income Statement
26,Tax Provision,182670000.0,57470000.0,29690000.0,Income Statement
27,Pretax Income,864310000.0,288290000.0,152950000.0,Income Statement
28,Other Non Operating Income Expenses,23490000.0,20130000.0,37580000.0,Income Statement
29,Special Income Charges,238820000.0,21420000.0,3060000.0,Income Statement
30,Other Special Charges,-238820000.0,-21420000.0,-3060000.0,Income Statement
31,Net Non Operating Interest Income Expense,-181690000.0,-225800000.0,-351160000.0,Income Statement
32,Total Other Finance Cost,34630000.0,41810000.0,55040000.0,Income Statement
33,Interest Expense Non Operating,152070000.0,191330000.0,303070000.0,Income Statement
34,Interest Income Non Operating,5010000.0,7340000.0,6950000.0,Income Statement
35,Operating Income,803910000.0,533070000.0,489900000.0,Income Statement
36,Operating Expense,2048000000.0,1802970000.0,1808570000.0,Income Statement
37,Other Operating Expenses,431390000.0,357530000.0,367330000.0,Income Statement
38,Depreciation And Amortization In Income Statement,171930000.0,157470000.0,155080000.0,Income Statement
39,Amortization,62240000.0,61430000.0,62430000.0,Income Statement
40,Depreciation Income Statement,109690000.0,96040000.0,92650000.0,Income Statement
41,Selling General And Administration,124900000.0,84410000.0,110760000.0,Income Statement
42,Selling And Marketing Expense,10100000.0,1420000.0,4590000.0,Income Statement
43,General And Administrative Expense,114800000.0,82990000.0,106170000.0,Income Statement
44,Rent And Landing Fees,20190000.0,20160000.0,20960000.0,Income Statement
45,Gross Profit,2851910000.0,2336040000.0,2298470000.0,Income Statement
46,Cost Of Revenue,5541330000.0,4559990000.0,4112520000.0,Income Statement
47,Total Revenue,8393240000.0,6896030000.0,6410990000.0,Income Statement
48,Operating Revenue,8393240000.0,6896030000.0,6410990000.0,Income Statement
0,Ordinary Shares Number,65292577.0,65292577.0,65292577.0,Balance Sheet
1,Share Issued,65292577.0,65292577.0,65292577.0,Balance Sheet
2,Net Debt,2863000000.0,2640040000.0,2239680000.0,Balance Sheet
3,Total Debt,3176500000.0,3162840000.0,2743330000.0,Balance Sheet
4,Tangible Book Value,865630000.0,591280000.0,458400000.0,Balance Sheet
5,Invested Capital,3812440000.0,3552770000.0,2950540000.0,Balance Sheet
6,Working Capital,512720000.0,4440000.0,-543320000.0,Balance Sheet
7,Net Tangible Assets,865630000.0,591280000.0,458400000.0,Balance Sheet
8,Capital Lease Obligations,235970000.0,209520000.0,258520000.0,Balance Sheet
9,Common Stock Equity,871910000.0,599450000.0,465730000.0,Balance Sheet
10,Total Capitalization,1613740000.0,1411220000.0,961480000.0,Balance Sheet
11,Total Equity Gross Minority Interest,871910000.0,282080000.0,34460000.0,Balance Sheet
12,Minority Interest,0.0,-317370000.0,-431270000.0,Balance Sheet
13,Stockholders Equity,871910000.0,599450000.0,465730000.0,Balance Sheet
14,Other Equity Interest,,10000.0,,Balance Sheet
15,Retained Earnings,909670000.0,232340000.0,27130000.0,Balance Sheet
16,Additional Paid In Capital,536770000.0,539630000.0,467590000.0,Balance Sheet
17,Capital Stock,15970000.0,15970000.0,15300000.0,Balance Sheet
18,Common Stock,15970000.0,15970000.0,15300000.0,Balance Sheet
19,Total Liabilities Net Minority Interest,5007710000.0,4842760000.0,4462030000.0,Balance Sheet
20,Total Non Current Liabilities Net Minority Interest,1017570000.0,1051090000.0,792130000.0,Balance Sheet
21,Other Non Current Liabilities,,4360000.0,10510000.0,Balance Sheet
22,Tradeand Other Payables Non Current,19650000.0,1660000.0,8980000.0,Balance Sheet
23,Long Term Debt And Capital Lease Obligation,911840000.0,967670000.0,700910000.0,Balance Sheet
24,Long Term Capital Lease Obligation,170010000.0,155900000.0,205160000.0,Balance Sheet
25,Long Term Debt,741830000.0,811770000.0,495750000.0,Balance Sheet
26,Long Term Provisions,86080000.0,77400000.0,71730000.0,Balance Sheet
27,Current Liabilities,3990140000.0,3791670000.0,3669900000.0,Balance Sheet
28,Other Current Liabilities,45150000.0,29420000.0,48110000.0,Balance Sheet
29,Current Debt And Capital Lease Obligation,2264660000.0,2195170000.0,2042420000.0,Balance Sheet
30,Current Capital Lease Obligation,65960000.0,53620000.0,53360000.0,Balance Sheet
31,Current Debt,2198700000.0,2141550000.0,1989060000.0,Balance Sheet
32,Pensionand Other Post Retirement Benefit Plans Current,60370000.0,57810000.0,59850000.0,Balance Sheet
33,Current Provisions,11130000.0,12380000.0,13060000.0,Balance Sheet
34,Payables,1317070000.0,1384340000.0,1448840000.0,Balance Sheet
