,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,4111394.4,-734082.642518,-1258031.7748
Tax Rate For Calcs,0.2658,0.287768,0.274494
Normalized EBITDA,83403000.0,79174449.0,61221114.0
Total Unusual Items,15468000.0,-2550951.0,-4583086.0
Total Unusual Items Excluding Goodwill,15468000.0,-2550951.0,-4583086.0
Net Income From Continuing Operation Net Minority Interest,31534000.0,30807289.0,23897621.0
Reconciled Depreciation,22378000.0,13931966.0,9441632.0
Reconciled Cost Of Revenue,1577046000.0,882823243.0,644696870.0
EBIT,75599000.0,62691532.0,47196396.0
Net Interest Income,-39948000.0,-26265893.0,-16712296.0
Interest Expense,32649000.0,22033433.0,14257128.0
Interest Income,551000.0,1102982.0,1275100.0
Normalized Income,20177394.4,32624157.357482,27222675.2252
Net Income From Continuing And Discontinued Operation,31534000.0,30807289.0,23897621.0
Total Expenses,1656575000.0,950522170.0,710008205.0
Rent Expense Supplemental,883000.0,8635715.0,7468440.0
Diluted Average Shares,5398144.0,5398144.0,10796288.0
Basic Average Shares,5398144.0,5398144.0,10796288.0
Diluted EPS,5.843571,4.354763,4.429204
Basic EPS,5.843571,4.354763,4.429204
Diluted NI Availto Com Stockholders,31534000.0,30516712.0,23897621.0
Net Income Common Stockholders,31534000.0,30516712.0,23897621.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,31534000.0,30516712.0,23897621.0
Minority Interests,,1849299.0,
Net Income Including Noncontrolling Interests,31534000.0,28667413.0,23897621.0
Net Income Extraordinary,,-290577.0,
Net Income Continuous Operations,31534000.0,28957990.0,23897621.0
Tax Provision,11416000.0,11700109.0,9041647.0
Pretax Income,42950000.0,40658099.0,32939268.0
Other Non Operating Income Expenses,4130000.0,84065.0,320276.0
Special Income Charges,363000.0,-2550951.0,-4583086.0
Other Special Charges,,548610.0,
Write Off,-363000.0,2550951.0,4583086.0
Net Non Operating Interest Income Expense,-39948000.0,-26265893.0,-16712296.0
Total Other Finance Cost,7850000.0,5335442.0,3730268.0
Interest Expense Non Operating,32649000.0,22033433.0,14257128.0
Interest Income Non Operating,551000.0,1102982.0,1275100.0
Operating Income,53007000.0,66841042.0,46934111.0
Operating Expense,79529000.0,67698927.0,65311335.0
Other Operating Expenses,4603000.0,3371701.0,2864284.0
Depreciation And Amortization In Income Statement,23272000.0,13931966.0,9441632.0
Depreciation Income Statement,23272000.0,13931966.0,9441632.0
Selling General And Administration,40830000.0,45371439.0,43863618.0
Selling And Marketing Expense,21595000.0,24351114.0,25435439.0
General And Administrative Expense,19235000.0,21020325.0,18428179.0
Rent And Landing Fees,883000.0,8635715.0,7468440.0
Gross Profit,132536000.0,134539969.0,112245446.0
Cost Of Revenue,1577046000.0,882823243.0,644696870.0
Total Revenue,1709582000.0,1017363212.0,756942316.0
Operating Revenue,1709582000.0,1017363212.0,756942316.0
Ordinary Shares Number,10796288.0,10796288.0,10796288.0
Share Issued,10796288.0,10796288.0,10796288.0
Net Debt,404815000.0,331212895.0,143683311.0
Total Debt,406899000.0,358854481.0,167741829.0
Tangible Book Value,242985000.0,228331363.0,207746321.0
Invested Capital,656138000.0,592811468.0,376134145.0
