,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,114854.2,6387900.0,27280.524193
Tax Rate For Calcs,0.241172,0.2558,0.3,0.186853
Normalized EBITDA,4086900000.0,3670460000.0,922411000.0,2008409000.0
Total Unusual Items,0.0,449000.0,21293000.0,146000.0
Total Unusual Items Excluding Goodwill,0.0,449000.0,21293000.0,146000.0
Net Income From Continuing Operation Net Minority Interest,2509900000.0,2162378000.0,35800000.0,692472000.0
Reconciled Depreciation,581900000.0,589165000.0,611690000.0,730354000.0
Reconciled Cost Of Revenue,10813100000.0,9838225000.0,6808591000.0,8891665000.0
EBIT,3505000000.0,3081744000.0,332014000.0,1278201000.0
Net Interest Income,-197400000.0,-57458000.0,-177367000.0,-277990000.0
Interest Expense,197400000.0,176295000.0,297342000.0,426606000.0
Interest Income,144056000.0,123202000.0,122246000.0,152177000.0
Normalized Income,2509900000.0,2162043854.2,20894900.0,692353280.524193
Net Income From Continuing And Discontinued Operation,2509900000.0,2162378000.0,35800000.0,692472000.0
Total Expenses,19222700000.0,16175190000.0,10926777000.0,15951093000.0
Rent Expense Supplemental,14022000.0,11975000.0,15021000.0,60537000.0
Diluted Average Shares,46870080.0,46870080.0,46870080.0,46870080.0
Basic Average Shares,46870080.0,46870080.0,46870080.0,46870080.0
Diluted EPS,53.55,46.14,0.76,14.77
Basic EPS,53.55,46.14,0.76,14.77
Diluted NI Availto Com Stockholders,2509900000.0,2162378000.0,35800000.0,692472000.0
Net Income Common Stockholders,2509900000.0,2162378000.0,35800000.0,692472000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2509900000.0,2162378000.0,35800000.0,692472000.0
Minority Interests,0.0,0.0,,
Net Income Including Noncontrolling Interests,2509900000.0,2162378000.0,35800000.0,692472000.0
Net Income Continuous Operations,2509900000.0,2162378000.0,35800000.0,692472000.0
Tax Provision,797700000.0,743071000.0,-1128000.0,159123000.0
Pretax Income,3307600000.0,2905449000.0,34672000.0,851595000.0
Other Non Operating Income Expenses,402600000.0,80935000.0,220960000.0,146103000.0
Special Income Charges,0.0,-6567000.0,15100000.0,146000.0
Other Special Charges,-61975000.0,-67145000.0,-16047000.0,-13449000.0
Write Off,-190000.0,73576000.0,,1725000.0
Impairment Of Capital Assets,0.0,136000.0,947000.0,11578000.0
Net Non Operating Interest Income Expense,-197400000.0,-57458000.0,-177367000.0,-277990000.0
Total Other Finance Cost,3269000.0,4365000.0,2271000.0,3561000.0
Interest Expense Non Operating,197400000.0,176295000.0,297342000.0,426606000.0
Interest Income Non Operating,144056000.0,123202000.0,122246000.0,152177000.0
Operating Income,3102400000.0,2842325000.0,-53970000.0,1009497000.0
Operating Expense,8409600000.0,6336965000.0,4118186000.0,7059428000.0
Other Operating Expenses,6029500000.0,3592224000.0,1941275000.0,3156667000.0
Depreciation And Amortization In Income Statement,581900000.0,589165000.0,611690000.0,730354000.0
Amortization,5005000.0,6662000.0,14859000.0,18799000.0
Depreciation Income Statement,581900000.0,582503000.0,596831000.0,711555000.0
Selling General And Administration,588517000.0,595777000.0,352518000.0,1210183000.0
Selling And Marketing Expense,462304000.0,478922000.0,241178000.0,998538000.0
General And Administrative Expense,126213000.0,116855000.0,111340000.0,211645000.0
Rent And Landing Fees,14022000.0,11975000.0,15021000.0,60537000.0
Gross Profit,11512000000.0,9179290000.0,4064216000.0,8068925000.0
Cost Of Revenue,10813100000.0,9838225000.0,6808591000.0,8891665000.0
Total Revenue,22325100000.0,19017515000.0,10872807000.0,16960590000.0
Operating Revenue,22325100000.0,19017515000.0,10872807000.0,16960590000.0
Ordinary Shares Number,46870080.0,46870080.0,46870080.0,46870080.0
Share Issued,46870080.0,46870080.0,46870080.0,46870080.0
Net Debt,1461200000.0,2065852000.0,1092888000.0,3801247000.0
Total Debt,1627400000.0,2227236000.0,1392948000.0,4329661000.0
Tangible Book Value,11404900000.0,9307572000.0,7631007000.0,7567461000.0
Invested Capital,12905200000.0,11455000000.0,8815002000.0,11464645000.0
Working Capital,6845300000.0,5142199000.0,3769695000.0,3891825000.0
Net Tangible Assets,11404900000.0,9307572000.0,7631007000.0,7567461000.0
Capital Lease Obligations,131200000.0,112065000.0,247568000.0,485749000.0
Common Stock Equity,11409000000.0,9339829000.0,7669622000.0,7620733000.0
Total Capitalization,11501100000.0,9707989000.0,8262463000.0,8627142000.0
Total Equity Gross Minority Interest,11409000000.0,9339829000.0,7669622000.0,7620733000.0
Stockholders Equity,11409000000.0,9339829000.0,7669622000.0,7620733000.0
Other Equity Interest,11315300000.0,9246100000.0,7575900000.0,
Retained Earnings,194362000.0,166564000.0,495565000.0,443727000.0
Additional Paid In Capital,79961000.0,79961000.0,79961000.0,79961000.0
