,item,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,-8608842.120515,132210360.0,89164246.6556,340740814.594824,Income Statement
1,Tax Rate For Calcs,0.286961,0.2274,0.115663,0.357658,Income Statement
2,Normalized EBITDA,14187700000.0,6693700000.0,2237600000.0,5634200000.0,Income Statement
3,Total Unusual Items,-30000000.0,581400000.0,781000000.0,952700000.0,Income Statement
4,Total Unusual Items Excluding Goodwill,-30000000.0,581400000.0,770900000.0,952700000.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,4446900000.0,1058300000.0,-1461700000.0,1227800000.0,Income Statement
6,Reconciled Depreciation,4944200000.0,3115500000.0,2580300000.0,2479700000.0,Income Statement
7,Reconciled Cost Of Revenue,47197400000.0,24815400000.0,15340000000.0,18817500000.0,Income Statement
8,EBIT,9213500000.0,4159600000.0,438300000.0,4107200000.0,Income Statement
9,Net Interest Income,-3692200000.0,-3038700000.0,-2332700000.0,-2306800000.0,Income Statement
10,Interest Expense,3692200000.0,3047400000.0,2486500000.0,2457300000.0,Income Statement
11,Interest Income,166700000.0,209700000.0,275200000.0,326900000.0,Income Statement
12,Normalized Income,4468291157.879485,609110360.0,-2133335753.3444,615840814.594824,Income Statement
13,Net Income From Continuing And Discontinued Operation,4446900000.0,1058300000.0,-1461700000.0,1227800000.0,Income Statement
14,Total Expenses,76620600000.0,41759600000.0,26485700000.0,31503800000.0,Income Statement
15,Rent Expense Supplemental,6837600000.0,3597200000.0,1803300000.0,1935000000.0,Income Statement
16,Diluted Average Shares,355487461.0,355487461.0,355487461.0,347447344.0,Income Statement
17,Basic Average Shares,355487461.0,355487461.0,355487461.0,347447344.0,Income Statement
18,Diluted EPS,12.51,2.98,-4.11,3.54,Income Statement
19,Basic EPS,12.51,2.98,-4.11,3.54,Income Statement
20,Diluted NI Availto Com Stockholders,4446900000.0,1058300000.0,-1461700000.0,1227800000.0,Income Statement
21,Net Income Common Stockholders,4446900000.0,1058300000.0,-1461700000.0,1227800000.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,Income Statement
23,Net Income,4446900000.0,1058300000.0,-1461700000.0,1227800000.0,Income Statement
24,Minority Interests,510000000.0,712300000.0,349600000.0,168000000.0,Income Statement
25,Net Income Including Noncontrolling Interests,3936900000.0,346000000.0,-1811300000.0,1059800000.0,Income Statement
26,Net Income Continuous Operations,3936900000.0,346000000.0,-1811300000.0,1059800000.0,Income Statement
27,Tax Provision,1584400000.0,766200000.0,-236900000.0,590100000.0,Income Statement
28,Pretax Income,5521300000.0,1112200000.0,-2048200000.0,1649900000.0,Income Statement
29,Other Non Operating Income Expenses,2609200000.0,746300000.0,931000000.0,48300000.0,Income Statement
30,Special Income Charges,-30000000.0,273400000.0,543400000.0,591900000.0,Income Statement
31,Other Special Charges,30000000.0,-392400000.0,-568400000.0,-591900000.0,Income Statement
32,Impairment Of Capital Assets,,0.0,14900000.0,,Income Statement
33,Restructuring And Mergern Acquisition,0.0,119000000.0,,,Income Statement
34,Net Non Operating Interest Income Expense,-3692200000.0,-3038700000.0,-2332700000.0,-2306800000.0,Income Statement
35,Total Other Finance Cost,398400000.0,201000000.0,121400000.0,176400000.0,Income Statement
36,Interest Expense Non Operating,3692200000.0,3047400000.0,2486500000.0,2457300000.0,Income Statement
37,Interest Income Non Operating,166700000.0,209700000.0,275200000.0,326900000.0,Income Statement
