,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,61701.113391,-171000.0,-76800.0
Tax Rate For Calcs,0.232677,0.289677,0.3,0.3
Normalized EBITDA,310310000.0,573145000.0,249623000.0,149758000.0
Total Unusual Items,0.0,213000.0,-570000.0,-256000.0
Total Unusual Items Excluding Goodwill,0.0,213000.0,-570000.0,-256000.0
Net Income From Continuing Operation Net Minority Interest,97628000.0,287985000.0,45263000.0,11230000.0
Reconciled Depreciation,73314000.0,75254000.0,75187000.0,59377000.0
Reconciled Cost Of Revenue,2220193000.0,2595913000.0,1601031000.0,1466025000.0
EBIT,236996000.0,498104000.0,173866000.0,90125000.0
Net Interest Income,-109764000.0,-103839000.0,-113758000.0,-90340000.0
Interest Expense,109764000.0,92676000.0,103861000.0,84110000.0
Interest Income,,4919000.0,2685000.0,2720000.0
Normalized Income,97628000.0,287833701.113391,45662000.0,11409200.0
Net Income From Continuing And Discontinued Operation,97628000.0,287985000.0,45263000.0,11230000.0
Total Expenses,2811869000.0,2877662000.0,1851176000.0,1657180000.0
Rent Expense Supplemental,,1200000.0,1200000.0,1200000.0
Diluted Average Shares,,17667791.0,17669000.0,17669000.0
Basic Average Shares,,17667791.0,17669000.0,17669000.0
Diluted EPS,,16.3,2.53,0.64
Basic EPS,,16.3,2.53,0.64
Diluted NI Availto Com Stockholders,97628000.0,287985000.0,45263000.0,11230000.0
Net Income Common Stockholders,97628000.0,287985000.0,45263000.0,11230000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,97628000.0,287985000.0,45263000.0,11230000.0
Net Income Including Noncontrolling Interests,97628000.0,287985000.0,94747000.0,11230000.0
Net Income Discontinuous Operations,,,0.0,
Net Income Continuous Operations,97628000.0,287985000.0,94747000.0,11230000.0
Tax Provision,29604000.0,117443000.0,-24742000.0,-5215000.0
Pretax Income,127232000.0,405428000.0,70005000.0,6015000.0
Other Non Operating Income Expenses,2272000.0,5132000.0,2996000.0,390000.0
Special Income Charges,0.0,213000.0,-570000.0,-256000.0
Other Special Charges,,-213000.0,101000.0,-213000.0
Write Off,,,469000.0,469000.0
Net Non Operating Interest Income Expense,-109764000.0,-103839000.0,-113758000.0,-90340000.0
Total Other Finance Cost,,16082000.0,12582000.0,8950000.0
Interest Expense Non Operating,109764000.0,92676000.0,103861000.0,84110000.0
Interest Income Non Operating,,4919000.0,2685000.0,2720000.0
Operating Income,234724000.0,509054000.0,184537000.0,96221000.0
Operating Expense,591676000.0,281749000.0,250145000.0,191155000.0
