,item,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,-22124.754512,-318401.975376,Income Statement
1,Tax Rate For Calcs,0.266502,0.250479,Income Statement
2,Normalized EBITDA,93891299.0,108770418.9,Income Statement
3,Total Unusual Items,-83019.0,-1271173.0,Income Statement
4,Total Unusual Items Excluding Goodwill,-83019.0,-1271173.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,42369633.0,53470812.0,Income Statement
6,Reconciled Depreciation,284856.0,246355.0,Income Statement
7,Reconciled Cost Of Revenue,3250071985.0,3351771181.0,Income Statement
8,EBIT,93523424.0,107252890.9,Income Statement
9,Net Interest Income,-22850304.0,-20985539.9,Income Statement
10,Interest Expense,35759600.0,35912924.9,Income Statement
11,Interest Income,14757947.0,16105182.0,Income Statement
12,Normalized Income,42430527.245488,54423583.024624,Income Statement
13,Net Income From Continuing And Discontinued Operation,42369633.0,53470812.0,Income Statement
14,Total Expenses,3282084075.0,3376863249.72,Income Statement
15,Rent Expense Supplemental,1716000.0,1560000.0,Income Statement
16,Diluted Average Shares,53660055.0,53660055.0,Income Statement
17,Basic Average Shares,53660055.0,53660055.0,Income Statement
18,Diluted EPS,0.79,0.996,Income Statement
19,Basic EPS,0.79,0.996,Income Statement
20,Diluted NI Availto Com Stockholders,42369633.0,53470812.0,Income Statement
21,Net Income Common Stockholders,42369633.0,53470812.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,Income Statement
23,Net Income,42369633.0,53470812.0,Income Statement
24,Net Income Including Noncontrolling Interests,42369632.0,53470812.0,Income Statement
25,Net Income Continuous Operations,42369632.0,53470812.0,Income Statement
26,Tax Provision,15394192.0,17869154.0,Income Statement
27,Pretax Income,57763824.0,71339966.0,Income Statement
28,Other Non Operating Income Expenses,28585000.0,679000.0,Income Statement
29,Special Income Charges,-83019.0,-1271173.0,Income Statement
30,Other Special Charges,83019.0,1334459.0,Income Statement
31,Write Off,0.0,-63286.0,Income Statement
32,Net Non Operating Interest Income Expense,-22850304.0,-20985539.9,Income Statement
33,Total Other Finance Cost,1848651.0,1177797.0,Income Statement
34,Interest Expense Non Operating,35759600.0,35912924.9,Income Statement
35,Interest Income Non Operating,14757947.0,16105182.0,Income Statement
36,Operating Income,85488108.0,62623112.28,Income Statement
37,Operating Expense,32012090.0,25092068.72,Income Statement
38,Other Operating Expenses,3325561.0,180124.0,Income Statement
39,Depreciation And Amortization In Income Statement,284856.0,246355.0,Income Statement
40,Depreciation Income Statement,284856.0,246355.0,Income Statement
41,Selling General And Administration,9923131.0,8444153.72,Income Statement
42,Selling And Marketing Expense,5536368.0,2644952.0,Income Statement
43,General And Administrative Expense,4386763.0,5799201.72,Income Statement
44,Rent And Landing Fees,1716000.0,1560000.0,Income Statement
45,Gross Profit,117500198.0,87715181.0,Income Statement
46,Cost Of Revenue,3250071985.0,3351771181.0,Income Statement
47,Total Revenue,3367572183.0,3439486362.0,Income Statement
48,Operating Revenue,3367572183.0,3439486362.0,Income Statement
0,Ordinary Shares Number,53660055.0,53660055.0,Balance Sheet
1,Share Issued,53660055.0,53660055.0,Balance Sheet
2,Net Debt,260751935.0,223280466.0,Balance Sheet
3,Total Debt,355373556.0,598561009.0,Balance Sheet
4,Tangible Book Value,402036439.0,359666807.0,Balance Sheet
5,Invested Capital,757409995.0,958227816.0,Balance Sheet
6,Working Capital,398516359.0,352301850.0,Balance Sheet
7,Net Tangible Assets,402036439.0,359666807.0,Balance Sheet
8,Common Stock Equity,402036439.0,359666807.0,Balance Sheet
9,Total Capitalization,402036439.0,359666807.0,Balance Sheet
10,Total Equity Gross Minority Interest,402036439.0,359666807.0,Balance Sheet
11,Stockholders Equity,402036439.0,359666807.0,Balance Sheet
12,Retained Earnings,190868959.0,148499327.0,Balance Sheet
13,Additional Paid In Capital,103847370.0,103847370.0,Balance Sheet
14,Capital Stock,107320110.0,107320110.0,Balance Sheet
15,Common Stock,107320110.0,107320110.0,Balance Sheet
16,Total Liabilities Net Minority Interest,369303346.0,674299028.0,Balance Sheet
17,Total Non Current Liabilities Net Minority Interest,1.0,1.0,Balance Sheet
18,Other Non Current Liabilities,,1.0,Balance Sheet
19,Non Current Deferred Taxes Liabilities,0.0,0.0,Balance Sheet
20,Long Term Debt And Capital Lease Obligation,0.0,0.0,Balance Sheet
21,Long Term Debt,0.0,0.0,Balance Sheet
22,Current Liabilities,369303345.0,674299027.0,Balance Sheet
23,Other Current Liabilities,958924.0,2015917.0,Balance Sheet
24,Current Deferred Taxes Liabilities,15339424.0,17907802.0,Balance Sheet
25,Current Debt And Capital Lease Obligation,355373556.0,598561009.0,Balance Sheet
26,Current Debt,355373556.0,598561009.0,Balance Sheet
27,Current Provisions,15341000.0,,Balance Sheet
28,Payables,-2368559.0,55814299.0,Balance Sheet
29,Other Payable,1353301.0,15435977.0,Balance Sheet
30,Accounts Payable,-3721860.0,40378322.0,Balance Sheet
31,Total Assets,771339785.0,1033965835.0,Balance Sheet
32,Total Non Current Assets,3520081.0,7364962.0,Balance Sheet
33,Other Non Current Assets,261775.0,344794.0,Balance Sheet
34,Non Current Prepaid Assets,1266250.0,6291250.0,Balance Sheet
35,Non Current Deferred Taxes Assets,171905.0,151161.0,Balance Sheet
36,Goodwill And Other Intangible Assets,0.0,0.0,Balance Sheet
37,Net PPE,1820151.0,577757.0,Balance Sheet
38,Gross PPE,1820151.0,577757.0,Balance Sheet
39,Construction In Progress,0.0,0.0,Balance Sheet
40,Other Properties,1820151.0,577757.0,Balance Sheet
41,Current Assets,767819704.0,1026600877.0,Balance Sheet
42,Prepaid Assets,17985772.0,24228222.0,Balance Sheet
43,Inventory,235559306.0,272309070.0,Balance Sheet
44,Finished Goods,7668624.0,90237105.0,Balance Sheet
45,Work In Process,185001132.0,163212691.0,Balance Sheet
46,Raw Materials,42889550.0,18859274.0,Balance Sheet
47,Other Receivables,263760.0,180354.0,Balance Sheet
