,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-22600000.0,53310000.0,-571530000.0
Tax Rate For Calcs,0.119967,0.4,0.3,0.3
Normalized EBITDA,-997500000.0,-1274300000.0,-623300000.0,-976400000.0
Total Unusual Items,,-56500000.0,177700000.0,-1320900000.0
Total Unusual Items Excluding Goodwill,,-56500000.0,177700000.0,-1905100000.0
Net Income From Continuing Operation Net Minority Interest,948500000.0,-1760000000.0,-944800000.0,-2955300000.0
Reconciled Depreciation,13500000.0,228800000.0,290200000.0,321300000.0
Reconciled Cost Of Revenue,938300000.0,2827000000.0,2626300000.0,2391300000.0
EBIT,-1011000000.0,-1559600000.0,-735800000.0,-2618600000.0
Net Interest Income,,240800000.0,476800000.0,396700000.0
Interest Expense,,6100000.0,11600000.0,48800000.0
Interest Income,,247400000.0,483500000.0,455400000.0
Normalized Income,948500000.0,-1726100000.0,-1069190000.0,-1037530000.0
Net Income From Continuing And Discontinued Operation,948500000.0,-1760000000.0,-944800000.0,-2955300000.0
Total Expenses,1012100000.0,3517500000.0,3062000000.0,3745700000.0
Rent Expense Supplemental,,250700000.0,181500000.0,37200000.0
Diluted Average Shares,,100461751.0,89325569.0,89325569.0
Basic Average Shares,,100461751.0,89325569.0,89325569.0
Diluted EPS,,-14.51,-10.58,-33.08
Basic EPS,,-14.51,-10.58,-33.08
Diluted NI Availto Com Stockholders,948500000.0,-1760000000.0,-944800000.0,-2955300000.0
Net Income Common Stockholders,948500000.0,-1760000000.0,-944800000.0,-2955300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,948500000.0,-1760000000.0,-944800000.0,-2955300000.0
Minority Interests,,-21900000.0,-68300000.0,-23500000.0
Net Income Including Noncontrolling Interests,948500000.0,-1738100000.0,-876500000.0,-2931800000.0
Net Income Continuous Operations,745300000.0,-1738100000.0,-876500000.0,-2931800000.0
Tax Provision,101600000.0,172400000.0,129100000.0,264400000.0
Pretax Income,846900000.0,-1565700000.0,-747400000.0,-2667400000.0
Other Non Operating Income Expenses,1857900000.0,15800000.0,1600000.0,15200000.0
Special Income Charges,,-53700000.0,192000000.0,-437700000.0
Other Special Charges,,-17100000.0,-228900000.0,-153900000.0
Write Off,,67200000.0,36900000.0,7400000.0
Impairment Of Capital Assets,,-200000.0,,
Restructuring And Mergern Acquisition,,3800000.0,,
Net Non Operating Interest Income Expense,,240800000.0,476800000.0,396700000.0
Total Other Finance Cost,,500000.0,-4900000.0,9900000.0
Interest Expense Non Operating,,6100000.0,11600000.0,48800000.0
Interest Income Non Operating,,247400000.0,483500000.0,455400000.0
Operating Income,-1011000000.0,-1917700000.0,-1396100000.0,-1524700000.0
Operating Expense,73800000.0,690500000.0,435700000.0,1354400000.0
Other Operating Expenses,60300000.0,228800000.0,51100000.0,272900000.0
Depreciation And Amortization In Income Statement,13500000.0,228800000.0,290200000.0,321300000.0
Amortization,,18600000.0,15900000.0,7900000.0
Depreciation Income Statement,13500000.0,210200000.0,274300000.0,313400000.0
Selling General And Administration,,175700000.0,48700000.0,119800000.0
Selling And Marketing Expense,,139200000.0,11800000.0,62600000.0
General And Administrative Expense,,36500000.0,36900000.0,57200000.0
Rent And Landing Fees,,7200000.0,4900000.0,2200000.0
Gross Profit,-937200000.0,-1227200000.0,-960400000.0,-170300000.0
Cost Of Revenue,938300000.0,2827000000.0,2626300000.0,2391300000.0
Total Revenue,1100000.0,1599800000.0,1665900000.0,2221000000.0
Operating Revenue,1100000.0,1599800000.0,1665900000.0,2221000000.0
Treasury Shares Number,,1754327.0,1754327.0,
Ordinary Shares Number,,89325569.0,89325569.0,89325569.0
Share Issued,,89325569.0,89325569.0,89325569.0
Net Debt,2139900000.0,5655700000.0,3058000000.0,11198000000.0
Total Debt,2143000000.0,5744300000.0,3361500000.0,11434100000.0
Tangible Book Value,-2230500000.0,1537400000.0,3312800000.0,2182900000.0
Invested Capital,-87500000.0,8013400000.0,7439400000.0,14383000000.0
Working Capital,-316100000.0,5933300000.0,-2019900000.0,-3868200000.0
Net Tangible Assets,-2230500000.0,1537400000.0,3312800000.0,2182900000.0
Capital Lease Obligations,0.0,27200000.0,39100000.0,133100000.0
Common Stock Equity,-2230500000.0,2296300000.0,4117000000.0,3082000000.0
Total Capitalization,-87500000.0,7858100000.0,4796700000.0,3340800000.0
Total Equity Gross Minority Interest,-2230500000.0,3240700000.0,5037800000.0,3930200000.0
Minority Interest,,944400000.0,920800000.0,848200000.0
Stockholders Equity,-2230500000.0,2296300000.0,4117000000.0,3082000000.0
Other Equity Interest,-2427900000.0,,,
Retained Earnings,,-7009900000.0,-5243500000.0,-4258500000.0
Additional Paid In Capital,,9626400000.0,9626400000.0,9802800000.0
Capital Stock,197400000.0,175100000.0,175100000.0,178700000.0
Common Stock,197400000.0,175100000.0,175100000.0,178700000.0
Total Liabilities Net Minority Interest,2606400000.0,7363800000.0,11220600000.0,12912800000.0
Total Non Current Liabilities Net Minority Interest,2143600000.0,5736800000.0,779300000.0,435300000.0
Other Non Current Liabilities,,11000000.0,21100000.0,
Tradeand Other Payables Non Current,,99600000.0,,
Non Current Deferred Taxes Liabilities,,11000000.0,21100000.0,29500000.0
Long Term Debt And Capital Lease Obligation,2143000000.0,5577900000.0,714900000.0,359000000.0
Long Term Capital Lease Obligation,0.0,16100000.0,35200000.0,100200000.0
Long Term Debt,2143000000.0,5561800000.0,679700000.0,258800000.0
Long Term Provisions,600000.0,48300000.0,43300000.0,46800000.0
Current Liabilities,462800000.0,1627000000.0,10441300000.0,12477500000.0
Other Current Liabilities,800000.0,4500000.0,300000.0,900000.0
Current Deferred Taxes Liabilities,,237900000.0,127400000.0,92200000.0
Current Debt And Capital Lease Obligation,0.0,166400000.0,2646600000.0,11075100000.0
Current Capital Lease Obligation,0.0,11100000.0,3900000.0,32900000.0
Current Debt,,155300000.0,2642700000.0,11042200000.0
Pensionand Other Post Retirement Benefit Plans Current,,700000.0,600000.0,
Current Provisions,,700000.0,600000.0,800000.0
Payables,407100000.0,1093200000.0,628100000.0,1285900000.0
Other Payable,,325700000.0,253900000.0,967100000.0
Dividends Payable,,,,500000.0
Total Tax Payable,97000000.0,,,
Accounts Payable,310100000.0,767500000.0,374200000.0,318300000.0
Total Assets,375900000.0,10604500000.0,16258400000.0,16843000000.0
Total Non Current Assets,229200000.0,3044200000.0,7837000000.0,8233700000.0
