,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-15264.095577,62165146.114177
Tax Rate For Calcs,0.000524,0.282276
Normalized EBITDA,152552000.0,-124002000.0
Total Unusual Items,-29130000.0,220228000.0
Total Unusual Items Excluding Goodwill,-29130000.0,220228000.0
Net Income From Continuing Operation Net Minority Interest,76296000.0,-15866000.0
Reconciled Depreciation,4651000.0,10118000.0
Reconciled Cost Of Revenue,173308000.0,180089000.0
EBIT,118771000.0,86108000.0
Net Interest Income,-40208000.0,-107237000.0
Interest Expense,42435000.0,108214000.0
Interest Income,2591000.0,1290000.0
Normalized Income,105410735.904423,-173928853.885823
Net Income From Continuing And Discontinued Operation,76296000.0,-15866000.0
Total Expenses,278328000.0,377336000.0
Rent Expense Supplemental,3174000.0,6221000.0
Diluted Average Shares,17588021.0,17588021.0
Basic Average Shares,17588021.0,17588021.0
Diluted EPS,4.34,-0.9
Basic EPS,4.34,-0.9
Diluted NI Availto Com Stockholders,76296000.0,-15866000.0
Net Income Common Stockholders,76296000.0,-15866000.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,76296000.0,-15866000.0
Minority Interests,0.0,0.0
Net Income Including Noncontrolling Interests,76296000.0,-15866000.0
Net Income Continuous Operations,76296000.0,-15866000.0
Tax Provision,40000.0,-6240000.0
Pretax Income,76336000.0,-22106000.0
Other Non Operating Income Expenses,56096000.0,46750000.0
Special Income Charges,-29130000.0,220228000.0
Other Special Charges,-2316000.0,-225049000.0
Write Off,31446000.0,4821000.0
Net Non Operating Interest Income Expense,-40208000.0,-107237000.0
Total Other Finance Cost,364000.0,313000.0
Interest Expense Non Operating,42435000.0,108214000.0
Interest Income Non Operating,2591000.0,1290000.0
Operating Income,89665000.0,-183441000.0
Operating Expense,105020000.0,197247000.0
Other Operating Expenses,49186000.0,62806000.0
Depreciation And Amortization In Income Statement,4651000.0,10118000.0
Depreciation Income Statement,4651000.0,10118000.0
Selling General And Administration,1790000.0,46530000.0
Selling And Marketing Expense,2727000.0,7307000.0
General And Administrative Expense,-937000.0,39223000.0
Rent And Landing Fees,3174000.0,6221000.0
Gross Profit,194685000.0,13806000.0
Cost Of Revenue,173308000.0,180089000.0
Total Revenue,367993000.0,193895000.0
Operating Revenue,367993000.0,193895000.0
Ordinary Shares Number,17608802.0,17608802.0
Share Issued,17608802.0,17608802.0
Net Debt,8402000.0,10836000.0
Total Debt,20000000.0,20000000.0
Tangible Book Value,-3156412000.0,-3258390000.0
Invested Capital,-2019336000.0,-2120261000.0
Working Capital,-3372391000.0,-3569616000.0
Net Tangible Assets,-3156412000.0,-3258390000.0
Common Stock Equity,-2039336000.0,-2140261000.0
Total Capitalization,-2039336000.0,-2140261000.0
Total Equity Gross Minority Interest,-2039336000.0,-2140260000.0
Minority Interest,0.0,1000.0
Stockholders Equity,-2039336000.0,-2140261000.0
Other Equity Interest,-2215216000.0,
Fixed Assets Revaluation Reserve,76080000.0,76080000.0
Retained Earnings,-2929075000.0,-3005371000.0
Additional Paid In Capital,533621000.0,533621000.0
Capital Stock,175880000.0,175880000.0
Common Stock,175880000.0,175880000.0
Total Liabilities Net Minority Interest,3525404000.0,3883774000.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,3525404000.0,3883774000.0
Other Current Liabilities,2467684000.0,2717935000.0
Current Debt And Capital Lease Obligation,20000000.0,20000000.0
Current Debt,20000000.0,20000000.0
Pensionand Other Post Retirement Benefit Plans Current,16688000.0,24743000.0
Current Provisions,16688000.0,
Payables,925763000.0,1043492000.0
Other Payable,817008000.0,849203000.0
Dividends Payable,7115000.0,7115000.0
Total Tax Payable,44694000.0,131398000.0
Accounts Payable,56946000.0,55776000.0
Total Assets,1486068000.0,1743514000.0
Total Non Current Assets,1333055000.0,1429356000.0
