,item,2021-12-31 00:00:00,2020-12-31 00:00:00,sheet,2019-12-31 00:00:00
0,Tax Effect Of Unusual Items,91101780.0,-96773550.0,Income Statement,
1,Tax Rate For Calcs,0.2646,0.2677,Income Statement,
2,Normalized EBITDA,3790100000.0,2630000000.0,Income Statement,
3,Total Unusual Items,344300000.0,-361500000.0,Income Statement,
4,Total Unusual Items Excluding Goodwill,344300000.0,-361500000.0,Income Statement,
5,Net Income From Continuing Operation Net Minority Interest,2034000000.0,998000000.0,Income Statement,
6,Reconciled Depreciation,954600000.0,771700000.0,Income Statement,
7,Reconciled Cost Of Revenue,32574100000.0,20273900000.0,Income Statement,
8,EBIT,3179800000.0,1496800000.0,Income Statement,
9,Net Interest Income,-518500000.0,-359900000.0,Income Statement,
10,Interest Expense,413900000.0,134000000.0,Income Statement,
11,Interest Income,9400000.0,15600000.0,Income Statement,
12,Normalized Income,1780801780.0,1262726450.0,Income Statement,
13,Net Income From Continuing And Discontinued Operation,2034000000.0,998000000.0,Income Statement,
14,Total Expenses,45326600000.0,32143800000.0,Income Statement,
15,Rent Expense Supplemental,65400000.0,66800000.0,Income Statement,
16,Diluted Average Shares,42381675.0,42381675.0,Income Statement,
17,Basic Average Shares,42381675.0,42381675.0,Income Statement,
18,Diluted EPS,47.99,23.55,Income Statement,
19,Basic EPS,47.99,23.55,Income Statement,
20,Diluted NI Availto Com Stockholders,2034000000.0,998000000.0,Income Statement,
21,Net Income Common Stockholders,2034000000.0,998000000.0,Income Statement,
22,Otherunder Preferred Stock Dividend,0.0,0.0,Income Statement,
23,Net Income,2034000000.0,998000000.0,Income Statement,
24,Net Income Including Noncontrolling Interests,2034000000.0,998000000.0,Income Statement,
25,Net Income Continuous Operations,2034000000.0,998000000.0,Income Statement,
26,Tax Provision,731900000.0,364800000.0,Income Statement,
27,Pretax Income,2765900000.0,1362800000.0,Income Statement,
28,Other Non Operating Income Expenses,414900000.0,-7542500000.0,Income Statement,
29,Special Income Charges,344300000.0,-361500000.0,Income Statement,
30,Other Special Charges,-344300000.0,361500000.0,Income Statement,
31,Restructuring And Mergern Acquisition,,74300000.0,Income Statement,
32,Net Non Operating Interest Income Expense,-518500000.0,-359900000.0,Income Statement,
33,Total Other Finance Cost,114000000.0,241500000.0,Income Statement,
34,Interest Expense Non Operating,413900000.0,134000000.0,Income Statement,
35,Interest Income Non Operating,9400000.0,15600000.0,Income Statement,
36,Operating Income,2280100000.0,1914800000.0,Income Statement,
37,Operating Expense,12752500000.0,11869900000.0,Income Statement,
38,Other Operating Expenses,5747900000.0,5297800000.0,Income Statement,
39,Depreciation And Amortization In Income Statement,954600000.0,771700000.0,Income Statement,
40,Amortization,19900000.0,57600000.0,Income Statement,
41,Depreciation Income Statement,934700000.0,714100000.0,Income Statement,
42,Selling General And Administration,2337100000.0,2173300000.0,Income Statement,
43,Selling And Marketing Expense,1479500000.0,971000000.0,Income Statement,
44,General And Administrative Expense,857600000.0,1202300000.0,Income Statement,
45,Rent And Landing Fees,65400000.0,66800000.0,Income Statement,
46,Gross Profit,15032600000.0,13784700000.0,Income Statement,
47,Cost Of Revenue,32574100000.0,20273900000.0,Income Statement,
48,Total Revenue,47606700000.0,34058600000.0,Income Statement,
49,Operating Revenue,47606700000.0,34058600000.0,Income Statement,
0,Ordinary Shares Number,42381675.0,42381675.0,Balance Sheet,42381675.0
1,Share Issued,42381675.0,42381675.0,Balance Sheet,42381675.0
2,Net Debt,391000000.0,,Balance Sheet,1595800000.0
3,Total Debt,1900000000.0,390700000.0,Balance Sheet,3476200000.0
4,Tangible Book Value,10990100000.0,8977600000.0,Balance Sheet,8000800000.0
5,Invested Capital,12573900000.0,9325200000.0,Balance Sheet,11874400000.0
6,Working Capital,3457900000.0,2314300000.0,Balance Sheet,1894300000.0
7,Net Tangible Assets,10990100000.0,8977600000.0,Balance Sheet,8000800000.0
8,Capital Lease Obligations,650000000.0,390700000.0,Balance Sheet,0.0
9,Common Stock Equity,11323900000.0,9325200000.0,Balance Sheet,8398200000.0
10,Total Capitalization,11323900000.0,9325200000.0,Balance Sheet,8398200000.0
11,Total Equity Gross Minority Interest,11323900000.0,9325200000.0,Balance Sheet,8398200000.0
12,Stockholders Equity,11323900000.0,9325200000.0,Balance Sheet,8398200000.0
13,Retained Earnings,6068300000.0,4069600000.0,Balance Sheet,3142600000.0
14,Additional Paid In Capital,98000000.0,98000000.0,Balance Sheet,98000000.0
15,Capital Stock,84800000.0,84800000.0,Balance Sheet,84800000.0
16,Common Stock,84800000.0,84800000.0,Balance Sheet,84800000.0
17,Total Liabilities Net Minority Interest,23914900000.0,25706000000.0,Balance Sheet,26008000000.0
18,Total Non Current Liabilities Net Minority Interest,560100000.0,280700000.0,Balance Sheet,53500000.0
19,Derivative Product Liabilities,0.0,,Balance Sheet,
20,Non Current Pension And Other Postretirement Benefit Plans,20800000.0,,Balance Sheet,
21,Non Current Accrued Expenses,0.0,,Balance Sheet,
22,Non Current Deferred Taxes Liabilities,,0.0,Balance Sheet,41600000.0
23,Long Term Debt And Capital Lease Obligation,528400000.0,272000000.0,Balance Sheet,0.0
24,Long Term Capital Lease Obligation,528400000.0,272000000.0,Balance Sheet,0.0
25,Current Liabilities,23354800000.0,25425300000.0,Balance Sheet,25954500000.0
26,Other Current Liabilities,,6495100000.0,Balance Sheet,
27,Current Debt And Capital Lease Obligation,1371600000.0,118700000.0,Balance Sheet,3476200000.0
28,Current Capital Lease Obligation,121600000.0,118700000.0,Balance Sheet,0.0
29,Current Debt,1250000000.0,0.0,Balance Sheet,3476200000.0
30,Pensionand Other Post Retirement Benefit Plans Current,293300000.0,,Balance Sheet,
31,Current Provisions,1449700000.0,1882400000.0,Balance Sheet,1393400000.0
32,Payables,17311500000.0,16871200000.0,Balance Sheet,15301500000.0
33,Other Payable,988300000.0,1091400000.0,Balance Sheet,1530500000.0
34,Dividends Payable,400000.0,,Balance Sheet,
35,Total Tax Payable,132800000.0,,Balance Sheet,
36,Accounts Payable,16190000000.0,15779800000.0,Balance Sheet,13771000000.0
37,Total Assets,35238800000.0,35031200000.0,Balance Sheet,34406200000.0
38,Total Non Current Assets,8426100000.0,7291600000.0,Balance Sheet,6557400000.0
39,Other Non Current Assets,,50800000.0,Balance Sheet,
40,Non Current Prepaid Assets,211000000.0,88300000.0,Balance Sheet,133800000.0
41,Non Current Deferred Taxes Assets,348300000.0,218500000.0,Balance Sheet,0.0
42,Goodwill And Other Intangible Assets,333800000.0,347600000.0,Balance Sheet,397400000.0
43,Other Intangible Assets,15800000.0,29600000.0,Balance Sheet,79400000.0
44,Goodwill,318000000.0,318000000.0,Balance Sheet,318000000.0
45,Net PPE,7374900000.0,6534300000.0,Balance Sheet,5964000000.0
46,Accumulated Depreciation,-3355400000.0,-2568000000.0,Balance Sheet,-1921900000.0
47,Gross PPE,10730300000.0,9102300000.0,Balance Sheet,7885900000.0
