,item,2022-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,0.0,Income Statement
1,Tax Rate For Calcs,0.0,Income Statement
2,Normalized EBITDA,-81000.0,Income Statement
3,Total Unusual Items,0.0,Income Statement
4,Total Unusual Items Excluding Goodwill,0.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,-81000.0,Income Statement
6,Reconciled Depreciation,0.0,Income Statement
7,Reconciled Cost Of Revenue,0.0,Income Statement
8,EBIT,-81000.0,Income Statement
9,Net Interest Income,-1000.0,Income Statement
10,Interest Expense,0.0,Income Statement
11,Normalized Income,-81000.0,Income Statement
12,Net Income From Continuing And Discontinued Operation,-81000.0,Income Statement
13,Total Expenses,21000.0,Income Statement
14,Diluted NI Availto Com Stockholders,-81000.0,Income Statement
15,Net Income Common Stockholders,-81000.0,Income Statement
16,Otherunder Preferred Stock Dividend,0.0,Income Statement
17,Net Income,-81000.0,Income Statement
18,Net Income Including Noncontrolling Interests,-81000.0,Income Statement
19,Net Income Discontinuous Operations,0.0,Income Statement
20,Net Income Continuous Operations,-81000.0,Income Statement
21,Tax Provision,0.0,Income Statement
22,Pretax Income,-81000.0,Income Statement
23,Other Non Operating Income Expenses,-59000.0,Income Statement
24,Special Income Charges,0.0,Income Statement
25,Net Non Operating Interest Income Expense,-1000.0,Income Statement
26,Total Other Finance Cost,1000.0,Income Statement
27,Interest Expense Non Operating,0.0,Income Statement
28,Operating Income,-21000.0,Income Statement
29,Operating Expense,21000.0,Income Statement
30,Depreciation And Amortization In Income Statement,0.0,Income Statement
31,Depreciation Income Statement,0.0,Income Statement
32,Selling General And Administration,21000.0,Income Statement
33,General And Administrative Expense,21000.0,Income Statement
34,Gross Profit,0.0,Income Statement
35,Cost Of Revenue,0.0,Income Statement
36,Total Revenue,0.0,Income Statement
37,Operating Revenue,0.0,Income Statement
0,Ordinary Shares Number,41644500.0,Balance Sheet
1,Share Issued,41644500.0,Balance Sheet
2,Total Debt,0.0,Balance Sheet
3,Tangible Book Value,19000.0,Balance Sheet
4,Invested Capital,19000.0,Balance Sheet
5,Working Capital,19000.0,Balance Sheet
6,Net Tangible Assets,19000.0,Balance Sheet
7,Common Stock Equity,19000.0,Balance Sheet
8,Total Capitalization,19000.0,Balance Sheet
9,Total Equity Gross Minority Interest,19000.0,Balance Sheet
10,Stockholders Equity,19000.0,Balance Sheet
11,Retained Earnings,-81000.0,Balance Sheet
12,Additional Paid In Capital,0.0,Balance Sheet
13,Capital Stock,100000.0,Balance Sheet
14,Common Stock,100000.0,Balance Sheet
15,Total Liabilities Net Minority Interest,80000.0,Balance Sheet
16,Total Non Current Liabilities Net Minority Interest,0.0,Balance Sheet
17,Long Term Debt And Capital Lease Obligation,0.0,Balance Sheet
18,Long Term Debt,0.0,Balance Sheet
19,Current Liabilities,80000.0,Balance Sheet
20,Other Current Liabilities,68000.0,Balance Sheet
21,Current Deferred Taxes Liabilities,0.0,Balance Sheet
22,Current Debt And Capital Lease Obligation,0.0,Balance Sheet
23,Payables,12000.0,Balance Sheet
24,Other Payable,12000.0,Balance Sheet
25,Accounts Payable,0.0,Balance Sheet
26,Total Assets,99000.0,Balance Sheet
27,Total Non Current Assets,0.0,Balance Sheet
28,Non Current Deferred Taxes Assets,0.0,Balance Sheet
29,Investmentin Financial Assets,0.0,Balance Sheet
30,Goodwill And Other Intangible Assets,0.0,Balance Sheet
31,Net PPE,0.0,Balance Sheet
32,Gross PPE,0.0,Balance Sheet
33,Construction In Progress,0.0,Balance Sheet
34,Current Assets,99000.0,Balance Sheet
35,Restricted Cash,0.0,Balance Sheet
36,Inventory,0.0,Balance Sheet
37,Taxes Receivable,0.0,Balance Sheet
38,Accounts Receivable,0.0,Balance Sheet
39,Cash Cash Equivalents And Short Term Investments,99000.0,Balance Sheet
40,Cash And Cash Equivalents,99000.0,Balance Sheet
41,Cash Financial,99000.0,Balance Sheet
0,Free Cash Flow,-1000.0,Cash Flow
1,Issuance Of Capital Stock,100000.0,Cash Flow
2,End Cash Position,99000.0,Cash Flow
3,Beginning Cash Position,0.0,Cash Flow
4,Changes In Cash,99000.0,Cash Flow
5,Financing Cash Flow,100000.0,Cash Flow
6,Net Common Stock Issuance,100000.0,Cash Flow
7,Common Stock Issuance,100000.0,Cash Flow
8,Operating Cash Flow,-1000.0,Cash Flow
9,Taxes Refund Paid,0.0,Cash Flow
10,Change In Working Capital,80000.0,Cash Flow
11,Change In Other Current Assets,0.0,Cash Flow
12,Change In Payable,80000.0,Cash Flow
13,Change In Inventory,0.0,Cash Flow
14,Change In Receivables,0.0,Cash Flow
15,Net Income From Continuing Operations,-81000.0,Cash Flow
