,item,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,62821334.729129,45094308.854705,10418636.602416,Income Statement
1,Tax Rate For Calcs,0.221827,0.265261,0.21934,Income Statement
2,Normalized EBITDA,4815700000.0,5055100000.0,3838400000.0,Income Statement
3,Total Unusual Items,283200000.0,170000000.0,47500000.0,Income Statement
4,Total Unusual Items Excluding Goodwill,283200000.0,170000000.0,47500000.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,2973400000.0,2703400000.0,1931900000.0,Income Statement
6,Reconciled Depreciation,947100000.0,955500000.0,572300000.0,Income Statement
7,Reconciled Cost Of Revenue,21332400000.0,18287100000.0,14069800000.0,Income Statement
8,EBIT,4151800000.0,4269600000.0,3313600000.0,Income Statement
9,Net Interest Income,-328300000.0,-524200000.0,-862500000.0,Income Statement
10,Interest Expense,330800000.0,590200000.0,838900000.0,Income Statement
11,Interest Income,19900000.0,94400000.0,21300000.0,Income Statement
12,Normalized Income,2753021334.729129,2578494308.854705,1894818636.602416,Income Statement
13,Net Income From Continuing And Discontinued Operation,2957300000.0,2703400000.0,1931900000.0,Income Statement
14,Total Expenses,25393400000.0,20928900000.0,17160900000.0,Income Statement
15,Rent Expense Supplemental,11800000.0,19300000.0,17400000.0,Income Statement
16,Diluted Average Shares,80939303.0,80939303.0,80939303.0,Income Statement
17,Basic Average Shares,80939303.0,80939303.0,80939303.0,Income Statement
18,Diluted EPS,36.54,33.4,23.87,Income Statement
19,Basic EPS,36.54,33.4,23.87,Income Statement
20,Diluted NI Availto Com Stockholders,2957300000.0,2703400000.0,1931900000.0,Income Statement
21,Net Income Common Stockholders,2957300000.0,2703400000.0,1931900000.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,Income Statement
23,Net Income,2957300000.0,2703400000.0,1931900000.0,Income Statement
24,Net Income Including Noncontrolling Interests,2957300000.0,2703400000.0,1931900000.0,Income Statement
25,Net Income Discontinuous Operations,-16100000.0,,,Income Statement
26,Net Income Continuous Operations,2973400000.0,2703400000.0,1931900000.0,Income Statement
27,Tax Provision,847600000.0,976000000.0,542800000.0,Income Statement
28,Pretax Income,3821000000.0,3679400000.0,2474700000.0,Income Statement
29,Other Non Operating Income Expenses,83300000.0,104600000.0,70600000.0,Income Statement
30,Special Income Charges,187200000.0,-2500000.0,-13600000.0,Income Statement
31,Other Special Charges,,,-600000.0,Income Statement
32,Write Off,600000.0,1300000.0,1100000.0,Income Statement
33,Impairment Of Capital Assets,-187800000.0,1200000.0,13100000.0,Income Statement
34,Net Non Operating Interest Income Expense,-328300000.0,-524200000.0,-862500000.0,Income Statement
35,Total Other Finance Cost,17400000.0,28400000.0,44900000.0,Income Statement
36,Interest Expense Non Operating,330800000.0,590200000.0,838900000.0,Income Statement
37,Interest Income Non Operating,19900000.0,94400000.0,21300000.0,Income Statement
38,Operating Income,3761600000.0,4032200000.0,3185900000.0,Income Statement
39,Operating Expense,4061000000.0,2641800000.0,3091100000.0,Income Statement
40,Other Operating Expenses,2039700000.0,1984400000.0,2121200000.0,Income Statement
41,Depreciation And Amortization In Income Statement,947100000.0,955500000.0,572300000.0,Income Statement
42,Amortization,900000.0,1400000.0,3800000.0,Income Statement
43,Depreciation Income Statement,946200000.0,954100000.0,568500000.0,Income Statement
44,Selling General And Administration,405200000.0,309500000.0,194800000.0,Income Statement
45,Selling And Marketing Expense,171000000.0,124100000.0,56000000.0,Income Statement
46,General And Administrative Expense,234200000.0,185400000.0,138800000.0,Income Statement
47,Rent And Landing Fees,11800000.0,19300000.0,17400000.0,Income Statement
48,Gross Profit,7822600000.0,6674000000.0,6277000000.0,Income Statement
49,Cost Of Revenue,21332400000.0,18287100000.0,14069800000.0,Income Statement
50,Total Revenue,29155000000.0,24961100000.0,20346800000.0,Income Statement
51,Operating Revenue,29155000000.0,24961100000.0,20346800000.0,Income Statement
0,Ordinary Shares Number,80939303.0,80939303.0,80939303.0,Balance Sheet
1,Share Issued,80939303.0,80939303.0,80939303.0,Balance Sheet
2,Net Debt,7239000000.0,8866000000.0,12107300000.0,Balance Sheet
3,Total Debt,8185100000.0,9578900000.0,12772000000.0,Balance Sheet
4,Tangible Book Value,23589500000.0,21424700000.0,15184000000.0,Balance Sheet
5,Invested Capital,31775900000.0,31005800000.0,27959500000.0,Balance Sheet
6,Working Capital,9898600000.0,8605300000.0,5825300000.0,Balance Sheet
7,Net Tangible Assets,23589500000.0,21424700000.0,15184000000.0,Balance Sheet
8,Common Stock Equity,23590800000.0,21426900000.0,15187500000.0,Balance Sheet
9,Total Capitalization,26962900000.0,23693200000.0,19431400000.0,Balance Sheet
10,Total Equity Gross Minority Interest,23590800000.0,21426900000.0,15187500000.0,Balance Sheet
11,Stockholders Equity,23590800000.0,21426900000.0,15187500000.0,Balance Sheet
12,Other Equity Interest,23428900000.0,,,Balance Sheet
13,Retained Earnings,19609100000.0,17137300000.0,14433900000.0,Balance Sheet
14,Capital Stock,161900000.0,161900000.0,161900000.0,Balance Sheet
15,Common Stock,161900000.0,161900000.0,161900000.0,Balance Sheet
16,Total Liabilities Net Minority Interest,14631900000.0,15900200000.0,19193500000.0,Balance Sheet
17,Total Non Current Liabilities Net Minority Interest,5448100000.0,4150600000.0,5715300000.0,Balance Sheet
18,Other Non Current Liabilities,46700000.0,85200000.0,123400000.0,Balance Sheet
19,Non Current Pension And Other Postretirement Benefit Plans,387300000.0,331000000.0,294300000.0,Balance Sheet
20,Non Current Deferred Revenue,46700000.0,85200000.0,123400000.0,Balance Sheet
21,Non Current Deferred Taxes Liabilities,1610100000.0,1435700000.0,1017000000.0,Balance Sheet
