,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,14586811.011621,267900.0
Tax Rate For Calcs,0.0,0.36064,0.3
Normalized EBITDA,-47461000.0,81652000.0,1098000.0
Total Unusual Items,0.0,40447000.0,893000.0
Total Unusual Items Excluding Goodwill,0.0,40447000.0,893000.0
Net Income From Continuing Operation Net Minority Interest,-126052000.0,20136000.0,-146330000.0
Reconciled Depreciation,17877000.0,35588000.0,65864000.0
Reconciled Cost Of Revenue,167002000.0,332362000.0,498974000.0
EBIT,-65338000.0,86511000.0,-63873000.0
Net Interest Income,-60714000.0,-54529000.0,-49291000.0
Interest Expense,60714000.0,55017000.0,49263000.0
Interest Income,,1140000.0,54000.0
Normalized Income,-126052000.0,-5724188.988379,-146955100.0
Net Income From Continuing And Discontinued Operation,-126052000.0,20136000.0,-146330000.0
Total Expenses,304798000.0,412761000.0,633505000.0
Diluted Average Shares,20563132.0,20546939.0,20578004.0
Basic Average Shares,20563132.0,20546939.0,20578004.0
Diluted EPS,-6.13,0.98,-7.11
Basic EPS,-6.13,0.98,-7.11
Diluted NI Availto Com Stockholders,-126052000.0,20136000.0,-146330000.0
Net Income Common Stockholders,-126052000.0,20136000.0,-146330000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-126052000.0,20136000.0,-146330000.0
Net Income Including Noncontrolling Interests,-126052000.0,20136000.0,-146363000.0
Net Income Continuous Operations,-126052000.0,20136000.0,-146363000.0
Tax Provision,0.0,11358000.0,33227000.0
Pretax Income,-126052000.0,31494000.0,-113136000.0
Other Non Operating Income Expenses,9635000.0,6769000.0,2396000.0
Special Income Charges,0.0,40447000.0,571000.0
Other Special Charges,,-40447000.0,-571000.0
Net Non Operating Interest Income Expense,-60714000.0,-54529000.0,-49291000.0
Total Other Finance Cost,,652000.0,82000.0
Interest Expense Non Operating,60714000.0,55017000.0,49263000.0
Interest Income Non Operating,,1140000.0,54000.0
Operating Income,-74973000.0,38488000.0,-64732000.0
Operating Expense,137796000.0,80399000.0,134531000.0
Other Operating Expenses,90904000.0,3455000.0,5476000.0
Depreciation And Amortization In Income Statement,17877000.0,35588000.0,65864000.0
Amortization,,693000.0,554000.0
Depreciation Income Statement,17877000.0,34895000.0,65310000.0
Selling General And Administration,,14543000.0,26641000.0
Selling And Marketing Expense,,1457000.0,2165000.0
General And Administrative Expense,,13086000.0,24476000.0
Gross Profit,62823000.0,118887000.0,69799000.0
Cost Of Revenue,167002000.0,332362000.0,498974000.0
Total Revenue,229825000.0,451249000.0,568773000.0
Operating Revenue,229825000.0,451249000.0,568773000.0
Ordinary Shares Number,20578004.0,20578004.0,20578004.0
Share Issued,20578004.0,20578004.0,20578004.0
Net Debt,2253162000.0,2279243000.0,2330048000.0
Total Debt,2255140000.0,2280914000.0,2333148000.0
Tangible Book Value,-1710542000.0,-1583440000.0,-1625593000.0
Invested Capital,544656000.0,697558000.0,708248000.0
Working Capital,-2072096000.0,-1308990000.0,-1550300000.0
Net Tangible Assets,-1710542000.0,-1583440000.0,-1625593000.0
Common Stock Equity,-1710484000.0,-1583356000.0,-1624900000.0
Total Capitalization,-1710484000.0,-917083000.0,-886572000.0
Total Equity Gross Minority Interest,-1710484000.0,-1583356000.0,-1624900000.0
Stockholders Equity,-1710484000.0,-1583356000.0,-1624900000.0
Other Equity Interest,-1916264000.0,,
Treasury Stock,,,0.0
Retained Earnings,,-1872615000.0,-1914159000.0
Additional Paid In Capital,,439000.0,439000.0
Capital Stock,205780000.0,205780000.0,205780000.0
Common Stock,205780000.0,205780000.0,205780000.0
Total Liabilities Net Minority Interest,2432201000.0,2446982000.0,2597655000.0
Total Non Current Liabilities Net Minority Interest,5964000.0,674773000.0,746358000.0
Non Current Pension And Other Postretirement Benefit Plans,,4834000.0,4806000.0
Tradeand Other Payables Non Current,,3666000.0,3224000.0
Long Term Debt And Capital Lease Obligation,0.0,666273000.0,738328000.0
Long Term Debt,0.0,666273000.0,738328000.0
Long Term Provisions,4818000.0,,
Current Liabilities,2426237000.0,1772209000.0,1851297000.0
Other Current Liabilities,18934000.0,4145000.0,992000.0
Current Debt And Capital Lease Obligation,2255140000.0,1614641000.0,1594820000.0
Current Debt,2255140000.0,1614641000.0,1594820000.0
Current Provisions,29261000.0,29261000.0,29311000.0
Payables,98544000.0,122410000.0,197792000.0
Other Payable,,19843000.0,17814000.0
Dividends Payable,,135000.0,167000.0
Accounts Payable,98544000.0,102432000.0,179811000.0
Total Assets,721717000.0,863626000.0,972755000.0
Total Non Current Assets,367576000.0,400408000.0,671759000.0
Other Non Current Assets,39736000.0,-8000.0,272000.0
Non Current Prepaid Assets,,53896000.0,63699000.0
Non Current Deferred Taxes Assets,60741000.0,60363000.0,72573000.0
Investmentin Financial Assets,4251000.0,7076000.0,3832000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,5791000.0,2926000.0
Trading Securities,,1285000.0,906000.0
Goodwill And Other Intangible Assets,58000.0,84000.0,693000.0
Other Intangible Assets,,84000.0,693000.0
Net PPE,261145000.0,278997000.0,530690000.0
Accumulated Depreciation,,-158010000.0,-251809000.0
Gross PPE,,437007000.0,782499000.0
Construction In Progress,,,0.0
Other Properties,,5549000.0,13134000.0
Machinery Furniture Equipment,,121435000.0,234692000.0
Buildings And Improvements,,141787000.0,278177000.0
Land And Improvements,,168236000.0,256496000.0
Properties,,0.0,0.0
Current Assets,354141000.0,463219000.0,300997000.0
Other Current Assets,211907000.0,2000.0,1000.0
Restricted Cash,,960000.0,891000.0
Prepaid Assets,,34925000.0,74865000.0
Inventory,18158000.0,13206000.0,38326000.0
Finished Goods,,712000.0,2508000.0
Work In Process,,4985000.0,16344000.0
Raw Materials,,7509000.0,19474000.0
Other Receivables,153000.0,274713000.0,137075000.0
Taxes Receivable,,417000.0,93000.0
Accounts Receivable,20462000.0,137325000.0,46646000.0
Allowance For Doubtful Accounts Receivable,,-188279000.0,-251913000.0
Gross Accounts Receivable,,325604000.0,298559000.0
Cash Cash Equivalents And Short Term Investments,103461000.0,1671000.0,3100000.0
Other Short Term Investments,101483000.0,,
Cash And Cash Equivalents,1978000.0,1671000.0,3100000.0
Cash Financial,,1671000.0,3100000.0
Free Cash Flow,8922000.0,-164300000.0,39838000.0
Repayment Of Debt,-373000.0,-738000.0,-6359000.0
Issuance Of Debt,0.0,90000.0,2650000.0
Capital Expenditure,,-179000.0,-328000.0
End Cash Position,1978000.0,1672000.0,3100000.0
Other Cash Adjustment Outside Changein Cash,1000.0,1000.0,
Beginning Cash Position,1672000.0,3100000.0,824000.0
Changes In Cash,305000.0,-1429000.0,2276000.0
Financing Cash Flow,-10362000.0,-10797000.0,-52961000.0
Interest Paid Cff,-9989000.0,-10149000.0,-49252000.0
Net Issuance Payments Of Debt,-373000.0,-648000.0,-3709000.0
Net Long Term Debt Issuance,-373000.0,-648000.0,-3709000.0
Long Term Debt Payments,-373000.0,-738000.0,-6359000.0
Long Term Debt Issuance,0.0,90000.0,2650000.0
Investing Cash Flow,1745000.0,173489000.0,15071000.0
Interest Received Cfi,46000.0,1140000.0,54000.0
Dividends Received Cfi,-1000.0,,
Net Investment Purchase And Sale,1700000.0,1000.0,44000.0
Sale Of Investment,1700000.0,1000.0,44000.0
Net Investment Properties Purchase And Sale,,0.0,0.0
Sale Of Investment Properties,,0.0,0.0
Net Intangibles Purchase And Sale,0.0,-84000.0,-44000.0
Purchase Of Intangibles,0.0,-84000.0,-44000.0
Net PPE Purchase And Sale,0.0,172432000.0,15017000.0
Sale Of PPE,0.0,172527000.0,15301000.0
