,item,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,0.0,0.0,-541133.4,0.0,Income Statement
1,Tax Rate For Calcs,0.0,0.0,0.3,0.0,Income Statement
2,Normalized EBITDA,50418000.0,22085974.0,70513886.0,-28984269.0,Income Statement
3,Total Unusual Items,,-101948.0,-1803778.0,-85467.0,Income Statement
4,Total Unusual Items Excluding Goodwill,,-101948.0,-1803778.0,-85467.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,-382000.0,-17142730.0,25135303.0,-46561352.0,Income Statement
6,Reconciled Depreciation,10626000.0,6269528.0,7136221.0,7565980.0,Income Statement
7,Reconciled Cost Of Revenue,1177693000.0,996948500.0,887255470.0,349601624.0,Income Statement
8,EBIT,39792000.0,15714498.0,61573887.0,-36635716.0,Income Statement
9,Net Interest Income,-44276000.0,-27334301.0,-19614859.0,-33229.0,Income Statement
10,Interest Expense,44276000.0,32349651.0,27369072.0,9434528.0,Income Statement
11,Interest Income,,7665889.0,9197329.0,10154392.0,Income Statement
12,Normalized Income,-382000.0,-17040782.0,26397947.6,-46475885.0,Income Statement
13,Net Income From Continuing And Discontinued Operation,-382000.0,-17142730.0,25135303.0,-46561352.0,Income Statement
14,Total Expenses,1467111000.0,1263343318.0,1117622000.0,504232007.0,Income Statement
15,Rent Expense Supplemental,,800000.0,0.0,323819.0,Income Statement
16,Diluted Average Shares,,9740341.0,9732566.0,9732566.0,Income Statement
17,Basic Average Shares,,9740341.0,9732566.0,9732566.0,Income Statement
18,Diluted EPS,,-1.76,2.58,-4.78,Income Statement
19,Basic EPS,,-1.76,2.58,-4.78,Income Statement
20,Diluted NI Availto Com Stockholders,-382000.0,-17142730.0,25135303.0,-46561352.0,Income Statement
21,Net Income Common Stockholders,-382000.0,-17142730.0,25135303.0,-46561352.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,Income Statement
23,Net Income,-382000.0,-17142730.0,25135303.0,-46561352.0,Income Statement
24,Minority Interests,4102000.0,-507563.0,-9069513.0,-491109.0,Income Statement
25,Net Income Including Noncontrolling Interests,-4484000.0,-16635153.0,34204815.0,-46070244.0,Income Statement
26,Net Income Continuous Operations,-4484000.0,-16635153.0,34204815.0,-46070244.0,Income Statement
27,Pretax Income,-4484000.0,-16635153.0,34204815.0,-46070244.0,Income Statement
28,Other Non Operating Income Expenses,26702000.0,1720058.0,5209363.0,2302263.0,Income Statement
29,Special Income Charges,,-101948.0,-1803778.0,-85467.0,Income Statement
30,Other Special Charges,,,,85467.0,Income Statement
31,Write Off,,101948.0,1803778.0,0.0,Income Statement
32,Net Non Operating Interest Income Expense,-44276000.0,-27334301.0,-19614859.0,-33229.0,Income Statement
33,Total Other Finance Cost,,2650539.0,1443116.0,753093.0,Income Statement
34,Interest Expense Non Operating,44276000.0,32349651.0,27369072.0,9434528.0,Income Statement
35,Interest Income Non Operating,,7665889.0,9197329.0,10154392.0,Income Statement
36,Operating Income,13090000.0,12533368.0,52400222.0,-48644178.0,Income Statement
37,Operating Expense,289418000.0,266394818.0,230366530.0,154630383.0,Income Statement
38,Other Operating Expenses,278792000.0,83008381.0,76405341.0,44315926.0,Income Statement
39,Depreciation And Amortization In Income Statement,10626000.0,6269528.0,7136221.0,7565980.0,Income Statement
40,Amortization,,159864.0,372228.0,1236757.0,Income Statement
41,Depreciation Income Statement,10626000.0,6109664.0,6763993.0,6329223.0,Income Statement
42,Selling General And Administration,,171386486.0,142944690.0,99652862.0,Income Statement
43,Selling And Marketing Expense,,161981418.0,133406881.0,91910399.0,Income Statement
44,General And Administrative Expense,,9405068.0,9537809.0,7742463.0,Income Statement
45,Rent And Landing Fees,,800000.0,0.0,323819.0,Income Statement
46,Gross Profit,302508000.0,278928186.0,282766752.0,105986205.0,Income Statement
47,Cost Of Revenue,1177693000.0,996948500.0,887255470.0,349601624.0,Income Statement
48,Total Revenue,1480201000.0,1275876686.0,1170022222.0,455587829.0,Income Statement
49,Operating Revenue,1480201000.0,1275876686.0,1170022222.0,455587829.0,Income Statement
0,Ordinary Shares Number,,9732566.0,9732566.0,9732566.0,Balance Sheet
1,Share Issued,,9732566.0,9732566.0,9732566.0,Balance Sheet
2,Net Debt,544478000.0,311962129.0,270166622.0,81299118.0,Balance Sheet
