,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,21667164.897824,8772548.455383,3384844.32
Tax Rate For Calcs,0.245518,0.2535,0.261789,0.25168
Normalized EBITDA,1924590000.0,1529126000.0,1206299000.0,1424658000.0
Total Unusual Items,163960000.0,85472000.0,33510000.0,13449000.0
Total Unusual Items Excluding Goodwill,163960000.0,85472000.0,33510000.0,13449000.0
Net Income From Continuing Operation Net Minority Interest,1352359000.0,1122907000.0,816603000.0,961750000.0
Reconciled Depreciation,98291000.0,78121000.0,99186000.0,102901000.0
Reconciled Cost Of Revenue,2075616000.0,1644439000.0,1576373000.0,1487473000.0
EBIT,1826299000.0,1536477000.0,1140623000.0,1335206000.0
Net Interest Income,-14125000.0,280034000.0,359063000.0,417878000.0
Interest Expense,14125000.0,15614000.0,20572000.0,20447000.0
Interest Income,251975000.0,295648000.0,379635000.0,438325000.0
Normalized Income,1352359000.0,1059102164.897824,791865548.455383,951685844.32
Net Income From Continuing And Discontinued Operation,1352359000.0,1122907000.0,816603000.0,961750000.0
Total Expenses,2701528000.0,2254491000.0,2258240000.0,2267767000.0
Rent Expense Supplemental,10418000.0,10853000.0,5764000.0,7733000.0
Diluted Average Shares,9619281.0,9619281.0,9619281.0,9619281.0
Basic Average Shares,9619281.0,9619281.0,9619281.0,9619281.0
Diluted EPS,140.59,116.74,84.89,99.98
Basic EPS,140.59,116.74,84.89,99.98
Diluted NI Availto Com Stockholders,1352359000.0,1122907000.0,816603000.0,961750000.0
Net Income Common Stockholders,1352359000.0,1122907000.0,816603000.0,961750000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1352359000.0,1122907000.0,816603000.0,961750000.0
Minority Interests,-14894000.0,-12417000.0,-10231000.0,-10627000.0
Net Income Including Noncontrolling Interests,1367253000.0,1135324000.0,826834000.0,972377000.0
Net Income Continuous Operations,1367253000.0,1135324000.0,826834000.0,972377000.0
Tax Provision,444921000.0,385539000.0,293217000.0,342382000.0
Pretax Income,1812174000.0,1520863000.0,1120051000.0,1314759000.0
Other Non Operating Income Expenses,495519000.0,3222000.0,4443000.0,2687000.0
Special Income Charges,-56013000.0,-18182000.0,-1390000.0,-18003000.0
Other Special Charges,-774000.0,1040000.0,-9488000.0,1917000.0
Write Off,56787000.0,17142000.0,6523000.0,16086000.0
Impairment Of Capital Assets,,0.0,4355000.0,0.0
Net Non Operating Interest Income Expense,-14125000.0,280034000.0,359063000.0,417878000.0
Total Other Finance Cost,534000.0,,,
Interest Expense Non Operating,14125000.0,15614000.0,20572000.0,20447000.0
Interest Income Non Operating,251975000.0,295648000.0,379635000.0,438325000.0
Operating Income,1330780000.0,1146074000.0,728645000.0,873534000.0
Operating Expense,625912000.0,610052000.0,681867000.0,780294000.0
Other Operating Expenses,527621000.0,202592000.0,247533000.0,309406000.0
Depreciation And Amortization In Income Statement,98291000.0,78121000.0,94831000.0,102901000.0
Amortization,12167000.0,6342000.0,2023000.0,4923000.0
Depreciation Income Statement,98291000.0,71779000.0,92808000.0,97978000.0
Selling General And Administration,163811000.0,157797000.0,180468000.0,271077000.0
Selling And Marketing Expense,2964000.0,2279000.0,1854000.0,996000.0
General And Administrative Expense,160847000.0,155518000.0,178614000.0,270081000.0
Rent And Landing Fees,10418000.0,10853000.0,5764000.0,7733000.0
Gross Profit,1956692000.0,1756126000.0,1410512000.0,1653828000.0
Cost Of Revenue,2075616000.0,1644439000.0,1576373000.0,1487473000.0
Total Revenue,4032308000.0,3400565000.0,2986885000.0,3141301000.0
Operating Revenue,4032308000.0,3400565000.0,2986885000.0,3141301000.0
Treasury Shares Number,31950.0,31950.0,31950.0,0.0
Ordinary Shares Number,9619281.0,9619281.0,9619281.0,9651231.0
Share Issued,9619281.0,9651231.0,9651231.0,9651231.0
Total Debt,130285000.0,140260000.0,169611000.0,210881000.0
Tangible Book Value,9417528000.0,8358105000.0,7517639000.0,6976015000.0
Invested Capital,9502811000.0,8436103000.0,7577271000.0,7016147000.0
Working Capital,4337009000.0,3204543000.0,3788840000.0,6051402000.0
Net Tangible Assets,9417528000.0,8358105000.0,7517639000.0,6976015000.0
Capital Lease Obligations,130285000.0,140260000.0,169611000.0,210881000.0
Common Stock Equity,9502811000.0,8436103000.0,7577271000.0,7016147000.0
Total Capitalization,9502811000.0,8436103000.0,7577271000.0,7016147000.0
Total Equity Gross Minority Interest,9549282000.0,8477245000.0,7610207000.0,7042005000.0
Minority Interest,46471000.0,41142000.0,32936000.0,25858000.0
Stockholders Equity,9502811000.0,8436103000.0,7577271000.0,7016147000.0
Other Equity Interest,9406299000.0,8339591000.0,,
Treasury Stock,10544000.0,10544000.0,10544000.0,10544000.0
Retained Earnings,8288638000.0,7205621000.0,6342436000.0,5781484000.0
Additional Paid In Capital,6531000.0,6531000.0,6531000.0,6531000.0
Capital Stock,96512000.0,96512000.0,96512000.0,96512000.0
Common Stock,96512000.0,96512000.0,96512000.0,96512000.0
Total Liabilities Net Minority Interest,1458886000.0,1307500000.0,1349924000.0,1413278000.0
Total Non Current Liabilities Net Minority Interest,141437000.0,152590000.0,188824000.0,263105000.0
Non Current Pension And Other Postretirement Benefit Plans,27318000.0,31100000.0,34010000.0,70847000.0
Tradeand Other Payables Non Current,,,17982000.0,19529000.0
Non Current Deferred Revenue,,,,0.0
Long Term Debt And Capital Lease Obligation,99582000.0,112279000.0,136832000.0,172729000.0
Long Term Capital Lease Obligation,99582000.0,112279000.0,136832000.0,172729000.0
Long Term Provisions,27318000.0,31100000.0,34010000.0,70847000.0
Current Liabilities,1317449000.0,1154910000.0,1161100000.0,1150173000.0
Other Current Liabilities,720620000.0,608892000.0,661598000.0,88560000.0
Current Deferred Taxes Liabilities,3194000.0,9066000.0,8731000.0,30025000.0
Current Debt And Capital Lease Obligation,30703000.0,27981000.0,32779000.0,38152000.0
Current Capital Lease Obligation,30703000.0,27981000.0,32779000.0,38152000.0
Pensionand Other Post Retirement Benefit Plans Current,415287000.0,354642000.0,,
Current Provisions,422925000.0,8858000.0,292948000.0,236891000.0
Payables,85441000.0,148798000.0,252894000.0,344538000.0
Other Payable,151140000.0,110068000.0,173688000.0,158137000.0
Dividends Payable,1144000.0,1179000.0,1181000.0,1150000.0
Total Tax Payable,1603000.0,7475000.0,8731000.0,30025000.0
Accounts Payable,83838000.0,37551000.0,78025000.0,155226000.0
Total Assets,11008168000.0,9784745000.0,8960131000.0,8455283000.0
Total Non Current Assets,5353710000.0,5425292000.0,4010191000.0,1253708000.0
Other Non Current Assets,14308000.0,11627000.0,6891000.0,
Non Current Prepaid Assets,274560000.0,58750000.0,46478000.0,50832000.0
Non Current Deferred Taxes Assets,22811000.0,46272000.0,57679000.0,64220000.0
Investmentin Financial Assets,4624560000.0,4668442000.0,3272478000.0,451820000.0
Available For Sale Securities,4624560000.0,751875000.0,1694923000.0,209165000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,4251506000.0,3916567000.0,1577555000.0,242655000.0
Goodwill And Other Intangible Assets,85283000.0,77998000.0,59632000.0,40132000.0
Other Intangible Assets,73030000.0,65745000.0,47379000.0,27879000.0
Goodwill,12253000.0,12253000.0,12253000.0,12253000.0
Net PPE,399149000.0,393514000.0,438981000.0,525248000.0
Accumulated Depreciation,-382902000.0,-347327000.0,-287505000.0,-230538000.0
Gross PPE,399149000.0,740841000.0,726486000.0,755786000.0
Construction In Progress,,0.0,1652000.0,
Other Properties,399149000.0,20101000.0,17325000.0,17468000.0
Machinery Furniture Equipment,205100000.0,166526000.0,158466000.0,153859000.0
Buildings And Improvements,556350000.0,554214000.0,549043000.0,584459000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,5654458000.0,4359453000.0,4949940000.0,7201575000.0
