,item,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,0.0,40379591.055659,36578152.77257,13543549.119957,Income Statement
1,Tax Rate For Calcs,0.255668,0.228449,0.196631,0.213924,Income Statement
2,Normalized EBITDA,6678485000.0,4773189000.0,3597635000.0,4525943000.0,Income Statement
3,Total Unusual Items,0.0,176755000.0,186024000.0,63310000.0,Income Statement
4,Total Unusual Items Excluding Goodwill,0.0,176755000.0,186024000.0,63310000.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,4579743000.0,3466186000.0,2693209000.0,3338248000.0,Income Statement
6,Reconciled Depreciation,519392000.0,454863000.0,429145000.0,331605000.0,Income Statement
7,Reconciled Cost Of Revenue,10834860000.0,8607235000.0,3876592000.0,4287027000.0,Income Statement
8,EBIT,6159093000.0,4495081000.0,3354514000.0,4257648000.0,Income Statement
9,Net Interest Income,-6272000.0,120118000.0,11675000.0,3567000.0,Income Statement
10,Interest Expense,6272000.0,2587000.0,2119000.0,10922000.0,Income Statement
11,Interest Income,,136640000.0,21157000.0,23927000.0,Income Statement
12,Normalized Income,4579743000.0,3329810591.055659,2543763152.77257,3288481549.119957,Income Statement
13,Net Income From Continuing And Discontinued Operation,4579743000.0,3466186000.0,2693209000.0,3338248000.0,Income Statement
14,Total Expenses,15412234000.0,12226436000.0,6318372000.0,6288027000.0,Income Statement
15,Rent Expense Supplemental,,1689000.0,1616000.0,1370000.0,Income Statement
16,Diluted Average Shares,,102793179.0,102782050.0,102782050.0,Income Statement
17,Basic Average Shares,,102793179.0,102782050.0,102782050.0,Income Statement
18,Diluted EPS,,33.72,26.2,32.48,Income Statement
19,Basic EPS,,33.72,26.2,32.48,Income Statement
20,Diluted NI Availto Com Stockholders,4579743000.0,3466186000.0,2693209000.0,3338248000.0,Income Statement
21,Net Income Common Stockholders,4579743000.0,3466186000.0,2693209000.0,3338248000.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,Income Statement
23,Net Income,4579743000.0,3466186000.0,2693209000.0,3338248000.0,Income Statement
24,Net Income Including Noncontrolling Interests,4579743000.0,3466186000.0,2693209000.0,3338248000.0,Income Statement
25,Net Income Continuous Operations,4579743000.0,3466186000.0,2693209000.0,3338248000.0,Income Statement
26,Tax Provision,1573078000.0,1026308000.0,659186000.0,908478000.0,Income Statement
27,Pretax Income,6152821000.0,4492494000.0,3352395000.0,4246726000.0,Income Statement
28,Other Non Operating Income Expenses,724272000.0,18177000.0,10382000.0,86429000.0,Income Statement
29,Special Income Charges,0.0,0.0,0.0,,Income Statement
30,Net Non Operating Interest Income Expense,-6272000.0,120118000.0,11675000.0,3567000.0,Income Statement
31,Total Other Finance Cost,,13935000.0,7363000.0,9438000.0,Income Statement
32,Interest Expense Non Operating,6272000.0,2587000.0,2119000.0,10922000.0,Income Statement
33,Interest Income Non Operating,,136640000.0,21157000.0,23927000.0,Income Statement
34,Operating Income,5434821000.0,3899895000.0,3103434000.0,3817194000.0,Income Statement
35,Operating Expense,4577374000.0,3619201000.0,2441780000.0,2001000000.0,Income Statement
36,Other Operating Expenses,3125774000.0,2285864000.0,1331583000.0,1155634000.0,Income Statement
37,Depreciation And Amortization In Income Statement,519392000.0,454863000.0,429145000.0,331605000.0,Income Statement
38,Amortization,,8119000.0,5594000.0,9354000.0,Income Statement
39,Depreciation Income Statement,519392000.0,446744000.0,423551000.0,322251000.0,Income Statement
40,Selling General And Administration,,64033000.0,72429000.0,50070000.0,Income Statement
41,Selling And Marketing Expense,,18969000.0,24406000.0,20034000.0,Income Statement
42,General And Administrative Expense,,45064000.0,48023000.0,30036000.0,Income Statement
43,Rent And Landing Fees,,1689000.0,1616000.0,1370000.0,Income Statement
44,Gross Profit,10012195000.0,7519096000.0,5545214000.0,5818194000.0,Income Statement
45,Cost Of Revenue,10834860000.0,8607235000.0,3876592000.0,4287027000.0,Income Statement
46,Total Revenue,20847055000.0,16126331000.0,9421806000.0,10105221000.0,Income Statement
47,Operating Revenue,20847055000.0,16126331000.0,9421806000.0,10105221000.0,Income Statement
0,Ordinary Shares Number,102782050.0,102782050.0,102782050.0,102782050.0,Balance Sheet
1,Share Issued,102782050.0,102782050.0,102782050.0,102782050.0,Balance Sheet
2,Net Debt,,174475000.0,3417000.0,,Balance Sheet
3,Total Debt,2010000.0,183989000.0,20249000.0,3465000.0,Balance Sheet
