,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,1514928000.0,-154978414.920367,80558418.68755,195896031.533114
Tax Rate For Calcs,0.4,0.218684,0.286674,0.288615
Normalized EBITDA,10245513000.0,6809084000.0,20627869000.0,19668207000.0
Total Unusual Items,3787320000.0,-708687000.0,281011000.0,678744000.0
Total Unusual Items Excluding Goodwill,3787320000.0,-708687000.0,281011000.0,678744000.0
Net Income From Continuing Operation Net Minority Interest,9350000.0,-5488662000.0,2665918000.0,3577619000.0
Reconciled Depreciation,3984973000.0,3997705000.0,4429440000.0,4704757000.0
Reconciled Cost Of Revenue,92384315000.0,82824386000.0,75528652000.0,72009260000.0
EBIT,10047860000.0,2102692000.0,16479440000.0,15642194000.0
Net Interest Income,-9013636000.0,-8931440000.0,-5782714000.0,-6491645000.0
Interest Expense,9013636000.0,9137948000.0,10614926000.0,9952683000.0
Interest Income,,1638785000.0,5953056000.0,4864377000.0
Normalized Income,-2263042000.0,-4934953414.920367,2465465418.68755,3094771031.533114
Net Income From Continuing And Discontinued Operation,9350000.0,-5488662000.0,2665918000.0,3577619000.0
Total Expenses,100855545000.0,89348140000.0,82959474000.0,80327186000.0
Rent Expense Supplemental,,759511000.0,521168000.0,254811000.0
Diluted Average Shares,146214971.0,145318030.0,136769768.0,136769768.0
Basic Average Shares,146214971.0,145318030.0,136769768.0,136769768.0
Diluted EPS,-0.1,-37.77,19.49202,26.157966
Basic EPS,-0.1,-37.77,19.49202,26.157966
Diluted NI Availto Com Stockholders,9350000.0,-5488662000.0,2665918000.0,3577619000.0
Net Income Common Stockholders,9350000.0,-5488662000.0,2665918000.0,3577619000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,9350000.0,-5488662000.0,2665918000.0,3577619000.0
Minority Interests,23274000.0,8097000.0,-1699543000.0,-476542000.0
Net Income Including Noncontrolling Interests,-13924000.0,-5496759000.0,4365461000.0,4054161000.0
Net Income Continuous Operations,-13924000.0,-5496759000.0,4365461000.0,4054161000.0
Tax Provision,1048148000.0,-1538497000.0,1681201000.0,1642081000.0
Pretax Income,1034224000.0,-7035256000.0,5864514000.0,5689511000.0
Other Non Operating Income Expenses,679640000.0,17771000.0,61069000.0,11384000.0
Special Income Charges,3787320000.0,-708687000.0,281011000.0,678744000.0
Other Special Charges,,606909000.0,-283156000.0,-678744000.0
Write Off,,101778000.0,2145000.0,
Net Non Operating Interest Income Expense,-9013636000.0,-8931440000.0,-5782714000.0,-6491645000.0
Total Other Finance Cost,,1432277000.0,1120844000.0,1403339000.0
Interest Expense Non Operating,9013636000.0,9137948000.0,10614926000.0,9952683000.0
Interest Income Non Operating,,1638785000.0,5953056000.0,4864377000.0
Operating Income,5580900000.0,2587100000.0,11305148000.0,11491028000.0
Operating Expense,8471230000.0,6523754000.0,7430822000.0,8317926000.0
Other Operating Expenses,2346220000.0,2306280000.0,2486912000.0,2298823000.0
Depreciation And Amortization In Income Statement,3984973000.0,3997705000.0,4429440000.0,4704757000.0
Depreciation Income Statement,3984973000.0,3997705000.0,4429440000.0,4704757000.0
Selling General And Administration,,369717000.0,301811000.0,201850000.0
Selling And Marketing Expense,,12218000.0,15108000.0,33798000.0
General And Administrative Expense,,357499000.0,286703000.0,168052000.0
Rent And Landing Fees,,48421000.0,44371000.0,41105000.0
Gross Profit,14052130000.0,9110854000.0,18735970000.0,19808954000.0
Cost Of Revenue,92384315000.0,82824386000.0,75528652000.0,72009260000.0
Total Revenue,106436445000.0,91935240000.0,94264622000.0,91818214000.0
Operating Revenue,106436445000.0,91935240000.0,94264622000.0,91818214000.0
Ordinary Shares Number,146214971.0,146214971.0,146214971.0,136769768.0
Share Issued,146214971.0,146214971.0,146214971.0,136769768.0
Net Debt,64600115000.0,85931489000.0,100510879000.0,86394721000.0
Total Debt,66579686000.0,88148422000.0,105442911000.0,90952105000.0
Tangible Book Value,39892723000.0,35317779000.0,26856736000.0,23022533000.0
Invested Capital,106595740000.0,123338653000.0,139075345000.0,122490355000.0
Working Capital,14971753000.0,26543063000.0,14323922000.0,11736760000.0
Net Tangible Assets,39892723000.0,35317779000.0,26856736000.0,23022533000.0
Capital Lease Obligations,,316457000.0,365623000.0,351268000.0
Common Stock Equity,40016054000.0,35506688000.0,33998057000.0,31889518000.0
Total Capitalization,79628972000.0,95146876000.0,104084705000.0,91744517000.0
Total Equity Gross Minority Interest,39983917000.0,35497824000.0,37725301000.0,33035353000.0
Minority Interest,-32137000.0,-8864000.0,3727244000.0,1145835000.0
Stockholders Equity,40016054000.0,35506688000.0,33998057000.0,31889518000.0
Other Equity Interest,38553904000.0,34044539000.0,32630359000.0,
Retained Earnings,,23401576000.0,26438226000.0,24510687000.0
Additional Paid In Capital,,10642962000.0,5729354000.0,5729354000.0
Capital Stock,1462150000.0,1462150000.0,1367698000.0,1367698000.0
Common Stock,1462150000.0,1462150000.0,1367698000.0,1367698000.0
Total Liabilities Net Minority Interest,114409459000.0,127910255000.0,145952339000.0,134292906000.0
Total Non Current Liabilities Net Minority Interest,45115517000.0,65841245000.0,77040725000.0,69689517000.0
Other Non Current Liabilities,3372965000.0,1000.0,3005904000.0,8106411000.0
Liabilities Heldfor Sale Non Current,0.0,0.0,,
Non Current Pension And Other Postretirement Benefit Plans,,972735000.0,957943000.0,1373926000.0
Non Current Deferred Revenue,,5050914000.0,2773268000.0,8106411000.0
Non Current Deferred Taxes Liabilities,0.0,0.0,,
Long Term Debt And Capital Lease Obligation,39612918000.0,59814682000.0,70300696000.0,60206267000.0
Long Term Capital Lease Obligation,,174494000.0,214048000.0,351268000.0
Long Term Debt,39612918000.0,59640188000.0,70086648000.0,59854999000.0
Long Term Provisions,2070406000.0,972735000.0,957943000.0,1373926000.0
Current Liabilities,69293942000.0,62069010000.0,68911614000.0,64603389000.0
Other Current Liabilities,7019244000.0,3050932000.0,2590421000.0,14572306000.0
Current Debt And Capital Lease Obligation,26966768000.0,28333740000.0,35142215000.0,30745838000.0
Current Capital Lease Obligation,,141963000.0,151575000.0,
Current Debt,26966768000.0,28191777000.0,34990640000.0,30745838000.0
Pensionand Other Post Retirement Benefit Plans Current,,709040000.0,159398000.0,157129000.0
Current Provisions,167038000.0,709040000.0,159398000.0,157129000.0
Payables,30573031000.0,25177547000.0,24299124000.0,19127720000.0
Other Payable,,2418643000.0,3095912000.0,2384338000.0
Total Tax Payable,0.0,100669000.0,429334000.0,200956000.0
Accounts Payable,30573031000.0,22658235000.0,20773878000.0,16542426000.0
Total Assets,154393376000.0,163408079000.0,183677640000.0,167328259000.0
Total Non Current Assets,70127681000.0,74796005000.0,100442105000.0,90981996000.0
Other Non Current Assets,5393252000.0,4983749000.0,4974477000.0,5479956000.0
Non Current Prepaid Assets,,2068665000.0,2495318000.0,2774442000.0
Non Current Deferred Taxes Assets,740603000.0,1893410000.0,370189000.0,156203000.0
Investmentin Financial Assets,12574923000.0,938588000.0,899879000.0,1270133000.0
Available For Sale Securities,12574923000.0,938588000.0,899879000.0,1270133000.0
Long Term Equity Investment,,0.0,265468000.0,81233000.0
Investmentsin Associatesat Cost,,0.0,265468000.0,81233000.0
Goodwill And Other Intangible Assets,123331000.0,188909000.0,7141321000.0,8866985000.0
Other Intangible Assets,64022000.0,129600000.0,7082507000.0,8808171000.0
Goodwill,59309000.0,59309000.0,58814000.0,58814000.0
Net PPE,41743020000.0,51555858000.0,59080607000.0,48610241000.0
Accumulated Depreciation,,-24295085000.0,-20603934000.0,-18255159000.0
Gross PPE,41743020000.0,75850943000.0,79684541000.0,66865400000.0
Construction In Progress,26580238000.0,33851486000.0,38925473000.0,28395288000.0
Other Properties,15162782000.0,757832000.0,637195000.0,1572210000.0
Machinery Furniture Equipment,,39325422000.0,38241672000.0,35653133000.0
Buildings And Improvements,,651889000.0,654684000.0,61665000.0
Land And Improvements,,1264314000.0,1225517000.0,1183104000.0
Properties,,0.0,0.0,0.0
Current Assets,84265695000.0,88612073000.0,83235536000.0,76340149000.0
Other Current Assets,16759884000.0,23305788000.0,20148606000.0,21495930000.0
Assets Held For Sale Current,,,240486000.0,0.0
Restricted Cash,,3927405000.0,3521443000.0,3679786000.0
Prepaid Assets,,17084496000.0,15824856000.0,14854671000.0
Inventory,33682645000.0,34391372000.0,30485377000.0,26454883000.0
Finished Goods,,13479000.0,10542000.0,4532000.0
Work In Process,,583455000.0,700640000.0,513926000.0
Raw Materials,,33794438000.0,29774195000.0,25936425000.0
Other Receivables,623957000.0,11874707000.0,10833354000.0,7414999000.0
Taxes Receivable,1915280000.0,3645961000.0,1999389000.0,1514599000.0
Accounts Receivable,13892533000.0,15787656000.0,15906713000.0,18214927000.0
Allowance For Doubtful Accounts Receivable,,-3312353000.0,-2925000000.0,-2775000000.0
Gross Accounts Receivable,,19100009000.0,18831713000.0,20989927000.0
Cash Cash Equivalents And Short Term Investments,17391396000.0,1900476000.0,4664404000.0,4206284000.0
Other Short Term Investments,15411825000.0,11039110000.0,97995000.0,168000.0
Cash And Cash Equivalents,1979571000.0,1900476000.0,4566409000.0,4206116000.0
Cash Equivalents,,958405000.0,3039713000.0,941729000.0
Cash Financial,,942071000.0,1526696000.0,3264387000.0
Free Cash Flow,-10710480000.0,-23596715000.0,-32291140000.0,-50420887000.0
Repayment Of Debt,-23084647000.0,-17245323000.0,,
Issuance Of Debt,1832278000.0,,14476450000.0,
Issuance Of Capital Stock,,5007970000.0,,
Capital Expenditure,-39162204000.0,-39836382000.0,-43111529000.0,-50861025000.0
End Cash Position,1979571000.0,5827587000.0,8087854000.0,7885902000.0
Other Cash Adjustment Outside Changein Cash,-2280462000.0,-293000.0,,-1000.0
Beginning Cash Position,5827881000.0,8087852000.0,7885902000.0,5210934000.0
