,item,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,0.0,0.0,0.0,Income Statement
1,Tax Rate For Calcs,0.0,0.0,0.0,Income Statement
2,Normalized EBITDA,-314146000.0,-1080200000.0,-968700000.0,Income Statement
3,Total Unusual Items,-4185007000.0,160400000.0,,Income Statement
4,Total Unusual Items Excluding Goodwill,-4185007000.0,160400000.0,,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,-6556704000.0,-2876300000.0,-2866700000.0,Income Statement
6,Reconciled Depreciation,296054000.0,332900000.0,380600000.0,Income Statement
7,Reconciled Cost Of Revenue,111256000.0,936100000.0,3177400000.0,Income Statement
8,EBIT,-4795207000.0,-1252700000.0,-1349300000.0,Income Statement
9,Net Interest Income,-1757981000.0,-1618400000.0,-1517400000.0,Income Statement
10,Interest Expense,1761497000.0,1623600000.0,1517400000.0,Income Statement
11,Interest Income,3516000.0,5200000.0,,Income Statement
12,Normalized Income,-2371697000.0,-3036700000.0,-2866700000.0,Income Statement
13,Net Income From Continuing And Discontinued Operation,-6556704000.0,-2876300000.0,-2866700000.0,Income Statement
14,Total Expenses,742062000.0,2725500000.0,6733900000.0,Income Statement
15,Rent Expense Supplemental,23805000.0,25400000.0,,Income Statement
16,Diluted Average Shares,142590079.0,142590079.0,142550970.0,Income Statement
17,Basic Average Shares,142590079.0,142590079.0,142550970.0,Income Statement
18,Diluted EPS,-45.98,-20.17,-20.11,Income Statement
19,Basic EPS,-45.98,-20.17,-20.11,Income Statement
20,Diluted NI Availto Com Stockholders,-6556704000.0,-2876300000.0,-2866700000.0,Income Statement
21,Net Income Common Stockholders,-6556704000.0,-2876300000.0,-2866700000.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,Income Statement
23,Net Income,-6556704000.0,-2876300000.0,-2866700000.0,Income Statement
24,Net Income Including Noncontrolling Interests,-6556704000.0,-2876300000.0,-2866700000.0,Income Statement
25,Net Income Continuous Operations,-6556704000.0,-2876300000.0,-2866700000.0,Income Statement
26,Tax Provision,0.0,0.0,0.0,Income Statement
27,Pretax Income,-6556704000.0,-2876300000.0,-2866700000.0,Income Statement
28,Other Non Operating Income Expenses,82046000.0,-3500000.0,667600000.0,Income Statement
29,Special Income Charges,-4185007000.0,160400000.0,,Income Statement
30,Other Special Charges,4355202000.0,-3500000.0,,Income Statement
31,Write Off,-170195000.0,-156900000.0,,Income Statement
32,Net Non Operating Interest Income Expense,-1757981000.0,-1618400000.0,-1517400000.0,Income Statement
33,Interest Expense Non Operating,1761497000.0,1623600000.0,1517400000.0,Income Statement
34,Interest Income Non Operating,3516000.0,5200000.0,,Income Statement
35,Operating Income,-687898000.0,-1374400000.0,-2016900000.0,Income Statement
36,Operating Expense,630806000.0,1789400000.0,3556500000.0,Income Statement
37,Other Operating Expenses,85451000.0,269000000.0,1960900000.0,Income Statement
38,Depreciation And Amortization In Income Statement,296054000.0,332900000.0,380600000.0,Income Statement
39,Depreciation Income Statement,296054000.0,332900000.0,380600000.0,Income Statement
40,Selling General And Administration,95319000.0,295400000.0,,Income Statement
41,Selling And Marketing Expense,3533000.0,85300000.0,,Income Statement
42,General And Administrative Expense,91786000.0,210100000.0,,Income Statement
43,Rent And Landing Fees,23805000.0,25400000.0,,Income Statement
44,Gross Profit,-57092000.0,415000000.0,1539600000.0,Income Statement
45,Cost Of Revenue,111256000.0,936100000.0,3177400000.0,Income Statement
46,Total Revenue,54164000.0,1351100000.0,4717000000.0,Income Statement
47,Operating Revenue,54164000.0,1351100000.0,4717000000.0,Income Statement
0,Ordinary Shares Number,142590079.0,142590079.0,142590079.0,Balance Sheet
1,Share Issued,142590079.0,142590079.0,142590079.0,Balance Sheet
2,Net Debt,11371981000.0,9674000000.0,8938800000.0,Balance Sheet
3,Total Debt,11374456000.0,9696200000.0,9067200000.0,Balance Sheet
4,Tangible Book Value,-12213687000.0,-5668500000.0,-2831000000.0,Balance Sheet
5,Invested Capital,-840485000.0,4018900000.0,6139700000.0,Balance Sheet
6,Working Capital,-20592921000.0,-18653400000.0,-8544300000.0,Balance Sheet
7,Net Tangible Assets,-12213687000.0,-5668500000.0,-2831000000.0,Balance Sheet
8,Capital Lease Obligations,1254000.0,8800000.0,96800000.0,Balance Sheet
9,Common Stock Equity,-12213687000.0,-5668500000.0,-2830700000.0,Balance Sheet
10,Total Capitalization,-12213687000.0,-5668500000.0,3364800000.0,Balance Sheet
11,Total Equity Gross Minority Interest,-12213687000.0,-5668500000.0,-2830700000.0,Balance Sheet
12,Stockholders Equity,-12213687000.0,-5668500000.0,-2830700000.0,Balance Sheet
13,Other Equity Interest,-13639588000.0,-7082900000.0,,Balance Sheet
14,Retained Earnings,-13639588000.0,-7094400000.0,-4256600000.0,Balance Sheet
15,Capital Stock,1425901000.0,1425900000.0,1425900000.0,Balance Sheet
16,Common Stock,1425901000.0,1425900000.0,1425900000.0,Balance Sheet
17,Total Liabilities Net Minority Interest,22290531000.0,20641600000.0,19114700000.0,Balance Sheet
18,Total Non Current Liabilities Net Minority Interest,183491000.0,244400000.0,7925500000.0,Balance Sheet
19,Non Current Pension And Other Postretirement Benefit Plans,,90900000.0,,Balance Sheet
20,Non Current Deferred Taxes Liabilities,0.0,,,Balance Sheet
21,Long Term Debt And Capital Lease Obligation,0.0,1200000.0,6257700000.0,Balance Sheet
22,Long Term Capital Lease Obligation,0.0,1200000.0,62200000.0,Balance Sheet
23,Long Term Debt,,0.0,6195500000.0,Balance Sheet
24,Long Term Provisions,51058000.0,90900000.0,161400000.0,Balance Sheet
25,Current Liabilities,22107040000.0,20397200000.0,11189200000.0,Balance Sheet
26,Other Current Liabilities,865395000.0,844100000.0,,Balance Sheet
27,Current Debt And Capital Lease Obligation,11374456000.0,9695000000.0,2809500000.0,Balance Sheet
28,Current Capital Lease Obligation,1254000.0,7600000.0,34600000.0,Balance Sheet
29,Current Debt,11373202000.0,9687400000.0,2774900000.0,Balance Sheet
30,Current Provisions,488644000.0,547100000.0,636500000.0,Balance Sheet
31,Payables,8549157000.0,8413500000.0,7498600000.0,Balance Sheet
32,Other Payable,5913539000.0,5706500000.0,4768000000.0,Balance Sheet
33,Accounts Payable,2635618000.0,2707000000.0,2730600000.0,Balance Sheet
34,Total Assets,10076844000.0,14973100000.0,16284000000.0,Balance Sheet
35,Total Non Current Assets,8562725000.0,13229300000.0,13639100000.0,Balance Sheet
36,Other Non Current Assets,647377000.0,601000000.0,,Balance Sheet
37,Non Current Prepaid Assets,689456000.0,705800000.0,709000000.0,Balance Sheet
38,Investmentin Financial Assets,107000.0,300000.0,6200000.0,Balance Sheet
39,Available For Sale Securities,107000.0,300000.0,6200000.0,Balance Sheet
40,Goodwill And Other Intangible Assets,0.0,0.0,300000.0,Balance Sheet
41,Other Intangible Assets,,,300000.0,Balance Sheet
42,Net PPE,7870619000.0,12522600000.0,12923600000.0,Balance Sheet
43,Accumulated Depreciation,-2083673000.0,-1796800000.0,-1466700000.0,Balance Sheet
44,Gross PPE,9954292000.0,14319400000.0,14390300000.0,Balance Sheet
45,Construction In Progress,3397240000.0,7752400000.0,7754400000.0,Balance Sheet
46,Other Properties,28073000.0,34200000.0,89500000.0,Balance Sheet
47,Machinery Furniture Equipment,2628521000.0,2632300000.0,2645700000.0,Balance Sheet
48,Buildings And Improvements,1369458000.0,1369500000.0,1369700000.0,Balance Sheet
49,Land And Improvements,2531000000.0,2531000000.0,2531000000.0,Balance Sheet
50,Properties,0.0,0.0,0.0,Balance Sheet
51,Current Assets,1514119000.0,1743800000.0,2644900000.0,Balance Sheet
52,Other Current Assets,13555000.0,22300000.0,2100000.0,Balance Sheet
53,Restricted Cash,,16100000.0,,Balance Sheet
54,Prepaid Assets,170890000.0,209100000.0,518500000.0,Balance Sheet
55,Inventory,282997000.0,416000000.0,768200000.0,Balance Sheet
56,Finished Goods,76586000.0,158600000.0,405400000.0,Balance Sheet
57,Work In Process,48088000.0,75800000.0,101600000.0,Balance Sheet
58,Raw Materials,158323000.0,181600000.0,261200000.0,Balance Sheet
59,Other Receivables,1581000.0,4300000.0,2800000.0,Balance Sheet
60,Accounts Receivable,1033597000.0,1062600000.0,1154800000.0,Balance Sheet
61,Allowance For Doubtful Accounts Receivable,-1884230000.0,-1882700000.0,-1831400000.0,Balance Sheet
62,Gross Accounts Receivable,2917827000.0,2945300000.0,2985900000.0,Balance Sheet
63,Cash Cash Equivalents And Short Term Investments,11499000.0,13400000.0,198500000.0,Balance Sheet
64,Other Short Term Investments,10278000.0,22100000.0,166900000.0,Balance Sheet
65,Cash And Cash Equivalents,1221000.0,13400000.0,31600000.0,Balance Sheet
66,Cash Financial,1221000.0,13400000.0,31600000.0,Balance Sheet
0,Free Cash Flow,-147596000.0,-275200000.0,2129300000.0,Cash Flow
1,Repayment Of Debt,-45523000.0,0.0,-707300000.0,Cash Flow
2,Issuance Of Debt,243729000.0,368100000.0,729400000.0,Cash Flow
3,Issuance Of Capital Stock,,,0.0,Cash Flow
4,Capital Expenditure,-53000.0,-8700000.0,-24800000.0,Cash Flow
5,End Cash Position,-1798745000.0,-1674800000.0,-3247700000.0,Cash Flow
6,Beginning Cash Position,-1852928000.0,-1862900000.0,-4175500000.0,Cash Flow
7,Changes In Cash,54183000.0,188100000.0,927800000.0,Cash Flow
8,Financing Cash Flow,191881000.0,299400000.0,-1354900000.0,Cash Flow
9,Net Other Financing Charges,11556000.0,,,Cash Flow
10,Interest Paid Cff,-10323000.0,-22300000.0,-1329600000.0,Cash Flow
11,Net Common Stock Issuance,,,0.0,Cash Flow
12,Common Stock Issuance,,,0.0,Cash Flow
13,Net Issuance Payments Of Debt,198206000.0,342900000.0,22100000.0,Cash Flow
14,Net Short Term Debt Issuance,-45523000.0,-25200000.0,729400000.0,Cash Flow
15,Short Term Debt Payments,-45523000.0,,,Cash Flow
16,Short Term Debt Issuance,,,729400000.0,Cash Flow
17,Net Long Term Debt Issuance,243729000.0,368100000.0,-707300000.0,Cash Flow
18,Long Term Debt Payments,,0.0,-707300000.0,Cash Flow
19,Long Term Debt Issuance,243729000.0,368100000.0,,Cash Flow
20,Investing Cash Flow,9845000.0,155200000.0,128600000.0,Cash Flow
21,Interest Received Cfi,3516000.0,5200000.0,17700000.0,Cash Flow
22,Net Investment Purchase And Sale,6035000.0,156700000.0,65300000.0,Cash Flow
23,Sale Of Investment,6035000.0,156700000.0,65300000.0,Cash Flow
24,Net PPE Purchase And Sale,294000.0,-6700000.0,45600000.0,Cash Flow
25,Sale Of PPE,347000.0,2000000.0,70400000.0,Cash Flow
26,Purchase Of PPE,-53000.0,-8700000.0,-24800000.0,Cash Flow
27,Operating Cash Flow,-147543000.0,-266500000.0,2154100000.0,Cash Flow
28,Taxes Refund Paid,-269000.0,-600000.0,0.0,Cash Flow
29,Change In Working Capital,246150000.0,873300000.0,3014700000.0,Cash Flow
30,Change In Other Current Liabilities,46154000.0,233300000.0,1659700000.0,Cash Flow
31,Change In Other Current Assets,131248000.0,521100000.0,2301000000.0,Cash Flow
32,Change In Inventory,114902000.0,352200000.0,713700000.0,Cash Flow
33,Other Non Cash Items,1569730000.0,1470800000.0,1324200000.0,Cash Flow
34,Provisionand Write Offof Assets,-82208000.0,-63200000.0,292000000.0,Cash Flow
35,Deferred Tax,6446000.0,,,Cash Flow
36,Depreciation And Amortization,296054000.0,332900000.0,380600000.0,Cash Flow
37,Depreciation,296054000.0,332900000.0,380600000.0,Cash Flow
38,Gain Loss On Sale Of PPE,32000.0,2900000.0,9300000.0,Cash Flow
39,Net Income From Continuing Operations,-6556704000.0,-2876300000.0,-2866700000.0,Cash Flow
