,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,530037935.042294,267966154.083919,355736581.956164
Tax Rate For Calcs,0.238487,0.257926,0.25114,0.240851
Normalized EBITDA,66646000000.0,33141000000.0,28918000000.0,22089000000.0
Total Unusual Items,1540000000.0,2055000000.0,1067000000.0,1477000000.0
Total Unusual Items Excluding Goodwill,1540000000.0,2055000000.0,1067000000.0,1477000000.0
Net Income From Continuing Operation Net Minority Interest,44083000000.0,22968000000.0,19361000000.0,15201000000.0
Reconciled Depreciation,7227000000.0,3549000000.0,3325000000.0,2730000000.0
Reconciled Cost Of Revenue,208799000000.0,99181000000.0,75943000000.0,65766000000.0
EBIT,59419000000.0,31647000000.0,26660000000.0,20836000000.0
Net Interest Income,-1504000000.0,-335000000.0,-626000000.0,-762000000.0
Interest Expense,1504000000.0,673000000.0,778000000.0,807000000.0
Interest Income,1736000000.0,393000000.0,162000000.0,64000000.0
Normalized Income,44083000000.0,21443037935.042294,18561966154.08392,14079736581.956163
Net Income From Continuing And Discontinued Operation,44083000000.0,22968000000.0,19361000000.0,15201000000.0
Total Expenses,277980000000.0,129574000000.0,99641000000.0,91134000000.0
Rent Expense Supplemental,1431000000.0,1018000000.0,859000000.0,730000000.0
Diluted Average Shares,296192715.0,296078328.0,174460220.0,175508270.0
Basic Average Shares,295721895.0,295362359.0,174460220.0,173823653.0
Diluted EPS,148.83,133.35,110.26,86.61
Basic EPS,149.07,133.67,110.98,87.45
Diluted NI Availto Com Stockholders,44083000000.0,22968000000.0,19361000000.0,15201000000.0
Net Income Common Stockholders,44083000000.0,22968000000.0,19361000000.0,15201000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,44083000000.0,22968000000.0,19361000000.0,15201000000.0
Minority Interests,-20000000.0,-17000000.0,-21000000.0,-4000000.0
Net Income Including Noncontrolling Interests,44103000000.0,22985000000.0,19382000000.0,15205000000.0
Net Income Continuous Operations,44103000000.0,22985000000.0,19382000000.0,15205000000.0
Tax Provision,13812000000.0,7989000000.0,6500000000.0,4824000000.0
Pretax Income,57915000000.0,30974000000.0,25882000000.0,20029000000.0
Other Non Operating Income Expenses,5569000000.0,211000000.0,407000000.0,122000000.0
Special Income Charges,-130000000.0,-78000000.0,440000000.0,-89000000.0
Write Off,130000000.0,78000000.0,131000000.0,89000000.0
Restructuring And Mergern Acquisition,,,-571000000.0,
Net Non Operating Interest Income Expense,-1504000000.0,-335000000.0,-626000000.0,-762000000.0
Total Other Finance Cost,345000000.0,55000000.0,10000000.0,19000000.0
Interest Expense Non Operating,1504000000.0,673000000.0,778000000.0,807000000.0
Interest Income Non Operating,1736000000.0,393000000.0,162000000.0,64000000.0
Operating Income,53850000000.0,27113000000.0,24057000000.0,17652000000.0
Operating Expense,69181000000.0,30393000000.0,23698000000.0,25368000000.0
Other Operating Expenses,61954000000.0,3914000000.0,3002000000.0,6450000000.0
Depreciation And Amortization In Income Statement,7227000000.0,3549000000.0,3325000000.0,2730000000.0
Amortization,1265000000.0,950000000.0,778000000.0,750000000.0
Depreciation Income Statement,7227000000.0,2599000000.0,2547000000.0,1980000000.0
Selling General And Administration,5346000000.0,16324000000.0,11987000000.0,11210000000.0
Selling And Marketing Expense,978000000.0,274000000.0,124000000.0,304000000.0
General And Administrative Expense,4368000000.0,16050000000.0,11863000000.0,10906000000.0
Rent And Landing Fees,1431000000.0,1018000000.0,859000000.0,730000000.0
Gross Profit,123031000000.0,57506000000.0,47755000000.0,43020000000.0
Cost Of Revenue,208799000000.0,99181000000.0,75943000000.0,65766000000.0
Total Revenue,331830000000.0,156687000000.0,123698000000.0,108786000000.0
Operating Revenue,331830000000.0,156687000000.0,123698000000.0,108786000000.0
Ordinary Shares Number,295822779.0,175270156.0,174750608.0,174126769.0
Share Issued,295822779.0,175270156.0,174750608.0,174126769.0
Total Debt,15412000000.0,8355000000.0,7983000000.0,9119000000.0
Tangible Book Value,150469000000.0,78089000000.0,63793000000.0,46356000000.0
Invested Capital,167174000000.0,88665000000.0,73448000000.0,54360000000.0
Working Capital,117032000000.0,59473000000.0,54990000000.0,39978000000.0
Net Tangible Assets,150469000000.0,78089000000.0,63793000000.0,46356000000.0
Capital Lease Obligations,14159000000.0,7836000000.0,7569000000.0,8799000000.0
Common Stock Equity,165921000000.0,88146000000.0,73034000000.0,54040000000.0
Total Capitalization,165921000000.0,88146000000.0,73034000000.0,54040000000.0
Total Equity Gross Minority Interest,165992000000.0,88203000000.0,73071000000.0,54051000000.0
