,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-4644256.384459,-12500110.2
Tax Rate For Calcs,0.297593,0.255081,0.3
Normalized EBITDA,86734577.26,62778325.0,72405973.0
Total Unusual Items,0.0,-18207000.0,-41667034.0
Total Unusual Items Excluding Goodwill,0.0,-18207000.0,-41667034.0
Net Income From Continuing Operation Net Minority Interest,40236464.0,10462568.0,327843.0
Reconciled Depreciation,4563055.0,4269335.0,4384703.0
Reconciled Cost Of Revenue,635005892.0,461514735.0,510890453.0
EBIT,82171522.26,40301990.0,26354236.0
Net Interest Income,-11912664.26,-13675038.0,-12485560.0
Interest Expense,24887807.26,26256751.0,25563183.0
Interest Income,12975143.0,12581713.0,13077623.0
Normalized Income,40236464.0,24025311.615541,29494766.8
Net Income From Continuing And Discontinued Operation,40236464.0,10462568.0,327843.0
Total Expenses,651077315.0,482658971.0,537818732.0
Rent Expense Supplemental,278087.0,245520.0,663300.0
Diluted Average Shares,10546213.0,10546213.0,10546213.0
Basic Average Shares,10546213.0,10546213.0,10546213.0
Diluted EPS,3.82,0.99,0.03
Basic EPS,3.82,0.99,0.03
Diluted NI Availto Com Stockholders,40236464.0,10462568.0,327843.0
Net Income Common Stockholders,40236464.0,10462568.0,327843.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,40236464.0,10462568.0,327843.0
Net Income Including Noncontrolling Interests,40236464.0,10462568.0,327843.0
Net Income Continuous Operations,40236464.0,10462568.0,327843.0
Tax Provision,17047251.0,3582671.0,463210.0
Pretax Income,57283715.0,14045239.0,791053.0
Other Non Operating Income Expenses,473430.0,1524493.0,
Special Income Charges,0.0,-18207000.0,-41667034.0
Write Off,0.0,18207000.0,41667034.0
Net Non Operating Interest Income Expense,-11912664.26,-13675038.0,-12485560.0
Interest Expense Non Operating,24887807.26,26256751.0,25563183.0
Interest Income Non Operating,12975143.0,12581713.0,13077623.0
Operating Income,64290406.0,40417951.0,46295468.0
Operating Expense,16071423.0,21144236.0,26928279.0
Other Operating Expenses,2077478.0,1370424.0,5123619.0
Depreciation And Amortization In Income Statement,4563055.0,4269335.0,4384703.0
Amortization,1249684.0,1322426.0,1393249.0
Depreciation Income Statement,3313371.0,2946909.0,2991454.0
Selling General And Administration,30912557.0,11444307.0,14170198.0
Selling And Marketing Expense,26732441.0,8831560.0,10734621.0
General And Administrative Expense,4180116.0,2612747.0,3435577.0
Rent And Landing Fees,278087.0,245520.0,663300.0
Gross Profit,80361829.0,61562187.0,73223747.0
Cost Of Revenue,635005892.0,461514735.0,510890453.0
Total Revenue,715367721.0,523076922.0,584114200.0
Operating Revenue,715367721.0,523076922.0,584114200.0
Ordinary Shares Number,10546213.0,10546213.0,10546213.0
Share Issued,10546213.0,10546213.0,10546213.0
Net Debt,195998590.0,172606476.0,163533494.0
Total Debt,208113640.0,178497218.0,170442413.0
Tangible Book Value,255849788.0,221250166.0,209846204.0
Invested Capital,471163217.0,399927046.0,380179668.0
Working Capital,244883582.0,220325916.0,208909234.0
Net Tangible Assets,255849788.0,221250166.0,209846204.0
Capital Lease Obligations,492213.0,2755810.0,4076606.0
Common Stock Equity,263541790.0,224185638.0,213813861.0
Total Capitalization,294604136.0,264515039.0,254335209.0
Total Equity Gross Minority Interest,263541790.0,224185638.0,213813861.0
Stockholders Equity,263541790.0,224185638.0,213813861.0
Other Equity Interest,1.0,,
Retained Earnings,75888256.0,35651794.0,25189226.0
Additional Paid In Capital,80975944.0,82020944.0,82020944.0
Capital Stock,105462130.0,105462130.0,105462130.0
Common Stock,105462130.0,105462130.0,105462130.0
Total Liabilities Net Minority Interest,552697823.0,637047611.0,448225275.0
Total Non Current Liabilities Net Minority Interest,33329013.0,44442644.0,44069331.0
Other Non Current Liabilities,,-100000.0,
Non Current Pension And Other Postretirement Benefit Plans,1891359.0,1849647.0,1388134.0
Long Term Debt And Capital Lease Obligation,31437654.0,42592997.0,42681197.0
Long Term Capital Lease Obligation,375308.0,2263596.0,2159849.0
Long Term Debt,31062346.0,40329401.0,40521348.0
Long Term Provisions,1892000.0,1850000.0,
Current Liabilities,519368810.0,592604967.0,404155944.0
Other Current Liabilities,15156940.0,22354016.0,14502287.0
Current Debt And Capital Lease Obligation,176675986.0,135904221.0,127761216.0
Current Capital Lease Obligation,116905.0,492214.0,1916757.0
Current Debt,176559081.0,135412007.0,125844459.0
Pensionand Other Post Retirement Benefit Plans Current,348892.0,175787.0,145242.0
Current Provisions,349000.0,176000.0,
Payables,300359915.0,412275306.0,224078210.0
Other Payable,3835928.0,3143285.0,6137465.0
Total Tax Payable,12716645.0,3766014.0,608845.0
Accounts Payable,283807342.0,405366007.0,217331900.0
Total Assets,816239613.0,861233249.0,662039136.0
Total Non Current Assets,51987221.0,48302366.0,48973958.0
Other Non Current Assets,3.0,1.0,1.0
Non Current Prepaid Assets,9916583.0,9559623.0,8797332.0
Non Current Deferred Taxes Assets,1606818.0,1480490.0,1242956.0
Investmentin Financial Assets,10814725.0,10814725.0,10814725.0
Available For Sale Securities,10814725.0,10814725.0,10814725.0
