,item,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,-80960000.0,88464800.0,1638321.388098,92317800.0,Income Statement
1,Tax Rate For Calcs,0.4,0.4,0.221844,0.3,Income Statement
2,Normalized EBITDA,294500000.0,64477000.0,741727000.0,-199038000.0,Income Statement
3,Total Unusual Items,-202400000.0,221162000.0,7385000.0,307726000.0,Income Statement
4,Total Unusual Items Excluding Goodwill,-202400000.0,221162000.0,7385000.0,307726000.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,-473800000.0,236231000.0,190549000.0,-1021630000.0,Income Statement
6,Reconciled Depreciation,229700000.0,236755000.0,253124000.0,246306000.0,Income Statement
7,Reconciled Cost Of Revenue,3612800000.0,3249382000.0,3562995000.0,3555899000.0,Income Statement
8,EBIT,-137600000.0,48884000.0,495988000.0,-137618000.0,Income Statement
9,Net Interest Income,-366900000.0,-365469000.0,-444392000.0,-512793000.0,Income Statement
10,Interest Expense,366900000.0,362013000.0,463339000.0,576007000.0,Income Statement
11,Interest Income,,17571000.0,34128000.0,79857000.0,Income Statement
12,Normalized Income,-352360000.0,103533800.0,184802321.388098,-1237038200.0,Income Statement
13,Net Income From Continuing And Discontinued Operation,-471400000.0,236231000.0,190549000.0,-1021630000.0,Income Statement
14,Total Expenses,8269200000.0,6749718000.0,7306925000.0,7612341000.0,Income Statement
15,Rent Expense Supplemental,,26730000.0,35936000.0,16025000.0,Income Statement
16,Diluted Average Shares,,22667946.0,22666858.0,22666858.0,Income Statement
17,Basic Average Shares,,22667946.0,22666858.0,22666858.0,Income Statement
18,Diluted EPS,,10.42,8.41,-45.07,Income Statement
19,Basic EPS,,10.42,8.41,-45.07,Income Statement
20,Diluted NI Availto Com Stockholders,-471400000.0,236231000.0,190549000.0,-1021630000.0,Income Statement
21,Net Income Common Stockholders,-471400000.0,236231000.0,190549000.0,-1021630000.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,Income Statement
23,Net Income,-471400000.0,236231000.0,190549000.0,-1021630000.0,Income Statement
24,Net Income Including Noncontrolling Interests,-471400000.0,236231000.0,190549000.0,-1021630000.0,Income Statement
25,Net Income Discontinuous Operations,2400000.0,,,,Income Statement
26,Net Income Continuous Operations,-473800000.0,236231000.0,190549000.0,-1021630000.0,Income Statement
27,Tax Provision,21200000.0,-354325000.0,7243000.0,112952000.0,Income Statement
28,Pretax Income,-504500000.0,-313129000.0,32649000.0,-713625000.0,Income Statement
29,Other Non Operating Income Expenses,208100000.0,70917000.0,76107000.0,215109000.0,Income Statement
30,Special Income Charges,-202400000.0,226959000.0,-2255000.0,-70529000.0,Income Statement
31,Other Special Charges,,-226959000.0,-55501000.0,-81011000.0,Income Statement
32,Write Off,,0.0,57756000.0,151540000.0,Income Statement
33,Net Non Operating Interest Income Expense,-366900000.0,-365469000.0,-444392000.0,-512793000.0,Income Statement
34,Total Other Finance Cost,,21027000.0,15181000.0,16643000.0,Income Statement
35,Interest Expense Non Operating,366900000.0,362013000.0,463339000.0,576007000.0,Income Statement
36,Interest Income Non Operating,,17571000.0,34128000.0,79857000.0,Income Statement
37,Operating Income,-143300000.0,-247592000.0,364330000.0,-729903000.0,Income Statement
38,Operating Expense,4656400000.0,3500336000.0,3743930000.0,4056442000.0,Income Statement
39,Other Operating Expenses,1655800000.0,1317278000.0,1326245000.0,1414184000.0,Income Statement
40,Depreciation And Amortization In Income Statement,229700000.0,236755000.0,253124000.0,246306000.0,Income Statement
41,Amortization,,130000.0,,80000.0,Income Statement
42,Depreciation Income Statement,229700000.0,236625000.0,253124000.0,246226000.0,Income Statement
43,Selling General And Administration,,122610000.0,102754000.0,143147000.0,Income Statement
44,Selling And Marketing Expense,,90196000.0,70539000.0,103048000.0,Income Statement
45,General And Administrative Expense,,32414000.0,32215000.0,40099000.0,Income Statement
46,Rent And Landing Fees,,26730000.0,35936000.0,16025000.0,Income Statement
47,Gross Profit,4513100000.0,3252744000.0,4108260000.0,3326539000.0,Income Statement
48,Cost Of Revenue,3612800000.0,3249382000.0,3562995000.0,3555899000.0,Income Statement
49,Total Revenue,8125900000.0,6502126000.0,7671255000.0,6882438000.0,Income Statement
50,Operating Revenue,8125900000.0,6502126000.0,7671255000.0,6882438000.0,Income Statement
0,Ordinary Shares Number,28877488.0,28877488.0,28877488.0,28877488.0,Balance Sheet
1,Share Issued,28877488.0,28877488.0,28877488.0,28877488.0,Balance Sheet
2,Net Debt,3080000000.0,4210790000.0,3154537000.0,4929871000.0,Balance Sheet
3,Total Debt,3172200000.0,4336532000.0,3270079000.0,5161011000.0,Balance Sheet
4,Tangible Book Value,2076000000.0,2590202000.0,2256166000.0,1999375000.0,Balance Sheet
5,Invested Capital,5335600000.0,7045898000.0,5637846000.0,7248716000.0,Balance Sheet
6,Working Capital,-1625400000.0,-2868015000.0,-2322419000.0,-2597958000.0,Balance Sheet
7,Net Tangible Assets,2076000000.0,2590202000.0,2256166000.0,1999375000.0,Balance Sheet
8,Capital Lease Obligations,50900000.0,37896000.0,45417000.0,47814000.0,Balance Sheet
9,Common Stock Equity,2214300000.0,2747262000.0,2413184000.0,2135519000.0,Balance Sheet
10,Total Capitalization,2746800000.0,3261205000.0,3206146000.0,3443731000.0,Balance Sheet
