,item,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,-7726384.71907,-17343389.0,664335.0,-227760.0,Income Statement
1,Tax Rate For Calcs,0.236998,0.2681,0.3325,0.1825,Income Statement
2,Normalized EBITDA,1953710000.0,1368340000.0,1075506000.0,1455611000.0,Income Statement
3,Total Unusual Items,-32601000.0,-64690000.0,1998000.0,-1248000.0,Income Statement
4,Total Unusual Items Excluding Goodwill,-32601000.0,-64690000.0,1998000.0,-1248000.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,813708000.0,369053000.0,117262000.0,302588000.0,Income Statement
6,Reconciled Depreciation,731968000.0,708786000.0,829510000.0,927752000.0,Income Statement
7,Reconciled Cost Of Revenue,14461348000.0,11685706000.0,9648792000.0,10734679000.0,Income Statement
8,EBIT,1189141000.0,594864000.0,247994000.0,526610000.0,Income Statement
9,Net Interest Income,-47378000.0,4410000.0,-29790000.0,-48440000.0,Income Statement
10,Interest Expense,47378000.0,33069000.0,42932000.0,96994000.0,Income Statement
11,Interest Income,,41701000.0,17449000.0,50901000.0,Income Statement
12,Normalized Income,838582615.28093,416399611.0,115928335.0,303608240.0,Income Statement
13,Net Income From Continuing And Discontinued Operation,813708000.0,369053000.0,117262000.0,302588000.0,Income Statement
14,Total Expenses,19303188000.0,15180840000.0,12985289000.0,14527141000.0,Income Statement
15,Rent Expense Supplemental,,33899000.0,30848000.0,39372000.0,Income Statement
16,Diluted Average Shares,244356757.0,244405960.0,244480469.0,244480469.0,Income Statement
17,Basic Average Shares,244356757.0,244405960.0,244480469.0,244480469.0,Income Statement
18,Diluted EPS,3.33,1.51,0.48,1.24,Income Statement
19,Basic EPS,3.33,1.51,0.48,1.24,Income Statement
20,Diluted NI Availto Com Stockholders,813708000.0,369053000.0,117262000.0,302588000.0,Income Statement
21,Net Income Common Stockholders,813708000.0,369053000.0,117262000.0,302588000.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,Income Statement
23,Net Income,813708000.0,369053000.0,117262000.0,302588000.0,Income Statement
24,Minority Interests,-57459000.0,-42134000.0,-19625000.0,-48628000.0,Income Statement
25,Net Income Including Noncontrolling Interests,871167000.0,411187000.0,136887000.0,351216000.0,Income Statement
26,Net Income Continuous Operations,871167000.0,411187000.0,136887000.0,351216000.0,Income Statement
27,Tax Provision,270596000.0,150608000.0,68175000.0,78400000.0,Income Statement
28,Pretax Income,1141763000.0,561795000.0,205062000.0,429616000.0,Income Statement
29,Other Non Operating Income Expenses,85624000.0,20692000.0,22819000.0,35919000.0,Income Statement
30,Special Income Charges,-32601000.0,-64690000.0,1998000.0,-1248000.0,Income Statement
31,Other Special Charges,,-3062000.0,-1998000.0,1248000.0,Income Statement
32,Impairment Of Capital Assets,,49234000.0,,,Income Statement
33,Restructuring And Mergern Acquisition,,18518000.0,,,Income Statement
34,Net Non Operating Interest Income Expense,-47378000.0,4410000.0,-29790000.0,-48440000.0,Income Statement
35,Total Other Finance Cost,,4222000.0,4307000.0,2347000.0,Income Statement
36,Interest Expense Non Operating,47378000.0,33069000.0,42932000.0,96994000.0,Income Statement
37,Interest Income Non Operating,,41701000.0,17449000.0,50901000.0,Income Statement
38,Operating Income,1136118000.0,564546000.0,197738000.0,461844000.0,Income Statement
39,Operating Expense,4841840000.0,3495134000.0,3336497000.0,3792462000.0,Income Statement
40,Other Operating Expenses,1948117000.0,552335000.0,467757000.0,557073000.0,Income Statement
41,Depreciation And Amortization In Income Statement,731968000.0,708786000.0,829510000.0,927753000.0,Income Statement
42,Amortization,,141861000.0,197887000.0,191503000.0,Income Statement
43,Depreciation Income Statement,731968000.0,566925000.0,631623000.0,736250000.0,Income Statement
44,Selling General And Administration,,269556000.0,173764000.0,214201000.0,Income Statement
45,Selling And Marketing Expense,,177370000.0,88894000.0,111302000.0,Income Statement
46,General And Administrative Expense,,92186000.0,84870000.0,102899000.0,Income Statement
47,Rent And Landing Fees,,33899000.0,30848000.0,39372000.0,Income Statement
48,Gross Profit,5977958000.0,4059680000.0,3534235000.0,4254306000.0,Income Statement
49,Cost Of Revenue,14461348000.0,11685706000.0,9648792000.0,10734679000.0,Income Statement
50,Total Revenue,20439306000.0,15745386000.0,13183027000.0,14988985000.0,Income Statement
51,Operating Revenue,20439306000.0,15745386000.0,13183027000.0,14988985000.0,Income Statement
0,Ordinary Shares Number,244480469.0,244480469.0,244480469.0,244480469.0,Balance Sheet
1,Share Issued,244480469.0,244480469.0,244480469.0,244480469.0,Balance Sheet
2,Net Debt,111107000.0,46564000.0,,152733000.0,Balance Sheet
3,Total Debt,617636000.0,709917000.0,485156000.0,781301000.0,Balance Sheet
4,Tangible Book Value,6791874000.0,6084960000.0,5619543000.0,5429481000.0,Balance Sheet
5,Invested Capital,7604801000.0,6988198000.0,6431547000.0,6695964000.0,Balance Sheet
6,Working Capital,2492871000.0,1958487000.0,2014607000.0,1504811000.0,Balance Sheet
7,Net Tangible Assets,6791874000.0,6084960000.0,5619543000.0,5429481000.0,Balance Sheet
8,Capital Lease Obligations,40536000.0,40029000.0,38951000.0,41650000.0,Balance Sheet
9,Common Stock Equity,7027701000.0,6318310000.0,5985342000.0,5956313000.0,Balance Sheet
10,Total Capitalization,7336680000.0,6661783000.0,6157905000.0,6117219000.0,Balance Sheet
11,Total Equity Gross Minority Interest,7337190000.0,6612696000.0,6242948000.0,6218259000.0,Balance Sheet
12,Minority Interest,309489000.0,294386000.0,257606000.0,261946000.0,Balance Sheet
13,Stockholders Equity,7027701000.0,6318310000.0,5985342000.0,5956313000.0,Balance Sheet
14,Other Equity Interest,6783221000.0,6073830000.0,,,Balance Sheet
15,Retained Earnings,,4204260000.0,3871292000.0,3842719000.0,Balance Sheet
16,Additional Paid In Capital,,807076000.0,807076000.0,807076000.0,Balance Sheet
17,Capital Stock,244480000.0,244480000.0,244480000.0,244480000.0,Balance Sheet
18,Common Stock,244480000.0,244480000.0,244480000.0,244480000.0,Balance Sheet
19,Total Liabilities Net Minority Interest,3405291000.0,3385445000.0,3089254000.0,2681865000.0,Balance Sheet
20,Total Non Current Liabilities Net Minority Interest,451288000.0,499063000.0,323746000.0,314070000.0,Balance Sheet
21,Non Current Deferred Taxes Liabilities,5463000.0,9579000.0,11683000.0,20877000.0,Balance Sheet
22,Long Term Debt And Capital Lease Obligation,349515000.0,383502000.0,211093000.0,198499000.0,Balance Sheet
23,Long Term Capital Lease Obligation,40536000.0,40029000.0,38530000.0,37593000.0,Balance Sheet
24,Long Term Debt,308979000.0,343473000.0,172563000.0,160906000.0,Balance Sheet
25,Long Term Provisions,96310000.0,105982000.0,100970000.0,94694000.0,Balance Sheet
26,Current Liabilities,2954003000.0,2886382000.0,2765508000.0,2367795000.0,Balance Sheet
27,Other Current Liabilities,143896000.0,-2000.0,195221000.0,,Balance Sheet
28,Current Debt And Capital Lease Obligation,268121000.0,326415000.0,274063000.0,582802000.0,Balance Sheet
29,Current Capital Lease Obligation,,0.0,421000.0,4057000.0,Balance Sheet
30,Current Debt,268121000.0,326415000.0,273642000.0,578745000.0,Balance Sheet
31,Current Provisions,100415000.0,36156000.0,30518000.0,31280000.0,Balance Sheet
32,Payables,2230268000.0,2493362000.0,2405289000.0,1740558000.0,Balance Sheet
33,Other Payable,,492186000.0,320412000.0,282474000.0,Balance Sheet
34,Dividends Payable,,14820000.0,18880000.0,22326000.0,Balance Sheet
35,Total Tax Payable,27796000.0,8702000.0,26272000.0,0.0,Balance Sheet
36,Accounts Payable,2202472000.0,1977654000.0,2039725000.0,1435758000.0,Balance Sheet
37,Total Assets,10742481000.0,9998141000.0,9332202000.0,8900124000.0,Balance Sheet
38,Total Non Current Assets,5295607000.0,5153272000.0,4552087000.0,5027518000.0,Balance Sheet
39,Other Non Current Assets,51163000.0,54687000.0,79000.0,,Balance Sheet
40,Non Current Prepaid Assets,30737000.0,108087000.0,159055000.0,132006000.0,Balance Sheet
41,Non Current Deferred Taxes Assets,122154000.0,90584000.0,42010000.0,,Balance Sheet
42,Financial Assets,,,,0.0,Balance Sheet
43,Investmentin Financial Assets,34611000.0,26883000.0,,,Balance Sheet
44,Available For Sale Securities,34611000.0,26883000.0,,,Balance Sheet
45,Investment Properties,54333000.0,67779000.0,,,Balance Sheet
46,Goodwill And Other Intangible Assets,235827000.0,233350000.0,365799000.0,526832000.0,Balance Sheet
47,Other Intangible Assets,,233350000.0,365799000.0,526832000.0,Balance Sheet
48,Net PPE,4766560000.0,4653216000.0,3984726000.0,4368266000.0,Balance Sheet
49,Accumulated Depreciation,,-4132899000.0,-3694321000.0,-3141710000.0,Balance Sheet
50,Gross PPE,4766560000.0,8786115000.0,7679047000.0,7509976000.0,Balance Sheet
51,Construction In Progress,251160000.0,966317000.0,103179000.0,19539000.0,Balance Sheet
52,Other Properties,4515400000.0,386681000.0,343494000.0,341243000.0,Balance Sheet
53,Machinery Furniture Equipment,,4940600000.0,4587929000.0,4508148000.0,Balance Sheet
54,Buildings And Improvements,,1865165000.0,2006412000.0,2003013000.0,Balance Sheet
55,Land And Improvements,,627352000.0,638033000.0,638033000.0,Balance Sheet
56,Properties,,0.0,0.0,0.0,Balance Sheet
57,Current Assets,5446874000.0,4844869000.0,4780115000.0,3872606000.0,Balance Sheet
58,Other Current Assets,172416000.0,164651000.0,153527000.0,45928000.0,Balance Sheet
59,Hedging Assets Current,,,,14605000.0,Balance Sheet
60,Assets Held For Sale Current,2114000.0,,,,Balance Sheet
61,Current Deferred Taxes Assets,17130000.0,,,,Balance Sheet
62,Restricted Cash,,14820000.0,18880000.0,35226000.0,Balance Sheet
63,Prepaid Assets,,165979000.0,139246000.0,123339000.0,Balance Sheet
64,Inventory,1876244000.0,1448758000.0,1304622000.0,1145067000.0,Balance Sheet
65,Inventories Adjustments Allowances,,-11900000.0,-8000000.0,-4000000.0,Balance Sheet
66,Other Inventories,,161597000.0,142900000.0,159252000.0,Balance Sheet
67,Finished Goods,,389457000.0,338824000.0,246401000.0,Balance Sheet
68,Work In Process,,126861000.0,104498000.0,122408000.0,Balance Sheet
69,Raw Materials,,782743000.0,726400000.0,621006000.0,Balance Sheet
70,Other Receivables,413000.0,9521000.0,50006000.0,26338000.0,Balance Sheet
71,Accounts Receivable,2805723000.0,2416667000.0,2538522000.0,1941113000.0,Balance Sheet
72,Cash Cash Equivalents And Short Term Investments,572834000.0,789124000.0,728839000.0,586918000.0,Balance Sheet
73,Other Short Term Investments,106841000.0,165800000.0,72500000.0,,Balance Sheet
74,Cash And Cash Equivalents,465993000.0,623324000.0,656339000.0,586918000.0,Balance Sheet
75,Cash Equivalents,,579800000.0,648600000.0,532300000.0,Balance Sheet
76,Cash Financial,,43524000.0,7739000.0,54618000.0,Balance Sheet
0,Free Cash Flow,-21357000.0,-140670000.0,541610000.0,842683000.0,Cash Flow
1,Repayment Of Debt,-219990000.0,-141101000.0,-407684000.0,-587244000.0,Cash Flow
2,Issuance Of Debt,126880000.0,364793000.0,125462000.0,,Cash Flow
3,Capital Expenditure,-973361000.0,-1215871000.0,-370969000.0,-400994000.0,Cash Flow
4,End Cash Position,465993000.0,638144000.0,675219000.0,609244000.0,Cash Flow
5,Beginning Cash Position,638144000.0,675219000.0,609244000.0,1221244000.0,Cash Flow
6,Changes In Cash,-172151000.0,-37075000.0,65975000.0,-612000000.0,Cash Flow
7,Financing Cash Flow,-279727000.0,143892000.0,-444612000.0,-1519890000.0,Cash Flow
