,item,2023-03-31 00:00:00,2022-03-31 00:00:00,sheet,2021-03-31 00:00:00
0,Tax Effect Of Unusual Items,0.0,-174595114.99376,Income Statement,
1,Tax Rate For Calcs,0.253247,0.267784,Income Statement,
2,Normalized EBITDA,8036900000.0,7549000000.0,Income Statement,
3,Total Unusual Items,0.0,-652000000.0,Income Statement,
4,Total Unusual Items Excluding Goodwill,0.0,-652000000.0,Income Statement,
5,Net Income From Continuing Operation Net Minority Interest,4870400000.0,4107000000.0,Income Statement,
6,Reconciled Depreciation,1236500000.0,1055000000.0,Income Statement,
7,Reconciled Cost Of Revenue,46317300000.0,36786000000.0,Income Statement,
8,EBIT,6800300000.0,5842000000.0,Income Statement,
9,Net Interest Income,-278200000.0,-267000000.0,Income Statement,
10,Interest Expense,278200000.0,233000000.0,Income Statement,
11,Interest Income,,18000000.0,Income Statement,
12,Normalized Income,4870400000.0,4584404885.00624,Income Statement,
13,Net Income From Continuing And Discontinued Operation,4870400000.0,4107000000.0,Income Statement,
14,Total Expenses,63648700000.0,49584000000.0,Income Statement,
15,Rent Expense Supplemental,,132000000.0,Income Statement,
16,Diluted Average Shares,4427636364.0,4415806452.0,Income Statement,
17,Basic Average Shares,4427636364.0,4415806452.0,Income Statement,
18,Diluted EPS,1.1,0.93,Income Statement,
19,Basic EPS,1.1,0.93,Income Statement,
20,Diluted NI Availto Com Stockholders,4870400000.0,4107000000.0,Income Statement,
21,Net Income Common Stockholders,4870400000.0,4107000000.0,Income Statement,
22,Otherunder Preferred Stock Dividend,0.0,0.0,Income Statement,
23,Net Income,4870400000.0,4107000000.0,Income Statement,
24,Net Income Including Noncontrolling Interests,4870400000.0,4107000000.0,Income Statement,
25,Net Income Continuous Operations,4870400000.0,4107000000.0,Income Statement,
26,Tax Provision,1651700000.0,1502000000.0,Income Statement,
27,Pretax Income,6522100000.0,5609000000.0,Income Statement,
28,Other Non Operating Income Expenses,222900000.0,300200000.0,Income Statement,
29,Special Income Charges,0.0,-652000000.0,Income Statement,
30,Other Special Charges,,652000000.0,Income Statement,
31,Net Non Operating Interest Income Expense,-278200000.0,-267000000.0,Income Statement,
32,Total Other Finance Cost,,52000000.0,Income Statement,
33,Interest Expense Non Operating,278200000.0,233000000.0,Income Statement,
34,Interest Income Non Operating,,18000000.0,Income Statement,
35,Operating Income,6577400000.0,6288000000.0,Income Statement,
36,Operating Expense,17331400000.0,12798000000.0,Income Statement,
37,Other Operating Expenses,4611800000.0,2111000000.0,Income Statement,
38,Depreciation And Amortization In Income Statement,1236600000.0,1055000000.0,Income Statement,
39,Depreciation Income Statement,1236600000.0,1055000000.0,Income Statement,
40,Selling General And Administration,,554000000.0,Income Statement,
41,General And Administrative Expense,,554000000.0,Income Statement,
42,Rent And Landing Fees,,132000000.0,Income Statement,
43,Gross Profit,23908800000.0,19086000000.0,Income Statement,
44,Cost Of Revenue,46317300000.0,36786000000.0,Income Statement,
