,item,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,0.0,-91125200.0,229800.0,0.0,Income Statement
1,Tax Rate For Calcs,0.4,0.4,0.3,0.179428,Income Statement
2,Normalized EBITDA,1655057000.0,-1251887000.0,192384000.0,861987000.0,Income Statement
3,Total Unusual Items,,-227813000.0,766000.0,0.0,Income Statement
4,Total Unusual Items Excluding Goodwill,,-227813000.0,766000.0,0.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,203396000.0,-2327405000.0,61771000.0,531030000.0,Income Statement
6,Reconciled Depreciation,71930000.0,86640000.0,81605000.0,75453000.0,Income Statement
7,Reconciled Cost Of Revenue,516150000.0,2799552000.0,1649124000.0,903405000.0,Income Statement
8,EBIT,1583127000.0,-1566340000.0,111545000.0,786534000.0,Income Statement
9,Net Interest Income,-1171653000.0,-848674000.0,-191291000.0,-227338000.0,Income Statement
10,Interest Expense,1171653000.0,726913000.0,102273000.0,139387000.0,Income Statement
11,Interest Income,,14311000.0,14672000.0,24891000.0,Income Statement
12,Normalized Income,203396000.0,-2190717200.0,61234800.0,531030000.0,Income Statement
13,Net Income From Continuing And Discontinued Operation,203396000.0,-2327405000.0,61771000.0,531030000.0,Income Statement
14,Total Expenses,2163512000.0,4209112000.0,2001238000.0,1226843000.0,Income Statement
15,Rent Expense Supplemental,,2680000.0,53000.0,3000.0,Income Statement
16,Diluted Average Shares,294776812.0,294981876.0,295096335.0,295096335.0,Income Statement
17,Basic Average Shares,294776812.0,294981876.0,295096335.0,295096335.0,Income Statement
18,Diluted EPS,0.69,-7.89,0.21,1.799514,Income Statement
19,Basic EPS,0.69,-7.89,0.21,1.799514,Income Statement
20,Diluted NI Availto Com Stockholders,203396000.0,-2327405000.0,61771000.0,531030000.0,Income Statement
21,Net Income Common Stockholders,203396000.0,-2327405000.0,61771000.0,531030000.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,Income Statement
23,Net Income,203396000.0,-2327405000.0,61771000.0,531030000.0,Income Statement
24,Minority Interests,-211000.0,187000.0,45000.0,-1000.0,Income Statement
25,Net Income Including Noncontrolling Interests,203606000.0,-2327592000.0,61726000.0,531031000.0,Income Statement
26,Net Income Continuous Operations,203606000.0,-2327592000.0,61726000.0,531031000.0,Income Statement
27,Tax Provision,207734000.0,34229000.0,-52460000.0,116116000.0,Income Statement
28,Pretax Income,411474000.0,-2293253000.0,9272000.0,647147000.0,Income Statement
29,Other Non Operating Income Expenses,65403000.0,486800000.0,283677000.0,695336000.0,Income Statement
30,Special Income Charges,,-228005000.0,,,Income Statement
31,Write Off,,228005000.0,,,Income Statement
32,Net Non Operating Interest Income Expense,-1171653000.0,-848674000.0,-191291000.0,-227338000.0,Income Statement
33,Total Other Finance Cost,,136072000.0,103690000.0,112842000.0,Income Statement
34,Interest Expense Non Operating,1171653000.0,726913000.0,102273000.0,139387000.0,Income Statement
35,Interest Income Non Operating,,14311000.0,14672000.0,24891000.0,Income Statement
36,Operating Income,1517724000.0,-1703567000.0,-91654000.0,146434000.0,Income Statement
37,Operating Expense,1647362000.0,1409560000.0,352114000.0,323438000.0,Income Statement
38,Other Operating Expenses,1466771000.0,990628000.0,133821000.0,113503000.0,Income Statement
39,Depreciation And Amortization In Income Statement,71930000.0,86640000.0,81605000.0,75453000.0,Income Statement
40,Amortization,,43000.0,219000.0,219000.0,Income Statement
41,Depreciation Income Statement,71930000.0,86597000.0,81386000.0,75234000.0,Income Statement
42,Selling General And Administration,,254816000.0,57384000.0,52598000.0,Income Statement
43,Selling And Marketing Expense,,11952000.0,7697000.0,3120000.0,Income Statement
44,General And Administrative Expense,,242864000.0,49687000.0,49478000.0,Income Statement
45,Rent And Landing Fees,,2680000.0,53000.0,3000.0,Income Statement
46,Gross Profit,3165086000.0,-294007000.0,260460000.0,469872000.0,Income Statement
47,Cost Of Revenue,516150000.0,2799552000.0,1649124000.0,903405000.0,Income Statement
48,Total Revenue,3681236000.0,2505545000.0,1909584000.0,1373277000.0,Income Statement
49,Operating Revenue,3681236000.0,2505545000.0,1909584000.0,1373277000.0,Income Statement
0,Ordinary Shares Number,295096335.0,295096335.0,295096335.0,295096335.0,Balance Sheet
1,Share Issued,295096335.0,295096335.0,295096335.0,295096335.0,Balance Sheet
2,Net Debt,12752373000.0,12112554000.0,13053907000.0,12949260000.0,Balance Sheet
3,Total Debt,13864567000.0,12334228000.0,13210180000.0,12980077000.0,Balance Sheet
4,Tangible Book Value,10739310000.0,10541218000.0,12867520000.0,12800941000.0,Balance Sheet
5,Invested Capital,27327072000.0,25594207000.0,28792254000.0,28556408000.0,Balance Sheet
6,Working Capital,10185582000.0,-4279711000.0,1576289000.0,1473750000.0,Balance Sheet
7,Net Tangible Assets,10739310000.0,10541218000.0,12867520000.0,12800941000.0,Balance Sheet
8,Capital Lease Obligations,54170000.0,57618000.0,60617000.0,0.0,Balance Sheet
9,Common Stock Equity,13516675000.0,13317597000.0,15642691000.0,15576331000.0,Balance Sheet
10,Total Capitalization,26833159000.0,13318720000.0,25776775000.0,25344157000.0,Balance Sheet
11,Total Equity Gross Minority Interest,13520016000.0,13320499000.0,15645851000.0,15579526000.0,Balance Sheet
12,Minority Interest,3341000.0,2902000.0,3160000.0,3195000.0,Balance Sheet
13,Stockholders Equity,13516675000.0,13317597000.0,15642691000.0,15576331000.0,Balance Sheet
14,Other Equity Interest,12926482000.0,12727217000.0,15052497000.0,,Balance Sheet
15,Retained Earnings,,12446657000.0,14774064000.0,14712292000.0,Balance Sheet
16,Capital Stock,590193000.0,590193000.0,590193000.0,590193000.0,Balance Sheet
17,Common Stock,590193000.0,590193000.0,590193000.0,590193000.0,Balance Sheet
18,Total Liabilities Net Minority Interest,18052997000.0,17482804000.0,18355031000.0,17750966000.0,Balance Sheet
19,Total Non Current Liabilities Net Minority Interest,13414280000.0,109855000.0,10484520000.0,10043352000.0,Balance Sheet
20,Other Non Current Liabilities,-1000.0,10983000.0,-1000.0,,Balance Sheet
21,Non Current Pension And Other Postretirement Benefit Plans,,8548000.0,8441000.0,8274000.0,Balance Sheet
22,Non Current Accrued Expenses,,0.0,0.0,0.0,Balance Sheet
23,Non Current Deferred Revenue,,46014000.0,227434000.0,205115000.0,Balance Sheet
24,Non Current Deferred Taxes Liabilities,2379000.0,0.0,56945000.0,62137000.0,Balance Sheet
25,Long Term Debt And Capital Lease Obligation,13366110000.0,55293000.0,10191701000.0,9767826000.0,Balance Sheet
26,Long Term Capital Lease Obligation,49626000.0,54170000.0,57617000.0,0.0,Balance Sheet
27,Long Term Debt,13316484000.0,1123000.0,10134084000.0,9767826000.0,Balance Sheet
28,Long Term Provisions,14159000.0,8548000.0,8441000.0,,Balance Sheet
29,Current Liabilities,4638717000.0,17372949000.0,7870511000.0,7707614000.0,Balance Sheet
30,Other Current Liabilities,2429351000.0,-2000.0,1000.0,-1000.0,Balance Sheet
31,Current Debt And Capital Lease Obligation,498457000.0,12278935000.0,3018479000.0,3212251000.0,Balance Sheet
32,Current Capital Lease Obligation,4544000.0,3448000.0,3000000.0,0.0,Balance Sheet
33,Current Debt,493913000.0,12275487000.0,3015479000.0,3212251000.0,Balance Sheet
34,Pensionand Other Post Retirement Benefit Plans Current,,22929000.0,1447000.0,5364000.0,Balance Sheet
35,Current Provisions,5166000.0,4670000.0,1447000.0,,Balance Sheet
36,Payables,431448000.0,1167775000.0,1318996000.0,791438000.0,Balance Sheet
37,Other Payable,,576237000.0,672853000.0,384190000.0,Balance Sheet
38,Total Tax Payable,191583000.0,135409000.0,131049000.0,129339000.0,Balance Sheet
