,item,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,-87029200.0,2347800.0,2013300.0,Income Statement
1,Tax Rate For Calcs,0.4,0.3,0.3,Income Statement
2,Normalized EBITDA,-390137000.0,-151108000.0,101554000.0,Income Statement
3,Total Unusual Items,-217573000.0,7826000.0,6711000.0,Income Statement
4,Total Unusual Items Excluding Goodwill,-217573000.0,7826000.0,6711000.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,-1456048000.0,-1122799000.0,-671053000.0,Income Statement
6,Reconciled Depreciation,98410000.0,97103000.0,113970000.0,Income Statement
7,Reconciled Cost Of Revenue,1097130000.0,1238568000.0,1296243000.0,Income Statement
8,EBIT,-706120000.0,-240385000.0,-5705000.0,Income Statement
9,Net Interest Income,-657277000.0,-740884000.0,-534095000.0,Income Statement
10,Interest Expense,744283000.0,839227000.0,653524000.0,Income Statement
11,Interest Income,87265000.0,98449000.0,119659000.0,Income Statement
12,Normalized Income,-1325504200.0,-1128277200.0,-675750700.0,Income Statement
13,Net Income From Continuing And Discontinued Operation,5321994000.0,-1097503000.0,1558740000.0,Income Statement
14,Total Expenses,2585013000.0,2612480000.0,2971318000.0,Income Statement
15,Rent Expense Supplemental,2942000.0,4775000.0,5335000.0,Income Statement
16,Diluted Average Shares,355601640.0,355601640.0,355601640.0,Income Statement
17,Basic Average Shares,355601640.0,355601640.0,355601640.0,Income Statement
18,Diluted EPS,14.97,-3.09,4.38,Income Statement
19,Basic EPS,14.97,-3.09,4.38,Income Statement
20,Diluted NI Availto Com Stockholders,5321994000.0,-1097503000.0,1558740000.0,Income Statement
21,Net Income Common Stockholders,5321994000.0,-1097503000.0,1558740000.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,Income Statement
23,Net Income,5321994000.0,-1097503000.0,1558740000.0,Income Statement
24,Minority Interests,-5055000.0,5000.0,-186000.0,Income Statement
25,Net Income Including Noncontrolling Interests,5327049000.0,-1097508000.0,1558926000.0,Income Statement
26,Net Income Discontinuous Operations,6778042000.0,25296000.0,2229793000.0,Income Statement
27,Net Income Continuous Operations,-1450993000.0,-1122804000.0,-670867000.0,Income Statement
28,Tax Provision,590000.0,43192000.0,11638000.0,Income Statement
29,Pretax Income,-1450403000.0,-1079612000.0,-659229000.0,Income Statement
30,Other Non Operating Income Expenses,252040000.0,225938000.0,150799000.0,Income Statement
31,Special Income Charges,4468000.0,7826000.0,6711000.0,Income Statement
32,Other Special Charges,-4468000.0,-7826000.0,-6711000.0,Income Statement
33,Net Non Operating Interest Income Expense,-657277000.0,-740884000.0,-534095000.0,Income Statement
34,Total Other Finance Cost,259000.0,106000.0,230000.0,Income Statement
35,Interest Expense Non Operating,744283000.0,839227000.0,653524000.0,Income Statement
36,Interest Income Non Operating,87265000.0,98449000.0,119659000.0,Income Statement
37,Operating Income,-827628000.0,-573595000.0,-368304000.0,Income Statement
38,Operating Expense,1487883000.0,1373912000.0,1675075000.0,Income Statement
39,Other Operating Expenses,503326000.0,450957000.0,374167000.0,Income Statement
40,Depreciation And Amortization In Income Statement,98410000.0,97103000.0,95389000.0,Income Statement
41,Amortization,14061000.0,14061000.0,14061000.0,Income Statement
42,Depreciation Income Statement,84349000.0,83042000.0,81328000.0,Income Statement
