,item,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,0.0,749200.0,265500.0,-37500.0,Income Statement
1,Tax Rate For Calcs,0.115756,0.4,0.3,0.3,Income Statement
2,Normalized EBITDA,3030000.0,1280000.0,-256558000.0,-213002000.0,Income Statement
3,Total Unusual Items,,1873000.0,885000.0,-125000.0,Income Statement
4,Total Unusual Items Excluding Goodwill,,1873000.0,885000.0,-125000.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,275000.0,703000.0,-259154000.0,-217949000.0,Income Statement
6,Reconciled Depreciation,2719000.0,2730000.0,3364000.0,3416000.0,Income Statement
7,Reconciled Cost Of Revenue,128535000.0,136913000.0,81710000.0,359683000.0,Income Statement
8,EBIT,311000.0,423000.0,-259037000.0,-216543000.0,Income Statement
9,Net Interest Income,,0.0,-6000.0,-1239000.0,Income Statement
10,Interest Expense,,0.0,6000.0,1239000.0,Income Statement
11,Interest Income,,0.0,,,Income Statement
12,Normalized Income,275000.0,-420800.0,-259773500.0,-217861500.0,Income Statement
13,Net Income From Continuing And Discontinued Operation,275000.0,703000.0,-259154000.0,-217949000.0,Income Statement
14,Total Expenses,131624000.0,141690000.0,344032000.0,599342000.0,Income Statement
15,Rent Expense Supplemental,,0.0,,,Income Statement
16,Diluted Average Shares,27500000.0,35200000.0,29484000.0,29492422.0,Income Statement
17,Basic Average Shares,27500000.0,35200000.0,29484000.0,29492422.0,Income Statement
18,Diluted EPS,0.01,0.02,-0.058879,-7.39,Income Statement
19,Basic EPS,0.01,0.02,-0.058879,-7.39,Income Statement
20,Diluted NI Availto Com Stockholders,275000.0,703000.0,-259154000.0,-217949000.0,Income Statement
21,Net Income Common Stockholders,275000.0,703000.0,-259154000.0,-217949000.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,Income Statement
23,Net Income,275000.0,703000.0,-259154000.0,-217949000.0,Income Statement
24,Net Income Including Noncontrolling Interests,275000.0,703000.0,-259154000.0,-217949000.0,Income Statement
25,Net Income Continuous Operations,275000.0,703000.0,-259154000.0,-217949000.0,Income Statement
26,Tax Provision,36000.0,-280000.0,110000.0,167000.0,Income Statement
27,Pretax Income,311000.0,423000.0,-259043000.0,-217782000.0,Income Statement
28,Other Non Operating Income Expenses,,2000.0,,1000.0,Income Statement
29,Special Income Charges,,1873000.0,885000.0,-125000.0,Income Statement
30,Other Special Charges,,41000.0,,,Income Statement
31,Write Off,,-1914000.0,,,Income Statement
32,Net Non Operating Interest Income Expense,,0.0,-6000.0,-1239000.0,Income Statement
33,Interest Expense Non Operating,,0.0,6000.0,1239000.0,Income Statement
34,Interest Income Non Operating,,0.0,,,Income Statement
35,Operating Income,311000.0,-1452000.0,-259923000.0,-216419000.0,Income Statement
36,Operating Expense,3089000.0,4777000.0,262322000.0,239659000.0,Income Statement
37,Other Operating Expenses,214000.0,183000.0,257121000.0,232189000.0,Income Statement
38,Depreciation And Amortization In Income Statement,2719000.0,2730000.0,3363000.0,3416000.0,Income Statement
39,Depreciation Income Statement,2719000.0,2730000.0,3363000.0,3416000.0,Income Statement
40,Selling General And Administration,,1540000.0,,,Income Statement
41,Selling And Marketing Expense,,0.0,,,Income Statement
42,General And Administrative Expense,,1540000.0,,,Income Statement
43,Rent And Landing Fees,,0.0,,,Income Statement
44,Gross Profit,3400000.0,3325000.0,2399000.0,23240000.0,Income Statement
45,Cost Of Revenue,128535000.0,136913000.0,81710000.0,359683000.0,Income Statement
46,Total Revenue,131935000.0,140238000.0,84109000.0,382923000.0,Income Statement
47,Operating Revenue,131935000.0,140238000.0,84109000.0,382923000.0,Income Statement
0,Ordinary Shares Number,29484000.0,29484000.0,29484000.0,,Balance Sheet
1,Share Issued,29484000.0,29484000.0,29484000.0,,Balance Sheet
2,Net Debt,,128242000.0,201157000.0,,Balance Sheet
3,Total Debt,,133853000.0,206046000.0,,Balance Sheet
4,Tangible Book Value,318115000.0,318097000.0,997241000.0,,Balance Sheet
5,Invested Capital,318115000.0,451950000.0,1203287000.0,,Balance Sheet
6,Working Capital,288474000.0,285048000.0,962668000.0,,Balance Sheet
7,Net Tangible Assets,318115000.0,318097000.0,997241000.0,,Balance Sheet
8,Common Stock Equity,318115000.0,318097000.0,997241000.0,,Balance Sheet
9,Total Capitalization,318115000.0,318097000.0,997241000.0,,Balance Sheet
10,Total Equity Gross Minority Interest,318115000.0,318097000.0,997241000.0,,Balance Sheet
11,Stockholders Equity,318115000.0,318097000.0,997241000.0,,Balance Sheet
12,Other Equity Interest,23275000.0,,702401000.0,,Balance Sheet
13,Retained Earnings,,23257000.0,,,Balance Sheet
14,Additional Paid In Capital,,0.0,,,Balance Sheet
15,Capital Stock,294840000.0,294840000.0,294840000.0,,Balance Sheet
16,Common Stock,294840000.0,294840000.0,294840000.0,,Balance Sheet
17,Total Liabilities Net Minority Interest,431194000.0,540185000.0,1876926000.0,,Balance Sheet
18,Total Non Current Liabilities Net Minority Interest,2572000.0,2935000.0,3215000.0,,Balance Sheet
19,Non Current Deferred Revenue,,,0.0,,Balance Sheet
20,Non Current Deferred Taxes Liabilities,2572000.0,2935000.0,3215000.0,,Balance Sheet
21,Long Term Debt And Capital Lease Obligation,,0.0,0.0,,Balance Sheet
22,Long Term Debt,,0.0,0.0,,Balance Sheet
23,Current Liabilities,428622000.0,537250000.0,1873711000.0,,Balance Sheet
24,Other Current Liabilities,,3000.0,,,Balance Sheet
25,Current Deferred Taxes Liabilities,,0.0,,,Balance Sheet
26,Current Debt And Capital Lease Obligation,,133853000.0,206046000.0,,Balance Sheet
27,Current Debt,,133853000.0,206046000.0,,Balance Sheet
28,Current Provisions,366000.0,,396000.0,,Balance Sheet
29,Payables,361846000.0,403394000.0,1655542000.0,,Balance Sheet
30,Other Payable,,6564000.0,,,Balance Sheet
31,Dividends Payable,,4336000.0,,,Balance Sheet
32,Total Tax Payable,,,0.0,,Balance Sheet
33,Accounts Payable,361846000.0,392494000.0,1655542000.0,,Balance Sheet
