,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,3886520000.0,0.0,0.0,-1031.380612
Tax Rate For Calcs,0.4,0.0,0.0,0.046881
Normalized EBITDA,-254700000.0,-300562000.0,-276796000.0,-72007000.0
Total Unusual Items,9716300000.0,-13498000.0,-1083000.0,-22000.0
Total Unusual Items Excluding Goodwill,9716300000.0,-13498000.0,-1083000.0,-22000.0
Net Income From Continuing Operation Net Minority Interest,9496200000.0,-2362998000.0,-2050356000.0,-1683173000.0
Reconciled Depreciation,467900000.0,465835000.0,475277000.0,478293000.0
Reconciled Cost Of Revenue,3300000.0,816000.0,1648000.0,156288000.0
EBIT,8993700000.0,-779895000.0,-753156000.0,-550322000.0
Net Interest Income,-156700000.0,-1578004000.0,-1291595000.0,-1211000000.0
Interest Expense,156700000.0,1583103000.0,1297200000.0,1215641000.0
Interest Income,4680000.0,5599000.0,5605000.0,6441000.0
Normalized Income,3666420000.0,-2349500000.0,-2049273000.0,-1683152031.380612
Net Income From Continuing And Discontinued Operation,9496200000.0,-2362998000.0,-2050356000.0,-1683173000.0
Total Expenses,727400000.0,771980000.0,767618000.0,1983655000.0
Rent Expense Supplemental,1061000.0,2003000.0,6529000.0,14492000.0
Diluted Average Shares,5454499000.0,14676025.0,14676024.0,14676024.0
Basic Average Shares,5454499000.0,14676025.0,14676024.0,14676024.0
Diluted EPS,1.741,-161.0,-139.8,-114.8
Basic EPS,1.741,-161.0,-139.8,-114.8
Diluted NI Availto Com Stockholders,9496200000.0,-2362998000.0,-2050356000.0,-1683173000.0
Net Income Common Stockholders,9496200000.0,-2362998000.0,-2050356000.0,-1683173000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,9496200000.0,-2362998000.0,-2050356000.0,-1683173000.0
Net Income Including Noncontrolling Interests,9496200000.0,-2362998000.0,-2050356000.0,-1683173000.0
Net Income Continuous Operations,9496200000.0,-2362998000.0,-2050356000.0,-1683173000.0
Tax Provision,-659200000.0,0.0,0.0,-82790000.0
Pretax Income,8837000000.0,-2362998000.0,-2050356000.0,-1765963000.0
Other Non Operating Income Expenses,4800000.0,484000.0,8913000.0,677000.0
