,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,98994536.785095,27812856.0,25767396.0
Tax Rate For Calcs,0.254813,0.255549,0.2694,0.2412
Normalized EBITDA,7110880000.0,5070540000.0,2929440000.0,4154980000.0
Total Unusual Items,,387380000.0,103240000.0,106830000.0
Total Unusual Items Excluding Goodwill,,387380000.0,103240000.0,106830000.0
Net Income From Continuing Operation Net Minority Interest,4291080000.0,3149110000.0,1329030000.0,2366370000.0
Reconciled Depreciation,1037850000.0,943560000.0,955290000.0,887340000.0
Reconciled Cost Of Revenue,3519360000.0,3450210000.0,1877790000.0,3174980000.0
EBIT,6073030000.0,4514360000.0,2077390000.0,3374470000.0
Net Interest Income,-314640000.0,-204500000.0,-121250000.0,-98000000.0
Interest Expense,314640000.0,284250000.0,258220000.0,256060000.0
Interest Income,,79750000.0,136970000.0,158060000.0
Normalized Income,4291080000.0,2860724536.785095,1253602856.0,2285307396.0
Net Income From Continuing And Discontinued Operation,4291080000.0,3149110000.0,1329030000.0,2366370000.0
Total Expenses,7878680000.0,6383060000.0,4149240000.0,6082170000.0
Rent Expense Supplemental,,394180000.0,294280000.0,342470000.0
Diluted Average Shares,242708145.0,244117054.0,242694774.0,242694774.0
Basic Average Shares,242708145.0,244117054.0,242694774.0,242694774.0
Diluted EPS,17.68,12.9,5.476138,9.750395
Basic EPS,17.68,12.9,5.476138,9.750395
Diluted NI Availto Com Stockholders,4291080000.0,3149110000.0,1329030000.0,2366370000.0
Net Income Common Stockholders,4291080000.0,3149110000.0,1329030000.0,2366370000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4291080000.0,3149110000.0,1329030000.0,2366370000.0
Net Income Including Noncontrolling Interests,4291080000.0,3149110000.0,1329030000.0,2366370000.0
Net Income Continuous Operations,4291080000.0,3149110000.0,1329030000.0,2366370000.0
Tax Provision,1467310000.0,1081000000.0,490140000.0,752040000.0
Pretax Income,5758390000.0,4230110000.0,1819170000.0,3118410000.0
Other Non Operating Income Expenses,402410000.0,37220000.0,342850000.0,6410000.0
Special Income Charges,,222490000.0,24580000.0,28820000.0
Other Special Charges,,-223980000.0,-28780000.0,-32040000.0
Write Off,,1490000.0,4200000.0,3220000.0
Net Non Operating Interest Income Expense,-314640000.0,-204500000.0,-121250000.0,-98000000.0
Interest Expense Non Operating,314640000.0,284250000.0,258220000.0,256060000.0
Interest Income Non Operating,,79750000.0,136970000.0,158060000.0
Operating Income,5670620000.0,4009420000.0,1491510000.0,3063110000.0
Operating Expense,4359320000.0,2932850000.0,2271450000.0,2907190000.0
Other Operating Expenses,2755170000.0,251500000.0,219460000.0,237710000.0
Depreciation And Amortization In Income Statement,1037850000.0,943560000.0,955290000.0,887340000.0
Amortization,,32530000.0,31850000.0,30240000.0
Depreciation Income Statement,1037850000.0,911030000.0,923440000.0,857100000.0
Selling General And Administration,,771800000.0,424640000.0,910130000.0
Selling And Marketing Expense,,681490000.0,359420000.0,847490000.0
General And Administrative Expense,,90310000.0,65220000.0,62640000.0
Rent And Landing Fees,,394180000.0,294280000.0,342470000.0
Gross Profit,10029940000.0,6942270000.0,3762960000.0,5970300000.0
Cost Of Revenue,3519360000.0,3450210000.0,1877790000.0,3174980000.0
Total Revenue,13549300000.0,10392480000.0,5640750000.0,9145280000.0
Operating Revenue,13549300000.0,10392480000.0,5640750000.0,9145280000.0
Ordinary Shares Number,242779990.0,242703089.0,242694774.0,242694774.0
Share Issued,242779990.0,242703089.0,242694774.0,242694774.0
Total Debt,2933810000.0,2787000000.0,2103740000.0,2427470000.0
Tangible Book Value,12296870000.0,9094130000.0,9152960000.0,8869080000.0
Invested Capital,13998800000.0,10827420000.0,10914100000.0,10660140000.0
Working Capital,9411160000.0,6907820000.0,7154110000.0,6996420000.0
Net Tangible Assets,12296870000.0,9094130000.0,9152960000.0,8869080000.0
Capital Lease Obligations,2933810000.0,2787000000.0,2103740000.0,2427470000.0
Common Stock Equity,13998800000.0,10827420000.0,10914100000.0,10660140000.0
Total Capitalization,13998800000.0,10827420000.0,10914100000.0,10660140000.0
Total Equity Gross Minority Interest,13998800000.0,10827420000.0,10914100000.0,10660140000.0
Stockholders Equity,13998800000.0,10827420000.0,10914100000.0,10660140000.0
Other Equity Interest,13756020000.0,42930000.0,34760000.0,26080000.0
Retained Earnings,,10454090000.0,9322390000.0,7992700000.0
Additional Paid In Capital,,80080000.0,1301460000.0,2383280000.0
Capital Stock,242780000.0,242700000.0,247870000.0,250460000.0
Common Stock,242780000.0,242700000.0,247870000.0,250460000.0
Total Liabilities Net Minority Interest,7661360000.0,6870150000.0,5342430000.0,5255390000.0
Total Non Current Liabilities Net Minority Interest,3694700000.0,3438020000.0,2745250000.0,2937010000.0
Other Non Current Liabilities,439710000.0,393690000.0,357490000.0,399530000.0
Non Current Pension And Other Postretirement Benefit Plans,,29910000.0,26010000.0,23400000.0
Non Current Deferred Revenue,,393430000.0,357490000.0,399530000.0
Non Current Deferred Taxes Liabilities,197310000.0,168110000.0,147330000.0,80710000.0
Long Term Debt And Capital Lease Obligation,1958310000.0,1934480000.0,1396520000.0,1696620000.0
Long Term Capital Lease Obligation,1958310000.0,1934480000.0,1396520000.0,1696620000.0
Long Term Provisions,35190000.0,29910000.0,26010000.0,23400000.0
Current Liabilities,3966660000.0,3432130000.0,2597180000.0,2318380000.0
Other Current Liabilities,1719630000.0,859440000.0,739390000.0,733230000.0
Current Debt And Capital Lease Obligation,975500000.0,852520000.0,707220000.0,730850000.0
Current Capital Lease Obligation,975500000.0,852520000.0,707220000.0,730850000.0
Current Debt,,,0.0,0.0
Pensionand Other Post Retirement Benefit Plans Current,,107400000.0,36690000.0,31830000.0
Current Provisions,2470000.0,4300000.0,3780000.0,3830000.0
Payables,902040000.0,881160000.0,626380000.0,592080000.0
Other Payable,,97490000.0,86510000.0,41280000.0
Total Tax Payable,43220000.0,53530000.0,40940000.0,46770000.0
Accounts Payable,858820000.0,730140000.0,498930000.0,504030000.0
Total Assets,21660160000.0,17697570000.0,16256530000.0,15915530000.0
Total Non Current Assets,8282340000.0,7357620000.0,6505240000.0,6600730000.0
Other Non Current Assets,667320000.0,669500000.0,621820000.0,628770000.0
Non Current Prepaid Assets,,48410000.0,1900000.0,1630000.0
Non Current Deferred Taxes Assets,7420000.0,13060000.0,15610000.0,6050000.0
Investmentin Financial Assets,2323730000.0,1487320000.0,1233410000.0,847000000.0
Held To Maturity Securities,,0.0,476730000.0,460390000.0
Available For Sale Securities,2323730000.0,687070000.0,433630000.0,386610000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,800250000.0,323050000.0,
Goodwill And Other Intangible Assets,1701930000.0,1733290000.0,1761140000.0,1791060000.0
