,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,4056596.137327,-174700.050486,-237808.1052,-225600.0
Tax Rate For Calcs,0.312744,0.290199,0.235921,0.3
Normalized EBITDA,2254523000.0,2927270000.0,2066280000.0,1390321000.0
Total Unusual Items,12971000.0,-602000.0,-1008000.0,-752000.0
Total Unusual Items Excluding Goodwill,12971000.0,-602000.0,-1008000.0,-752000.0
Net Income From Continuing Operation Net Minority Interest,1048106000.0,1552155000.0,915383000.0,734541000.0
Reconciled Depreciation,502364000.0,436292000.0,408940000.0,368740000.0
Reconciled Cost Of Revenue,16545985000.0,14930772000.0,14480563000.0,10405440000.0
EBIT,1765130000.0,2490376000.0,1656332000.0,1020829000.0
Net Interest Income,-124004000.0,-291954000.0,-424081000.0,-316607000.0
Interest Expense,240072000.0,303628000.0,458311000.0,305089000.0
Interest Income,134470000.0,24623000.0,48282000.0,1670000.0
Normalized Income,1039191596.137327,1552582299.949514,916153191.8948,735067400.0
Net Income From Continuing And Discontinued Operation,1048106000.0,1552155000.0,915383000.0,734541000.0
Total Expenses,19399472000.0,17268332000.0,16777596000.0,12368529000.0
Rent Expense Supplemental,358000.0,,,0.0
Diluted Average Shares,188301470.0,188301470.0,188301470.0,188301470.0
Basic Average Shares,188301470.0,188301470.0,188301470.0,188301470.0
Diluted EPS,5.57,8.24,4.86,3.9
Basic EPS,5.57,8.24,4.86,3.9
Diluted NI Availto Com Stockholders,1048106000.0,1552155000.0,915383000.0,734541000.0
Net Income Common Stockholders,1048106000.0,1552155000.0,915383000.0,734541000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1048106000.0,1552155000.0,915383000.0,734541000.0
Net Income Including Noncontrolling Interests,1048106000.0,1552155000.0,915383000.0,734541000.0
Net Income Continuous Operations,1048106000.0,1552155000.0,915383000.0,734541000.0
Tax Provision,476952000.0,634593000.0,282638000.0,-18801000.0
Pretax Income,1525058000.0,2186748000.0,1198021000.0,715740000.0
Other Non Operating Income Expenses,5963000.0,7022000.0,22677000.0,52123000.0
Special Income Charges,12971000.0,-602000.0,-1008000.0,-752000.0
Other Special Charges,-12971000.0,602000.0,1008000.0,752000.0
Net Non Operating Interest Income Expense,-124004000.0,-291954000.0,-424081000.0,-316607000.0
Total Other Finance Cost,18402000.0,12949000.0,14052000.0,13188000.0
Interest Expense Non Operating,240072000.0,303628000.0,458311000.0,305089000.0
Interest Income Non Operating,134470000.0,24623000.0,48282000.0,1670000.0
Operating Income,1630128000.0,2472282000.0,1610869000.0,992769000.0
Operating Expense,2853487000.0,2337560000.0,2297033000.0,1963089000.0
Other Operating Expenses,719233000.0,682936000.0,512879000.0,487043000.0
Depreciation And Amortization In Income Statement,502364000.0,436292000.0,408940000.0,368656000.0
Amortization,0.0,3422000.0,,16816000.0
Depreciation Income Statement,502364000.0,432870000.0,408940000.0,351840000.0
Selling General And Administration,451247000.0,255382000.0,447747000.0,319545000.0
Selling And Marketing Expense,387546000.0,226712000.0,423076000.0,302699000.0
General And Administrative Expense,63701000.0,28670000.0,24671000.0,16846000.0
Rent And Landing Fees,358000.0,,,0.0
Gross Profit,4483615000.0,4809842000.0,3907902000.0,2955858000.0
Cost Of Revenue,16545985000.0,14930772000.0,14480563000.0,10405440000.0
Total Revenue,21029600000.0,19740614000.0,18388465000.0,13361298000.0
Operating Revenue,21029600000.0,19740614000.0,18388465000.0,13361298000.0
Ordinary Shares Number,188301470.0,188301470.0,188301470.0,188301470.0
Share Issued,188301470.0,188301470.0,188301470.0,188301470.0
Net Debt,3700896000.0,5204554000.0,6041458000.0,8227818000.0
Total Debt,3746733000.0,5227569000.0,6068107000.0,8279661000.0
Tangible Book Value,7397940000.0,6732872000.0,5789111000.0,4837077000.0
Invested Capital,11105514000.0,11939752000.0,11832051000.0,13084095000.0
Working Capital,3874908000.0,3252600000.0,2859497000.0,1919428000.0
Net Tangible Assets,7397940000.0,6732872000.0,5789111000.0,4837077000.0
Capital Lease Obligations,39159000.0,20689000.0,25167000.0,32643000.0
Common Stock Equity,7397940000.0,6732872000.0,5789111000.0,4837077000.0
Total Capitalization,9540155000.0,8742100000.0,7256622000.0,6769554000.0
Total Equity Gross Minority Interest,7397940000.0,6732872000.0,5789111000.0,4837077000.0
Stockholders Equity,7397940000.0,6732872000.0,5789111000.0,4837077000.0
