,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-16295933.0,-12069105.0
Total Unusual Items,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-350024000.0,-335546693.0
Reconciled Depreciation,159573503.0,162810247.0
Reconciled Cost Of Revenue,54727989.0,29073519.0
EBIT,-175869436.0,-174879352.0
Net Interest Income,-174154564.0,-160667341.0
Interest Expense,174154564.0,160667341.0
Normalized Income,-350024000.0,-335546693.0
Net Income From Continuing And Discontinued Operation,-350024000.0,-335546693.0
Total Expenses,613448935.0,455779005.0
Diluted Average Shares,17291696.0,17291696.0
Basic Average Shares,17291696.0,17291696.0
Diluted EPS,-20.242317,-19.405077
Basic EPS,-20.242317,-19.405077
Diluted NI Availto Com Stockholders,-350024000.0,-335546693.0
Net Income Common Stockholders,-350024000.0,-335546693.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,-350024000.0,-335546693.0
Net Income Including Noncontrolling Interests,-350024000.0,-335546693.0
Net Income Continuous Operations,-350024000.0,-335546693.0
Tax Provision,0.0,0.0
Pretax Income,-350024000.0,-335546693.0
Other Non Operating Income Expenses,32520335.0,31340642.0
Special Income Charges,0.0,0.0
Net Non Operating Interest Income Expense,-174154564.0,-160667341.0
Interest Expense Non Operating,174154564.0,160667341.0
Operating Income,-208389772.0,-206219994.0
Operating Expense,558720946.0,426705486.0
Other Operating Expenses,291747390.0,179690071.0
Depreciation And Amortization In Income Statement,159573503.0,162810247.0
Depreciation Income Statement,159573503.0,162810247.0
Gross Profit,350331174.0,220485492.0
Cost Of Revenue,54727989.0,29073519.0
Total Revenue,405059163.0,249559011.0
Operating Revenue,405059163.0,249559011.0
Ordinary Shares Number,17291696.0,17291696.0
Share Issued,17291696.0,17291696.0
Net Debt,1898395614.0,1461695304.0
Total Debt,1906513532.0,1467701741.0
Tangible Book Value,3040237004.0,3389652087.0
Invested Capital,4952600766.0,4863127996.0
Working Capital,-953441296.0,-784633788.0
Net Tangible Assets,3040237004.0,3389652087.0
Common Stock Equity,3046087234.0,3395426255.0
Total Capitalization,4185692106.0,4412873534.0
Total Equity Gross Minority Interest,3046087234.0,3395426255.0
Stockholders Equity,3046087234.0,3395426255.0
Other Equity Interest,804248944.0,1153587965.0
Capital Stock,2241838290.0,2241838290.0
Common Stock,2241838290.0,2241838290.0
Total Liabilities Net Minority Interest,2223200173.0,1959383516.0
Total Non Current Liabilities Net Minority Interest,1148651256.0,1025193626.0
Other Non Current Liabilities,-1.0,
Long Term Debt And Capital Lease Obligation,1139604872.0,1017447279.0
Long Term Debt,1139604872.0,1017447279.0
