,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-1067.242365,0.0,1897227.85666
Tax Rate For Calcs,0.249291,0.266811,0.3,0.075126
Normalized EBITDA,14608000.0,13773000.0,2099000.0,17426000.0
Total Unusual Items,0.0,-4000.0,0.0,25254000.0
Total Unusual Items Excluding Goodwill,0.0,-4000.0,0.0,25254000.0
Net Income From Continuing Operation Net Minority Interest,15352000.0,11547000.0,-1360000.0,36933000.0
Reconciled Depreciation,954000.0,954000.0,1207000.0,1412000.0
EBIT,13654000.0,12815000.0,892000.0,41268000.0
Net Interest Income,,,-13000.0,-1358000.0
Interest Expense,,,0.0,1335000.0
Interest Income,,,,10433000.0
Normalized Income,15352000.0,11549932.757635,-1360000.0,13576227.85666
Net Income From Continuing And Discontinued Operation,15352000.0,11547000.0,-1360000.0,36933000.0
Total Expenses,4804000.0,4579000.0,5410000.0,5122000.0
Diluted Average Shares,18061176.0,18042188.0,17000000.0,18000000.0
Basic Average Shares,18061176.0,18042188.0,17000000.0,18000000.0
Diluted EPS,0.85,0.64,-0.08,2.05
Basic EPS,0.85,0.64,-0.08,2.05
Diluted NI Availto Com Stockholders,15352000.0,11547000.0,-1360000.0,36933000.0
Net Income Common Stockholders,15352000.0,11547000.0,-1360000.0,36933000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,15352000.0,11547000.0,-1360000.0,36933000.0
Net Income Including Noncontrolling Interests,15352000.0,11547000.0,-1360000.0,36933000.0
Net Income Continuous Operations,15352000.0,11547000.0,-1360000.0,36933000.0
Tax Provision,5098000.0,4202000.0,2252000.0,3000000.0
Pretax Income,20450000.0,15749000.0,892000.0,39933000.0
Other Non Operating Income Expenses,12000.0,12000.0,,
Special Income Charges,0.0,-4000.0,0.0,25254000.0
Other Special Charges,,4000.0,,-25344000.0
Write Off,,,0.0,90000.0
Restructuring And Mergern Acquisition,,,,0.0
Net Non Operating Interest Income Expense,,,-13000.0,-1358000.0
Total Other Finance Cost,,,13000.0,23000.0
Interest Expense Non Operating,,,0.0,1335000.0
Interest Income Non Operating,,,,10433000.0
Operating Income,13654000.0,12815000.0,8651000.0,8065000.0
Operating Expense,4804000.0,4579000.0,5410000.0,5122000.0
Other Operating Expenses,2605000.0,476000.0,1163000.0,54000.0
Depreciation And Amortization In Income Statement,954000.0,954000.0,1207000.0,1412000.0
Depreciation Income Statement,954000.0,954000.0,1207000.0,1412000.0
Selling General And Administration,1969000.0,1862000.0,1834000.0,2296000.0
Selling And Marketing Expense,,,417000.0,583000.0
General And Administrative Expense,1969000.0,1862000.0,1417000.0,1713000.0
Total Revenue,18458000.0,17394000.0,14061000.0,13187000.0
Operating Revenue,18458000.0,17394000.0,14061000.0,13187000.0
Ordinary Shares Number,18000000.0,18000000.0,18000000.0,18000000.0
Share Issued,18000000.0,18000000.0,18000000.0,18000000.0
Total Debt,,,0.0,0.0
Tangible Book Value,660642000.0,667397000.0,466229000.0,292980000.0
Invested Capital,660642000.0,667397000.0,466229000.0,292980000.0
Working Capital,669428000.0,678427000.0,458586000.0,116438000.0
Net Tangible Assets,660642000.0,667397000.0,466229000.0,292980000.0
Common Stock Equity,660642000.0,667397000.0,466229000.0,292980000.0
Total Capitalization,660642000.0,667397000.0,466229000.0,292980000.0
Total Equity Gross Minority Interest,660642000.0,667397000.0,466229000.0,292980000.0
Stockholders Equity,660642000.0,667397000.0,466229000.0,292980000.0
Other Equity Interest,624642000.0,631397000.0,430227000.0,
Retained Earnings,187922000.0,172570000.0,161024000.0,162383000.0
Additional Paid In Capital,119748000.0,119748000.0,119748000.0,119748000.0
Capital Stock,36000000.0,36000000.0,36000000.0,36000000.0
Common Stock,36000000.0,36000000.0,36000000.0,36000000.0
Total Liabilities Net Minority Interest,14319000.0,17542000.0,978000.0,229000.0
Total Non Current Liabilities Net Minority Interest,14319000.0,17481000.0,909000.0,209000.0
Other Non Current Liabilities,400000.0,,-2000.0,48000.0
Non Current Deferred Taxes Liabilities,14137000.0,17117000.0,629000.0,
Long Term Provisions,145000.0,364000.0,282000.0,161000.0
Current Liabilities,37000.0,61000.0,69000.0,20000.0
Current Debt And Capital Lease Obligation,,,0.0,0.0
Current Debt,,,0.0,0.0
Current Provisions,,,282000.0,161000.0
Payables,37000.0,61000.0,69000.0,20000.0
Total Tax Payable,37000.0,61000.0,49000.0,48000.0
Accounts Payable,,0.0,20000.0,20000.0
Total Assets,674961000.0,684939000.0,467207000.0,293209000.0
Total Non Current Assets,5787000.0,6451000.0,8551000.0,176751000.0
Other Non Current Assets,60000.0,51000.0,49000.0,
Non Current Deferred Taxes Assets,,0.0,0.0,11700000.0
Investmentin Financial Assets,,526400000.0,321226000.0,145575000.0
Available For Sale Securities,,,,145575000.0
Long Term Equity Investment,,0.0,1144000.0,8891000.0
Investmentsin Associatesat Cost,,0.0,1144000.0,8891000.0
Investment Properties,3231000.0,3781000.0,4331000.0,4881000.0
Net PPE,2265000.0,2670000.0,3076000.0,3733000.0
Accumulated Depreciation,-3168000.0,-2763000.0,-2381000.0,-1724000.0
Gross PPE,5433000.0,5433000.0,5457000.0,5457000.0
Machinery Furniture Equipment,5433000.0,5433000.0,5457000.0,5457000.0
Current Assets,669174000.0,678488000.0,458655000.0,116458000.0
