,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,6248981.084145,247554.0,25172796.0
Tax Rate For Calcs,0.249344,0.249122,0.2427,0.2508
Normalized EBITDA,1961780000.0,2127769000.0,1759840000.0,1364870000.0
Total Unusual Items,,25084000.0,1020000.0,100370000.0
Total Unusual Items Excluding Goodwill,,25084000.0,1020000.0,100370000.0
Net Income From Continuing Operation Net Minority Interest,846316000.0,1096806000.0,842630000.0,625380000.0
Reconciled Depreciation,617201000.0,526861000.0,504530000.0,491700000.0
Reconciled Cost Of Revenue,588816000.0,714991000.0,570950000.0,439060000.0
EBIT,1344579000.0,1625992000.0,1256330000.0,973540000.0
Net Interest Income,-209479000.0,-66517000.0,-56510000.0,-111220000.0
Interest Expense,209479000.0,152149000.0,135090000.0,139270000.0
Interest Income,,97986000.0,95960000.0,42630000.0
Normalized Income,846316000.0,1077970981.084145,841857554.0,550182796.0
Net Income From Continuing And Discontinued Operation,846316000.0,1096806000.0,842630000.0,625380000.0
Total Expenses,3389155000.0,3111025000.0,2603390000.0,2550850000.0
Rent Expense Supplemental,,6256000.0,6620000.0,14780000.0
Diluted Average Shares,102459564.0,102601123.0,101965926.0,101965926.0
Basic Average Shares,102088782.0,101933643.0,101965926.0,101965926.0
Diluted EPS,8.26,10.69,8.284944,6.13
Basic EPS,8.29,10.76,8.284944,6.13
Diluted NI Availto Com Stockholders,846316000.0,1096806000.0,842630000.0,625380000.0
Net Income Common Stockholders,846316000.0,1096806000.0,842630000.0,625380000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,846316000.0,1096806000.0,842630000.0,625380000.0
Minority Interests,-5754000.0,-9870000.0,-6480000.0,310000.0
Net Income Including Noncontrolling Interests,852070000.0,1106676000.0,849110000.0,625070000.0
Net Income Continuous Operations,852070000.0,1106676000.0,849110000.0,625070000.0
Tax Provision,283030000.0,367167000.0,272130000.0,209200000.0
Pretax Income,1135100000.0,1473843000.0,1121240000.0,834270000.0
Other Non Operating Income Expenses,141507000.0,5173000.0,15580000.0,9180000.0
Special Income Charges,,6697000.0,-3840000.0,34540000.0
Other Special Charges,,-6697000.0,-2070000.0,-35970000.0
Write Off,,0.0,5910000.0,1430000.0
Net Non Operating Interest Income Expense,-209479000.0,-66517000.0,-56510000.0,-111220000.0
Total Other Finance Cost,,12354000.0,17380000.0,14580000.0
Interest Expense Non Operating,209479000.0,152149000.0,135090000.0,139270000.0
Interest Income Non Operating,,97986000.0,95960000.0,42630000.0
Operating Income,1203072000.0,1510103000.0,1161150000.0,835940000.0
Operating Expense,2800339000.0,2396034000.0,2032440000.0,2111790000.0
Other Operating Expenses,1398364000.0,484562000.0,432530000.0,402670000.0
Depreciation And Amortization In Income Statement,617201000.0,526861000.0,504530000.0,491700000.0
Amortization,,7151000.0,4640000.0,6260000.0
Depreciation Income Statement,617201000.0,519710000.0,499890000.0,485440000.0
Selling General And Administration,,668956000.0,517330000.0,580050000.0
Selling And Marketing Expense,,46078000.0,31450000.0,53260000.0
General And Administrative Expense,,622878000.0,485880000.0,526790000.0
Rent And Landing Fees,,6256000.0,6620000.0,14780000.0
Gross Profit,4003411000.0,3906137000.0,3193590000.0,2947730000.0
Cost Of Revenue,588816000.0,714991000.0,570950000.0,439060000.0
Total Revenue,4592227000.0,4621128000.0,3764540000.0,3386790000.0
Operating Revenue,4592227000.0,4621128000.0,3764540000.0,3386790000.0
Ordinary Shares Number,102071175.0,101965926.0,101965926.0,101965926.0
Share Issued,102071175.0,101965926.0,101965926.0,101965926.0
Total Debt,2475590000.0,1834626000.0,1410470000.0,1612270000.0
Tangible Book Value,5365650000.0,4614566000.0,3518320000.0,2678050000.0
Invested Capital,5447294000.0,4688539000.0,3634780000.0,3073830000.0
Working Capital,2094925000.0,2037632000.0,1947930000.0,1277120000.0
Net Tangible Assets,5365650000.0,4614566000.0,3518320000.0,2678050000.0
Capital Lease Obligations,2475590000.0,1828280000.0,1365750000.0,1283870000.0
Common Stock Equity,5447294000.0,4682193000.0,3590060000.0,2745430000.0
Total Capitalization,5447294000.0,4682193000.0,3622810000.0,2966760000.0
Total Equity Gross Minority Interest,5466308000.0,4695424000.0,3592320000.0,2741390000.0
Minority Interest,19014000.0,13231000.0,2260000.0,-4040000.0
Stockholders Equity,5447294000.0,4682193000.0,3590060000.0,2745430000.0
Other Equity Interest,5345223000.0,19629000.0,8280000.0,6320000.0
Retained Earnings,,4052250000.0,2971470000.0,2128800000.0
Additional Paid In Capital,,459028000.0,515670000.0,515670000.0
Capital Stock,102071000.0,101966000.0,45320000.0,45320000.0
Common Stock,102071000.0,101966000.0,45320000.0,45320000.0
Total Liabilities Net Minority Interest,3067761000.0,2439184000.0,1817080000.0,2081170000.0
Total Non Current Liabilities Net Minority Interest,2406074000.0,1777946000.0,1377200000.0,1494770000.0
Other Non Current Liabilities,4607000.0,1165000.0,2180000.0,8750000.0
Non Current Deferred Revenue,,1165000.0,530000.0,1180000.0
Long Term Debt And Capital Lease Obligation,2330301000.0,1702597000.0,1297470000.0,1417430000.0
Long Term Capital Lease Obligation,2330301000.0,1702597000.0,1264720000.0,1196100000.0
Long Term Debt,,0.0,32750000.0,221330000.0
Long Term Provisions,71166000.0,74184000.0,77020000.0,67410000.0
