,item,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,0.0,14586811.011621,267900.0,Income Statement
1,Tax Rate For Calcs,0.0,0.36064,0.3,Income Statement
2,Normalized EBITDA,-47461000.0,81652000.0,1098000.0,Income Statement
3,Total Unusual Items,0.0,40447000.0,893000.0,Income Statement
4,Total Unusual Items Excluding Goodwill,0.0,40447000.0,893000.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,-126052000.0,20136000.0,-146330000.0,Income Statement
6,Reconciled Depreciation,17877000.0,35588000.0,65864000.0,Income Statement
7,Reconciled Cost Of Revenue,167002000.0,332362000.0,498974000.0,Income Statement
8,EBIT,-65338000.0,86511000.0,-63873000.0,Income Statement
9,Net Interest Income,-60714000.0,-54529000.0,-49291000.0,Income Statement
10,Interest Expense,60714000.0,55017000.0,49263000.0,Income Statement
11,Interest Income,,1140000.0,54000.0,Income Statement
12,Normalized Income,-126052000.0,-5724188.988379,-146955100.0,Income Statement
13,Net Income From Continuing And Discontinued Operation,-126052000.0,20136000.0,-146330000.0,Income Statement
14,Total Expenses,304798000.0,412761000.0,633505000.0,Income Statement
15,Diluted Average Shares,20563132.0,20546939.0,20578004.0,Income Statement
16,Basic Average Shares,20563132.0,20546939.0,20578004.0,Income Statement
17,Diluted EPS,-6.13,0.98,-7.11,Income Statement
18,Basic EPS,-6.13,0.98,-7.11,Income Statement
19,Diluted NI Availto Com Stockholders,-126052000.0,20136000.0,-146330000.0,Income Statement
20,Net Income Common Stockholders,-126052000.0,20136000.0,-146330000.0,Income Statement
21,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,Income Statement
22,Net Income,-126052000.0,20136000.0,-146330000.0,Income Statement
23,Net Income Including Noncontrolling Interests,-126052000.0,20136000.0,-146363000.0,Income Statement
24,Net Income Continuous Operations,-126052000.0,20136000.0,-146363000.0,Income Statement
25,Tax Provision,0.0,11358000.0,33227000.0,Income Statement
