,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.127096,0.094165,0.024001,0.3
Normalized EBITDA,-14120000.0,-7144932.0,-13551590.0,-16144480.55
Total Unusual Items,,0.0,,
Total Unusual Items Excluding Goodwill,,0.0,,
Net Income From Continuing Operation Net Minority Interest,-44038000.0,-41213532.0,-54252483.0,-33092913.15
Reconciled Depreciation,35663000.0,35675918.0,35688468.0,35832376.0
Reconciled Cost Of Revenue,6940000.0,6722420.0,5854214.0,83521835.07
EBIT,-49783000.0,-42820850.0,-49240058.0,-51976856.55
Net Interest Income,-667000.0,-2667633.0,-6381093.0,-4252126.27
Interest Expense,667000.0,2677001.0,6346568.0,4189405.16
Interest Income,,41604.0,53137.0,20193.71
Normalized Income,-44038000.0,-41213532.0,-54252483.0,-33092913.15
Net Income From Continuing And Discontinued Operation,-44038000.0,-41213532.0,-54252483.0,-33092913.15
Total Expenses,65181000.0,56184294.0,54118104.0,133093687.45
Rent Expense Supplemental,,3396336.0,3396336.0,3396336.0
Diluted Average Shares,3669833333.0,3746727273.0,3774436655.0,3774436655.0
Basic Average Shares,3669833333.0,3746727273.0,3774436655.0,3774436655.0
Diluted EPS,-0.012,-0.011,-0.014,-0.009
Basic EPS,-0.012,-0.011,-0.014,-0.009
Diluted NI Availto Com Stockholders,-44038000.0,-41213532.0,-54252483.0,-33092913.15
Net Income Common Stockholders,-44038000.0,-41213532.0,-54252483.0,-33092913.15
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-44038000.0,-41213532.0,-54252483.0,-33092913.15
Net Income Including Noncontrolling Interests,-44038000.0,-41213532.0,-54252483.0,-33092913.15
Net Income Discontinuous Operations,0.0,0.0,,
Net Income Continuous Operations,-44038000.0,-41213532.0,-54252483.0,-33092913.15
Tax Provision,-6412000.0,-4284319.0,-1334143.0,-23073348.56
Pretax Income,-50450000.0,-45497851.0,-55586626.0,-56166261.71
Other Non Operating Income Expenses,9765000.0,8457117.0,800658.0,9000.0
Special Income Charges,,0.0,,
Net Non Operating Interest Income Expense,-667000.0,-2667633.0,-6381093.0,-4252126.27
Total Other Finance Cost,,32236.0,87662.0,82914.82
Interest Expense Non Operating,667000.0,2677001.0,6346568.0,4189405.16
Interest Income Non Operating,,41604.0,53137.0,20193.71
Operating Income,-59546000.0,-51287338.0,-49970286.0,-51674268.73
Operating Expense,58241000.0,49461874.0,48263890.0,49571852.38
Other Operating Expenses,22578000.0,9667194.0,8819593.0,6997667.38
Depreciation And Amortization In Income Statement,35663000.0,35675918.0,35688468.0,35832376.0
Depreciation Income Statement,35663000.0,35675918.0,35688468.0,35832376.0
Selling General And Administration,,722426.0,359493.0,744367.0
Selling And Marketing Expense,,110880.0,74400.0,327369.03
General And Administrative Expense,,611546.0,285093.0,416997.97
Rent And Landing Fees,,3396336.0,3396336.0,3396336.0
Gross Profit,-1305000.0,-1825464.0,-1706396.0,-2102416.35
Cost Of Revenue,6940000.0,6722420.0,5854214.0,83521835.07
Total Revenue,5635000.0,4896956.0,4147818.0,81419418.72
Operating Revenue,5635000.0,4896956.0,4147818.0,81419418.72
Ordinary Shares Number,3774436655.0,3774436655.0,3774436655.0,3774436655.0
Share Issued,3774436655.0,3774436655.0,3774436655.0,3774436655.0
Net Debt,202786000.0,230455516.0,239788421.0,231970497.0
Total Debt,203219000.0,231457298.0,240506411.0,232831873.0
Tangible Book Value,3042112000.0,3043824659.0,3046284790.0,3066625142.0
Invested Capital,4550354000.0,4615961667.0,4663128411.0,4711451725.0
Working Capital,836700000.0,845572916.0,877918347.0,894969935.0
Net Tangible Assets,3042112000.0,3043824659.0,3046284790.0,3066625142.0
Common Stock Equity,4347135000.0,4384504369.0,4422622000.0,4478619852.0
Total Capitalization,4347135000.0,4384504369.0,4450757864.0,4503086150.0
Total Equity Gross Minority Interest,4347135000.0,4384504369.0,4422622000.0,4478619852.0
Stockholders Equity,4347135000.0,4384504369.0,4422622000.0,4478619852.0
Other Equity Interest,572698000.0,610068000.0,648185000.0,
Retained Earnings,,-447231542.0,-404099580.0,-349847095.0
Additional Paid In Capital,,899102506.0,899102506.0,899102506.0
Capital Stock,3774437000.0,3774436655.0,3774436655.0,3774436655.0
Common Stock,3774437000.0,3774436655.0,3774436655.0,3774436655.0
Total Liabilities Net Minority Interest,522132000.0,516182839.0,454602761.0,502930399.0
Total Non Current Liabilities Net Minority Interest,26655000.0,33016758.0,65436945.0,63101520.0
Other Non Current Liabilities,,-2.0,2.0,
Non Current Deferred Taxes Liabilities,26655000.0,33016760.0,37301079.0,38635222.0
Long Term Debt And Capital Lease Obligation,0.0,0.0,28135864.0,24466298.0
Long Term Debt,0.0,0.0,28135864.0,24466298.0
Current Liabilities,495477000.0,483166081.0,389165816.0,439828879.0
Other Current Liabilities,189887000.0,157116000.0,1.0,
Current Debt And Capital Lease Obligation,203219000.0,231457298.0,212370547.0,208365575.0
Current Debt,203219000.0,231457298.0,212370547.0,208365575.0
Current Provisions,4942000.0,4826961.0,5449853.0,5336389.0
Payables,97429000.0,241129822.0,165664101.0,220445601.0
Other Payable,,151364236.0,77086407.0,68854099.0
Total Tax Payable,,0.0,,
Accounts Payable,97429000.0,89765586.0,88577694.0,151591502.0
Total Assets,4869267000.0,4900687208.0,4877224761.0,4981550251.0
Total Non Current Assets,3537090000.0,3571948211.0,3610140597.0,3646751437.0
Other Non Current Assets,2231593000.0,-3.0,2233305000.0,
Non Current Prepaid Assets,,8980564.0,9242668.0,10178591.0
Non Current Deferred Taxes Assets,,0.0,0.0,0.0
Investmentin Financial Assets,5000.0,4611.0,4735.0,0.0
Available For Sale Securities,5000.0,4611.0,4735.0,
Long Term Equity Investment,,,,4669.0
Investmentsin Subsidiariesat Cost,,,,4669.0
Investment Properties,,0.0,0.0,0.0
Goodwill And Other Intangible Assets,1305023000.0,1340679710.0,1376337210.0,1411994710.0
Other Intangible Assets,688112000.0,723768982.0,759426482.0,795083982.0
Goodwill,616911000.0,616910728.0,616910728.0,616910728.0
Net PPE,469000.0,474781.0,493200.0,524168.0
Accumulated Depreciation,,-68100572.0,-68082153.0,-68051185.0
Gross PPE,469000.0,68575353.0,68575353.0,68575353.0
Construction In Progress,0.0,0.0,0.0,0.0
Other Properties,469000.0,475000.0,493000.0,
Machinery Furniture Equipment,,68575353.0,68575353.0,68575353.0
Buildings And Improvements,,0.0,,
Properties,,0.0,,
Current Assets,1332177000.0,1328738997.0,1267084163.0,1334798814.0
Other Current Assets,13211000.0,14338000.0,-1.0,
Prepaid Assets,,13871016.0,15432358.0,12157686.0
Inventory,622205000.0,622204566.0,622189185.0,621971389.0
Finished Goods,,622204566.0,622189185.0,621971389.0
Other Receivables,,467844.0,426240.0,373103.0
Taxes Receivable,,0.0,,0.0
Accounts Receivable,347166000.0,342631626.0,279756228.0,350873097.0
Allowance For Doubtful Accounts Receivable,,0.0,,
Gross Accounts Receivable,,342631626.0,,
Cash Cash Equivalents And Short Term Investments,349595000.0,349563945.0,349280153.0,349423539.0
Other Short Term Investments,349162000.0,348562163.0,348562163.0,348562163.0
Cash And Cash Equivalents,433000.0,1001782.0,717990.0,861376.0
Cash Equivalents,,,348562163.0,348562163.0
Cash Financial,,1001782.0,717990.0,861376.0
Free Cash Flow,-5079000.0,26189535.0,3476538.0,-11250092.0
Issuance Of Capital Stock,0.0,0.0,0.0,0.0
End Cash Position,349594000.0,349563945.0,349280153.0,349423540.0
Other Cash Adjustment Outside Changein Cash,-1000.0,-2.0,-2.0,1.0
Beginning Cash Position,349564000.0,349280153.0,349423539.0,349328930.0
Effect Of Exchange Rate Changes,6524000.0,2349055.0,-1918430.0,6239397.0
Changes In Cash,-6493000.0,-2065261.0,1775046.0,-6144788.0
Financing Cash Flow,-667000.0,-30812865.0,-2677001.0,-512293.0
Net Other Financing Charges,,,1.0,-1.0
Interest Paid Cff,-667000.0,-2677001.0,-6346568.0,-4189405.0
Net Common Stock Issuance,0.0,0.0,0.0,0.0
Common Stock Issuance,0.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,0.0,-28135864.0,3669566.0,3677113.0
Net Long Term Debt Issuance,0.0,-28135864.0,3669566.0,3677113.0
Investing Cash Flow,-747000.0,2558069.0,975509.0,5617597.0
Interest Received Cfi,58000.0,41604.0,53137.0,20194.0
Net Investment Purchase And Sale,0.0,124.0,-66.0,-246.0
Net PPE Purchase And Sale,0.0,0.0,0.0,0.0
Sale Of PPE,0.0,0.0,0.0,0.0
Purchase Of PPE,0.0,0.0,0.0,0.0
Capital Expenditure Reported,,,,0.0
Operating Cash Flow,-5079000.0,26189535.0,3476538.0,-11250092.0
Change In Working Capital,8789000.0,33252117.0,16794738.0,4619654.0
Change In Other Current Liabilities,12196000.0,35362584.0,-50776527.0,-12296143.0
Change In Other Current Assets,-3407000.0,-2110467.0,67571265.0,16915797.0
Other Non Cash Items,609000.0,2635397.0,6466494.0,4041973.0
Provisionand Write Offof Assets,46000.0,16669.0,-13620.0,
Deferred Tax,,2677000.0,,
Depreciation And Amortization,35663000.0,35675918.0,35688468.0,35832376.0
Amortization Cash Flow,,35657500.0,,
Depreciation,35663000.0,18418.0,35688468.0,35832376.0
Pension And Employee Benefit Expense,263000.0,107285.0,127085.0,422166.0
Gain Loss On Sale Of PPE,0.0,0.0,0.0,0.0
Net Income From Continuing Operations,-50450000.0,-45497851.0,-55586626.0,-56166262.0
