,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,26988.545967,75880.8
Tax Rate For Calcs,0.205167,0.151413,0.3
Normalized EBITDA,101908000.0,12578791.0,83795902.0
Total Unusual Items,0.0,178244.0,252936.0
Total Unusual Items Excluding Goodwill,0.0,178244.0,252936.0
Net Income From Continuing Operation Net Minority Interest,47256000.0,-18854854.0,22953535.0
Reconciled Depreciation,33614000.0,30792415.0,35162354.0
Reconciled Cost Of Revenue,698291000.0,433691572.0,688096820.0
EBIT,68294000.0,-18035380.0,48886484.0
Net Interest Income,-8840000.0,-4119794.0,-6662935.0
Interest Expense,8840000.0,4183750.0,5459765.0
Interest Income,1556811.0,1250836.0,597895.0
Normalized Income,47256000.0,-19006109.454033,22776479.8
Net Income From Continuing And Discontinued Operation,47256000.0,-18854854.0,22953535.0
Total Expenses,997726000.0,623211853.0,947563055.0
Rent Expense Supplemental,29987.0,11542025.0,12594603.0
Diluted Average Shares,,10348728.0,11476768.0
Basic Average Shares,,10348728.0,11476768.0
Diluted EPS,,-2.25,2.0
Basic EPS,,-2.25,2.0
Diluted NI Availto Com Stockholders,47256000.0,-18854854.0,22953535.0
Net Income Common Stockholders,47256000.0,-18854854.0,22953535.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,47256000.0,-18854854.0,22953535.0
Net Income Including Noncontrolling Interests,47256000.0,-18854854.0,22953535.0
Net Income Discontinuous Operations,0.0,,
Net Income Continuous Operations,47256000.0,-18854854.0,22953535.0
Tax Provision,12198000.0,-3364276.0,20473184.0
Pretax Income,59454000.0,-22219130.0,43426719.0
Other Non Operating Income Expenses,12107000.0,6760241.0,2030333.0
Special Income Charges,0.0,178244.0,252936.0
Other Special Charges,811086.0,-203737.0,-2503668.0
Write Off,4470105.0,0.0,2250732.0
Impairment Of Capital Assets,3655432.0,25493.0,
Net Non Operating Interest Income Expense,-8840000.0,-4119794.0,-6662935.0
Total Other Finance Cost,,1186880.0,1801065.0
Interest Expense Non Operating,8840000.0,4183750.0,5459765.0
Interest Income Non Operating,1556811.0,1250836.0,597895.0
Operating Income,56186000.0,-23631679.0,45665447.0
Operating Expense,299435000.0,189520281.0,259466235.0
Other Operating Expenses,129986000.0,6378320.0,6394662.0
Depreciation And Amortization In Income Statement,33614000.0,30792415.0,35162354.0
Depreciation Income Statement,33614000.0,30792415.0,35162354.0
Selling General And Administration,78582910.0,50267685.0,78530665.0
Selling And Marketing Expense,55359444.0,32107336.0,51019271.0
General And Administrative Expense,23223466.0,18160349.0,27511394.0
Rent And Landing Fees,29987.0,2165261.0,2247631.0
Gross Profit,355621000.0,165888602.0,305131682.0
Cost Of Revenue,698291000.0,433691572.0,688096820.0
Total Revenue,1053912000.0,599580174.0,993228502.0
Operating Revenue,1053912000.0,599580174.0,993228502.0
Ordinary Shares Number,10135800.0,10135800.0,10135800.0
Share Issued,10135800.0,10135800.0,10135800.0
Net Debt,19346000.0,32093888.0,36848837.0
Total Debt,25634000.0,47227747.0,43863833.0
Tangible Book Value,352447000.0,314138633.0,334289042.0
Invested Capital,378081000.0,361366380.0,378152875.0
Working Capital,214271000.0,191207765.0,194251579.0
Net Tangible Assets,352447000.0,314138633.0,334289042.0
Capital Lease Obligations,36963056.0,,
Common Stock Equity,352447000.0,314138633.0,334289042.0
Total Capitalization,356047000.0,322393125.0,336373752.0
Total Equity Gross Minority Interest,352447000.0,314138633.0,334289042.0
Stockholders Equity,352447000.0,314138633.0,334289042.0
Other Equity Interest,251089000.0,,
Retained Earnings,,212780633.0,232931042.0
Capital Stock,101358000.0,101358000.0,101358000.0
Common Stock,101358000.0,101358000.0,101358000.0
Total Liabilities Net Minority Interest,443450000.0,260097911.0,274109773.0
