,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,6019428.0,64309971.0,-36402000.0
Tax Rate For Calcs,0.305209,0.0646,0.3207,0.3
Normalized EBITDA,1978650000.0,1427310000.0,1155690000.0,1433010000.0
Total Unusual Items,0.0,93180000.0,200530000.0,-121340000.0
Total Unusual Items Excluding Goodwill,0.0,93180000.0,200530000.0,-121340000.0
Net Income From Continuing Operation Net Minority Interest,327080000.0,251470000.0,214340000.0,412550000.0
Reconciled Depreciation,467800000.0,484920000.0,452600000.0,381000000.0
Reconciled Cost Of Revenue,12668240000.0,12531740000.0,11400860000.0,10027890000.0
EBIT,1510850000.0,1035570000.0,903620000.0,930670000.0
Net Interest Income,-1040090000.0,-877110000.0,-693360000.0,-807980000.0
Interest Expense,1040090000.0,766740000.0,598920000.0,750700000.0
Interest Income,,16350000.0,20080000.0,7550000.0
Normalized Income,327080000.0,164309428.0,78119971.0,497488000.0
Net Income From Continuing And Discontinued Operation,327080000.0,251470000.0,214340000.0,412550000.0
Total Expenses,18345320000.0,15945210000.0,14988480000.0,12671470000.0
Rent Expense Supplemental,,38410000.0,56400000.0,33330000.0
Diluted Average Shares,,102548387.0,102670212.0,102670212.0
Basic Average Shares,,102548387.0,102670212.0,102670212.0
Diluted EPS,,2.79,2.09,4.02
Basic EPS,,2.79,2.09,4.02
Diluted NI Availto Com Stockholders,327080000.0,251470000.0,214340000.0,412550000.0
Net Income Common Stockholders,327080000.0,251470000.0,214340000.0,412550000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,327080000.0,251470000.0,214340000.0,412550000.0
Net Income Including Noncontrolling Interests,327080000.0,251470000.0,214340000.0,412550000.0
Net Income Continuous Operations,327080000.0,251470000.0,214340000.0,412550000.0
Tax Provision,143680000.0,17360000.0,90360000.0,-232580000.0
Pretax Income,470760000.0,268830000.0,304700000.0,179970000.0
Other Non Operating Income Expenses,53170000.0,21330000.0,7920000.0,2150000.0
Special Income Charges,0.0,-90000.0,9910000.0,8000000.0
Other Special Charges,,-2440000.0,-12240000.0,-9950000.0
Write Off,,2530000.0,2330000.0,1950000.0
Net Non Operating Interest Income Expense,-1040090000.0,-877110000.0,-693360000.0,-807980000.0
Total Other Finance Cost,,126720000.0,114520000.0,64830000.0
Interest Expense Non Operating,1040090000.0,766740000.0,598920000.0,750700000.0
