,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-59898957.261641,-86463391.093683,-52181455.434731
Tax Rate For Calcs,0.206067,0.247634,0.259285,0.109145
Normalized EBITDA,6833722000.0,7355416000.0,5150573000.0,3717185000.0
Total Unusual Items,-166052000.0,-237551000.0,-333469000.0,-478092000.0
Total Unusual Items Excluding Goodwill,-166052000.0,-241885000.0,-333469000.0,-478092000.0
Net Income From Continuing Operation Net Minority Interest,3419594000.0,3492535000.0,2291741000.0,1646624000.0
Reconciled Depreciation,2481174000.0,2453349000.0,1704400000.0,1371228000.0
Reconciled Cost Of Revenue,28607829000.0,24998091000.0,16359559000.0,13887514000.0
EBIT,4352548000.0,4664516000.0,3112704000.0,1867865000.0
Net Interest Income,-45100000.0,-85518000.0,-77142000.0,-79156000.0
Interest Expense,45100000.0,22129000.0,18159000.0,19172000.0
Interest Income,49027000.0,64535000.0,85100000.0,80933000.0
Normalized Income,3419594000.0,3678855042.738359,2538746608.906317,2072534544.565269
Net Income From Continuing And Discontinued Operation,3419594000.0,3492535000.0,2291741000.0,1646624000.0
Total Expenses,35925730000.0,30635264000.0,20630520000.0,17459088000.0
Rent Expense Supplemental,27381000.0,23115000.0,22328000.0,16993000.0
Diluted Average Shares,90226755.0,90223069.0,90220495.0,90220495.0
Basic Average Shares,90226755.0,90223069.0,90220495.0,90220495.0
Diluted EPS,37.9,38.71,25.4,18.25
Basic EPS,37.9,38.71,25.4,18.25
Diluted NI Availto Com Stockholders,3419594000.0,3492535000.0,2291741000.0,1646624000.0
Net Income Common Stockholders,3419594000.0,3492535000.0,2291741000.0,1646624000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3419594000.0,3492535000.0,2291741000.0,1646624000.0
Minority Interests,-233000.0,-239000.0,-436000.0,-293000.0
Net Income Including Noncontrolling Interests,3419827000.0,3492774000.0,2292177000.0,1646917000.0
Net Income Continuous Operations,3419827000.0,3492774000.0,2292177000.0,1646917000.0
Tax Provision,887621000.0,1149613000.0,802368000.0,201776000.0
Pretax Income,4307448000.0,4642387000.0,3094545000.0,1848693000.0
Other Non Operating Income Expenses,402805000.0,12605000.0,22780000.0,25838000.0
Special Income Charges,-186658000.0,-304601000.0,-444058000.0,-576904000.0
Other Special Charges,-545000.0,,-31000.0,-38987000.0
Write Off,67791000.0,7957000.0,60867000.0,69002000.0
Impairment Of Capital Assets,119412000.0,292310000.0,383222000.0,546889000.0
Net Non Operating Interest Income Expense,-45100000.0,-85518000.0,-77142000.0,-79156000.0
Total Other Finance Cost,156633000.0,127924000.0,144083000.0,140917000.0
Interest Expense Non Operating,45100000.0,22129000.0,18159000.0,19172000.0
Interest Income Non Operating,49027000.0,64535000.0,85100000.0,80933000.0
Operating Income,4525836000.0,5121756000.0,3281797000.0,2522466000.0
Operating Expense,7317901000.0,5637173000.0,4270961000.0,3571574000.0
Other Operating Expenses,4388759000.0,252467000.0,47378000.0,286569000.0
Depreciation And Amortization In Income Statement,2481174000.0,2453349000.0,1704400000.0,1371228000.0
Amortization,2381026000.0,2380874000.0,1634122000.0,1300892000.0
Depreciation Income Statement,2481174000.0,72475000.0,70278000.0,70336000.0
Selling General And Administration,3361042000.0,2505971000.0,2166123000.0,1595067000.0
Selling And Marketing Expense,1051330000.0,713810000.0,516643000.0,417648000.0
General And Administrative Expense,2309712000.0,1792161000.0,1649480000.0,1177419000.0
Rent And Landing Fees,27381000.0,23115000.0,22328000.0,16993000.0
Gross Profit,11843737000.0,10758929000.0,7552758000.0,6094040000.0
Cost Of Revenue,28607829000.0,24998091000.0,16359559000.0,13887514000.0
Total Revenue,40451566000.0,35757020000.0,23912317000.0,19981554000.0
Operating Revenue,40451566000.0,35757020000.0,23912317000.0,19981554000.0
Ordinary Shares Number,90220495.0,90220495.0,90220495.0,90220495.0
Share Issued,90220495.0,90220495.0,90220495.0,90220495.0
Total Debt,29647000.0,466482000.0,807570000.0,171861000.0
Tangible Book Value,13651465000.0,11228729000.0,9597247000.0,8528709000.0
Invested Capital,22349865000.0,19505015000.0,16821467000.0,14028857000.0
Working Capital,12876082000.0,11596850000.0,9599631000.0,8248012000.0
Net Tangible Assets,13651465000.0,11228729000.0,9597247000.0,8528709000.0
Capital Lease Obligations,0.0,86086000.0,129098000.0,170935000.0
Common Stock Equity,22320218000.0,19124619000.0,16142995000.0,14027931000.0
Total Capitalization,22320218000.0,19124619000.0,16142995000.0,14028857000.0
Total Equity Gross Minority Interest,22323737000.0,19127933000.0,16146070000.0,14030571000.0
Minority Interest,3519000.0,3314000.0,3075000.0,2640000.0
Stockholders Equity,22320218000.0,19124619000.0,16142995000.0,14027931000.0
Other Equity Interest,21418013000.0,18222414000.0,15240790000.0,
Retained Earnings,20293712000.0,17427742000.0,14474746000.0,12362724000.0
Additional Paid In Capital,216855000.0,216855000.0,216855000.0,216855000.0
Capital Stock,902205000.0,902205000.0,902205000.0,902205000.0
Common Stock,902205000.0,902205000.0,902205000.0,902205000.0
Total Liabilities Net Minority Interest,21184542000.0,18303389000.0,12492523000.0,9441640000.0
Total Non Current Liabilities Net Minority Interest,1478946000.0,1385702000.0,1098908000.0,874891000.0
Other Non Current Liabilities,,,1463000.0,
Non Current Pension And Other Postretirement Benefit Plans,27392000.0,22871000.0,30228000.0,26552000.0
Tradeand Other Payables Non Current,17256000.0,39472000.0,54748000.0,25273000.0
Non Current Deferred Taxes Liabilities,1434298000.0,1288642000.0,928681000.0,693042000.0
Long Term Debt And Capital Lease Obligation,0.0,34717000.0,83788000.0,130024000.0
Long Term Capital Lease Obligation,0.0,34717000.0,83788000.0,129098000.0
Long Term Debt,,,0.0,926000.0
Long Term Provisions,27392000.0,22871000.0,,
Current Liabilities,19705596000.0,16917687000.0,11393615000.0,8566749000.0
Other Current Liabilities,781134000.0,292990000.0,334204000.0,5981000.0
Current Deferred Taxes Liabilities,,,31722000.0,15204000.0
Current Debt And Capital Lease Obligation,29647000.0,431765000.0,723782000.0,41837000.0
Current Capital Lease Obligation,0.0,51369000.0,45310000.0,41837000.0
Current Debt,29647000.0,380396000.0,678472000.0,0.0
Pensionand Other Post Retirement Benefit Plans Current,,,499954000.0,
Current Provisions,614020000.0,1045868000.0,499954000.0,323980000.0
Payables,13967078000.0,15020208000.0,9673508000.0,8064829000.0
Other Payable,4263786000.0,3201907000.0,1605388000.0,1197427000.0
Dividends Payable,2387000.0,634000.0,578000.0,528000.0
Total Tax Payable,191379000.0,42057000.0,31722000.0,
Accounts Payable,13775699000.0,11775610000.0,8067542000.0,6866874000.0
Total Assets,43508279000.0,37431322000.0,28638593000.0,23472211000.0
Total Non Current Assets,10926601000.0,8916785000.0,7645347000.0,6657450000.0
Other Non Current Assets,,,,-1000.0
Non Current Prepaid Assets,1196202000.0,3338000.0,3263000.0,2180000.0
Non Current Deferred Taxes Assets,79459000.0,48726000.0,60409000.0,39176000.0
Investmentin Financial Assets,1406072000.0,112044000.0,94023000.0,
Available For Sale Securities,1406072000.0,112044000.0,94023000.0,
Goodwill And Other Intangible Assets,8668753000.0,7895890000.0,6545748000.0,5499222000.0
Other Intangible Assets,8668669000.0,7895811000.0,6541494000.0,5494824000.0
Goodwill,84000.0,79000.0,4254000.0,4398000.0
Net PPE,49774000.0,143986000.0,208814000.0,278227000.0
Accumulated Depreciation,-334459000.0,-238244000.0,-166411000.0,-114381000.0
Gross PPE,49774000.0,382230000.0,375225000.0,392608000.0
Other Properties,49774000.0,20499000.0,20499000.0,20499000.0
Machinery Furniture Equipment,100032000.0,98029000.0,95446000.0,112829000.0
Buildings And Improvements,263702000.0,263702000.0,259280000.0,259280000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,32581678000.0,28514537000.0,20993246000.0,16814761000.0
Other Current Assets,480874000.0,583615000.0,339236000.0,159319000.0
Hedging Assets Current,2354000.0,3175000.0,8095000.0,3332000.0
Restricted Cash,2387000.0,634000.0,1729468000.0,736242000.0
Prepaid Assets,61477000.0,95071000.0,40444000.0,116315000.0
Inventory,11343386000.0,8927807000.0,5255486000.0,3822372000.0
Finished Goods,7631359000.0,4483547000.0,2671376000.0,2225607000.0
Raw Materials,3712027000.0,4444260000.0,2584110000.0,1596765000.0
Other Receivables,76268000.0,75918000.0,190209000.0,30451000.0
Taxes Receivable,208460000.0,425140000.0,98673000.0,99261000.0
Accounts Receivable,18333050000.0,15399557000.0,11625647000.0,9893944000.0
Allowance For Doubtful Accounts Receivable,-427651000.0,-240693000.0,-229128000.0,-263446000.0
Gross Accounts Receivable,18760701000.0,15640250000.0,11854775000.0,10157390000.0
Cash Cash Equivalents And Short Term Investments,2424368000.0,3003620000.0,1705988000.0,1953525000.0
Other Short Term Investments,660719000.0,2436681000.0,850476000.0,1175955000.0
Cash And Cash Equivalents,1763649000.0,566939000.0,855512000.0,777570000.0
Cash Financial,1763649000.0,566939000.0,855512000.0,777570000.0
Free Cash Flow,842028000.0,333122000.0,151696000.0,-296954000.0
