,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,-30167.310478,-551465.157833
Tax Rate For Calcs,0.000764,0.0,0.018859,0.015408
Normalized EBITDA,-100126000.0,-15148993.0,-20638539.0,-44163517.0
Total Unusual Items,0.0,-237382.0,-1599593.0,-35789936.0
Total Unusual Items Excluding Goodwill,0.0,-237382.0,-1599593.0,-35789936.0
Net Income From Continuing Operation Net Minority Interest,-92900000.0,-22787063.0,-31244743.0,-65850128.0
Reconciled Depreciation,4867000.0,5747838.0,5898467.0,6563822.0
Reconciled Cost Of Revenue,98717000.0,147352223.0,147575407.0,79622355.0
EBIT,-104993000.0,-21134213.0,-28136599.0,-86517275.0
Net Interest Income,,28325122.0,11302999.0,10390568.0
Interest Expense,,350769.0,482337.0,647596.0
Interest Income,,29761404.0,12582908.0,11775994.0
Normalized Income,-92900000.0,-22549681.0,-29675317.310478,-30611657.157833
Net Income From Continuing And Discontinued Operation,-92900000.0,-22787063.0,-31244743.0,-65850128.0
Total Expenses,213279000.0,185461546.0,187481470.0,131112155.0
Rent Expense Supplemental,,1234468.0,909765.0,4649995.0
Diluted Average Shares,27485207.0,26664022.0,266640222.0,26664022.0
Basic Average Shares,27485207.0,26664022.0,266640222.0,26664022.0
Diluted EPS,-3.38,-0.805767,-0.119257,-2.467705
Basic EPS,-3.38,-0.805767,-0.119257,-2.467705
Diluted NI Availto Com Stockholders,-92900000.0,-22787063.0,-31244743.0,-65850128.0
Net Income Common Stockholders,-92900000.0,-22787063.0,-31244743.0,-65850128.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-92900000.0,-22787063.0,-31244743.0,-65850128.0
Minority Interests,,-1302082.0,-3165542.0,19971671.0
Net Income Including Noncontrolling Interests,-92900000.0,-21484982.0,-28079201.0,-85821801.0
Net Income Discontinuous Operations,0.0,0.0,,
Net Income Continuous Operations,-92900000.0,-21484982.0,-28079201.0,-85821801.0
Tax Provision,-71000.0,0.0,-539735.0,-1343070.0
Pretax Income,-92971000.0,-21484982.0,-28618936.0,-87164871.0
Other Non Operating Income Expenses,12022000.0,8395925.0,8537357.0,5508709.0
Special Income Charges,0.0,-237382.0,-1599593.0,-35280290.0
Write Off,,237382.0,1599593.0,35280290.0
Net Non Operating Interest Income Expense,,28325122.0,11302999.0,10390568.0
Total Other Finance Cost,,1085513.0,797572.0,737830.0
Interest Expense Non Operating,,350769.0,482337.0,647596.0
Interest Income Non Operating,,29761404.0,12582908.0,11775994.0
Operating Income,-104993000.0,-57968647.0,-46859699.0,-67274212.0
Operating Expense,114562000.0,38109323.0,39906063.0,51489800.0
Other Operating Expenses,109695000.0,16762199.0,17209551.0,23715867.0
Depreciation And Amortization In Income Statement,4867000.0,5747838.0,5898467.0,6563822.0
Amortization,,1392792.0,1541357.0,1839130.0
Depreciation Income Statement,4867000.0,4355046.0,4357110.0,4724692.0
Selling General And Administration,,11788683.0,13354625.0,12981515.0
Selling And Marketing Expense,,7567123.0,9665852.0,8496222.0
General And Administrative Expense,,4221560.0,3688773.0,4485293.0
Rent And Landing Fees,,1234468.0,909765.0,4649995.0
Gross Profit,9569000.0,-19859324.0,-6953636.0,-15784412.0
Cost Of Revenue,98717000.0,147352223.0,147575407.0,79622355.0
Total Revenue,108286000.0,127492899.0,140621771.0,63837943.0
Operating Revenue,108286000.0,127492899.0,140621771.0,63837943.0
Ordinary Shares Number,,26664022.0,26664022.0,26664022.0
Share Issued,,26664022.0,26664022.0,26664022.0
Net Debt,248245000.0,396214733.0,367150788.0,186978791.0
Total Debt,403069000.0,490900547.0,432462639.0,225140050.0
Tangible Book Value,224870000.0,71551834.0,92353866.0,122068791.0
Invested Capital,695223000.0,633035468.0,593582492.0,421573477.0
Working Capital,391781000.0,-195538541.0,60800574.0,-15122479.0
Net Tangible Assets,224870000.0,71551834.0,92353866.0,122068791.0
Capital Lease Obligations,,,3570388.0,
Common Stock Equity,292154000.0,142134921.0,164690241.0,196433427.0
Total Capitalization,695223000.0,437035724.0,476811870.0,310876770.0
Total Equity Gross Minority Interest,334639000.0,187559731.0,208839801.0,237526230.0
Minority Interest,42485000.0,45424810.0,44149560.0,41092803.0
Stockholders Equity,292154000.0,142134921.0,164690241.0,196433427.0
Other Equity Interest,-192451000.0,-102471000.0,-79915000.0,2.0
Retained Earnings,,-149037892.0,-123633878.0,-92316672.0
Additional Paid In Capital,,2775800.0,,
Capital Stock,484605000.0,244605680.0,244605680.0,244605680.0
Common Stock,484605000.0,244605680.0,244605680.0,244605680.0
Total Liabilities Net Minority Interest,727322000.0,839871040.0,735219972.0,381177124.0
Total Non Current Liabilities Net Minority Interest,430574000.0,303872104.0,329470950.0,127218766.0
Other Non Current Liabilities,8765000.0,880000.0,3570118.0,6105559.0
Non Current Pension And Other Postretirement Benefit Plans,,1263387.0,1859393.0,
Long Term Debt And Capital Lease Obligation,403069000.0,294900803.0,315692017.0,114443343.0
Long Term Capital Lease Obligation,,,3570388.0,
Long Term Debt,403069000.0,294900803.0,312121629.0,114443343.0
Long Term Provisions,1874000.0,2056000.0,2283000.0,
Current Liabilities,296748000.0,535998936.0,405749022.0,253958358.0
Other Current Liabilities,,8512351.0,,4917728.0
Current Debt And Capital Lease Obligation,,195999744.0,116770622.0,110696707.0
Current Debt,,195999744.0,116770622.0,110696707.0
Pensionand Other Post Retirement Benefit Plans Current,,793053.0,423257.0,
Current Provisions,,,,1735209.0
Payables,296748000.0,330676823.0,237595359.0,115586396.0
Other Payable,558000.0,7358928.0,4133913.0,3026780.0
Accounts Payable,296190000.0,323317895.0,233461446.0,112559616.0
Total Assets,1061961000.0,1027430771.0,944059773.0,618703354.0
Total Non Current Assets,373432000.0,686970376.0,477510167.0,379867475.0
Other Non Current Assets,52805000.0,42323485.0,42786317.0,41549574.0
Non Current Deferred Taxes Assets,21866000.0,21866380.0,21866379.0,21326644.0
Investmentin Financial Assets,146198000.0,298444970.0,224367306.0,123058064.0
Available For Sale Securities,146198000.0,298302944.0,224046134.0,122900157.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,142026.0,321172.0,157907.0
Goodwill And Other Intangible Assets,67284000.0,70583087.0,72336375.0,74364636.0
Other Intangible Assets,1518000.0,2141615.0,3894903.0,5923164.0
Goodwill,65766000.0,68441472.0,68441472.0,68441472.0
Net PPE,85279000.0,87417785.0,90753790.0,94143698.0
Accumulated Depreciation,,-82348206.0,-77993160.0,-73636128.0
Gross PPE,85279000.0,169765991.0,168746950.0,167779826.0
Other Properties,85279000.0,,,
Machinery Furniture Equipment,,69900924.0,68881883.0,67914761.0
Buildings And Improvements,,96779566.0,96779566.0,96779565.0
Land And Improvements,,3085501.0,3085501.0,3085500.0
Properties,,0.0,0.0,0.0
Current Assets,688529000.0,340460395.0,466549596.0,238835879.0
Other Current Assets,,9156920.0,7363359.0,5739547.0
Prepaid Assets,,,12446784.0,
Inventory,,,723039.0,723039.0
Other Receivables,236596000.0,144188148.0,269280760.0,105054407.0
Taxes Receivable,15703000.0,15450252.0,12447000.0,11033193.0
Accounts Receivable,141781000.0,64249672.0,102434070.0,64017744.0
Allowance For Doubtful Accounts Receivable,,,-42076333.0,-42040400.0
Gross Accounts Receivable,,64249672.0,144510403.0,106058144.0
Cash Cash Equivalents And Short Term Investments,294449000.0,107415403.0,74301584.0,52267949.0
Other Short Term Investments,139625000.0,12729589.0,12560121.0,14106690.0
Cash And Cash Equivalents,154824000.0,94685814.0,61741463.0,38161259.0
Cash Financial,,94685814.0,61741463.0,38161259.0
Free Cash Flow,-123420000.0,157626225.0,-96934606.0,1593055.0
Issuance Of Debt,,,203753000.0,
Issuance Of Capital Stock,239999000.0,,,
Capital Expenditure,-1455000.0,-1019031.0,-967212.0,-5850146.0
End Cash Position,154824000.0,94685814.0,61741463.0,38161259.0
Other Cash Adjustment Outside Changein Cash,-1000.0,-1.0,,-1.0
Beginning Cash Position,94686000.0,61741463.0,38161259.0,23722583.0
Changes In Cash,60139000.0,32944352.0,23580204.0,14438677.0
Financing Cash Flow,164680000.0,-48619883.0,171291082.0,4638047.0
Net Other Financing Charges,,-1000.0,-1000.0,
Interest Paid Cff,-51047000.0,-47068183.0,-32461119.0,-26891549.0
Net Common Stock Issuance,239999000.0,,,
Common Stock Issuance,239999000.0,,,
Net Issuance Payments Of Debt,-24272000.0,-1551700.0,203752201.0,31529596.0
Net Short Term Debt Issuance,-24272000.0,,,
Net Long Term Debt Issuance,,-1551700.0,203752201.0,31529596.0
Long Term Debt Issuance,,,203753000.0,
Investing Cash Flow,17424000.0,-77081021.0,-51743484.0,2357429.0
Dividends Received Cfi,18000.0,14628.0,14687.0,22873.0
Net Investment Purchase And Sale,18587000.0,-76076618.0,-50940959.0,8184702.0
Sale Of Investment,,,6009183.0,8287500.0
Purchase Of Investment,,-76077000.0,-56950142.0,-102798.0
Net Intangibles Purchase And Sale,-750000.0,0.0,150000.0,-852373.0
Sale Of Intangibles,,0.0,150000.0,
Purchase Of Intangibles,,,,-852373.0
Net PPE Purchase And Sale,-431000.0,-1019031.0,-967212.0,-4997773.0
Sale Of PPE,274000.0,,,
Purchase Of PPE,-705000.0,-1019031.0,-967212.0,-4997773.0
Operating Cash Flow,-121965000.0,158645256.0,-95967394.0,7443201.0
Taxes Refund Paid,-324000.0,-3003468.0,-1413591.0,760636.0
Interest Received Cfo,,30869628.0,7444294.0,17718698.0
Interest Paid Cfo,39492000.0,,7444000.0,
Change In Working Capital,-127611000.0,136294792.0,-103745525.0,21945099.0
Change In Other Current Liabilities,-62313000.0,19089300.0,29894381.0,7066699.0
Change In Other Current Assets,572000.0,30769672.0,-51137690.0,-1825983.0
Change In Payable,-29296000.0,89606201.0,120851049.0,-15508805.0
Change In Inventory,,,0.0,0.0
Change In Receivables,-36391000.0,-2944171.0,-203900706.0,31901806.0
Other Non Cash Items,14618000.0,9877548.0,23401365.0,14721482.0
Depreciation And Amortization,4867000.0,5747838.0,5898467.0,6563822.0
Depreciation,4867000.0,5747838.0,5898467.0,6563822.0
Pension And Employee Benefit Expense,-23000.0,121146.0,-176805.0,-832459.0
Gain Loss On Investment Securities,-18000.0,-14628.0,-14687.0,-22873.0
Net Income From Continuing Operations,-92971000.0,-21484981.0,-28618936.0,-87164869.0
