,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-2824000.0,0.0,410414.810539
Tax Rate For Calcs,0.286288,0.4,0.055839,0.291695
Normalized EBITDA,480737000.0,327866000.0,451092000.0,232181000.0
Total Unusual Items,0.0,-7060000.0,0.0,1407000.0
Total Unusual Items Excluding Goodwill,0.0,-7060000.0,0.0,1407000.0
Net Income From Continuing Operation Net Minority Interest,127045000.0,54948000.0,216345000.0,20861000.0
Reconciled Depreciation,154869000.0,124457000.0,122107000.0,105755000.0
Reconciled Cost Of Revenue,4743427000.0,4909613000.0,3890805000.0,2807899000.0
EBIT,325868000.0,196349000.0,328985000.0,127833000.0
Net Interest Income,-147862000.0,-103763000.0,-103814000.0,-102112000.0
Interest Expense,147862000.0,103160000.0,99845000.0,98381000.0
Interest Income,,2905000.0,590000.0,683000.0
Normalized Income,127045000.0,59184000.0,216345000.0,19864414.810539
Net Income From Continuing And Discontinued Operation,127045000.0,54948000.0,216345000.0,20861000.0
Total Expenses,5690405000.0,5498145000.0,4297684000.0,3073862000.0
Rent Expense Supplemental,,1998000.0,1277000.0,1101000.0
Diluted Average Shares,7713722.0,7589503.0,7699786.0,7700270.0
Basic Average Shares,7634916.0,7589503.0,7699786.0,7700270.0
Diluted EPS,16.47,7.24,28.100977,2.709126
Basic EPS,16.64,7.24,28.100977,2.709126
Diluted NI Availto Com Stockholders,127045000.0,54948000.0,216345000.0,20861000.0
Net Income Common Stockholders,127045000.0,54948000.0,216345000.0,20861000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,127045000.0,54948000.0,216345000.0,20861000.0
Net Income Including Noncontrolling Interests,127045000.0,54948000.0,216345000.0,20861000.0
Net Income Continuous Operations,127045000.0,54948000.0,216345000.0,20861000.0
Tax Provision,50961000.0,38241000.0,12795000.0,8591000.0
Pretax Income,178006000.0,93189000.0,229140000.0,29452000.0
Other Non Operating Income Expenses,3341000.0,-1522000.0,-2023000.0,-150000.0
Special Income Charges,0.0,-7060000.0,0.0,1407000.0
Other Special Charges,,7060000.0,,-1407000.0
Net Non Operating Interest Income Expense,-147862000.0,-103763000.0,-103814000.0,-102112000.0
Total Other Finance Cost,,3508000.0,4559000.0,4414000.0
Interest Expense Non Operating,147862000.0,103160000.0,99845000.0,98381000.0
Interest Income Non Operating,,2905000.0,590000.0,683000.0
Operating Income,322527000.0,205584000.0,335045000.0,130358000.0
Operating Expense,946978000.0,588532000.0,406879000.0,265963000.0
Other Operating Expenses,623699000.0,698362000.0,531800000.0,406600000.0
Depreciation And Amortization In Income Statement,154869000.0,124456000.0,122107000.0,105755000.0
Amortization,,3736000.0,3736000.0,6539000.0
Depreciation Income Statement,154869000.0,120720000.0,118371000.0,99216000.0
Selling General And Administration,,333372000.0,151334000.0,70494000.0
Selling And Marketing Expense,,318587000.0,141185000.0,55666000.0
General And Administrative Expense,,14785000.0,10149000.0,14828000.0
Rent And Landing Fees,,1998000.0,1277000.0,1101000.0
Gross Profit,1269505000.0,794116000.0,741924000.0,396321000.0
Cost Of Revenue,4743427000.0,4909613000.0,3890805000.0,2807899000.0
Total Revenue,6012932000.0,5703729000.0,4632729000.0,3204220000.0
Operating Revenue,6012932000.0,5703729000.0,4632729000.0,3204220000.0
Ordinary Shares Number,8476768.0,7700270.0,7700270.0,7700270.0
Share Issued,8476768.0,7700270.0,7700270.0,7700270.0
Net Debt,1414439000.0,1399932000.0,1255892000.0,901607000.0
Total Debt,1491325000.0,1413728000.0,1323216000.0,902655000.0
Tangible Book Value,1679342000.0,1354506000.0,1318094000.0,1097351000.0
Invested Capital,3171601000.0,2772905000.0,2649718000.0,2012151000.0
Working Capital,383799000.0,259484000.0,191192000.0,-5814000.0
Net Tangible Assets,1679342000.0,1354506000.0,1318094000.0,1097351000.0
Common Stock Equity,1680276000.0,1359177000.0,1326502000.0,1109496000.0
Total Capitalization,2413707000.0,2211446000.0,2019215000.0,1410362000.0
Total Equity Gross Minority Interest,1680276000.0,1359177000.0,1326502000.0,1109496000.0
Minority Interest,,,0.0,
Stockholders Equity,1680276000.0,1359177000.0,1326502000.0,1109496000.0
Other Equity Interest,1600862000.0,1283332000.0,,
Retained Earnings,,1283332000.0,1250657000.0,1033651000.0
Capital Stock,79414000.0,75845000.0,75845000.0,75845000.0
Common Stock,79414000.0,75845000.0,75845000.0,75845000.0
Total Liabilities Net Minority Interest,2342785000.0,2665043000.0,2512383000.0,1513401000.0
Total Non Current Liabilities Net Minority Interest,879258000.0,1174542000.0,976056000.0,563999000.0
Preferred Securities Outside Stock Equity,,201448000.0,194188000.0,186927000.0
Non Current Deferred Taxes Liabilities,145827000.0,120825000.0,89155000.0,76206000.0
Long Term Debt And Capital Lease Obligation,733431000.0,852269000.0,692713000.0,300866000.0
Long Term Debt,733431000.0,852269000.0,692713000.0,300866000.0
Current Liabilities,1463527000.0,1490501000.0,1536327000.0,949402000.0
Other Current Liabilities,83758000.0,55364000.0,-1000.0,1000.0
Current Debt And Capital Lease Obligation,757894000.0,561459000.0,630503000.0,601789000.0
Current Debt,757894000.0,561459000.0,630503000.0,601789000.0
Current Provisions,21582000.0,89360000.0,33602000.0,40240000.0
Payables,571775000.0,707456000.0,825459000.0,301493000.0
Other Payable,,5565000.0,40540000.0,103973000.0
Dividends Payable,,164000.0,,
Total Tax Payable,2538000.0,0.0,3840000.0,5080000.0
Accounts Payable,569237000.0,701727000.0,781079000.0,192440000.0
Total Assets,4023061000.0,4024220000.0,3838885000.0,2622897000.0
Total Non Current Assets,2175735000.0,2274235000.0,2111366000.0,1679309000.0
Other Non Current Assets,1804000.0,1000.0,46600000.0,
Non Current Prepaid Assets,,26775000.0,46470000.0,26239000.0
Investmentin Financial Assets,22311000.0,3000.0,3000.0,3000.0
Available For Sale Securities,22311000.0,3000.0,3000.0,3000.0
Goodwill And Other Intangible Assets,934000.0,4671000.0,8408000.0,12145000.0
Other Intangible Assets,934000.0,4671000.0,8408000.0,12145000.0
Net PPE,2150686000.0,2242785000.0,2056485000.0,1640922000.0
Accumulated Depreciation,,-736109000.0,-797820000.0,-687466000.0
Gross PPE,2150686000.0,2978894000.0,2854305000.0,2328388000.0
Construction In Progress,78998000.0,520556000.0,197445000.0,139526000.0
Other Properties,2071688000.0,1722230000.0,1859000000.0,
Machinery Furniture Equipment,,2178765000.0,2357050000.0,1963563000.0
Buildings And Improvements,,227408000.0,262426000.0,202754000.0
Land And Improvements,,52165000.0,37384000.0,22545000.0
Properties,,0.0,0.0,0.0
Current Assets,1847326000.0,1749985000.0,1727519000.0,943588000.0
Other Current Assets,146157000.0,281584000.0,344500000.0,
Restricted Cash,,495000.0,,
Prepaid Assets,,275795000.0,341964000.0,144069000.0
Inventory,773263000.0,748244000.0,731898000.0,564884000.0
Other Inventories,,13233000.0,9790000.0,5134000.0
Finished Goods,,426537000.0,346767000.0,308329000.0
Work In Process,,13111000.0,19599000.0,10317000.0
Raw Materials,,295363000.0,355742000.0,241104000.0
Other Receivables,1177000.0,155158000.0,42013000.0,54388000.0
Taxes Receivable,0.0,11827000.0,,
Accounts Receivable,653624000.0,544670000.0,544320000.0,179199000.0
Allowance For Doubtful Accounts Receivable,,-6997000.0,,
Gross Accounts Receivable,,551667000.0,,
Cash Cash Equivalents And Short Term Investments,273105000.0,13796000.0,67324000.0,1048000.0
Other Short Term Investments,196219000.0,147410000.0,39500000.0,
Cash And Cash Equivalents,76886000.0,13796000.0,67324000.0,1048000.0
Cash Financial,,13796000.0,67324000.0,1048000.0
Free Cash Flow,139309000.0,7765000.0,-256612000.0,-65827000.0
