,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-80960000.0,88464800.0,1638321.388098,92317800.0
Tax Rate For Calcs,0.4,0.4,0.221844,0.3
Normalized EBITDA,294500000.0,64477000.0,741727000.0,-199038000.0
Total Unusual Items,-202400000.0,221162000.0,7385000.0,307726000.0
Total Unusual Items Excluding Goodwill,-202400000.0,221162000.0,7385000.0,307726000.0
Net Income From Continuing Operation Net Minority Interest,-473800000.0,236231000.0,190549000.0,-1021630000.0
Reconciled Depreciation,229700000.0,236755000.0,253124000.0,246306000.0
Reconciled Cost Of Revenue,3612800000.0,3249382000.0,3562995000.0,3555899000.0
EBIT,-137600000.0,48884000.0,495988000.0,-137618000.0
Net Interest Income,-366900000.0,-365469000.0,-444392000.0,-512793000.0
Interest Expense,366900000.0,362013000.0,463339000.0,576007000.0
Interest Income,14186000.0,17571000.0,34128000.0,79857000.0
Normalized Income,-352360000.0,103533800.0,184802321.388098,-1237038200.0
Net Income From Continuing And Discontinued Operation,-471400000.0,236231000.0,190549000.0,-1021630000.0
Total Expenses,8269200000.0,6749718000.0,7306925000.0,7612341000.0
Rent Expense Supplemental,17229000.0,26730000.0,35936000.0,16025000.0
Diluted Average Shares,,22666858.0,22666858.0,22666858.0
Basic Average Shares,,22666858.0,22666858.0,22666858.0
Diluted EPS,,10.42,8.41,-45.07
Basic EPS,,10.42,8.41,-45.07
Diluted NI Availto Com Stockholders,-471400000.0,236231000.0,190549000.0,-1021630000.0
Net Income Common Stockholders,-471400000.0,236231000.0,190549000.0,-1021630000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-471400000.0,236231000.0,190549000.0,-1021630000.0
Net Income Including Noncontrolling Interests,-471400000.0,236231000.0,190549000.0,-1021630000.0
Net Income Discontinuous Operations,2400000.0,,,
Net Income Continuous Operations,-473800000.0,236231000.0,190549000.0,-1021630000.0
Tax Provision,21200000.0,-354325000.0,7243000.0,112952000.0
Pretax Income,-504500000.0,-313129000.0,32649000.0,-713625000.0
Other Non Operating Income Expenses,208100000.0,70917000.0,76107000.0,215109000.0
Special Income Charges,-202400000.0,226959000.0,-2255000.0,-70529000.0
Other Special Charges,143767000.0,-226959000.0,-55501000.0,-81011000.0
Write Off,-23232000.0,0.0,57756000.0,151540000.0
