,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,672812.837525,-2089814.490725,660000.0
Tax Rate For Calcs,0.28962,0.24919,0.037452,0.3
Normalized EBITDA,1350400000.0,1495800000.0,1480200000.0,1254100000.0
Total Unusual Items,0.0,2700000.0,-55800000.0,2200000.0
Total Unusual Items Excluding Goodwill,0.0,2700000.0,-55800000.0,2200000.0
Net Income From Continuing Operation Net Minority Interest,358600000.0,486600000.0,550000000.0,155200000.0
Reconciled Depreciation,370000000.0,351500000.0,334300000.0,337800000.0
Reconciled Cost Of Revenue,7221000000.0,3682800000.0,3347600000.0,3208400000.0
EBIT,980400000.0,1147000000.0,1090100000.0,918500000.0
Net Interest Income,-475600000.0,-494600000.0,-529800000.0,-644900000.0
Interest Expense,475600000.0,498900000.0,518700000.0,645400000.0
Interest Income,,8000000.0,8000000.0,4600000.0
Normalized Income,358600000.0,484572812.837525,603710185.509275,153660000.0
Net Income From Continuing And Discontinued Operation,358600000.0,486600000.0,550000000.0,155200000.0
Total Expenses,9342200000.0,7624300000.0,6198100000.0,5946200000.0
Rent Expense Supplemental,,18600000.0,17100000.0,16500000.0
Diluted Average Shares,399409685.0,399533917.0,398876495.0,398876495.0
Basic Average Shares,399409685.0,399533917.0,398876495.0,398876495.0
Diluted EPS,0.897825,1.217919,1.38187,0.390359
Basic EPS,0.897825,1.217919,1.38187,0.390359
Diluted NI Availto Com Stockholders,358600000.0,486600000.0,550000000.0,155200000.0
Net Income Common Stockholders,358600000.0,486600000.0,550000000.0,155200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,358600000.0,486600000.0,550000000.0,155200000.0
Net Income Including Noncontrolling Interests,358600000.0,486600000.0,550000000.0,155200000.0
Net Income Continuous Operations,358600000.0,486600000.0,550000000.0,155200000.0
Tax Provision,146200000.0,161500000.0,21400000.0,117900000.0
Pretax Income,504800000.0,648100000.0,571400000.0,273100000.0
Other Non Operating Income Expenses,12900000.0,4500000.0,4100000.0,4300000.0
Special Income Charges,0.0,-36000000.0,-69300000.0,0.0
Other Special Charges,,36000000.0,69300000.0,
Net Non Operating Interest Income Expense,-475600000.0,-494600000.0,-529800000.0,-644900000.0
Total Other Finance Cost,,3700000.0,19100000.0,4100000.0
Interest Expense Non Operating,475600000.0,498900000.0,518700000.0,645400000.0
Interest Income Non Operating,,8000000.0,8000000.0,4600000.0
Operating Income,967500000.0,1135500000.0,1152900000.0,911500000.0
Operating Expense,2121200000.0,3941500000.0,2850500000.0,2737800000.0
Other Operating Expenses,1366000000.0,3047500000.0,1983400000.0,1892400000.0
Depreciation And Amortization In Income Statement,370000000.0,351500000.0,334300000.0,337800000.0
Amortization,,351400000.0,400000.0,400000.0
Depreciation Income Statement,370000000.0,100000.0,333900000.0,337400000.0
Selling General And Administration,,159100000.0,163200000.0,181800000.0
Selling And Marketing Expense,,149100000.0,156000000.0,178400000.0
General And Administrative Expense,,10000000.0,7200000.0,3400000.0
Rent And Landing Fees,,18600000.0,17100000.0,16500000.0
Gross Profit,3088700000.0,5077000000.0,4003400000.0,3649300000.0
Cost Of Revenue,7221000000.0,3682800000.0,3347600000.0,3208400000.0
Total Revenue,10309700000.0,8759800000.0,7351000000.0,6857700000.0
Operating Revenue,10309700000.0,8759800000.0,7351000000.0,6857700000.0
Ordinary Shares Number,311409817.0,311409817.0,311409817.0,311409817.0
Share Issued,311409817.0,311409817.0,311409817.0,311409817.0
Net Debt,11415000000.0,9342800000.0,5671300000.0,5661100000.0
Total Debt,11454600000.0,9411500000.0,5697700000.0,5670300000.0
