,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-519449.774593,943724239.267292,-518585934.049971
Tax Rate For Calcs,0.225558,0.209456,0.374081,0.292935
Normalized EBITDA,1416800000.0,1450080000.0,1055400000.0,742970000.0
Total Unusual Items,,-2480000.0,2522780000.0,-1770310000.0
Total Unusual Items Excluding Goodwill,,-2480000.0,2522780000.0,-1770310000.0
Net Income From Continuing Operation Net Minority Interest,621110000.0,683900000.0,1849290000.0,-1119510000.0
Reconciled Depreciation,537820000.0,413870000.0,374390000.0,323320000.0
Reconciled Cost Of Revenue,741790000.0,602960000.0,837470000.0,277230000.0
EBIT,878980000.0,1033730000.0,3203790000.0,-1351450000.0
Net Interest Income,-76970000.0,-35810000.0,-137150000.0,-119370000.0
Interest Expense,76970000.0,168630000.0,249270000.0,231870000.0
Interest Income,,149090000.0,122250000.0,127270000.0
Normalized Income,621110000.0,685860550.225407,270234239.267292,132214065.950029
Net Income From Continuing And Discontinued Operation,621110000.0,683900000.0,1849290000.0,-1119510000.0
Total Expenses,4186040000.0,3651120000.0,3395700000.0,2280160000.0
Rent Expense Supplemental,,84250000.0,76060000.0,61170000.0
Diluted Average Shares,32198548.0,29890734.0,31397613.0,31397613.0
Basic Average Shares,31400910.0,29877676.0,31397613.0,31397613.0
Diluted EPS,19.29,22.88,58.899063,-35.655895
Basic EPS,19.78,22.89,58.899063,-35.655895
Diluted NI Availto Com Stockholders,621110000.0,683900000.0,1849290000.0,-1119510000.0
Net Income Common Stockholders,621110000.0,683900000.0,1849290000.0,-1119510000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,621110000.0,683900000.0,1849290000.0,-1119510000.0
Minority Interests,0.0,0.0,,
Net Income Including Noncontrolling Interests,621110000.0,683900000.0,1849290000.0,-1119510000.0
Net Income Continuous Operations,621110000.0,683900000.0,1849290000.0,-1119510000.0
Tax Provision,180900000.0,181200000.0,1105230000.0,-463810000.0
Pretax Income,802010000.0,865100000.0,2954520000.0,-1583320000.0
Other Non Operating Income Expenses,193790000.0,20000.0,110000.0,2130000.0
Special Income Charges,,-2480000.0,-5060000.0,0.0
Other Special Charges,,2480000.0,5060000.0,
Net Non Operating Interest Income Expense,-76970000.0,-35810000.0,-137150000.0,-119370000.0
Total Other Finance Cost,,16270000.0,10130000.0,14770000.0
Interest Expense Non Operating,76970000.0,168630000.0,249270000.0,231870000.0
Interest Income Non Operating,,149090000.0,122250000.0,127270000.0
Operating Income,685190000.0,903380000.0,568860000.0,304110000.0
Operating Expense,3444250000.0,3048160000.0,2558230000.0,2002930000.0
