,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,95397222.9,-2754916.4,-4451744.0
Tax Rate For Calcs,0.200099,0.2989,0.2812,0.176
Normalized EBITDA,2107300000.0,3894703000.0,3916849000.0,2872727000.0
Total Unusual Items,0.0,319161000.0,-9797000.0,-25294000.0
Total Unusual Items Excluding Goodwill,0.0,319161000.0,-9797000.0,-25294000.0
Net Income From Continuing Operation Net Minority Interest,805500000.0,2380608000.0,2206197000.0,1667984000.0
Reconciled Depreciation,772900000.0,616877000.0,671274000.0,650553000.0
Reconciled Cost Of Revenue,22067900000.0,19140108000.0,11054712000.0,13479861000.0
EBIT,1334400000.0,3596987000.0,3235778000.0,2196880000.0
Net Interest Income,-327400000.0,-147913000.0,-188209000.0,-337150000.0
Interest Expense,327400000.0,203766000.0,169540000.0,174698000.0
Interest Income,,107087000.0,59622000.0,9404000.0
Normalized Income,805500000.0,2156844222.9,2213239083.6,1688826256.0
Net Income From Continuing And Discontinued Operation,805500000.0,2374486000.0,2198106000.0,1659572000.0
Total Expenses,31397700000.0,24196154000.0,15849686000.0,18119471000.0
Rent Expense Supplemental,,32378000.0,31690000.0,23317000.0
Diluted Average Shares,31575853.0,31575798.0,31578000.0,31578000.0
Basic Average Shares,31575853.0,31575798.0,29884000.0,28085000.0
Diluted EPS,25.51,75.2,69.61,52.55
Basic EPS,25.51,75.2,73.55,59.09
Diluted NI Availto Com Stockholders,805500000.0,2374486000.0,2198106000.0,1659572000.0
Net Income Common Stockholders,805500000.0,2374486000.0,2198106000.0,1659572000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,805500000.0,2374486000.0,2198106000.0,1659572000.0
Net Income Including Noncontrolling Interests,805500000.0,2374486000.0,2198106000.0,1659572000.0
Net Income Discontinuous Operations,0.0,-6122000.0,-8091000.0,-8412000.0
Net Income Continuous Operations,805500000.0,2380608000.0,2206197000.0,1667984000.0
Tax Provision,201500000.0,1012613000.0,860041000.0,354198000.0
Pretax Income,1007000000.0,3393221000.0,3066238000.0,2022182000.0
Other Non Operating Income Expenses,136400000.0,28562000.0,6387000.0,30629000.0
Special Income Charges,0.0,323851000.0,182000.0,53000.0
Other Special Charges,,-323851000.0,-182000.0,-53000.0
Net Non Operating Interest Income Expense,-327400000.0,-147913000.0,-188209000.0,-337150000.0
Total Other Finance Cost,,51234000.0,78291000.0,171856000.0
Interest Expense Non Operating,327400000.0,203766000.0,169540000.0,174698000.0
Interest Income Non Operating,,107087000.0,59622000.0,9404000.0
Operating Income,1198000000.0,3153804000.0,3262328000.0,2343074000.0
Operating Expense,9329800000.0,5056046000.0,4794974000.0,4639610000.0
Other Operating Expenses,6921700000.0,1176578000.0,1261863000.0,1248200000.0
Depreciation And Amortization In Income Statement,772900000.0,616877000.0,671274000.0,650553000.0
Amortization,,7392000.0,8192000.0,5580000.0
Depreciation Income Statement,772900000.0,609485000.0,663082000.0,644973000.0
Selling General And Administration,,1887342000.0,1609896000.0,1607755000.0
Selling And Marketing Expense,,1707135000.0,1395796000.0,1382205000.0
General And Administrative Expense,,180207000.0,214100000.0,225550000.0
Rent And Landing Fees,,32378000.0,31690000.0,23317000.0
Gross Profit,10527800000.0,8209850000.0,8057302000.0,6982684000.0
Cost Of Revenue,22067900000.0,19140108000.0,11054712000.0,13479861000.0
Total Revenue,32595700000.0,27349958000.0,19112014000.0,20462545000.0
Operating Revenue,32595700000.0,27349958000.0,19112014000.0,20462545000.0
Ordinary Shares Number,31577500.0,31577500.0,31577500.0,28085000.0
Share Issued,31577500.0,31577500.0,31577500.0,28085000.0
Net Debt,,,,1035560000.0
Total Debt,1454000000.0,1483836000.0,1602101000.0,3023319000.0
Tangible Book Value,15786500000.0,15237186000.0,12977643000.0,9162923000.0
Invested Capital,15794700000.0,15252676000.0,13100525000.0,11307883000.0
Working Capital,4111800000.0,4731564000.0,5103845000.0,1780395000.0
Net Tangible Assets,15786500000.0,15237186000.0,12977643000.0,9162923000.0
Capital Lease Obligations,1454000000.0,1483836000.0,1502101000.0,909433000.0
Common Stock Equity,15794700000.0,15252676000.0,13000525000.0,9193997000.0
Total Capitalization,15794700000.0,15252676000.0,13000525000.0,9193997000.0
Total Equity Gross Minority Interest,15794700000.0,15252676000.0,13000525000.0,9193997000.0
Stockholders Equity,15794700000.0,15252676000.0,13000525000.0,9193997000.0
Other Equity Interest,15478900000.0,14936900000.0,,560546000.0
Retained Earnings,,9252225000.0,7000074000.0,4875185000.0
Additional Paid In Capital,,3974964000.0,3974964000.0,1767704000.0
Capital Stock,315800000.0,315775000.0,315775000.0,280850000.0
Common Stock,315800000.0,315775000.0,315775000.0,280850000.0
Total Liabilities Net Minority Interest,9264500000.0,8239142000.0,5617544000.0,7753420000.0
Total Non Current Liabilities Net Minority Interest,2123200000.0,2153041000.0,1763879000.0,1039447000.0
Non Current Pension And Other Postretirement Benefit Plans,,,,184351000.0
Non Current Deferred Taxes Liabilities,573900000.0,550208000.0,117424000.0,
Long Term Debt And Capital Lease Obligation,1335100000.0,1402433000.0,1419817000.0,855096000.0
Long Term Capital Lease Obligation,1335100000.0,1402433000.0,1419817000.0,855096000.0
Long Term Provisions,214200000.0,200400000.0,226638000.0,
Current Liabilities,7141300000.0,6086101000.0,3853665000.0,6713973000.0
Other Current Liabilities,1082600000.0,898100000.0,453000000.0,
Current Debt And Capital Lease Obligation,118900000.0,81403000.0,182284000.0,2168223000.0
Current Capital Lease Obligation,118900000.0,81403000.0,82284000.0,54337000.0
Current Debt,,0.0,100000000.0,2113886000.0
Current Provisions,187600000.0,147133000.0,108799000.0,80385000.0
Payables,5351100000.0,5088302000.0,3364786000.0,4340196000.0
Other Payable,,549940000.0,608313000.0,406513000.0
Dividends Payable,,21728000.0,17543000.0,14516000.0
Total Tax Payable,42900000.0,42922000.0,42922000.0,14737000.0
Accounts Payable,5308200000.0,4473712000.0,2696008000.0,3904430000.0
Total Assets,25059200000.0,23491818000.0,18618069000.0,16947417000.0
Total Non Current Assets,13806100000.0,12674153000.0,9660559000.0,8453049000.0
Other Non Current Assets,179100000.0,210200000.0,319200000.0,
Non Current Prepaid Assets,,210216000.0,319225000.0,519308000.0
Non Current Deferred Taxes Assets,,0.0,0.0,199516000.0
Financial Assets,,,,0.0
Other Investments,,52000.0,52000.0,52000.0
Investmentin Financial Assets,100000.0,100000.0,100000.0,
Available For Sale Securities,100000.0,100000.0,100000.0,
Goodwill And Other Intangible Assets,8200000.0,15490000.0,22882000.0,31074000.0
Other Intangible Assets,,15490000.0,22882000.0,31074000.0
Net PPE,13451400000.0,12363226000.0,9238076000.0,7634999000.0
Accumulated Depreciation,,-3133425000.0,-2575655000.0,-1916221000.0
Gross PPE,13451400000.0,15496651000.0,11813731000.0,9551220000.0
Construction In Progress,1635000000.0,2330558000.0,1334972000.0,983544000.0
Other Properties,11816400000.0,81035000.0,202867000.0,159340000.0
Machinery Furniture Equipment,,11124263000.0,8303337000.0,6784433000.0
Buildings And Improvements,,1701671000.0,1594644000.0,1455009000.0
Land And Improvements,,259124000.0,377911000.0,168894000.0
Properties,,0.0,0.0,0.0
Current Assets,11253100000.0,10817665000.0,8957510000.0,8494368000.0
Other Current Assets,347500000.0,328500000.0,238400000.0,
Hedging Assets Current,,,,50596000.0
Restricted Cash,,22768000.0,17543000.0,20273000.0
Prepaid Assets,,537575000.0,464267000.0,584947000.0
Inventory,5687400000.0,4773910000.0,4086967000.0,3854815000.0
Finished Goods,,239793000.0,337421000.0,697897000.0
Work In Process,,37249000.0,35942000.0,87187000.0
Raw Materials,,4496868000.0,3713604000.0,3069731000.0
Other Receivables,,1523457000.0,1515961000.0,2752000.0
Accounts Receivable,3041800000.0,2110090000.0,2469646000.0,2802659000.0
Allowance For Doubtful Accounts Receivable,,-49999000.0,-86105000.0,-84136000.0
Gross Accounts Receivable,,2160089000.0,2555751000.0,2886795000.0
Cash Cash Equivalents And Short Term Investments,2176400000.0,1849865000.0,403126000.0,1178326000.0
Other Short Term Investments,1153900000.0,1112150000.0,259300000.0,100000000.0
Cash And Cash Equivalents,1022500000.0,737715000.0,403126000.0,1078326000.0
Cash Equivalents,,500000000.0,5757000.0,720000000.0
Cash Financial,,237715000.0,397369000.0,358326000.0
Free Cash Flow,-726200000.0,1456889000.0,1372884000.0,-687751000.0
Repayment Of Debt,-1427000000.0,-758400000.0,-6195055000.0,-6419268000.0
Issuance Of Debt,1400900000.0,658200000.0,4188705000.0,8499277000.0
Issuance Of Capital Stock,,0.0,1681639000.0,0.0
Capital Expenditure,-1646200000.0,-3246071000.0,-1439507000.0,-1389216000.0
End Cash Position,1022500000.0,737715000.0,403127000.0,1078326000.0
Beginning Cash Position,737700000.0,403126000.0,1078326000.0,277068000.0
Changes In Cash,284800000.0,334589000.0,-675199000.0,801258000.0
Financing Cash Flow,-680200000.0,-561221000.0,-699684000.0,1561716000.0
Net Other Financing Charges,8200000.0,-4690000.0,-9979000.0,-45552000.0
Interest Paid Cff,-327400000.0,-245014000.0,-239734000.0,-333412000.0
Cash Dividends Paid,-244100000.0,-126310000.0,-67185000.0,-94149000.0
Common Stock Dividend Paid,,,,-94149000.0
Net Common Stock Issuance,,0.0,1681639000.0,0.0
Common Stock Issuance,,0.0,1681639000.0,0.0
Net Issuance Payments Of Debt,-26100000.0,-100200000.0,-2006350000.0,2080009000.0
Net Short Term Debt Issuance,-26100000.0,-100200000.0,-2006350000.0,2080009000.0
Short Term Debt Payments,-1427000000.0,-758400000.0,-6195055000.0,-6419268000.0
Short Term Debt Issuance,1400900000.0,658200000.0,4188705000.0,8499277000.0
Net Long Term Debt Issuance,,,,0.0
Long Term Debt Payments,,,,0.0
