,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,217791650.4,265037045.0,186519045.1
Tax Rate For Calcs,0.230871,0.2308,0.2275,0.2507
Normalized EBITDA,9716100000.0,6527415000.0,5426829000.0,6242924000.0
Total Unusual Items,,943638000.0,1164998000.0,743993000.0
Total Unusual Items Excluding Goodwill,,943638000.0,1164998000.0,743993000.0
Net Income From Continuing Operation Net Minority Interest,6904700000.0,4380692000.0,3765137000.0,3848712000.0
Reconciled Depreciation,1536300000.0,1452055000.0,1413016000.0,1552159000.0
Reconciled Cost Of Revenue,17814900000.0,12409744000.0,12363748000.0,12781809000.0
EBIT,8179800000.0,6018998000.0,5178811000.0,5434758000.0
Net Interest Income,-290100000.0,-259361000.0,-262530000.0,-261038000.0
Interest Expense,290100000.0,336667000.0,305838000.0,299631000.0
Interest Income,,80061000.0,45939000.0,41258000.0
Normalized Income,6904700000.0,3654845650.4,2865176045.0,3291238045.1
Net Income From Continuing And Discontinued Operation,6904700000.0,4380692000.0,3765137000.0,3848712000.0
Total Expenses,28805100000.0,21694799000.0,21010936000.0,24055295000.0
Rent Expense Supplemental,,36280000.0,41496000.0,40979000.0
Diluted Average Shares,51993920.0,51996439.0,51993920.0,51993920.0
Basic Average Shares,51993920.0,51996439.0,51993920.0,51993920.0
Diluted EPS,13280.0,84.25,72.41,74.02
Basic EPS,13280.0,84.25,72.41,74.02
Diluted NI Availto Com Stockholders,6904700000.0,4380692000.0,3765137000.0,3848712000.0
Net Income Common Stockholders,6904700000.0,4380692000.0,3765137000.0,3848712000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6904700000.0,4380692000.0,3765137000.0,3848712000.0
Minority Interests,400000.0,519000.0,563000.0,959000.0
Net Income Including Noncontrolling Interests,6904300000.0,4380173000.0,3764574000.0,3847753000.0
Net Income Continuous Operations,6904300000.0,4380173000.0,3764574000.0,3847753000.0
Tax Provision,1821500000.0,1302158000.0,1108399000.0,1287374000.0
Pretax Income,7889700000.0,5682331000.0,4872973000.0,5135127000.0
Other Non Operating Income Expenses,1680500000.0,139884000.0,68629000.0,74329000.0
Special Income Charges,,145093000.0,73664000.0,-17225000.0
Other Special Charges,,-169053000.0,-109181000.0,-10050000.0
Write Off,,8684000.0,10061000.0,10116000.0
Impairment Of Capital Assets,,15276000.0,25456000.0,17159000.0
Net Non Operating Interest Income Expense,-290100000.0,-259361000.0,-262530000.0,-261038000.0
Total Other Finance Cost,,2755000.0,2631000.0,2665000.0
Interest Expense Non Operating,290100000.0,336667000.0,305838000.0,299631000.0
Interest Income Non Operating,,80061000.0,45939000.0,41258000.0
Operating Income,6499300000.0,4828617000.0,3855026000.0,4447871000.0
Operating Expense,10990200000.0,9285055000.0,8647188000.0,11273486000.0
Other Operating Expenses,6690800000.0,2772500000.0,2406213000.0,3319531000.0
Depreciation And Amortization In Income Statement,1536300000.0,1452055000.0,1413016000.0,1552159000.0
Depreciation Income Statement,1536300000.0,1452055000.0,1413016000.0,1552159000.0
