,item,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet,2023-03-31 00:00:00,2022-03-31 00:00:00
0,Tax Effect Of Unusual Items,0.0,0.0,Income Statement,,
1,Tax Rate For Calcs,0.0,0.0,Income Statement,,
2,Normalized EBITDA,-72317.0,-73864.0,Income Statement,,
3,Total Unusual Items,0.0,0.0,Income Statement,,
4,Total Unusual Items Excluding Goodwill,0.0,0.0,Income Statement,,
5,Net Income From Continuing Operation Net Minority Interest,-72317.0,-73864.0,Income Statement,,
6,Reconciled Depreciation,0.0,0.0,Income Statement,,
7,Reconciled Cost Of Revenue,0.0,0.0,Income Statement,,
8,EBIT,-72317.0,-73864.0,Income Statement,,
9,Net Interest Income,1073.0,6706.0,Income Statement,,
10,Interest Expense,0.0,0.0,Income Statement,,
11,Interest Income,1722.0,7355.0,Income Statement,,
12,Normalized Income,-72317.0,-73864.0,Income Statement,,
13,Net Income From Continuing And Discontinued Operation,-72317.0,-73864.0,Income Statement,,
14,Total Expenses,73390.0,80570.0,Income Statement,,
15,Diluted Average Shares,,2930605850.0,Income Statement,,
16,Basic Average Shares,,2930605850.0,Income Statement,,
17,Diluted EPS,,-2.5e-05,Income Statement,,
18,Basic EPS,,-2.5e-05,Income Statement,,
19,Diluted NI Availto Com Stockholders,-72317.0,-73864.0,Income Statement,,
20,Net Income Common Stockholders,-72317.0,-73864.0,Income Statement,,
21,Otherunder Preferred Stock Dividend,0.0,0.0,Income Statement,,
22,Net Income,-72317.0,-73864.0,Income Statement,,
23,Net Income Including Noncontrolling Interests,-72317.0,-73864.0,Income Statement,,
24,Net Income Discontinuous Operations,0.0,0.0,Income Statement,,
25,Net Income Continuous Operations,-72317.0,-73864.0,Income Statement,,
26,Tax Provision,0.0,0.0,Income Statement,,
27,Pretax Income,-72317.0,-73864.0,Income Statement,,
28,Special Income Charges,0.0,0.0,Income Statement,,
29,Net Non Operating Interest Income Expense,1073.0,6706.0,Income Statement,,
30,Total Other Finance Cost,649.0,649.0,Income Statement,,
