,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.26998,0.258531,0.236333
Normalized EBITDA,1144776000.0,944328000.0,1049925000.0
Total Unusual Items,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,267485000.0,206815000.0,305095000.0
Reconciled Depreciation,34069000.0,35931000.0,41905000.0
Reconciled Cost Of Revenue,40315363000.0,35772357000.0,40543719000.0
EBIT,1110707000.0,908397000.0,1008020000.0
Net Interest Income,-581504000.0,-463799000.0,-442355000.0
Interest Expense,744299000.0,629471000.0,608507000.0
Interest Income,162795000.0,165672000.0,166152000.0
Normalized Income,267485000.0,206815000.0,305095000.0
Net Income From Continuing And Discontinued Operation,267485000.0,206815000.0,305095000.0
Total Expenses,41123992000.0,36563424000.0,41471955000.0
Rent Expense Supplemental,70963000.0,66764000.0,88800000.0
Diluted Average Shares,67192239.0,67192239.0,67192239.0
Basic Average Shares,67192239.0,67192239.0,67192239.0
Diluted EPS,3.974426,3.200815,4.540629
Basic EPS,3.974426,3.200815,4.540629
Diluted NI Availto Com Stockholders,267485000.0,206815000.0,305095000.0
Net Income Common Stockholders,267485000.0,206815000.0,305095000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,267485000.0,206815000.0,305095000.0
Net Income Including Noncontrolling Interests,267485000.0,206815000.0,305095000.0
Net Income Discontinuous Operations,0.0,0.0,
Net Income Continuous Operations,267485000.0,206815000.0,305095000.0
Tax Provision,98923000.0,72111000.0,94418000.0
Pretax Income,366408000.0,278926000.0,399513000.0
Other Non Operating Income Expenses,1701000.0,2516000.0,875000.0
Special Income Charges,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-581504000.0,-463799000.0,-442355000.0
Interest Expense Non Operating,744299000.0,629471000.0,608507000.0
Interest Income Non Operating,162795000.0,165672000.0,166152000.0
Operating Income,951026000.0,734443000.0,853122000.0
Operating Expense,808629000.0,791067000.0,928236000.0
Other Operating Expenses,318055000.0,315814000.0,365564000.0
Depreciation And Amortization In Income Statement,34069000.0,35931000.0,41905000.0
Depreciation Income Statement,34069000.0,35931000.0,41905000.0
Selling General And Administration,37857000.0,24021000.0,46775000.0
General And Administrative Expense,37857000.0,24021000.0,46775000.0
Rent And Landing Fees,70963000.0,66764000.0,88800000.0
Gross Profit,1759655000.0,1525510000.0,1781358000.0
Cost Of Revenue,40315363000.0,35772357000.0,40543719000.0
Total Revenue,42075018000.0,37297867000.0,42325077000.0
Operating Revenue,42075018000.0,37297867000.0,42325077000.0
Ordinary Shares Number,67192239.0,67192239.0,67192239.0
Share Issued,67192239.0,67192239.0,67192239.0
Net Debt,5488850000.0,5922451000.0,4648742000.0
Total Debt,5537921000.0,5998672000.0,4738191000.0
Tangible Book Value,2477187000.0,2222671000.0,2020698000.0
Invested Capital,8015173000.0,8221417000.0,6758991000.0
Working Capital,2479480000.0,2461151000.0,1785500000.0
Net Tangible Assets,2477187000.0,2222671000.0,2020698000.0
Common Stock Equity,2477252000.0,2222745000.0,2020800000.0
Total Capitalization,2955233000.0,2833791000.0,2134413000.0
Total Equity Gross Minority Interest,2477252000.0,2222745000.0,2020800000.0
Stockholders Equity,2477252000.0,2222745000.0,2020800000.0
Other Equity Interest,2347300000.0,2092793000.0,
Retained Earnings,1952853000.0,1698573000.0,1496549000.0
Additional Paid In Capital,379852000.0,379852000.0,379852000.0
Capital Stock,129952000.0,129952000.0,129952000.0
Common Stock,129952000.0,129952000.0,129952000.0
Total Liabilities Net Minority Interest,9327956000.0,9105689000.0,9394273000.0
Total Non Current Liabilities Net Minority Interest,540849000.0,768281000.0,273224000.0
Preferred Securities Outside Stock Equity,0.0,100000000.0,100000000.0
Non Current Pension And Other Postretirement Benefit Plans,20691000.0,18457000.0,18488000.0
Non Current Deferred Taxes Liabilities,42177000.0,38778000.0,41123000.0
Long Term Debt And Capital Lease Obligation,477981000.0,611046000.0,113613000.0
Long Term Debt,477981000.0,611046000.0,113613000.0
Long Term Provisions,20691000.0,18457000.0,
Current Liabilities,8787107000.0,8337408000.0,9121049000.0
Other Current Liabilities,178381000.0,175119000.0,217404000.0
Current Deferred Taxes Liabilities,16904000.0,,
Current Debt And Capital Lease Obligation,5059940000.0,5387626000.0,4624578000.0
Current Debt,5059940000.0,5387626000.0,4624578000.0
Pensionand Other Post Retirement Benefit Plans Current,3000000.0,3000000.0,
Current Provisions,3000000.0,3000000.0,3000000.0
Payables,3607488000.0,2757574000.0,4363114000.0
Other Payable,208474000.0,318199000.0,434975000.0
Dividends Payable,1934000.0,2015000.0,2041000.0
Total Tax Payable,16904000.0,,
Accounts Payable,3397080000.0,2437360000.0,3926098000.0
Total Assets,11805208000.0,11328434000.0,11415073000.0
Total Non Current Assets,538621000.0,529875000.0,508524000.0
