,item,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,-15264.095577,62165146.114177,Income Statement
1,Tax Rate For Calcs,0.000524,0.282276,Income Statement
2,Normalized EBITDA,152552000.0,-124002000.0,Income Statement
3,Total Unusual Items,-29130000.0,220228000.0,Income Statement
4,Total Unusual Items Excluding Goodwill,-29130000.0,220228000.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,76296000.0,-15866000.0,Income Statement
6,Reconciled Depreciation,4651000.0,10118000.0,Income Statement
7,Reconciled Cost Of Revenue,173308000.0,180089000.0,Income Statement
8,EBIT,118771000.0,86108000.0,Income Statement
9,Net Interest Income,-40208000.0,-107237000.0,Income Statement
10,Interest Expense,42435000.0,108214000.0,Income Statement
11,Interest Income,2591000.0,1290000.0,Income Statement
12,Normalized Income,105410735.904423,-173928853.885823,Income Statement
13,Net Income From Continuing And Discontinued Operation,76296000.0,-15866000.0,Income Statement
14,Total Expenses,278328000.0,377336000.0,Income Statement
15,Rent Expense Supplemental,3174000.0,6221000.0,Income Statement
16,Diluted Average Shares,17588021.0,17588021.0,Income Statement
17,Basic Average Shares,17588021.0,17588021.0,Income Statement
18,Diluted EPS,4.34,-0.9,Income Statement
19,Basic EPS,4.34,-0.9,Income Statement
20,Diluted NI Availto Com Stockholders,76296000.0,-15866000.0,Income Statement
21,Net Income Common Stockholders,76296000.0,-15866000.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,Income Statement
23,Net Income,76296000.0,-15866000.0,Income Statement
24,Minority Interests,0.0,0.0,Income Statement
25,Net Income Including Noncontrolling Interests,76296000.0,-15866000.0,Income Statement
26,Net Income Continuous Operations,76296000.0,-15866000.0,Income Statement
27,Tax Provision,40000.0,-6240000.0,Income Statement
28,Pretax Income,76336000.0,-22106000.0,Income Statement
29,Other Non Operating Income Expenses,56096000.0,46750000.0,Income Statement
30,Special Income Charges,-29130000.0,220228000.0,Income Statement
31,Other Special Charges,-2316000.0,-225049000.0,Income Statement
32,Write Off,31446000.0,4821000.0,Income Statement
33,Net Non Operating Interest Income Expense,-40208000.0,-107237000.0,Income Statement
34,Total Other Finance Cost,364000.0,313000.0,Income Statement
35,Interest Expense Non Operating,42435000.0,108214000.0,Income Statement
36,Interest Income Non Operating,2591000.0,1290000.0,Income Statement
37,Operating Income,89665000.0,-183441000.0,Income Statement
38,Operating Expense,105020000.0,197247000.0,Income Statement
39,Other Operating Expenses,49186000.0,62806000.0,Income Statement
40,Depreciation And Amortization In Income Statement,4651000.0,10118000.0,Income Statement
41,Depreciation Income Statement,4651000.0,10118000.0,Income Statement
42,Selling General And Administration,1790000.0,46530000.0,Income Statement
43,Selling And Marketing Expense,2727000.0,7307000.0,Income Statement
44,General And Administrative Expense,-937000.0,39223000.0,Income Statement
45,Rent And Landing Fees,3174000.0,6221000.0,Income Statement
46,Gross Profit,194685000.0,13806000.0,Income Statement
47,Cost Of Revenue,173308000.0,180089000.0,Income Statement
48,Total Revenue,367993000.0,193895000.0,Income Statement
49,Operating Revenue,367993000.0,193895000.0,Income Statement
0,Ordinary Shares Number,17608802.0,17608802.0,Balance Sheet
1,Share Issued,17608802.0,17608802.0,Balance Sheet
2,Net Debt,8402000.0,10836000.0,Balance Sheet
3,Total Debt,20000000.0,20000000.0,Balance Sheet
4,Tangible Book Value,-3156412000.0,-3258390000.0,Balance Sheet
5,Invested Capital,-2019336000.0,-2120261000.0,Balance Sheet
6,Working Capital,-3372391000.0,-3569616000.0,Balance Sheet
7,Net Tangible Assets,-3156412000.0,-3258390000.0,Balance Sheet
8,Common Stock Equity,-2039336000.0,-2140261000.0,Balance Sheet
9,Total Capitalization,-2039336000.0,-2140261000.0,Balance Sheet
