,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-200000.0,-90000.0,-728356043.075828
Tax Rate For Calcs,0.4,0.3,0.124911
Normalized EBITDA,-3016100000.0,922400000.0,-2050100000.0
Total Unusual Items,-500000.0,-300000.0,-5831000000.0
Total Unusual Items Excluding Goodwill,-500000.0,-300000.0,-5831000000.0
Net Income From Continuing Operation Net Minority Interest,-4304300000.0,-6506300000.0,-11800500000.0
Reconciled Depreciation,992700000.0,1394500000.0,1371700000.0
Reconciled Cost Of Revenue,5857600000.0,5300500000.0,7243300000.0
EBIT,-4009300000.0,-472400000.0,-9252800000.0
Net Interest Income,-205100000.0,-4164400000.0,-4550500000.0
Interest Expense,234700000.0,3845400000.0,4230400000.0
Interest Income,33700000.0,154000000.0,103300000.0
Normalized Income,-4304000000.0,-6506090000.0,-6697856043.075828
Net Income From Continuing And Discontinued Operation,-4304300000.0,-6506300000.0,-11294700000.0
Total Expenses,13460600000.0,9465900000.0,12584100000.0
Rent Expense Supplemental,26400000.0,29700000.0,58700000.0
Diluted Average Shares,640908251.0,636697670.0,640908251.0
Basic Average Shares,636151296.0,631940715.0,631028422.0
Diluted EPS,-6.73,-10.26,-17.9
Basic EPS,-6.73,-10.26,-17.9
Diluted NI Availto Com Stockholders,-4304300000.0,-6506300000.0,-11294700000.0
Net Income Common Stockholders,-4304300000.0,-6506300000.0,-11294700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-4304300000.0,-6506300000.0,-11294700000.0
Minority Interests,-25700000.0,-23200000.0,-1500000.0
Net Income Including Noncontrolling Interests,-4278600000.0,-6483100000.0,-11293200000.0
Net Income Discontinuous Operations,0.0,0.0,505800000.0
Net Income Continuous Operations,-4278600000.0,-6483100000.0,-11799000000.0
Tax Provision,34600000.0,2165300000.0,-1684200000.0
Pretax Income,-4244000000.0,-4317800000.0,-13483200000.0
Other Non Operating Income Expenses,80200000.0,218600000.0,328800000.0
Special Income Charges,-500000.0,-300000.0,-5831000000.0
Other Special Charges,,,-7868000000.0
Write Off,500000.0,300000.0,13699000000.0
Impairment Of Capital Assets,0.0,,13000000000.0
Net Non Operating Interest Income Expense,-205100000.0,-4164400000.0,-4550500000.0
Total Other Finance Cost,4100000.0,473000000.0,423400000.0
Interest Expense Non Operating,234700000.0,3845400000.0,4230400000.0
Interest Income Non Operating,33700000.0,154000000.0,103300000.0
Operating Income,-4118600000.0,-889300000.0,-3430400000.0
Operating Expense,7603000000.0,4165400000.0,5340800000.0
Other Operating Expenses,4622400000.0,1122800000.0,1230200000.0
Depreciation And Amortization In Income Statement,992700000.0,1394500000.0,1371700000.0
Amortization,20200000.0,23000000.0,24400000.0
Depreciation Income Statement,972500000.0,1371500000.0,1347300000.0
Selling General And Administration,653600000.0,355500000.0,1197500000.0
Selling And Marketing Expense,38200000.0,5500000.0,53400000.0
General And Administrative Expense,615400000.0,350000000.0,1144100000.0
Rent And Landing Fees,26400000.0,29700000.0,58700000.0
Gross Profit,3484400000.0,3276100000.0,1910400000.0
Cost Of Revenue,5857600000.0,5300500000.0,7243300000.0
Total Revenue,9342000000.0,8576600000.0,9153700000.0
Operating Revenue,9342000000.0,8576600000.0,9153700000.0
Ordinary Shares Number,636151296.0,636151296.0,631028422.0
Share Issued,636151296.0,636151296.0,631028422.0
Net Debt,23056700000.0,25164800000.0,25715600000.0
Total Debt,24975000000.0,30996300000.0,31512600000.0
Tangible Book Value,-6737100000.0,921300000.0,7682900000.0
Invested Capital,25256800000.0,39205800000.0,46506500000.0
Working Capital,-26077800000.0,-30877400000.0,-28113800000.0
Net Tangible Assets,-6737100000.0,921300000.0,7682900000.0
Capital Lease Obligations,248200000.0,,
Common Stock Equity,530000000.0,8209500000.0,14993900000.0
Total Capitalization,542900000.0,8289400000.0,15464600000.0
Total Equity Gross Minority Interest,620000000.0,8273800000.0,15035000000.0
Minority Interest,90000000.0,64300000.0,41100000.0
Stockholders Equity,530000000.0,8209500000.0,14993900000.0
