,item,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,0.0,26988.545967,75880.8,Income Statement
1,Tax Rate For Calcs,0.205167,0.151413,0.3,Income Statement
2,Normalized EBITDA,101908000.0,12578791.0,83795902.0,Income Statement
3,Total Unusual Items,0.0,178244.0,252936.0,Income Statement
4,Total Unusual Items Excluding Goodwill,0.0,178244.0,252936.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,47256000.0,-18854854.0,22953535.0,Income Statement
6,Reconciled Depreciation,33614000.0,30792415.0,35162354.0,Income Statement
7,Reconciled Cost Of Revenue,698291000.0,433691572.0,688096820.0,Income Statement
8,EBIT,68294000.0,-18035380.0,48886484.0,Income Statement
9,Net Interest Income,-8840000.0,-4119794.0,-6662935.0,Income Statement
10,Interest Expense,8840000.0,4183750.0,5459765.0,Income Statement
11,Interest Income,1556811.0,1250836.0,597895.0,Income Statement
12,Normalized Income,47256000.0,-19006109.454033,22776479.8,Income Statement
13,Net Income From Continuing And Discontinued Operation,47256000.0,-18854854.0,22953535.0,Income Statement
14,Total Expenses,997726000.0,623211853.0,947563055.0,Income Statement
15,Rent Expense Supplemental,29987.0,11542025.0,12594603.0,Income Statement
16,Diluted Average Shares,,10348728.0,11476768.0,Income Statement
17,Basic Average Shares,,10348728.0,11476768.0,Income Statement
18,Diluted EPS,,-2.25,2.0,Income Statement
19,Basic EPS,,-2.25,2.0,Income Statement
20,Diluted NI Availto Com Stockholders,47256000.0,-18854854.0,22953535.0,Income Statement
21,Net Income Common Stockholders,47256000.0,-18854854.0,22953535.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,Income Statement
23,Net Income,47256000.0,-18854854.0,22953535.0,Income Statement
24,Net Income Including Noncontrolling Interests,47256000.0,-18854854.0,22953535.0,Income Statement
25,Net Income Discontinuous Operations,0.0,,,Income Statement
26,Net Income Continuous Operations,47256000.0,-18854854.0,22953535.0,Income Statement
27,Tax Provision,12198000.0,-3364276.0,20473184.0,Income Statement
28,Pretax Income,59454000.0,-22219130.0,43426719.0,Income Statement
29,Other Non Operating Income Expenses,12107000.0,6760241.0,2030333.0,Income Statement
30,Special Income Charges,0.0,178244.0,252936.0,Income Statement
31,Other Special Charges,811086.0,-203737.0,-2503668.0,Income Statement
32,Write Off,4470105.0,0.0,2250732.0,Income Statement
33,Impairment Of Capital Assets,3655432.0,25493.0,,Income Statement
34,Net Non Operating Interest Income Expense,-8840000.0,-4119794.0,-6662935.0,Income Statement
35,Total Other Finance Cost,,1186880.0,1801065.0,Income Statement
36,Interest Expense Non Operating,8840000.0,4183750.0,5459765.0,Income Statement
37,Interest Income Non Operating,1556811.0,1250836.0,597895.0,Income Statement
38,Operating Income,56186000.0,-23631679.0,45665447.0,Income Statement
39,Operating Expense,299435000.0,189520281.0,259466235.0,Income Statement
40,Other Operating Expenses,129986000.0,6378320.0,6394662.0,Income Statement
41,Depreciation And Amortization In Income Statement,33614000.0,30792415.0,35162354.0,Income Statement
42,Depreciation Income Statement,33614000.0,30792415.0,35162354.0,Income Statement
43,Selling General And Administration,78582910.0,50267685.0,78530665.0,Income Statement
44,Selling And Marketing Expense,55359444.0,32107336.0,51019271.0,Income Statement
45,General And Administrative Expense,23223466.0,18160349.0,27511394.0,Income Statement
46,Rent And Landing Fees,29987.0,2165261.0,2247631.0,Income Statement
47,Gross Profit,355621000.0,165888602.0,305131682.0,Income Statement
48,Cost Of Revenue,698291000.0,433691572.0,688096820.0,Income Statement
49,Total Revenue,1053912000.0,599580174.0,993228502.0,Income Statement
50,Operating Revenue,1053912000.0,599580174.0,993228502.0,Income Statement
0,Ordinary Shares Number,10135800.0,10135800.0,10135800.0,Balance Sheet
1,Share Issued,10135800.0,10135800.0,10135800.0,Balance Sheet
2,Net Debt,19346000.0,32093888.0,36848837.0,Balance Sheet
3,Total Debt,25634000.0,47227747.0,43863833.0,Balance Sheet
4,Tangible Book Value,352447000.0,314138633.0,334289042.0,Balance Sheet
5,Invested Capital,378081000.0,361366380.0,378152875.0,Balance Sheet
6,Working Capital,214271000.0,191207765.0,194251579.0,Balance Sheet
7,Net Tangible Assets,352447000.0,314138633.0,334289042.0,Balance Sheet
8,Capital Lease Obligations,36963056.0,,,Balance Sheet
9,Common Stock Equity,352447000.0,314138633.0,334289042.0,Balance Sheet
10,Total Capitalization,356047000.0,322393125.0,336373752.0,Balance Sheet
11,Total Equity Gross Minority Interest,352447000.0,314138633.0,334289042.0,Balance Sheet
12,Stockholders Equity,352447000.0,314138633.0,334289042.0,Balance Sheet
13,Other Equity Interest,251089000.0,,,Balance Sheet
14,Retained Earnings,,212780633.0,232931042.0,Balance Sheet
15,Capital Stock,101358000.0,101358000.0,101358000.0,Balance Sheet
16,Common Stock,101358000.0,101358000.0,101358000.0,Balance Sheet
17,Total Liabilities Net Minority Interest,443450000.0,260097911.0,274109773.0,Balance Sheet
18,Total Non Current Liabilities Net Minority Interest,50894000.0,8254492.0,2084711.0,Balance Sheet
19,Other Non Current Liabilities,,1002000.0,1.0,Balance Sheet
20,Non Current Pension And Other Postretirement Benefit Plans,10330979.0,,,Balance Sheet
21,Non Current Deferred Taxes Liabilities,,0.0,,Balance Sheet
22,Long Term Debt And Capital Lease Obligation,3600000.0,8254492.0,2084710.0,Balance Sheet
23,Long Term Capital Lease Obligation,36963056.0,,,Balance Sheet
24,Long Term Debt,3600000.0,8254492.0,2084710.0,Balance Sheet
25,Long Term Provisions,10331000.0,,,Balance Sheet
26,Current Liabilities,392556000.0,251843419.0,272025062.0,Balance Sheet
27,Other Current Liabilities,63048000.0,44808000.0,240926.0,Balance Sheet
28,Current Deferred Taxes Liabilities,5371967.0,0.0,6753088.0,Balance Sheet
29,Current Debt And Capital Lease Obligation,22034000.0,38973255.0,41779123.0,Balance Sheet
30,Current Debt,22034000.0,38973255.0,41779123.0,Balance Sheet
31,Pensionand Other Post Retirement Benefit Plans Current,8092335.0,,,Balance Sheet
32,Current Provisions,8092000.0,,,Balance Sheet
33,Payables,266172000.0,196739209.0,206392107.0,Balance Sheet
34,Other Payable,36903027.0,26848170.0,30405203.0,Balance Sheet
35,Total Tax Payable,5372000.0,1829498.0,5730438.0,Balance Sheet
36,Accounts Payable,260800000.0,168061541.0,170256466.0,Balance Sheet
37,Total Assets,795897000.0,574236544.0,608398815.0,Balance Sheet
38,Total Non Current Assets,189069000.0,131185360.0,142122174.0,Balance Sheet
39,Other Non Current Assets,9267000.0,-1000.0,1.0,Balance Sheet
40,Non Current Prepaid Assets,7147834.0,,,Balance Sheet
41,Non Current Deferred Taxes Assets,13979000.0,9512359.0,4015911.0,Balance Sheet
42,Investmentin Financial Assets,2266000.0,,,Balance Sheet
43,Available For Sale Securities,2266000.0,,,Balance Sheet
44,Net PPE,157001000.0,115588241.0,133741349.0,Balance Sheet
45,Accumulated Depreciation,-132318701.0,-110219579.0,,Balance Sheet
46,Gross PPE,157001000.0,225807820.0,133741349.0,Balance Sheet
47,Construction In Progress,11041000.0,5062598.0,1047824.0,Balance Sheet
48,Other Properties,145960000.0,21040114.0,132693525.0,Balance Sheet
49,Machinery Furniture Equipment,161889968.0,140206693.0,,Balance Sheet
50,Buildings And Improvements,96334619.0,59498415.0,,Balance Sheet
51,Properties,0.0,0.0,,Balance Sheet
52,Current Assets,606827000.0,443051184.0,466276641.0,Balance Sheet
53,Other Current Assets,65131000.0,3.0,-1.0,Balance Sheet
54,Restricted Cash,,,2899236.0,Balance Sheet
55,Prepaid Assets,114210430.0,30400850.0,22149602.0,Balance Sheet
56,Inventory,236341000.0,182219639.0,156792933.0,Balance Sheet
57,Other Inventories,1112220.0,973175.0,864898.0,Balance Sheet
58,Finished Goods,88737346.0,77535945.0,73601221.0,Balance Sheet
59,Raw Materials,146491336.0,103710519.0,82326814.0,Balance Sheet
60,Other Receivables,51951000.0,3757154.0,3937464.0,Balance Sheet
61,Taxes Receivable,0.0,38252595.0,22060237.0,Balance Sheet
62,Accounts Receivable,247116000.0,173287084.0,254321410.0,Balance Sheet
63,Allowance For Doubtful Accounts Receivable,-14402929.0,-7713118.0,-5840718.0,Balance Sheet
64,Gross Accounts Receivable,261518455.0,181000202.0,260162128.0,Balance Sheet
65,Cash Cash Equivalents And Short Term Investments,6288000.0,15133859.0,7014996.0,Balance Sheet
66,Cash And Cash Equivalents,6288000.0,15133859.0,7014996.0,Balance Sheet
67,Cash Equivalents,,3717098.0,2899236.0,Balance Sheet
68,Cash Financial,6287994.0,11416761.0,4115760.0,Balance Sheet
0,Free Cash Flow,5658000.0,9094323.0,-2461112.0,Cash Flow
1,Repayment Of Debt,,-2858000.0,-1006790.0,Cash Flow
2,Issuance Of Debt,,,13857046.0,Cash Flow
3,Issuance Of Capital Stock,0.0,7253000.0,,Cash Flow
4,Capital Expenditure,-36372000.0,-13882985.0,-30095579.0,Cash Flow
5,End Cash Position,6288000.0,15133859.0,7014995.0,Cash Flow
6,Other Cash Adjustment Outside Changein Cash,,1.0,-1.0,Cash Flow
7,Beginning Cash Position,11417000.0,7014995.0,7475126.0,Cash Flow
8,Changes In Cash,-5129000.0,8118863.0,-460130.0,Cash Flow
9,Financing Cash Flow,-12241000.0,-975460.0,2000982.0,Cash Flow
10,Net Other Financing Charges,1000.0,1000.0,,Cash Flow
11,Interest Paid Cff,-8840000.0,-5370629.0,-7470674.0,Cash Flow
12,Cash Dividends Paid,,,-3378600.0,Cash Flow
13,Common Stock Dividend Paid,,,-3378600.0,Cash Flow
14,Net Common Stock Issuance,0.0,7253000.0,,Cash Flow
15,Common Stock Issuance,0.0,7253000.0,,Cash Flow
16,Net Issuance Payments Of Debt,-3402000.0,4395169.0,12850256.0,Cash Flow
17,Net Short Term Debt Issuance,,-2857746.0,13857046.0,Cash Flow
18,Short Term Debt Issuance,,,13857046.0,Cash Flow
19,Net Long Term Debt Issuance,-3402000.0,7252915.0,-1006790.0,Cash Flow
20,Long Term Debt Payments,,-2858000.0,-1006790.0,Cash Flow
21,Investing Cash Flow,-34918000.0,-13882985.0,-30095579.0,Cash Flow
22,Net Investment Purchase And Sale,1451000.0,,0.0,Cash Flow
23,Sale Of Investment,1451000.0,,,Cash Flow
24,Net PPE Purchase And Sale,-36369000.0,,,Cash Flow
25,Sale Of PPE,3000.0,,,Cash Flow
26,Purchase Of PPE,-36372000.0,,,Cash Flow
27,Capital Expenditure Reported,,-13882985.0,-30095579.0,Cash Flow
28,Operating Cash Flow,42030000.0,22977308.0,27634467.0,Cash Flow
29,Taxes Refund Paid,-16665000.0,-2132172.0,-24222591.0,Cash Flow
30,Change In Working Capital,-48839000.0,11165566.0,-34202690.0,Cash Flow
31,Change In Other Current Liabilities,26239000.0,-8427762.0,11583440.0,Cash Flow
32,Change In Other Current Assets,-26525000.0,-15290045.0,-6687095.0,Cash Flow
33,Change In Payable,98110000.0,-2194925.0,44139438.0,Cash Flow
34,Change In Inventory,-54121000.0,-25426706.0,-27615982.0,Cash Flow
35,Change In Receivables,-109276000.0,70341225.0,-62375579.0,Cash Flow
36,Other Non Cash Items,9569000.0,5370629.0,7470674.0,Cash Flow
37,Provisionand Write Offof Assets,6690000.0,,,Cash Flow
38,Depreciation And Amortization,33614000.0,30792415.0,35162354.0,Cash Flow
39,Depreciation,33614000.0,30792415.0,35162354.0,Cash Flow
40,Pension And Employee Benefit Expense,-6715000.0,,,Cash Flow
41,Gain Loss On Investment Securities,8000.0,,,Cash Flow
42,Net Income From Continuing Operations,60714000.0,-22219130.0,43426719.0,Cash Flow
