,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-2724380.879247,-58979411.2,-267556.200995,-15055.630866
Tax Rate For Calcs,0.142638,0.4,0.00315,0.019041
Normalized EBITDA,-49700000.0,115833601.0,-18164727.0,46476329.0
Total Unusual Items,-19100000.0,-147448528.0,-84951553.0,-790676.0
Total Unusual Items Excluding Goodwill,-19100000.0,-147448528.0,-84951553.0,-790676.0
Net Income From Continuing Operation Net Minority Interest,-446600000.0,-272114727.0,-403002291.0,-281552409.0
Reconciled Depreciation,388248000.0,170137511.0,246540199.0,291016110.0
Reconciled Cost Of Revenue,41500000.0,21849147.0,20424716.0,19299067.0
EBIT,-457100000.0,-201752438.0,-349656479.0,-245330457.0
Net Interest Income,-63800000.0,-62492228.0,-54508107.0,-41589397.0
Interest Expense,63800000.0,62520361.0,54619084.0,41687189.0
Interest Income,,28133.0,110977.0,97792.0
Normalized Income,-430224380.879247,-183645610.2,-318318294.200995,-280776788.630866
Net Income From Continuing And Discontinued Operation,-446600000.0,-272114727.0,-403002291.0,-281552409.0
Total Expenses,548200000.0,237684671.0,302837764.0,339605768.0
Rent Expense Supplemental,,5108604.0,5467797.0,0.0
Diluted Average Shares,42291667.0,42383178.0,42310724.0,42310724.0
Basic Average Shares,42291667.0,42383178.0,42310724.0,42310724.0
Diluted EPS,-10.56,-6.42,-9.52,-6.65
Basic EPS,-10.56,-6.42,-9.52,-6.65
Diluted NI Availto Com Stockholders,-446600000.0,-272114727.0,-403002291.0,-281552409.0
Net Income Common Stockholders,-446600000.0,-272114727.0,-403002291.0,-281552409.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-446600000.0,-272114727.0,-403002291.0,-281552409.0
Net Income Including Noncontrolling Interests,-446600000.0,-272114727.0,-403002291.0,-281552409.0
Net Income Continuous Operations,-446600000.0,-272114727.0,-403002291.0,-281552409.0
Tax Provision,-74300000.0,7841928.0,-1273272.0,-5465237.0
Pretax Income,-520900000.0,-264272799.0,-404275563.0,-287017646.0
Other Non Operating Income Expenses,9700000.0,123825237.0,88128.0,67430513.0
Special Income Charges,-19100000.0,-147448528.0,-84951553.0,-790676.0
Other Special Charges,19100000.0,185898538.0,-3236114.0,
Write Off,,-38450010.0,88187667.0,790676.0
Impairment Of Capital Assets,,,,0.0
Net Non Operating Interest Income Expense,-63800000.0,-62492228.0,-54508107.0,-41589397.0
Interest Expense Non Operating,63800000.0,62520361.0,54619084.0,41687189.0
Interest Income Non Operating,,28133.0,110977.0,97792.0
Operating Income,-447700000.0,-178014581.0,-264847623.0,-312012820.0
Operating Expense,506700000.0,215835524.0,282413048.0,320306701.0
Other Operating Expenses,118400000.0,16108982.0,14045448.0,11422414.0
Depreciation And Amortization In Income Statement,388300000.0,170137511.0,246540199.0,291016110.0
Amortization,,,,0.0
Depreciation Income Statement,388300000.0,170137511.0,246540199.0,291016110.0
Selling General And Administration,,23940376.0,30366896.0,16438871.0
Selling And Marketing Expense,,14129357.0,14450567.0,3353520.0
General And Administrative Expense,,9811019.0,15916329.0,13085351.0
Rent And Landing Fees,,5108604.0,5467797.0,0.0
Gross Profit,59000000.0,37820943.0,17565425.0,8293881.0
Cost Of Revenue,41500000.0,21849147.0,20424716.0,19299067.0
Total Revenue,100500000.0,59670090.0,37990141.0,27592948.0
Operating Revenue,100500000.0,59670090.0,37990141.0,27592948.0
Ordinary Shares Number,42310724.0,42310724.0,42310724.0,42310724.0
Share Issued,42310724.0,42310724.0,42310724.0,42310724.0
Net Debt,,198545758.0,333538819.0,287010328.0
Total Debt,3400000.0,198657002.0,334004837.0,287081766.0
Tangible Book Value,2004700000.0,2431886256.0,2720932674.0,3084310120.0
Invested Capital,2119900000.0,2765211466.0,3198755325.0,3524591581.0
Working Capital,159400000.0,29127976.0,-212095252.0,-156547591.0
Net Tangible Assets,2004700000.0,2431886256.0,2720932674.0,3084310120.0
Capital Lease Obligations,3400000.0,,,
Common Stock Equity,2119900000.0,2566554464.0,2864750488.0,3237509815.0
Total Capitalization,2119900000.0,2566554464.0,2864750488.0,3237509815.0
Total Equity Gross Minority Interest,2119900000.0,2566554464.0,2864750488.0,3237509815.0
Stockholders Equity,2119900000.0,2566554464.0,2864750488.0,3237509815.0
Other Equity Interest,1696800000.0,2143500000.0,2441600000.0,
Fixed Assets Revaluation Reserve,,-64020680.0,-25259439.0,-55502403.0
Retained Earnings,,-2471295183.0,-2211860400.0,-1808858109.0
Additional Paid In Capital,,4602815570.0,4602815570.0,4602815570.0
Capital Stock,423100000.0,423107240.0,423107240.0,423107240.0
Common Stock,423100000.0,423107240.0,423107240.0,423107240.0
Total Liabilities Net Minority Interest,84200000.0,294875523.0,479604638.0,436652011.0
Total Non Current Liabilities Net Minority Interest,1100000.0,352380.0,667432.0,0.0
Other Non Current Liabilities,,,100000.0,
Non Current Pension And Other Postretirement Benefit Plans,,352380.0,667432.0,
Long Term Provisions,1100000.0,400000.0,700000.0,
Current Liabilities,83100000.0,294523143.0,478937206.0,436652011.0
Other Current Liabilities,58900000.0,26557120.0,27125806.0,28346855.0
Current Debt And Capital Lease Obligation,3400000.0,198657002.0,334004837.0,287081766.0
Current Capital Lease Obligation,3400000.0,,,
Current Debt,0.0,198657002.0,334004837.0,287081766.0
Pensionand Other Post Retirement Benefit Plans Current,,5002105.0,4792700.0,6136221.0
Current Provisions,4600000.0,5000000.0,4800000.0,
Payables,14800000.0,56814460.0,112765487.0,112551880.0
Other Payable,,3060834.0,4047761.0,10097863.0
Dividends Payable,,17010.0,22993.0,38296.0
Total Tax Payable,,30571627.0,33063400.0,31788054.0
Accounts Payable,14800000.0,23164989.0,75631333.0,70627667.0
Total Assets,2204100000.0,2861429987.0,3344355126.0,3674161826.0
Total Non Current Assets,1961600000.0,2537778868.0,3077513172.0,3394057406.0
Other Non Current Assets,1498000000.0,,0.88,-1.0
Non Current Prepaid Assets,,1514816170.0,1497937215.0,1602526168.0
Non Current Deferred Taxes Assets,174800000.0,100507200.0,108349128.0,107075856.0
Other Investments,,,127400000.0,
Investmentin Financial Assets,127300000.0,1610000.0,2610000.0,2610000.0
Available For Sale Securities,127300000.0,1610000.0,2610000.0,2610000.0
Long Term Equity Investment,,127368608.0,127511306.0,127567715.0
Investmentsin Joint Venturesat Cost,,127368608.0,127511306.0,127567715.0
Investment Properties,,243557919.0,494786498.0,471266773.0
Goodwill And Other Intangible Assets,115200000.0,134668208.0,143817814.0,153199695.0
Other Intangible Assets,115200000.0,132006802.0,140628894.0,149250987.0
Goodwill,,2661406.0,3188920.0,3948708.0
Net PPE,44100000.0,2726246.0,5923496.12,927107200.0
Accumulated Depreciation,,-18683373.0,-17263064.0,-1874696034.0
Gross PPE,44100000.0,21409619.0,23186560.12,2801803234.0
Construction In Progress,7100000.0,,,
Other Properties,37000000.0,1238307.0,1238307.0,81422328.0
Machinery Furniture Equipment,,16677165.0,18454105.62,2244347806.0
Buildings And Improvements,,3494147.0,3494147.5,476033100.0
Properties,,0.0,0.0,0.0
Current Assets,242500000.0,323651119.0,266841954.0,280104420.0
Other Current Assets,29000000.0,1.0,41858000.0,-1.0
Restricted Cash,,17010.0,1712950.0,1571312.0
Prepaid Assets,,68201852.0,61699607.0,68031931.0
Inventory,0.0,4557590.0,6809482.0,5818728.0
Finished Goods,,4557590.0,,5818728.0
Other Receivables,,,,1081800.0
Accounts Receivable,189400000.0,250763422.0,196153897.0,203529212.0
Allowance For Doubtful Accounts Receivable,,133047147.0,0.0,74620557.0
Gross Accounts Receivable,,117716275.0,196153897.0,128908655.0
Cash Cash Equivalents And Short Term Investments,24100000.0,111244.0,466018.0,71438.0
Other Short Term Investments,15600000.0,22600000.0,21713000.0,
Cash And Cash Equivalents,8500000.0,111244.0,466018.0,71438.0
Cash Financial,,111244.0,466018.0,71438.0
Free Cash Flow,90865000.0,24194448.0,8121255.0,-53979230.0
Repayment Of Debt,-198657000.0,-135347835.0,,-440182580.0
Issuance Of Debt,,,46923071.0,
Capital Expenditure,-14184000.0,-6744415.0,-2867325.0,-74800.0
End Cash Position,8518000.0,128255.0,2178969.0,1642750.0
Other Cash Adjustment Outside Changein Cash,,311990000.0,-1000.0,-1.0
Beginning Cash Position,128000.0,2178968.0,1642750.0,61048976.0
Changes In Cash,8390000.0,-2050713.0,536219.0,-59406225.0
Financing Cash Flow,-262487000.0,-197868196.0,-7696013.0,-481869769.0
Interest Paid Cff,-63830000.0,-62520361.0,-54619084.0,-41687189.0
Net Issuance Payments Of Debt,-198657000.0,-135347835.0,46923071.0,-440182580.0
Net Short Term Debt Issuance,-198657000.0,-135347835.0,46923071.0,-440182580.0
Short Term Debt Payments,-198657000.0,-135347835.0,,-440182580.0
Short Term Debt Issuance,,,46923071.0,
Investing Cash Flow,165828000.0,164878620.0,-2756348.0,476367974.0
Interest Received Cfi,0.0,28133.0,110977.0,97792.0
Net PPE Purchase And Sale,165828000.0,164850487.0,-2867325.0,476270182.0
Sale Of PPE,180012000.0,171594902.0,0.0,476344982.0
Purchase Of PPE,-14184000.0,-6744415.0,-2867325.0,-74800.0
Operating Cash Flow,105049000.0,30938863.0,10988580.0,-53904430.0
Taxes Refund Paid,0.0,,0.0,
Change In Working Capital,95893000.0,-123436615.0,114473597.0,-46195729.0
Change In Other Current Liabilities,-12068000.0,-49381280.0,-3970444.0,-64143997.0
Change In Other Current Assets,28385000.0,-44072617.0,89226696.0,3246985.0
Change In Prepaid Assets,13624000.0,21834115.0,21750984.0,19325000.0
Change In Inventory,4554000.0,2251892.0,-990754.0,7019004.0
Change In Receivables,61398000.0,-54068725.0,8457115.0,-11642721.0
Other Non Cash Items,63830000.0,62492228.0,54250342.0,41589393.0
Deferred Tax,-74251000.0,,,
Depreciation And Amortization,388248000.0,170137511.0,246540199.0,291016110.0
Depreciation,388248000.0,170137511.0,246540199.0,291016110.0
Gain Loss On Sale Of PPE,67643000.0,186018538.0,0.0,-53296558.0
Net Income From Continuing Operations,-427513000.0,-264272799.0,-404275563.0,-287017646.0
